"","category","numDEInCat","numInCat","padj","Term"
"3841","GO:0006694",6,136,0.00753889685755883,"steroid biosynthetic process"
"4136","GO:0006796",22,2411,0.00753889685755883,"phosphate-containing compound metabolic process"
"4638","GO:0007166",22,2414,0.00753889685755883,"cell surface receptor signaling pathway"
"6301","GO:0009967",13,853,0.00753889685755883,"positive regulation of signal transduction"
"6574","GO:0010646",21,2156,0.00753889685755883,"regulation of cell communication"
"6575","GO:0010647",13,898,0.00753889685755883,"positive regulation of cell communication"
"8844","GO:0023051",21,2152,0.00753889685755883,"regulation of signaling"
"8851","GO:0023056",13,895,0.00753889685755883,"positive regulation of signaling"
"11671","GO:0032879",18,1439,0.00753889685755883,"regulation of localization"
"20375","GO:0050673",8,249,0.00753889685755883,"epithelial cell proliferation"
"4135","GO:0006793",22,2457,0.00789182588549692,"phosphorus metabolic process"
"9148","GO:0030334",9,406,0.00789182588549692,"regulation of cell migration"
"10229","GO:0031649",3,13,0.00789182588549692,"heat generation"
"17853","GO:0045834",5,97,0.0106431095742241,"positive regulation of lipid metabolic process"
"30471","GO:2000145",9,429,0.0106431095742241,"regulation of cell motility"
"3356","GO:0006468",14,1126,0.0132248529499866,"protein phosphorylation"
"18202","GO:0045940",3,19,0.0132248529499866,"positive regulation of steroid metabolic process"
"31536","GO:2001237",4,50,0.0132248529499866,"negative regulation of extrinsic apoptotic signaling pathway"
"13886","GO:0040012",9,463,0.0144574352264091,"regulation of locomotion"
"24973","GO:0070887",18,1892,0.0144574352264091,"cellular response to chemical stimulus"
"486","GO:0001503",7,281,0.0196547984891195,"ossification"
"19962","GO:0048584",14,1247,0.0196547984891195,"positive regulation of response to stimulus"
"15914","GO:0043567",3,22,0.0197051947542377,"regulation of insulin-like growth factor receptor signaling pathway"
"20039","GO:0048660",4,66,0.0197051947542377,"regulation of smooth muscle cell proliferation"
"21645","GO:0051270",9,490,0.0197051947542377,"regulation of cellular component movement"
"6298","GO:0009966",18,1916,0.0198953390502277,"regulation of signal transduction"
"7932","GO:0019218",4,65,0.0198953390502277,"regulation of steroid metabolic process"
"20038","GO:0048659",4,69,0.0211016689532409,"smooth muscle cell proliferation"
"5330","GO:0008610",9,557,0.0214885134473553,"lipid biosynthetic process"
"7507","GO:0016310",14,1269,0.0214885134473553,"phosphorylation"
"7935","GO:0019220",14,1261,0.0214885134473553,"regulation of phosphate metabolic process"
"18589","GO:0046165",5,134,0.0214885134473553,"alcohol biosynthetic process"
"21455","GO:0051174",14,1274,0.0214885134473553,"regulation of phosphorus metabolic process"
"22779","GO:0051897",4,66,0.0214885134473553,"positive regulation of protein kinase B signaling cascade"
"7929","GO:0019216",6,214,0.0224606769668423,"regulation of lipid metabolic process"
"928","GO:0001932",11,826,0.0232529012337967,"regulation of protein phosphorylation"
"9154","GO:0030336",5,129,0.0254267342219673,"negative regulation of cell migration"
"15932","GO:0043570",2,4,0.0256863771684699,"maintenance of DNA repeat elements"
"573","GO:0001659",3,28,0.0263982855590458,"temperature homeostasis"
"25315","GO:0071462",2,4,0.0263982855590458,"cellular response to water stimulus"
"30311","GO:2000026",13,1152,0.0263982855590458,"regulation of multicellular organismal development"
"30474","GO:2000146",5,132,0.0263982855590458,"negative regulation of cell motility"
"21647","GO:0051271",5,137,0.029039544115864,"negative regulation of cellular component movement"
"2731","GO:0006066",7,349,0.0310377676367846,"alcohol metabolic process"
"21565","GO:0051239",17,1915,0.0320858075856855,"regulation of multicellular organismal process"
"5168","GO:0008202",6,262,0.0324875772981072,"steroid metabolic process"
"7533","GO:0016477",11,858,0.0324875772981072,"cell migration"
"14315","GO:0042325",11,882,0.0324875772981072,"regulation of phosphorylation"
"31532","GO:2001234",4,86,0.0324875772981072,"negative regulation of apoptotic signaling pathway"
"19961","GO:0048583",20,2536,0.0333913997895092,"regulation of response to stimulus"
"574","GO:0001660",2,7,0.0343626594176362,"fever generation"
"6576","GO:0010648",10,749,0.0343626594176362,"negative regulation of cell communication"
"8853","GO:0023057",10,747,0.0343626594176362,"negative regulation of signaling"
"10183","GO:0031620",2,7,0.0343626594176362,"regulation of fever generation"
"10184","GO:0031622",2,7,0.0343626594176362,"positive regulation of fever generation"
"13887","GO:0040013",5,151,0.0343626594176362,"negative regulation of locomotion"
"21847","GO:0051345",8,476,0.0343626594176362,"positive regulation of hydrolase activity"
"31534","GO:2001236",4,88,0.0343626594176362,"regulation of extrinsic apoptotic signaling pathway"
"9106","GO:0030282",4,87,0.0361984730542547,"bone mineralization"
"21806","GO:0051336",10,777,0.0361984730542547,"regulation of hydrolase activity"
"22524","GO:0051716",31,5138,0.0361984730542547,"cellular response to stimulus"
"28942","GO:1901617",5,172,0.0361984730542547,"organic hydroxy compound biosynthetic process"
"6662","GO:0010740",8,500,0.0364644588480368,"positive regulation of intracellular protein kinase cascade"
"14176","GO:0042221",21,2889,0.0384204191375265,"response to chemical stimulus"
"16216","GO:0044281",19,2566,0.0394709738392781,"small molecule metabolic process"
"1201","GO:0002118",2,8,0.0403186343835408,"aggressive behavior"
"6005","GO:0009415",2,7,0.0403186343835408,"response to water stimulus"
