"","category","numDEInCat","numInCat","padj","Term"
"6278","GO:0005102",15,1036,0.0791594151138333,"receptor binding"
"6725","GO:0005496",4,67,0.305569694650206,"steroid binding"
"8970","GO:0016717",2,6,0.333466471175137,"oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water"
"13067","GO:0070016",2,10,0.980767680096973,"armadillo repeat domain binding"
"1","GO:0000009",0,1,1,"alpha-1,6-mannosyltransferase activity"
"2","GO:0000010",0,2,1,"trans-hexaprenyltranstransferase activity"
"7","GO:0000014",0,6,1,"single-stranded DNA specific endodeoxyribonuclease activity"
"8","GO:0000016",0,1,1,"lactase activity"
"10","GO:0000026",0,3,1,"alpha-1,2-mannosyltransferase activity"
"11","GO:0000030",0,17,1,"mannosyltransferase activity"
"12","GO:0000033",0,3,1,"alpha-1,3-mannosyltransferase activity"
"13","GO:0000036",0,1,1,"ACP phosphopantetheine attachment site binding involved in fatty acid biosynthetic process"
"14","GO:0000049",0,34,1,"tRNA binding"
"15","GO:0000062",1,19,1,"fatty-acyl-CoA binding"
"16","GO:0000064",0,2,1,"L-ornithine transmembrane transporter activity"
"18","GO:0000095",0,1,1,"S-adenosyl-L-methionine transmembrane transporter activity"
"25","GO:0000099",0,6,1,"sulfur amino acid transmembrane transporter activity"
"28","GO:0000104",0,3,1,"succinate dehydrogenase activity"
"39","GO:0000146",0,17,1,"microfilament motor activity"
"43","GO:0000149",0,45,1,"SNARE binding"
"44","GO:0000150",0,1,1,"recombinase activity"
"45","GO:0000155",0,8,1,"phosphorelay sensor kinase activity"
"48","GO:0000156",0,2,1,"phosphorelay response regulator activity"
"49","GO:0000166",10,2321,1,"nucleotide binding"
"50","GO:0000170",0,1,1,"sphingosine hydroxylase activity"
"51","GO:0000171",0,1,1,"ribonuclease MRP activity"
"52","GO:0000175",0,15,1,"3'-5'-exoribonuclease activity"
"53","GO:0000179",0,4,1,"rRNA (adenine-N6,N6-)-dimethyltransferase activity"
"57","GO:0000182",0,5,1,"rDNA binding"
"58","GO:0000210",0,1,1,"NAD+ diphosphatase activity"
"66","GO:0000213",0,2,1,"tRNA-intron endonuclease activity"
"73","GO:0000215",0,1,1,"tRNA 2'-phosphotransferase activity"
"78","GO:0000217",0,12,1,"DNA secondary structure binding"
"79","GO:0000224",0,1,1,"peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity"
"89","GO:0000225",0,1,1,"N-acetylglucosaminylphosphatidylinositol deacetylase activity"
"95","GO:0000247",0,2,1,"C-8 sterol isomerase activity"
"96","GO:0000248",1,2,1,"C-5 sterol desaturase activity"
"97","GO:0000250",0,1,1,"lanosterol synthase activity"
"111","GO:0000253",0,3,1,"3-keto sterol reductase activity"
"115","GO:0000254",0,1,1,"C-4 methylsterol oxidase activity"
"120","GO:0000257",0,1,1,"nitrilase activity"
"123","GO:0000268",0,6,1,"peroxisome targeting sequence binding"
"127","GO:0000285",0,1,1,"1-phosphatidylinositol-3-phosphate 5-kinase activity"
"131","GO:0000287",1,178,1,"magnesium ion binding"
"132","GO:0000293",0,4,1,"ferric-chelate reductase activity"
"140","GO:0000295",0,3,1,"adenine nucleotide transmembrane transporter activity"
"141","GO:0000309",0,3,1,"nicotinamide-nucleotide adenylyltransferase activity"
"153","GO:0000334",0,1,1,"3-hydroxyanthranilate 3,4-dioxygenase activity"
"159","GO:0000339",0,9,1,"RNA cap binding"
"162","GO:0000340",0,3,1,"RNA 7-methylguanosine cap binding"
"163","GO:0000386",0,1,1,"second spliceosomal transesterification activity"
"165","GO:0000400",0,4,1,"four-way junction DNA binding"
"167","GO:0000403",0,5,1,"Y-form DNA binding"
"169","GO:0000404",0,3,1,"loop DNA binding"
"170","GO:0000405",0,5,1,"bubble DNA binding"
"171","GO:0000406",0,2,1,"double-strand/single-strand DNA junction binding"
"172","GO:0000700",0,3,1,"mismatch base pair DNA N-glycosylase activity"
"173","GO:0000701",0,1,1,"purine-specific mismatch base pair DNA N-glycosylase activity"
"174","GO:0000702",0,1,1,"oxidized base lesion DNA N-glycosylase activity"
"175","GO:0000773",0,1,1,"phosphatidyl-N-methylethanolamine N-methyltransferase activity"
"183","GO:0000774",0,2,1,"adenyl-nucleotide exchange factor activity"
"184","GO:0000822",0,1,1,"inositol hexakisphosphate binding"
"186","GO:0000823",0,1,1,"inositol-1,4,5-trisphosphate 6-kinase activity"
"190","GO:0000824",0,1,1,"inositol tetrakisphosphate 3-kinase activity"
"195","GO:0000827",0,2,1,"inositol-1,3,4,5,6-pentakisphosphate kinase activity"
"196","GO:0000828",0,5,1,"inositol hexakisphosphate kinase activity"
"197","GO:0000831",0,1,1,"inositol hexakisphosphate 6-kinase activity"
"198","GO:0000832",0,5,1,"inositol hexakisphosphate 5-kinase activity"
"199","GO:0000900",0,4,1,"translation repressor activity, nucleic acid binding"
"200","GO:0000975",1,302,1,"regulatory region DNA binding"
"201","GO:0000976",1,123,1,"transcription regulatory region sequence-specific DNA binding"
"202","GO:0000977",1,80,1,"RNA polymerase II regulatory region sequence-specific DNA binding"
"203","GO:0000978",1,29,1,"RNA polymerase II core promoter proximal region sequence-specific DNA binding"
"204","GO:0000979",0,23,1,"RNA polymerase II core promoter sequence-specific DNA binding"
"205","GO:0000980",0,14,1,"RNA polymerase II distal enhancer sequence-specific DNA binding"
"206","GO:0000981",1,212,1,"sequence-specific DNA binding RNA polymerase II transcription factor activity"
"207","GO:0000982",0,85,1,"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"
"208","GO:0000983",0,9,1,"RNA polymerase II core promoter sequence-specific DNA binding transcription factor activity"
"209","GO:0000987",1,36,1,"core promoter proximal region sequence-specific DNA binding"
"210","GO:0000988",1,483,1,"protein binding transcription factor activity"
"211","GO:0000989",1,469,1,"transcription factor binding transcription factor activity"
"212","GO:0000993",0,9,1,"RNA polymerase II core binding"
"213","GO:0001010",0,2,1,"sequence-specific DNA binding transcription factor recruiting transcription factor activity"
"214","GO:0001011",0,1,1,"sequence-specific DNA binding RNA polymerase recruiting transcription factor activity"
"215","GO:0001012",1,84,1,"RNA polymerase II regulatory region DNA binding"
"216","GO:0001013",0,1,1,"RNA polymerase I regulatory region DNA binding"
"217","GO:0001016",0,4,1,"RNA polymerase III regulatory region DNA binding"
"218","GO:0001025",0,2,1,"RNA polymerase III transcription factor binding"
"219","GO:0001030",0,3,1,"RNA polymerase III type 1 promoter DNA binding"
"220","GO:0001031",0,3,1,"RNA polymerase III type 2 promoter DNA binding"
"221","GO:0001032",0,3,1,"RNA polymerase III type 3 promoter DNA binding"
"222","GO:0001042",0,1,1,"RNA polymerase I core binding"
"223","GO:0001046",0,31,1,"core promoter sequence-specific DNA binding"
"224","GO:0001047",0,50,1,"core promoter binding"
"225","GO:0001067",1,302,1,"regulatory region nucleic acid binding"
"226","GO:0001071",4,864,1,"nucleic acid binding transcription factor activity"
