"","category","numDEInCat","numInCat","padj","Term"
"10050","GO:0031670",3,21,0.00813807514704381,"cellular response to nutrient"
"4119","GO:0006865",4,114,0.00964982868007722,"amino acid transport"
"4120","GO:0006868",2,3,0.00964982868007722,"glutamine transport"
"7062","GO:0015849",4,197,0.0449979591011832,"organic acid transport"
"19004","GO:0046942",4,197,0.0449979591011832,"carboxylic acid transport"
"6993","GO:0015711",4,250,0.0833125487556119,"organic anion transport"
"24612","GO:0071295",2,13,0.0833125487556119,"cellular response to vitamin"
"24952","GO:0071705",5,515,0.0833125487556119,"nitrogen compound transport"
"2656","GO:0006082",6,962,0.0943694108841504,"organic acid metabolic process"
"4087","GO:0006820",4,298,0.0943694108841504,"anion transport"
"10049","GO:0031669",3,105,0.0943694108841504,"cellular response to nutrient levels"
"15368","GO:0043436",6,946,0.0943694108841504,"oxoacid metabolic process"
"7033","GO:0015804",2,18,0.103809903055082,"neutral amino acid transport"
"4917","GO:0007584",3,122,0.108885959378661,"response to nutrient"
"10048","GO:0031668",3,125,0.120871239477755,"cellular response to extracellular stimulus"
"16821","GO:0045620",2,25,0.131747750043464,"negative regulation of lymphocyte differentiation"
"7037","GO:0015807",2,25,0.139273090834467,"L-amino acid transport"
"1975","GO:0002792",2,29,0.165505965194723,"negative regulation of peptide secretion"
"5989","GO:0009605",6,1136,0.165505965194723,"response to external stimulus"
"25828","GO:0090278",2,28,0.165505965194723,"negative regulation of peptide hormone secretion"
"24775","GO:0071496",3,174,0.224401964470275,"cellular response to external stimulus"
"8167","GO:0019752",5,838,0.228328281576816,"carboxylic acid metabolic process"
"15821","GO:0044281",8,2444,0.228483039276106,"small molecule metabolic process"
"12127","GO:0034097",4,470,0.24568882695218,"response to cytokine stimulus"
"16182","GO:0045137",3,190,0.24568882695218,"development of primary sexual characteristics"
"18968","GO:0046888",2,42,0.24568882695218,"negative regulation of hormone secretion"
"1495","GO:0002520",4,550,0.251454346821726,"immune system development"
"4902","GO:0007548",3,217,0.251454346821726,"sex differentiation"
"7052","GO:0015826",1,1,0.251454346821726,"threonine transport"
"8743","GO:0030097",4,491,0.251454346821726,"hemopoiesis"
"8751","GO:0030099",3,242,0.251454346821726,"myeloid cell differentiation"
"10047","GO:0031667",3,237,0.251454346821726,"response to nutrient levels"
