"","category","numDEInCat","numInCat","padj","path_name"
"1","00010",9,41,0.00310642743657898,"Glycolysis / Gluconeogenesis"
"62","00620",7,32,0.0155984688198477,"Pyruvate metabolism"
"12","00100",4,13,0.0797551362895066,"Steroid biosynthesis"
"77","00900",3,13,0.564561835130032,"Terpenoid backbone biosynthesis"
"3","00030",3,20,0.585745580772293,"Pentose phosphate pathway"
"11","00072",2,7,0.585745580772293,"Synthesis and degradation of ketone bodies"
"38","00480",4,35,0.585745580772293,"Glutathione metabolism"
"64","00640",4,29,0.585745580772293,"Propanoate metabolism"
"65","00650",3,19,0.585745580772293,"Butanoate metabolism"
"85","01100",42,838,0.585745580772293,"Metabolic pathways"
"176","04966",3,18,0.585745580772293,"Collecting duct acid secretion"
"208","05214",6,52,0.585745580772293,"Glioma"
"216","05222",7,76,0.585745580772293,"Small cell lung cancer"
"217","05223",5,46,0.585745580772293,"Non-small cell lung cancer"
"213","05219",4,36,0.70234129623909,"Bladder cancer"
"214","05220",6,67,0.715726114369821,"Chronic myeloid leukemia"
"23","00280",4,41,0.846059609582474,"Valine, leucine and isoleucine degradation"
"82","00982",3,27,0.858471878373998,"Drug metabolism - cytochrome P450"
"5","00051",3,29,0.88760023906801,"Fructose and mannose metabolism"
"37","00471",1,3,0.88760023906801,"D-Glutamine and D-glutamate metabolism"
"78","00910",2,15,0.88760023906801,"Nitrogen metabolism"
"111","04110",7,100,0.88760023906801,"Cell cycle"
"122","04146",5,65,0.88760023906801,"Peroxisome"
"143","04614",2,14,0.88760023906801,"Renin-angiotensin system"
"203","05200",15,262,0.88760023906801,"Pathways in cancer"
"206","05212",5,62,0.88760023906801,"Pancreatic cancer"
"209","05215",6,77,0.88760023906801,"Prostate cancer"
"66","00670",2,17,0.979329852978577,"One carbon pool by folate"
"181","04974",4,47,0.979329852978577,"Protein digestion and absorption"
"2","00020",2,24,1,"Citrate cycle (TCA cycle)"
"4","00040",1,10,1,"Pentose and glucuronate interconversions"
"6","00052",1,18,1,"Galactose metabolism"
"7","00053",0,6,1,"Ascorbate and aldarate metabolism"
"8","00061",1,4,1,"Fatty acid biosynthesis"
"9","00062",1,7,1,"Fatty acid elongation in mitochondria"
"10","00071",2,34,1,"Fatty acid metabolism"
"13","00120",1,10,1,"Primary bile acid biosynthesis"
"14","00130",0,6,1,"Ubiquinone and other terpenoid-quinone biosynthesis"
"15","00140",1,16,1,"Steroid hormone biosynthesis"
"16","00190",2,113,1,"Oxidative phosphorylation"
"17","00230",6,132,1,"Purine metabolism"
"18","00232",0,1,1,"Caffeine metabolism"
"19","00240",3,83,1,"Pyrimidine metabolism"
"20","00250",1,26,1,"Alanine, aspartate and glutamate metabolism"
"21","00260",1,23,1,"Glycine, serine and threonine metabolism"
"22","00270",2,29,1,"Cysteine and methionine metabolism"
"24","00290",1,8,1,"Valine, leucine and isoleucine biosynthesis"
"25","00300",0,3,1,"Lysine biosynthesis"
"26","00310",1,38,1,"Lysine degradation"
"27","00330",1,41,1,"Arginine and proline metabolism"
"28","00340",0,18,1,"Histidine metabolism"
"29","00350",2,25,1,"Tyrosine metabolism"
"30","00360",0,12,1,"Phenylalanine metabolism"
"31","00380",1,31,1,"Tryptophan metabolism"
"32","00400",0,3,1,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"33","00410",0,17,1,"beta-Alanine metabolism"
"34","00430",0,5,1,"Taurine and hypotaurine metabolism"
"35","00450",0,17,1,"Selenocompound metabolism"
"36","00460",0,4,1,"Cyanoamino acid metabolism"
"39","00500",2,21,1,"Starch and sucrose metabolism"
"40","00510",0,43,1,"N-Glycan biosynthesis"
"41","00511",0,13,1,"Other glycan degradation"
"42","00512",0,20,1,"Mucin type O-Glycan biosynthesis"
"43","00514",0,23,1,"Other types of O-glycan biosynthesis"
"44","00520",1,43,1,"Amino sugar and nucleotide sugar metabolism"
"45","00524",0,2,1,"Butirosin and neomycin biosynthesis"
"46","00531",1,13,1,"Glycosaminoglycan degradation"
"47","00532",0,20,1,"Glycosaminoglycan biosynthesis - chondroitin sulfate"
"48","00533",0,13,1,"Glycosaminoglycan biosynthesis - keratan sulfate"
"49","00534",0,17,1,"Glycosaminoglycan biosynthesis - heparan sulfate"
"50","00561",3,35,1,"Glycerolipid metabolism"
"51","00562",2,50,1,"Inositol phosphate metabolism"
"52","00563",0,23,1,"Glycosylphosphatidylinositol(GPI)-anchor biosynthesis"
"53","00564",4,61,1,"Glycerophospholipid metabolism"
"54","00565",0,24,1,"Ether lipid metabolism"
"55","00590",1,27,1,"Arachidonic acid metabolism"
"56","00591",0,9,1,"Linoleic acid metabolism"
"57","00592",0,9,1,"alpha-Linolenic acid metabolism"
"58","00600",0,27,1,"Sphingolipid metabolism"
"59","00601",0,15,1,"Glycosphingolipid biosynthesis - lacto and neolacto series"
"60","00603",0,10,1,"Glycosphingolipid biosynthesis - globo series"
"61","00604",0,12,1,"Glycosphingolipid biosynthesis - ganglio series"
"63","00630",0,15,1,"Glyoxylate and dicarboxylate metabolism"
"67","00730",0,4,1,"Thiamine metabolism"
"68","00740",0,7,1,"Riboflavin metabolism"
"69","00750",1,5,1,"Vitamin B6 metabolism"
"70","00760",2,21,1,"Nicotinate and nicotinamide metabolism"
"71","00770",0,14,1,"Pantothenate and CoA biosynthesis"
"72","00780",0,2,1,"Biotin metabolism"
"73","00785",0,2,1,"Lipoic acid metabolism"
"74","00790",0,8,1,"Folate biosynthesis"
"75","00830",0,17,1,"Retinol metabolism"
"76","00860",1,21,1,"Porphyrin and chlorophyll metabolism"
"79","00920",0,8,1,"Sulfur metabolism"
"80","00970",2,39,1,"Aminoacyl-tRNA biosynthesis"
"81","00980",1,26,1,"Metabolism of xenobiotics by cytochrome P450"
"83","00983",0,19,1,"Drug metabolism - other enzymes"
"84","01040",1,14,1,"Biosynthesis of unsaturated fatty acids"
"86","02010",2,30,1,"ABC transporters"
"87","03008",0,67,1,"Ribosome biogenesis in eukaryotes"
"88","03010",1,81,1,"Ribosome"
"89","03013",5,136,1,"RNA transport"
"90","03015",3,71,1,"mRNA surveillance pathway"
"91","03018",2,61,1,"RNA degradation"
"92","03020",1,25,1,"RNA polymerase"
"93","03022",0,26,1,"Basal transcription factors"
"94","03030",1,32,1,"DNA replication"
"95","03040",4,117,1,"Spliceosome"
"96","03050",2,39,1,"Proteasome"
"97","03060",1,23,1,"Protein export"
"98","03320",3,45,1,"PPAR signaling pathway"
"99","03410",0,31,1,"Base excision repair"
"100","03420",0,37,1,"Nucleotide excision repair"
"101","03430",0,20,1,"Mismatch repair"
"102","03440",1,21,1,"Homologous recombination"
"103","03450",0,11,1,"Non-homologous end-joining"
"104","04010",3,196,1,"MAPK signaling pathway"
"105","04012",2,70,1,"ErbB signaling pathway"
"106","04020",4,104,1,"Calcium signaling pathway"
"107","04060",4,136,1,"Cytokine-cytokine receptor interaction"
"108","04062",4,135,1,"Chemokine signaling pathway"
