"","category","numDEInCat","numInCat","padj","Term"
"1","GO:0000009",0,1,1,"alpha-1,6-mannosyltransferase activity"
"2","GO:0000010",0,2,1,"trans-hexaprenyltranstransferase activity"
"7","GO:0000014",0,6,1,"single-stranded DNA specific endodeoxyribonuclease activity"
"8","GO:0000026",0,6,1,"alpha-1,2-mannosyltransferase activity"
"9","GO:0000030",0,20,1,"mannosyltransferase activity"
"10","GO:0000033",0,3,1,"alpha-1,3-mannosyltransferase activity"
"11","GO:0000036",0,1,1,"ACP phosphopantetheine attachment site binding involved in fatty acid biosynthetic process"
"12","GO:0000049",0,35,1,"tRNA binding"
"13","GO:0000062",0,18,1,"fatty-acyl-CoA binding"
"14","GO:0000064",0,2,1,"L-ornithine transmembrane transporter activity"
"16","GO:0000095",0,2,1,"S-adenosyl-L-methionine transmembrane transporter activity"
"23","GO:0000099",1,5,1,"sulfur amino acid transmembrane transporter activity"
"26","GO:0000104",0,4,1,"succinate dehydrogenase activity"
"37","GO:0000146",1,15,1,"microfilament motor activity"
"41","GO:0000149",0,40,1,"SNARE binding"
"42","GO:0000150",0,1,1,"recombinase activity"
"43","GO:0000155",0,2,1,"phosphorelay sensor kinase activity"
"46","GO:0000156",0,2,1,"phosphorelay response regulator activity"
"47","GO:0000166",15,2204,1,"nucleotide binding"
"48","GO:0000171",0,1,1,"ribonuclease MRP activity"
"49","GO:0000175",0,16,1,"3'-5'-exoribonuclease activity"
"50","GO:0000179",0,4,1,"rRNA (adenine-N6,N6-)-dimethyltransferase activity"
"54","GO:0000182",0,5,1,"rDNA binding"
"55","GO:0000210",0,1,1,"NAD+ diphosphatase activity"
"63","GO:0000213",0,4,1,"tRNA-intron endonuclease activity"
"70","GO:0000215",0,1,1,"tRNA 2'-phosphotransferase activity"
"75","GO:0000217",0,9,1,"DNA secondary structure binding"
"76","GO:0000224",0,1,1,"peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity"
"86","GO:0000225",0,1,1,"N-acetylglucosaminylphosphatidylinositol deacetylase activity"
"92","GO:0000247",0,2,1,"C-8 sterol isomerase activity"
"93","GO:0000248",1,2,0.758532056073391,"C-5 sterol desaturase activity"
"94","GO:0000250",0,1,1,"lanosterol synthase activity"
"108","GO:0000253",0,3,1,"3-keto sterol reductase activity"
"112","GO:0000254",0,1,1,"C-4 methylsterol oxidase activity"
"117","GO:0000257",0,1,1,"nitrilase activity"
"120","GO:0000268",0,5,1,"peroxisome targeting sequence binding"
"124","GO:0000285",0,1,1,"1-phosphatidylinositol-3-phosphate 5-kinase activity"
"128","GO:0000287",0,166,1,"magnesium ion binding"
"129","GO:0000293",0,4,1,"ferric-chelate reductase activity"
"137","GO:0000295",0,3,1,"adenine nucleotide transmembrane transporter activity"
"138","GO:0000309",0,3,1,"nicotinamide-nucleotide adenylyltransferase activity"
"150","GO:0000334",0,1,1,"3-hydroxyanthranilate 3,4-dioxygenase activity"
"156","GO:0000339",0,9,1,"RNA cap binding"
"159","GO:0000340",0,3,1,"RNA 7-methylguanosine cap binding"
"160","GO:0000386",0,1,1,"second spliceosomal transesterification activity"
"162","GO:0000400",0,4,1,"four-way junction DNA binding"
"164","GO:0000403",0,5,1,"Y-form DNA binding"
"166","GO:0000404",0,3,1,"loop DNA binding"
"167","GO:0000405",0,3,1,"bubble DNA binding"
