"","Cushings","Age"
"",0,1
"AACS",1,0
"ABCD4",1,0
"AC011484.1",1,0
"ACAA2",1,0
"ACACA",1,1
"ACADVL",0,1
"ACBD5",1,0
"ACE2",0,1
"ACER3",0,1
"ACO1",1,0
"ACOX1",1,0
"ACSL1",1,0
"ACSL3",1,0
"ACSS2",1,1
"ADA",0,1
"ADAMTS12",1,0
"ADCY3",1,0
"ADM",0,1
"ADRBK1",1,0
"AFG3L2",1,0
"AGPAT2",1,0
"AGTPBP1",0,1
"AIFM1",1,0
"AIP",1,0
"AK2",1,0
"AKAP1",1,0
"AKR1C1",1,0
"ALDH1A2",0,1
"ALDH9A1",1,0
"ALDOA",1,0
"ALDOC",1,0
"ALG13",1,0
"ALG14",1,0
"AMT",1,0
"ANKRD10",1,0
"ANKRD13D",1,0
"ANKRD29",1,0
"ANKRD40",1,0
"ANKS1A",0,1
"ANO10",1,0
"ANXA1",1,0
"ANXA6",1,0
"AP1G2",1,0
"APBB1IP",1,0
"APBB3",1,0
"APCDD1L",0,1
"APEH",0,1
"APOLD1",0,1
"APRT",0,1
"AQP11",1,0
"AR",1,0
"ARHGAP33",1,0
"ARHGEF15",1,0
"ARIH2",0,1
"ARL4A",0,1
"ARMC8",1,0
"ASPH",1,0
"ATF5",1,0
"ATF6",0,1
"ATG16L2",1,0
"ATG4A",0,1
"ATP2B4",1,0
"ATP2C1",1,0
"ATP5C1",1,0
"ATP6V0A4",0,1
"B4GALT2",1,0
"BAG5",1,0
"BBOX1",0,1
"BCL6",0,1
"BHLHE40",0,1
"BHLHE41",1,0
"BMP6",0,1
"BMX",0,1
"BTBD11",0,1
"BTBD6",1,0
"C10orf59",0,1
"C17orf62",1,0
"C1orf51",0,1
"C1orf63",1,0
"C20orf27",1,0
"C20orf46",0,1
"C20orf7",0,1
"C3orf39",0,1
"C5orf23",0,1
"C5orf4",0,1
"C6orf106",1,0
"C6orf52",0,1
"C9orf91",1,0
"CA12",0,1
"CACYBP",1,0
"CADM2",0,1
"CALB2",1,0
"CAMSAP1",1,0
"CARHSP1",0,1
"CASK",1,0
"CAV1",1,0
"CAV2",1,0
"CCBL2",1,0
"CCDC25",1,0
"CCDC3",0,1
"CCDC6",1,0
"CCDC69",1,0
"CCDC92",1,0
"CCL8",1,0
"CCNL2",1,0
"CD163L1",1,0
"CD1C",1,0
"CD27",1,0
"CD37",1,0
"CDC25B",1,0
"CDC42SE1",1,0
"CDH20",1,0
"CDKN2B",1,0
"CEP170B",1,0
"CERCAM",0,1
"CFD",1,0
"CFI",1,0
"CGGBP1",0,1
"CHCHD3",1,0
"CHP1",1,0
"CIDEA",1,0
"CISH",0,1
"CKAP2",1,0
"CKB",0,1
"CLDN5",1,1
"CLEC10A",1,1
"CLMN",1,0
"CLMP",1,0
"CLPTM1",1,0
"CLTC",1,0
"CLUH",1,0
"CNOT8",1,0
"COL11A1",1,0
"COL12A1",1,0
"COL1A1",0,1
"COL1A2",0,1
"COL25A1",1,0
"COL4A2",0,1
"COL4A3BP",1,0
"COL5A1",0,1
"COL8A1",1,0
"COPG1",1,0
"CPB1",1,0
"CPEB4",1,0
"CPN2",0,1
"CPXM2",1,0
"CRHBP",1,0
"CSNK1A1",1,0
"CTC1",1,0
"CTIF",1,0
"CTSF",1,0
"CTSH",1,0
"CXXC1",1,0
"CYB5B",1,0
"CYP4X1",0,1
"CYS1",1,0
"CYSLTR2",1,0
"DBI",1,0
"DCAF6",1,0
"DCTN6",1,0
"DDB1",1,0
"DDX1",1,0
"DECR1",1,0
"DESI2",1,0
"DGAT2",1,0
"DHCR24",1,0
"DHCR7",1,0
"DHDDS",1,0
"DHFR",1,0
"DHRS11",0,1
"DHX29",1,0
"DHX35",1,0
"DNAH10",1,0
"DNAJC13",1,0
"DPT",0,1
"DTX1",1,0
"DYNC1H1",1,0
"DYNLL2",1,0
"EBI3",0,1
"ECHDC1",1,0
"ECM1",0,1
"ECSCR",1,0
"EGFL7",1,0
"EI24",1,0
"EIF5A",1,0
"ELOVL5",1,0
"ELOVL6",1,1
"ENO1",1,0
"ENOX1",1,0
"EPB42",0,1
"EPHB2",1,0
"ERGIC3",0,1
"ETF1",1,0
"ETNK2",1,0
"FADS1",1,0
"FADS2",1,0
"FADS3",0,1
"FAF1",1,0
"FAH",1,0
"FAIM2",0,1
"FAM124B",0,1
"FAM135A",0,1
"FAM204A",1,0
"FAM20C",1,0
"FAM38B",0,1
"FAM82A2",0,1
"FAM84B",0,1
"FAM98A",1,0
"FASN",1,0
"FASTK",0,1
"FAT1",1,0
"FBLN5",0,1
"FBXL5",1,0
"FCER1A",1,0
"FCER2",1,0
"FEN1",1,0
"FERMT2",1,0
"FES",1,0
"FGL2",0,1
"FILIP1",0,1
"FITM2",1,0
"FLNB",0,1
"FMO3",0,1
"FNDC5",0,1
"FOXC1",0,1
"FSTL3",1,0
"GALNT18",1,0
"GALNTL1",0,1
"GAP43",0,1
"GAS6",1,0
"GBE1",1,0
"GBP4",0,1
"GCHFR",1,1
"GCSH",1,0
"GDE1",1,0
"GFAP",1,0
"GOLGA4",1,0
"GPAM",1,0
"GPATCH11",1,0
"GPC6",1,1
"GPD1",1,0
"GPD2",1,0
"GPHN",0,1
"GPR125",1,0
"GPX1",1,0
"GRAMD3",0,1
"GSDMD",1,0
"GTF3A",1,0
"GUCD1",1,0
"GULP1",1,0
"GYPC",0,1
"GYS1",1,0
"GYS2",1,0
"GZMH",0,1
"HBS1L",1,0
"HCP5",0,1
"HEPACAM",1,0
"HEPN1",1,0
"HES4",1,0
"HEXIM1",1,0
"HIGD1A",1,0
"HILPDA",1,0
"HIST1H2BD",0,1
"HLA-DPB1",1,0
"HOXB4",1,0
"HSD17B14",1,0
"HSD17B4",1,0
"HSP90AA1",1,0
"HSPA9",1,0
"HSPB6",1,0
"HTATSF1",1,1
"HTT",1,0
"IDH1",1,0
"IDI1",1,0
"IFITM1",1,0
"IFITM2",1,0
"IGFBP6",0,1
"IMPA2",0,1
"INSIG1",1,0
"INTS7",1,0
"IPO5",1,0
"IRS1",0,1
"ISOC2",1,0
"ITFG3",1,0
"KANK4",1,0
"KATNAL1",1,0
"KBTBD11",0,1
"KCMF1",1,0
"KCTD20",1,0
"KCTD3",1,0
"KIAA0100",1,0
