Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04940:Type I diabetes mellitus	13	0.2503369921047564	1.6831741920033404E-9	HLA-DQB1, HLA-DRB1, PTPRN2, HLA-C, HLA-E, HLA-G, HLA-DQA1, CPE, HLA-DRB5, HLA-DPA1, HLA-DPB1, HLA-DOB, HLA-DRA	153	42	5085	10.287114845938376	2.2386213782699116E-7	2.2386213782699116E-7	1.9680989282733208E-6
GOTERM_CC_ALL	GO:0044459~plasma membrane part	109	2.0989793953398808	4.9673455718909636E-9	DLC1, ASAM, TMEM11, TLR6, WNT2, SLC2A8, ATP2B2, GP6, C6ORF136, SAMD4A, MAGI2, PTPRN2, NCF4, HTR4, ACTN1, STIM1, HLA-C, LIG4, HLA-E, HLA-G, HLA-DQA1, SSTR4, TNS3, TNS1, EGFLAM, TMPRSS11E, SNTG1, HLA-DPA1, PMP22, DST, HS3ST3B1, HLA-DRA, FRAS1, DCBLD2, SCN1A, CAV1, HLA-DRB1, PKHD1, BBS9, NEDD9, IL12RB2, ADRB3, IL12RB1, PROCR, MACF1, CD69, HLA-DRB5, B3GNT3, HLA-DPB1, HLA-DOB, GABRA2, TRPC3, LPP, TRPC5, TGFBR2, KCTD4, SYNE1, SLC25A13, GPR37, NOTCH4, RGS6, CYFIP1, TGFBR3, CHRNB2, CHRNB1, ANTXR1, MCF2L, ACTR3, KCNQ3, MAPT, SNTB1, MC5R, SNTB2, KCNQ2, SV2C, LOC285830, AGPAT1, ESR1, NRXN1, ARHGAP26, FMN1, G6PD, MAST2, NRM, STXBP5, CNTN1, GAP43, HLA-DQB1, PRKCZ, C6, FHL2, EZR, TAP2, PCSK9, THBS1, RASA3, SNAP25, SLC2A9, FLT3, TRIM27, ABCC9, KCNN1, SVIL, PTCH1, ABCC1, SLC14A1, ATP6V0A4, HTR2A, BMPR1A	454	2203	15908	1.7336911420349903	1.902491534866435E-6	1.902491534866435E-6	6.884682224317373E-6
KEGG_PATHWAY	hsa05330:Allograft rejection	11	0.21182360870402464	5.526038633770589E-8	HLA-DQB1, HLA-DRB1, HLA-DRB5, HLA-C, HLA-DPA1, HLA-DPB1, HLA-E, HLA-DOB, HLA-G, HLA-DQA1, HLA-DRA	153	36	5085	10.155228758169933	7.349604582818081E-6	3.6748090435079206E-6	6.46147493288396E-5
KEGG_PATHWAY	hsa05332:Graft-versus-host disease	11	0.21182360870402464	1.2794411234601037E-7	HLA-DQB1, HLA-DRB1, HLA-DRB5, HLA-C, HLA-DPA1, HLA-DPB1, HLA-E, HLA-DOB, HLA-G, HLA-DQA1, HLA-DRA	153	39	5085	9.374057315233784	1.7016423244142764E-5	5.672173254867019E-6	1.4960216665471648E-4
GOTERM_CC_ALL	GO:0042611~MHC protein complex	12	0.2310803004043905	5.006220313154018E-7	HLA-DQB1, HLA-DRB1, HLA-DRB5, HLA-C, HLA-DPA1, HLA-DPB1, HLA-E, HLA-DOB, HLA-G, HLA-DQA1, HLA-DRA, LOC285830	454	57	15908	7.376767910966845	1.9171990536182015E-4	9.586454768673036E-5	6.938540093370804E-4
GOTERM_MF_ALL	GO:0032395~MHC class II receptor activity	8	0.154053533602927	6.113308583940515E-7	HLA-DQB1, HLA-DRB1, HLA-C, HLA-DPA1, HLA-DPB1, HLA-DOB, HLA-DQA1, HLA-DRA	440	19	15143	14.490909090909092	4.382283093512518E-4	4.382283093512518E-4	9.248815907803021E-4
GOTERM_CC_ALL	GO:0005886~plasma membrane	154	2.965530521856345	6.161514537814301E-7	QRFPR, DLC1, ASAM, PLXNA2, GPR123, SYT8, TMEM11, TLR6, WNT2, SLC2A8, LPHN3, ATP2B2, GP6, FAP, SERPINE1, DYNC2H1, C6ORF136, SAMD4A, OR14C36, MAGI2, GPR133, ROCK2, NCF4, PTPRN2, HTR4, ACTN1, STIM1, HLA-C, LIG4, HLA-E, HLA-G, HLA-DQA1, SSTR4, TNS3, EGFLAM, TNS1, LYNX1, RASGRF2, CPE, RASGRF1, TMPRSS11E, OR5H15, MGAM, SNTG1, NEU1, HLA-DPA1, PMP22, DST, HS3ST3B1, HLA-DRA, DCBLD2, FRAS1, CAV1, SCN1A, HLA-DRB1, PKHD1, BBS9, OR2T3, ASAP2, NEDD9, ADAP1, IL12RB2, SEMA5A, ADRB3, PPP1R16B, IL12RB1, MACF1, PROCR, CD69, MSLN, HLA-DRB5, NDRG1, B3GNT3, HLA-DPB1, HLA-DOB, OR2A5, GABRA2, TRPC3, LPP, TRPC5, TGFBR2, OR11H4, SMAD3, KCTD4, ABCB5, SYNE1, OR12D3, SLC25A13, GPR37, NOTCH4, RGS6, CYFIP1, TGFBR3, CHRNB2, TNK2, ANTXR1, CHRNB1, MCF2L, ACTR3, WISP2, KCNQ3, DYNLL1, MAPT, SNTB1, SNTB2, MC5R, KCNQ2, SV2C, AGPAT1, LOC285830, PRKCA, ESR1, PCDH9, NRXN1, ARHGAP26, FMN1, G6PD, MAST2, NRM, STXBP5, OR2H1, CNTN1, RNPEP, GAP43, HLA-DQB1, PRKCZ, C6, FHL2, ESYT2, EZR, DGKB, TAP2, PCSK9, THBS1, RASA3, SNAP25, NGEF, SLC2A9, NOS1, FLT3, TRIM27, DPYSL3, ABCC9, KCNN1, BNC2, SLC16A9, SVIL, SLC5A8, PTCH1, ABCC1, SLC14A1, ATP6V0A4, BMPR1A, HTR2A	454	3777	15908	1.4286750666857948	2.3595823696209717E-4	7.865893271952196E-5	8.539752792580124E-4
GOTERM_BP_ALL	GO:0019882~antigen processing and presentation	14	0.2695936838051223	9.235511262569296E-7	HLA-DQB1, HLA-DRB1, HLA-C, HLA-E, HLA-G, HLA-DQA1, PROCR, TAP2, HLA-DRB5, HLA-DPA1, HLA-DPB1, HLA-DOB, LOC285830, HLA-DRA	420	83	14116	5.669076305220884	0.0022629077139865172	0.0022629077139865172	0.0016257107040229535
KEGG_PATHWAY	hsa05320:Autoimmune thyroid disease	11	0.21182360870402464	1.888711016078265E-6	HLA-DQB1, HLA-DRB1, HLA-DRB5, HLA-C, HLA-DPA1, HLA-DPB1, HLA-E, HLA-DOB, HLA-G, HLA-DQA1, HLA-DRA	153	51	5085	7.168396770472895	2.511672545754129E-4	6.279772872830325E-5	0.0022084064299376926
KEGG_PATHWAY	hsa05416:Viral myocarditis	12	0.2310803004043905	6.474205664950031E-6	HLA-DQB1, CAV1, HLA-DRB1, HLA-DRB5, HLA-C, HLA-DPA1, HLA-DPB1, HLA-E, HLA-DOB, HLA-G, HLA-DQA1, HLA-DRA	153	71	5085	5.6172328086164045	8.607015245823968E-4	1.7219960010950164E-4	0.007569885908464968
