Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_ALL	GO:0003700~transcription factor activity	48	9.95850622406639	3.2973805543992714E-6	HMGB2, FOXK1, THRB, FOXM1, PPARG, RORA, SOX9, GRAMD4, SRY, T, TAL1, FOXF1, NKX3-2, ZNF71, HSF4, RUNX3, NR1H4, SIM2, NFATC1, PITX2, EGR3, TBX15, BRF1, LMX1B, GSX2, TBX5, HCLS1, RXRA, KLF16, ARID3A, NR4A2, HMGA1, POU5F1B, TP73, ZNF628, SHOX2, HOXB4, HOXD8, SP1, DLX5, SPDEF, FOXC2, ZNF117, NFIC, CUX1, ZFHX3, HMX3, RERE	363	975	15143	2.0537232464505193	0.001907365151395335	0.001907365151395335	0.004846123685087189
GOTERM_MF_ALL	GO:0043565~sequence-specific DNA binding	35	7.261410788381744	3.739286638695264E-6	THRB, FOXK1, FOXM1, PPARG, TERF2IP, RORA, SOX9, T, TAL1, FOXF1, NKX3-2, HSF4, NR1H4, NFATC1, PITX2, GSX2, LMX1B, TBX5, RXRA, NR4A2, HMGA2, HMGA1, POU5F1B, SHOX2, HDAC4, HOXB4, HOXD8, SP1, DLX5, SPDEF, FOXC2, CUX1, ZFHX3, HMX3, RERE	363	607	15143	2.40538528916543	0.002162708979229655	0.0010819397864656466	0.005495571531455301
GOTERM_BP_ALL	GO:0009887~organ morphogenesis	30	6.224066390041494	8.222845900232584E-5	ERBB4, PPARG, SOX9, RGMA, WNT1, T, KCNQ4, FOXF1, ANKRD11, NKX3-2, BCOR, COL11A1, RUNX3, PITX2, TWIST1, NLRP5, TBX15, GSX2, TBX5, RXRA, TP73, SLIT3, HOXB4, CCND1, HOXD8, SP1, DLX5, FOXC2, GNAS, HMX3	337	564	14116	2.2280446997916536	0.15374169006982386	0.15374169006982386	0.1415284565415731
GOTERM_MF_ALL	GO:0030528~transcription regulator activity	60	12.448132780082988	1.063647136788904E-4	THRB, FOXK1, PPARG, RORA, FOXF1, HSF4, PITX2, TWIST1, EGR3, TBX15, BRF1, RXRA, ZFY, HMGA1, HES1, HOXD8, SPDEF, FOXC2, CUX1, HMX3, DEAF1, HMGB2, FOXM1, SOX9, GRAMD4, T, SRY, TAL1, AHRR, NKX3-2, ZNF71, MYCBP, BCOR, RUNX3, NR1H4, NAT14, NFATC1, SIM2, LMX1B, GSX2, TBX5, HCLS1, ARID3A, KLF16, NR4A2, SKI, PPP1R13L, POU5F1B, ZNF628, TP73, SHOX2, HOXB4, HDAC4, SP1, DLX5, ZNF117, NFIC, ZFHX3, NCOR2, RERE	363	1512	15143	1.65540688267961	0.0597302198138866	0.020320186445918376	0.15621274706536514
GOTERM_BP_ALL	GO:0001501~skeletal system development	20	4.149377593360995	2.353598531880092E-4	PRKCA, CASR, TBX15, SOX9, SHOX2, HDAC4, HOXB4, HOXD8, CHRDL1, SP1, DLX5, ANKRD11, NKX3-2, COL12A1, FOXC2, GNAS, PAPSS1, COL11A1, TWIST1, SPP1	337	319	14116	2.6261592699738614	0.37987656743142284	0.21252083674005884	0.40458961078880806
GOTERM_BP_ALL	GO:0006355~regulation of transcription, DNA-dependent	65	13.485477178423237	3.884598366628516E-4	FOXK1, THRB, PPARG, RORA, WNT1, FOXF1, ZNF879, HSF4, PITX2, TWIST1, ZNF283, TBX15, BRF1, RXRA, HMGA2, HMGA1, HES1, HOXD8, ZNF783, ZNF714, SPDEF, FOXC2, CUX1, HMX3, HMGB2, FOXM1, SOX9, GRAMD4, T, SRY, TAL1, SLC11A1, AHRR, NKX3-2, ZNF71, BCOR, RUNX3, NR1H4, NFATC1, SIM2, RFX8, DNMT3A, LMX1B, GSX2, TBX5, HCLS1, ARID3A, KLF16, NR4A2, SKI, POU5F1B, TP73, ZNF628, SHOX2, HOXB4, HDAC4, SP1, ZNF862, DLX5, ZNF117, NFIC, ZFHX3, RERE, NCOR2, ZNF573	337	1773	14116	1.5356292290724198	0.5455769436533487	0.23118806010623638	0.66694414985915
GOTERM_BP_ALL	GO:0048598~embryonic morphogenesis	19	3.941908713692946	4.123380941142629E-4	TBX15, TBX5, SKI, HES1, RGMA, HOXB4, WNT1, T, KCNQ4, SP1, DLX5, FOXF1, NKX3-2, FOXC2, GNAS, COL11A1, HMX3, TWIST1, LRP5	337	307	14116	2.5923699243178455	0.5670871976658101	0.1888519895552574	0.7078035781361791
GOTERM_BP_ALL	GO:0051252~regulation of RNA metabolic process	66	13.692946058091287	4.178719707387137E-4	FOXK1, THRB, PPARG, RORA, WNT1, FOXF1, ZNF879, HSF4, PITX2, TWIST1, NLRP5, ZNF283, TBX15, BRF1, RXRA, HMGA2, HMGA1, HES1, HOXD8, ZNF783, ZNF714, SPDEF, FOXC2, CUX1, HMX3, HMGB2, FOXM1, SOX9, GRAMD4, T, SRY, TAL1, SLC11A1, AHRR, NKX3-2, ZNF71, BCOR, RUNX3, NR1H4, NFATC1, SIM2, RFX8, DNMT3A, LMX1B, GSX2, TBX5, HCLS1, ARID3A, KLF16, NR4A2, SKI, POU5F1B, TP73, ZNF628, SHOX2, HOXB4, HDAC4, SP1, ZNF862, DLX5, ZNF117, NFIC, ZFHX3, RERE, NCOR2, ZNF573	337	1813	14116	1.5248526549925445	0.5719252230789778	0.15607485345389982	0.7172706455534916
GOTERM_BP_ALL	GO:0009653~anatomical structure morphogenesis	48	9.95850622406639	4.3718042966508976E-4	DEAF1, CASR, ERBB4, PPARG, RORA, SOX9, T, WNT1, RGMA, KCNQ4, FOXF1, FAT1, ANKRD11, NKX3-2, PLXND1, BCOR, COL11A1, RUNX3, TWIST1, NFATC1, PITX2, PRKCA, NLRP5, TBX15, LMX1B, GSX2, TBX5, RXRA, NFASC, NR4A2, SKI, FZD5, RCAN3, TP73, SLIT3, HES1, EYA4, HOXB4, CCND1, HOXD8, SP1, DLX5, FOXC2, GNAS, ANTXR1, ADAM12, HMX3, LRP5	337	1197	14116	1.6796888363341589	0.5883864364804545	0.13752149638716127	0.7502958914581082
GOTERM_BP_ALL	GO:0000122~negative regulation of transcription from RNA polymerase II promoter	17	3.5269709543568464	6.463201050098962E-4	DNMT3A, RXRA, PPARG, SKI, HES1, HDAC4, HOXB4, HOXD8, HSF4, BCOR, NFIC, CUX1, ZFHX3, NR1H4, NCOR2, SIM2, TWIST1	337	266	14116	2.677004082907566	0.7308412679858696	0.17096543289805144	1.1073466034217327
