Name	Size	NES	NOM p-value	FDR q-value	Gene Details
MITOCHONDRION	318.0	4.406658	0.0	0.0	ALAS2,IDH2,L2HGDH,LDHD,SLC25A1,NR3C1,MTHFD1,AASS,BNIP3L,ASAH2,ECHS1,SCO1,CPS1,PCK2,CS,POLG2,DBT,ATP5B,LRPPRC,SUCLA2,ETFA,RHOT1,PC,MRPL32,PDHA1,DLD,NDUFS5,TIMM9,ACADSB,MRPS15,ACADM,NDUFA8,MRPL12,ABCB7,OXCT1,MIPEP,ACP6,MTIF2,MUT,HADH,CPT1B,PCCB,PDK1,FPGS,TAMM41,GCDH,GLRX5,CHCHD3,UQCRH,BCKDHB,GBAS,UQCRB,SLC25A4,ACAT1,ABAT,TFB2M,CISD1,GHITM,CPOX,ACOT2,ATP5A1,SDHB,GSTZ1,FH,MCAT,HADHB,CASQ1,MRPS10,DNAJC19,AK3,ECI2,DECR1,NDUFA4,BCKDHA,AIFM2,VDAC2,SLC25A22,ETFB,PDF,ATP5C1,NDUFS1,OPA1,OGDH,TIMM8B,FOXRED1,GATM,PITRM1,ACADS,AIFM3,CLPX,MTIF3,ATP5G3,GLS2,NFS1,GCSH,SLC25A3,SUPV3L1,MTX2,GRPEL1,NDUFAB1,SLC25A6,HINT2,SDHA,COX11,MRPS31,DNAJA3,MRPL41,SOD1,SDHD,SDHC,MAOB,COQ6,ARG2,TMEM143,C10orf10,MRPS18A,SLC25A27,UQCRC1,TMEM126A,ESR2,SHMT2,HSPD1,MSRB3,CCDC39,NDUFA9,MRPS36,TRNT1,KARS,BCAT2,NIPSNAP1,ACO2,AIFM1,NDUFA1,MPV17,HSCB,KIAA0141,NDUFS7,TIMM50,BCKDK,CYC1,NDUFS4,ALDH4A1,NDUFA2,NNT,FDX1,ATP5O,IMMT,TIMM10,MRPS35,FXN,PHB2,BPHL,TOMM22,ISCU,DHRS4,LETM1,TRIAP1,BNIP3,MRPL55,NDUFS3,DIABLO,ATP5F1,TUFM,MUL1,NDUFS8,TIMM23,SLC25A11,HAX1,TMEM186,MRPS28,SUCLG1,CRY1,PET112,D2HGDH,NT5M,ATP5G1,COX18,VDAC1,TFAM,CYCS,GLRX2,ATP5J,UCP3,COQ7,CA5B,HSPA9,OXA1L,MRPS22,METAP1D,TSFM,IFI6,FDXR,OAT,ACN9,AFG3L2,NDUFB6,COX7A1,NDUFV1,HTRA2,MRPS11
MITOCHONDRIAL_INNER_MEMBRANE	61.0	3.500722	0.0	0.0	ALAS2,SLC25A1,ATP5B,MRPL32,TIMM9,ABCB7,TAMM41,UQCRH,UQCRB,ATP5A1,SLC25A22,ATP5C1,NDUFS1,OPA1,TIMM8B,AIFM3,ATP5G3,SLC25A3,NDUFAB1,SLC25A6,SDHA,SDHD,UQCRC1,NDUFA9,NDUFA1,MPV17,NDUFS7,TIMM50,NDUFS4,NDUFA2,NNT,ATP5O,IMMT,TIMM10,PHB2,NDUFS3,NDUFS8,TIMM23,SLC25A11,ATP5G1,COX18,ATP5J,UCP3,OXA1L,NDUFB6,NDUFV1,PHB,ATP5G2,COX15,NDUFS2,ATP5D
MITOCHONDRIAL_PART	135.0	3.4384534	0.0	0.0	ALAS2,SLC25A1,NR3C1,CS,POLG2,DBT,ATP5B,ETFA,RHOT1,MRPL32,TIMM9,MRPS15,ACADM,MRPL12,ABCB7,TAMM41,UQCRH,BCKDHB,UQCRB,TFB2M,ATP5A1,HADHB,CASQ1,MRPS10,BCKDHA,AIFM2,VDAC2,SLC25A22,ETFB,ATP5C1,NDUFS1,OPA1,OGDH,TIMM8B,GATM,PITRM1,AIFM3,ATP5G3,NFS1,SLC25A3,SUPV3L1,MTX2,GRPEL1,NDUFAB1,SLC25A6,SDHA,DNAJA3,MRPL41,SDHD,MAOB,MRPS18A,UQCRC1,NDUFA9,MRPS36,NDUFA1,MPV17,NDUFS7,TIMM50,BCKDK,NDUFS4,ALDH4A1,NDUFA2,NNT,ATP5O,IMMT,TIMM10,MRPS35,PHB2,TOMM22,BNIP3,MRPL55,NDUFS3,ATP5F1,NDUFS8,TIMM23,SLC25A11,MRPS28,ATP5G1,COX18,VDAC1,CYCS,ATP5J,UCP3,OXA1L,MRPS22,ACN9,NDUFB6,NDUFV1,HTRA2,MRPS11,PHB,ATP5G2,COX15,NDUFS2,TIMM44,ATP5D,MRPL10
ORGANELLE_INNER_MEMBRANE	68.0	3.3178215	0.0	0.0	ALAS2,SLC25A1,ATP5B,MRPL32,TIMM9,ABCB7,TAMM41,UQCRH,UQCRB,ATP5A1,LEMD3,SLC25A22,ATP5C1,NDUFS1,OPA1,TIMM8B,AIFM3,ATP5G3,SLC25A3,NDUFAB1,SLC25A6,SDHA,SDHD,UQCRC1,MATR3,LBR,NDUFA9,NDUFA1,MPV17,NDUFS7,TIMM50,NDUFS4,NDUFA2,NNT,ATP5O,IMMT,TIMM10,PHB2,NDUFS3,NDUFS8,TIMM23,SLC25A11,PSEN2,ATP5G1,COX18,ATP5J,UCP3,OXA1L,NDUFB6,NDUFV1,PHB,ATP5G2,COX15,NDUFS2,ATP5D
ORGANELLE_ENVELOPE	156.0	3.3023088	0.0	0.0	ALAS2,SREBF1,SLC25A1,PTGER3,DHCR7,BNIP3L,BNIP1,ATP5B,RHOT1,MRPL32,CENPF,TIMM9,ABCB7,TAMM41,POLR2M,UQCRH,UQCRB,POLA1,ATP5A1,HADHB,LEMD3,AIFM2,IPO5,VDAC2,SLC25A22,ATP5C1,MRPL19,KPNB1,NDUFS1,OPA1,OGDH,TIMM8B,GATM,AIFM3,ATP5G3,PRICKLE1,SLC25A3,KPNA3,MTX2,NPC1,NDUFAB1,SLC25A6,SDHA,SDHD,XPO1,MAOB,UQCRC1,MATR3,RANBP2,LBR,NDUFA9,RAE1,NDUFA1,NUP88,MPV17,NDUFS7,TIMM50,MYO6,IPO7,NDUFS4,NDUFA2,NNT,ATP5O,IMMT,CBX5,TIMM10,NUP133,PHB2,TOMM22,SUMO1,NUP98,BNIP3,NDUFS3,NDUFS8,TIMM23,SLC25A11,RETSAT,XPO7,PSEN2,ATP5G1,BNIP2,COX18,TPR,VDAC1,CYCS,ATP5J,UCP3,OXA1L,FAM156A,ACN9,NDUFB6,NDUFV1,HTRA2,PHB,ATP5G2,COX15,NDUFS2,ATP5D,EIF5A,DDX19B,WTAP,CTDNEP1,GLE1,HCCS,VDAC3,PSEN1,SENP2,EPC1,PARP1,BCL2,MFN2,SLC25A15,NUP107,NUP214,ATP5E,NUP153,NUTF2,PMPCA,RAF1,ABCB8,TIMM13,NUP54,NUP50,KPNA1,ABCB6,NUP160,TIMM17A
ENVELOPE	156.0	3.236628	0.0	0.0	ALAS2,SREBF1,SLC25A1,PTGER3,DHCR7,BNIP3L,BNIP1,ATP5B,RHOT1,MRPL32,CENPF,TIMM9,ABCB7,TAMM41,POLR2M,UQCRH,UQCRB,POLA1,ATP5A1,HADHB,LEMD3,AIFM2,IPO5,VDAC2,SLC25A22,ATP5C1,MRPL19,KPNB1,NDUFS1,OPA1,OGDH,TIMM8B,GATM,AIFM3,ATP5G3,PRICKLE1,SLC25A3,KPNA3,MTX2,NPC1,NDUFAB1,SLC25A6,SDHA,SDHD,XPO1,MAOB,UQCRC1,MATR3,RANBP2,LBR,NDUFA9,RAE1,NDUFA1,NUP88,MPV17,NDUFS7,TIMM50,MYO6,IPO7,NDUFS4,NDUFA2,NNT,ATP5O,IMMT,CBX5,TIMM10,NUP133,PHB2,TOMM22,SUMO1,NUP98,BNIP3,NDUFS3,NDUFS8,TIMM23,SLC25A11,RETSAT,XPO7,PSEN2,ATP5G1,BNIP2,COX18,TPR,VDAC1,CYCS,ATP5J,UCP3,OXA1L,FAM156A,ACN9,NDUFB6,NDUFV1,HTRA2,PHB,ATP5G2,COX15,NDUFS2,ATP5D,EIF5A,DDX19B,WTAP,CTDNEP1,GLE1,HCCS,VDAC3,PSEN1,SENP2,EPC1,PARP1,BCL2,MFN2,SLC25A15,NUP107,NUP214,ATP5E,NUP153,NUTF2,PMPCA,RAF1,ABCB8,TIMM13,NUP54,NUP50,KPNA1,ABCB6,NUP160,TIMM17A
MITOCHONDRIAL_MEMBRANE	80.0	2.9543943	0.0	0.0	ALAS2,SLC25A1,ATP5B,RHOT1,MRPL32,TIMM9,ABCB7,TAMM41,UQCRH,UQCRB,ATP5A1,AIFM2,VDAC2,SLC25A22,ATP5C1,NDUFS1,OPA1,OGDH,TIMM8B,AIFM3,ATP5G3,SLC25A3,MTX2,NDUFAB1,SLC25A6,SDHA,SDHD,UQCRC1,NDUFA9,NDUFA1,MPV17,NDUFS7,TIMM50,NDUFS4,NDUFA2,NNT,ATP5O,IMMT,TIMM10,PHB2,TOMM22,BNIP3,NDUFS3,NDUFS8,TIMM23,SLC25A11,ATP5G1,COX18,VDAC1,ATP5J,UCP3,OXA1L,NDUFB6,NDUFV1,PHB,ATP5G2,COX15,NDUFS2,ATP5D,HCCS,VDAC3,BCL2,MFN2,SLC25A15,ATP5E
ORGANELLE_MEMBRANE	275.0	2.9407372	0.0	0.0	MAP1LC3C,ALAS2,SLC2A4,AADAC,SREBF1,SLC25A1,DHCR7,CSPG5,ATP2C1,BNIP1,PEX11A,ATP5B,RHOT1,MRPL32,GOLGB1,HMGCR,ABCA2,DOPEY1,TIMM9,ABCB7,TAMM41,PEX13,PEX19,UQCRH,UQCRB,TRIM23,SRP9,ATP5A1,ARFIP1,PEX12,LEMD3,AIFM2,PEX1,IPO5,VDAC2,SLC25A22,ATP5C1,MRPL19,KPNB1,NDUFS1,OPA1,OGDH,TIMM8B,LMAN1,KTN1,AIFM3,SEC22A,LMAN2L,ATP5G3,CLCN3,ABCD3,PRICKLE1,SLC25A3,DPM1,STT3B,KPNA3,SGMS1,MTX2,SYNRG,ICA1,NDUFAB1,SLC25A6,ARCN1,SDHA,AP2S1,SDHD,PIGV,COPA,UQCRC1,MATR3,TAPBP,USO1,RANBP2,EDEM1,PEX2,BET1,LDLRAP1,LBR,ARFGEF2,NDUFA9,MAP1LC3A,COPB2,RAE1,CUZD1,NDUFA1,NUP88,TMED2,MPV17,NDUFS7,TUSC3,TIMM50,MYO6,PIGS,IPO7,NDUFS4,NDUFA2,NNT,MAN1C1,ATP5O,IMMT,NECAB3,TIMM10,OSTC,AMFR,NUP133,PHB2,TOMM22,SUMO1,PNPLA8,TMX1,NUP98,BNIP3,AP1S1,NDUFS3,SPCS1,PIGO,NDUFS8,VAMP4,KRTCAP2,TIMM23,SLC25A11,SRPR,RETSAT,XPO7,COPG2,QSOX1,ERP44,PSEN2,ATP5G1,COX18,TPR,VDAC1,TMED10,GLG1,AFTPH,ATP5J,MAP1LC3B,ERLIN2,UCP3,OXA1L,GNAS,CLN5,NDUFB6,NDUFV1,HTRA2,EXT2,COG2,PHB,MAP4K2,RER1,ATP5G2,COX15,SERINC1,NDUFS2,COPB1,ATP5D,VAPB,LRMP,EIF5A,EGFR,DPM2,DDX19B,WTAP,CTDNEP1,SLC33A1,GLE1,DERL2,GOLGA3,DOLPP1,HCCS,VDAC3,PSEN1,SENP2,STT3A,DERL1,EPC1,STEAP2,BCL2,HSP90B1,HERPUD1,MFN2,LAMP2,PEX14,SLC25A15,NUP107,NUP214,ATP5E,NUP153,NUTF2,PEX16,ANKFY1,RPN1,BSCL2,PMPCA,RAF1,PXMP4,TIMM13,NUP54,NUP50,CLN3,KPNA1,NUP160,PIGB,TIMM17A
MITOCHONDRIAL_ENVELOPE	91.0	2.9178765	0.0	0.0	ALAS2,SLC25A1,ATP5B,RHOT1,MRPL32,TIMM9,ABCB7,TAMM41,UQCRH,UQCRB,ATP5A1,HADHB,AIFM2,VDAC2,SLC25A22,ATP5C1,NDUFS1,OPA1,OGDH,TIMM8B,GATM,AIFM3,ATP5G3,SLC25A3,MTX2,NDUFAB1,SLC25A6,SDHA,SDHD,MAOB,UQCRC1,NDUFA9,NDUFA1,MPV17,NDUFS7,TIMM50,NDUFS4,NDUFA2,NNT,ATP5O,IMMT,TIMM10,PHB2,TOMM22,BNIP3,NDUFS3,NDUFS8,TIMM23,SLC25A11,ATP5G1,COX18,VDAC1,CYCS,ATP5J,UCP3,OXA1L,ACN9,NDUFB6,NDUFV1,HTRA2,PHB,ATP5G2,COX15,NDUFS2,ATP5D,HCCS,VDAC3,BCL2,MFN2,SLC25A15,ATP5E,PMPCA,RAF1,ABCB8,TIMM13,ABCB6,TIMM17A
MITOCHONDRIAL_MEMBRANE_PART	49.0	2.7437384	0.0	0.000117721516	ATP5B,RHOT1,TIMM9,TAMM41,UQCRH,UQCRB,ATP5A1,ATP5C1,NDUFS1,OPA1,TIMM8B,ATP5G3,NDUFAB1,SLC25A6,SDHA,UQCRC1,NDUFA9,NDUFA1,NDUFS7,TIMM50,NDUFS4,NDUFA2,NNT,ATP5O,TIMM10,TOMM22,BNIP3,NDUFS3,NDUFS8,TIMM23,ATP5G1,COX18,OXA1L,NDUFB6,NDUFV1,ATP5G2,COX15,NDUFS2,ATP5D
