Name	Size	NES	NOM p-value	FDR q-value	Gene Details
CELL_SURFACE_RECEPTOR_LINKED_SIGNAL_TRANSDUCTION_GO_0007166	386.0	-3.5608974	0.0	0.0	TNFRSF14,PTPRU,IGF1R,FRS3,FYN,SMAD3,LCP2,TEK,CD3EAP,S1PR4,PIK3R3,RAPGEFL1,SMAD7,IL8,PTK2B,GPR176,MAGI1,HRAS,S1PR2,GIT1,EID2,RGS19,PTGFR,NPY1R,LPAR2,PTGER4,AFAP1L2,BCAR1,CDKN2B,CLEC4A,ENG,VIP,HRH1,PTPRD,GRK5,PTCH1,LY6E,CXCR5,AGRN,CXCL9,RGS2,ADAMTS1,CCL3,GPR4,HIPK2,CD3G,OSMR,SMAD1,RASD1,GPR65,FMOD,CCR10,ERBB3,MARCO,NMUR1,TNFRSF25,TACR1,IL27RA,CD28,ADAP1,RGS16,GPRC5C,CCR2,RGS4,PTN,CD2,NOTCH1,GPR68,CXCR4,CX3CL1,IFITM1,STC2,IL2RB,SSTR1,CDK5R1,ADAM11,CXCR2,KLF10,INHBA,CAP2,GRIN2C,RGS1,TBXA2R,IL18RAP,IGF2,AGT,PTGIR,CX3CR1,MC1R,IL12RB2,APLNR,LAT,LEPR,KLRG1,KLRB1,CD3E,GLI1,PDGFA,EFNB3,KLRD1,GPR17,FPR1,HRH2,SPHK1,GABRA2,LHCGR,CXCL10,FRZB,TACSTD2,GRIN2B,IL6
RESPONSE_TO_EXTERNAL_STIMULUS	193.0	-3.336347	0.0	0.0	CCL2,CHMP1A,CXCL12,NFATC4,CCL16,TGFB1,CD59,RELA,CDKN2D,TNFRSF1A,L3MBTL4,PROS1,SIGIRR,EIF2AK1,NOD1,SELE,NOD2,TP53,ITGB3,RASGRP4,ADORA1,PLAU,PLAUR,APOL3,PPP1R9B,UNC119,IL8,HDAC7,HRAS,ENTPD1,AFAP1L2,CDKN2B,LEP,HRH1,CCL18,CXCL9,ABCF1,CCL3,RTN4RL1,MAP2K1,INHBB,PLAT,TACR1,CCR2,GPR68,NOX4,CXCR4,S100A9,NUAK2,CX3CL1,VWF,C4BPB,MDK,STC2,F2R,LBP,CTGF,CCL8,CEBPB,SLIT2,SAA1,SSTR1,CXCR2,INHBA,ITGA2,CCR7,ADM,THBD,RTN4RL2,CXCL2,IL18RAP,CX3CR1,CCL19,SHROOM3,KLRG1,S100A8,FPR1,OPN1SW,CXCL10,FOS,MMRN1,CCL21
SYSTEM_PROCESS	268.0	-2.8606994	0.0	0.00064691395	EYA3,GCLM,RABGGTA,MBP,ASPH,TPM1,SLMAP,TAZ,HPRT1,SEPT5,MTHFR,DAG1,BAIAP3,DFNB31,WFS1,GAA,EPB41,AKAP5,CXCL12,MYOF,ABLIM1,ATP2A1,MEOX2,NPHP1,SLC6A4,QPRT,RYR1,PPP1R12B,KCNQ4,TBC1D8,STX1B,TIMM13,COL18A1,KCNIP2,GUCY1B3,BEST1,DIAPH1,ROM1,YWHAH,DMPK,GPX1,PTGS1,DLG4,UNC119,GPR176,HOXB2,SLC22A18,KCNQ3,CNP,RAB3A,SLC26A4,OPA3,ENG,GUCY1A3,SCNN1A,GNAO1,SLC1A1,KCNMA1,SCN1B,RDH5,KCNMB4,RTP4,RPGR,AQP1,SCNN1B,DYSF,CHRNB1,NMUR1,GJA5,HRC,RGS16,PRPH2,SMTN,CNGA1,P2RX6,CHRNE,AOC2,MYCBPAP,PGAM2,CPLX1,CRYAB,SNCAIP,MPZ,SLIT2,ELN,SLC6A2,DLL4,PTGS2,ADM,GCH1,NQO1,AGT,CASQ2,CACNA1H,KCNK5,SPHK1,KCNMB1,OPN1SW,GRIA1,RYR2,CNTN4,CKMT2,CXCL10,TACSTD2,COL11A1,GRIN2B,TRDN,SGCA
RESPONSE_TO_WOUNDING	121.0	-2.7284133	0.0	0.0014115287	NFATC4,TGFB1,CD59,RELA,TNFRSF1A,L3MBTL4,PROS1,SIGIRR,NOD1,SELE,ITGB3,ADORA1,APOL3,IL8,HDAC7,ENTPD1,AFAP1L2,HRH1,CXCL9,ABCF1,CCL3,RTN4RL1,PLAT,TACR1,CCR2,GPR68,NOX4,CXCR4,S100A9,CX3CL1,VWF,C4BPB,MDK,F2R,LBP,CTGF,CEBPB,CXCR2,ITGA2,CCR7,ADM,THBD,RTN4RL2,CXCL2,IL18RAP,CX3CR1,KLRG1,S100A8,CXCL10,FOS,MMRN1,CCL21
G_PROTEIN_COUPLED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY	159.0	-2.6980636	0.0	0.0015118972	S1PR4,RAPGEFL1,IL8,GPR176,S1PR2,GIT1,RGS19,PTGFR,NPY1R,LPAR2,PTGER4,BCAR1,VIP,HRH1,GRK5,CXCR5,AGRN,CXCL9,RGS2,CCL3,GPR4,RASD1,GPR65,CCR10,NMUR1,TACR1,RGS16,GPRC5C,CCR2,RGS4,GPR68,CXCR4,SSTR1,CDK5R1,CXCR2,CAP2,RGS1,TBXA2R,PTGIR,CX3CR1,MC1R,APLNR,CD3E,GPR17,FPR1,HRH2,SPHK1,GABRA2,LHCGR
CELL_CELL_SIGNALING	193.0	-2.6544166	0.0	0.0015819541	DLG4,TEK,UNC119,EFNA4,VIPR2,GPR176,WNT5A,KCNQ3,CNP,RAB3A,EFNB2,PCDH1,WISP2,SLC1A1,KCNMA1,SCN1B,KCNMB4,CCL18,CXCL9,CCL3,CHRNB1,TSPAN32,PGF,GRAP,INHBB,NMUR1,FGF12,PCSK5,CHRNE,MYCBPAP,EFNA1,S100A9,TNFRSF11A,CPLX1,STC2,SNCAIP,MPZ,CCL8,SSTR1,KLF10,INHBA,SLC6A2,ADM,GCH1,NQO1,AGT,PTGIR,PDGFA,EFNB3,KCNMB1,GRIA1,CNTN4,CXCL10,GRIN2B,CCL21
ORGAN_DEVELOPMENT	365.0	-2.652954	0.0	0.0013559606	ITGAX,SVIL,PHGDH,MKKS,RUNX2,PAPSS2,PML,FGD1,IKZF1,CD1D,TBX3,ERCC2,HEY1,TLE3,UTRN,SOCS5,BAX,MEF2D,MKL2,GLI2,TAZ,NRP1,LDB1,RNH1,HCK,EXT1,COL7A1,TAGLN,DFNB31,ALDH3A2,POU6F1,GAA,GDF11,PKD2,CCL2,FABP5,AES,TIE1,TGFB1,FLOT2,ZBTB7B,EGR2,BOC,ADAP2,EYA2,BTD,MSX1,COL5A3,ABLIM1,MYH9,TLE2,IFI16,RAG1,APLP1,SPI1,MEST,GPR56,IFRD1,MRAS,DVL3,RAB3D,COL18A1,CDK6,RASGRP4,LYN,MGP,AMOT,CHRD,DMRT2,IL8,MATK,HDAC7,JAG2,HRAS,ANGPTL4,ETS2,FLI1,AEBP1,ADAM12,ENG,TMEM176B,SECTM1,CSF1,PTCH1,KLF4,TCF15,ROBO4,SGCG,LAMA3,LAMC2,EMP1,LSR,GATA6,RTN4RL1,MAP4K1,TLE1,MYH3,STS,PROX1,FGF12,TPD52,SMTN,HEY2,MAPK12,KL,NOTCH1,PTCH2,VANGL2,EGR3,COL13A1,MDK,SHOX2,EPHB4,CTGF,ZAP70,TBX4,SLIT2,ELN,HBEGF,CDK5R1,KLF10,INHBA,ITGA2,EGFL7,ADAMTS4,RTN4RL2,LCK,FOXC1,TEAD4,IGF2,CACNB2,CASQ2,NPR3,BMX,TLL1,GLI1,ALAS2,CACNA1H,SPHK1,SPEG,KRT5,LHCGR,LHX6,CNTN4,TNFRSF11B,CXCL10,FRZB,TBX1,COL11A1,SGCA
BEHAVIOR	75.0	-2.6220725	0.0	0.0021344502	PLAU,PLAUR,FYN,DLG4,IL8,HRAS,LEP,CCL18,CXCL9,CCL3,MAP2K1,S100B,TACR1,VLDLR,CCR2,CXCR4,CX3CL1,CCL8,SLIT2,SAA1,CXCR2,CCR7,CXCL2,PTGDS,CX3CR1,CCL19,FPR1,CXCL10,FOSB,CCL21
DEFENSE_RESPONSE	153.0	-2.5905042	0.0	0.0023282638	TGFB1,RELA,TARBP2,TNFRSF1A,CFP,SIGIRR,NOD1,SELE,IL32,NOD2,MNDA,LYST,MX2,CD300C,ADORA1,TLR7,TCIRG1,APOL3,IL8,LSP1,HDAC7,AFAP1L2,GNLY,HRH1,RSAD2,MX1,CSF3R,CXCL9,ABCF1,CCL3,KCNN4,CD48,INHBB,TACR1,APOBEC3G,CCR2,GPR68,NOX4,CXCR4,S100A9,CX3CL1,LBP,CEBPB,CXCR2,ITK,INHBA,CCR7,CXCL2,PTPRCAP,IL18RAP,CX3CR1,KLRG1,PRF1,S100A8,NOS2,HLA-B,CXCL10,FOS,CCL21
TISSUE_DEVELOPMENT	76.0	-2.4902942	0.0	0.004424424	FGF7,TWIST2,ATP2A2,SRGN,STX2,RUNX2,IKZF1,TBX3,ERCC2,GLI2,HCK,COL7A1,ALDH3A2,GDF11,FABP5,TIE1,FLOT2,ZBTB7B,EYA2,BTD,MEST,CDK6,MGP,MATK,SECTM1,KLF4,TCF15,LAMA3,LAMC2,EMP1,RTN4RL1,STS,PROX1,KL,PTCH2,COL13A1,CTGF,SLIT2,RTN4RL2,BMX,GLI1,KRT5,COL11A1
