Name	Size	NES	NOM p-value	FDR q-value	Gene Details
EXTRACELLULAR_SPACE	115.0	-2.3733976	0.0	0.014931772	DKK3,CCL2,KDSR,TGFB1,WNT2B,EBI3,CHI3L1,CFP,COL25A1,IL32,TNFAIP2,GPX3,CCL14,PVR,CFH,MFNG,IL8,WNT5A,EDN1,GNLY,LEP,SECTM1,SLIT3,CXCL9,FGF12,PCSK5,FSTL3,KL,PTN,APOD,CP,CRLF1,LBP,SEMA3F,HBEGF,INHBA,FBLN1,SERPINA1,ADM,CXCL2,SCUBE1,FJX1,ANGPT2,CYTL1,IL6,GREM1,EGFL6
EXTRACELLULAR_REGION_PART	184.0	-2.3080618	0.002079002	0.012916508	DKK3,CCL2,KDSR,RAB35,TGFB1,WNT2B,EBI3,CHI3L1,COL5A3,CFP,COL25A1,IL32,APLP1,TNFAIP2,LTBP4,COL18A1,GPX3,COL16A1,CCL14,PVR,CFH,MGP,MMP11,MFNG,IL8,WNT5A,EDN1,COL9A3,GNLY,LEP,SECTM1,AGRN,SLIT3,SGCG,LAMA3,CXCL9,TFPI2,FMOD,FGF12,PCSK5,FSTL3,KL,PTN,COL13A1,APOD,CP,CRLF1,LBP,SEMA3F,CTGF,HBEGF,INHBA,FBLN1,SERPINA1,ADM,THBS4,CXCL2,SCUBE1,FJX1,CHAD,ANGPT2,CYTL1,COL11A1,SNTG2,SGCA,IL6,GREM1,EGFL6
INTEGRIN_COMPLEX	15.0	-2.2625391	0.0	0.011812015	ITGAE,ITGA1,ITGAX,L3MBTL4,MYH9,ITGA9,ITGB3,ITGB7,ITGA5,ITGA3,ITGA2,ITGB8,ITGB4
RECEPTOR_COMPLEX	36.0	-2.25965	0.0019455253	0.008859011	ADRB2,ITGAE,ITGA1,SYK,ITGAX,IL6R,TGFBR2,TRIP6,L3MBTL4,MYH9,ITGA9,ITGB3,SMAD3,ITGB7,ITGA5,CSF2RB,OSMR,ITGA3,CHRNE,CARD11,ZAP70,ITGA2,ITGB8,ITGB4,CD247
EXTRACELLULAR_REGION	241.0	-2.2527366	0.0	0.0075167487	DKK3,CCL2,KDSR,RNASET2,RAB35,TGFB1,WNT2B,GDF15,EBI3,CHI3L1,COL5A3,APOA1BP,CFP,COL25A1,IL32,APLP1,APP,TNFAIP2,LTBP4,COL18A1,GPX3,COL16A1,CCL14,PVR,CFH,MGP,MMP11,MFNG,IL8,WNT5A,ANGPTL4,EDN1,COL9A3,GNLY,LEP,SECTM1,AGRN,SLIT3,SGCG,LAMA3,CXCL9,CDA,TFPI2,PDZD2,FMOD,INHBB,FGF12,PCSK5,FSTL3,KL,PTN,COL13A1,APOD,CX3CL1,VWF,CP,CRLF1,LBP,SEMA3F,CTGF,SLIT2,HBEGF,INHBA,FBLN1,SERPINA1,EGFL7,ADM,THBS4,CXCL2,PTGDS,SCUBE1,FJX1,CHAD,ANGPT2,CYTL1,TNFRSF11B,FRZB,COL11A1,SNTG2,SGCA,IL6,GREM1,EGFL6
ACTIN_CYTOSKELETON	101.0	-1.8377509	0.011811024	0.08382873	MYOM1,CAPZA1,DAPK1,CAPZB,ARPC3,CD2AP,ACTR2,FYB,PDLIM5,CASK,CAPZA2,MYO9B,EPB41L2,SEPT11,ACTR3,WASL,DCTN3,MYL3,CLIC4,MYL6B,WIPF1,KLHL20,TSC1,IQGAP1,AIF1L,EZR,SORBS1,ARPC2,VILL,DYNLL2,SEPT7,MYO1C,SPTBN1,AVIL,MYL5,MYH10,ACTR1A,CDC42EP3,FLNB,TPM4,MYL9,LASP1,ARPC5,TPM1,DAG1,EPB41,PKD2,MARCKS,STK38L,ARPC1B,ABLIM1,KLHL2,MYH9,MTSS1,TPM3,SEPT9,CTTNBP2NL,CLIC5,ESPN,CORO1C,AMOT,VASP,NEB,SPTAN1,SHROOM1,LSP1,FSCN1,SLC9A3R1,CORO1A,ABLIM2,SYNPO,BMF,PALLD,SPTA1,SMTN,SORBS2,TPM2,GYS2
ADHERENS_JUNCTION	16.0	-1.7586799	0.02173913	0.10853136	VCL,PTPRC,SORBS3,TRIP6,ACTN1,ZYX,LAYN,BCAR1,PGM5,NEXN,SHROOM3
SOLUBLE_FRACTION	101.0	-1.7207794	0.034068137	0.11572522	UNC119,WNT5A,WARS,EDN1,GYG2,WISP2,FLT3LG,GRK5,TPPP,CCL3,MED22,DUSP6,KL,CCR2,ALDH5A1,PDE4D,SELP,FBLN1,SYTL1,ADM,CXCL2,AGT,CSGALNACT1,PDE4B,SPHK1,GYS2,CYTL1
LIPID_RAFT	22.0	-1.6912072	0.019880716	0.11855959	PAG1,LYN,CAV1,FLOT1,LAX1,CD48,CARD11,MALL,LCK,LAT
RUFFLE	30.0	-1.6567054	0.03250478	0.12784834	MTMR14,CD2AP,ITGB1,ARFIP2,TLN1,S100A6,PDPN,EZR,ALS2,FGD4,MYO5A,CYFIP1,FGD1,CTTN,S100A11,FGD5,ARF6,MYH9,CDK6,LAYN,BCAR1,ITGA5,ARAP3,S100B,TESC,INPP5J
