Name	Size	NES	NOM p-value	FDR q-value	Gene Details
RECEPTOR_ACTIVITY	331.0	-3.4754736	0.0	0.0	EMR2,TNFRSF1A,SMO,GPR126,FZD6,IL2RA,IL3RA,CLEC2D,CRIM1,IL2RG,PTPRE,FLT4,GPR56,PTPRK,PVRL2,GUCY1B3,CD300C,PTPRN2,PVR,GPR133,SEMA4D,IL10RA,IL4R,TNFRSF14,NR2F6,PTPRU,RXRG,IGF1R,TNFRSF10D,SCARB1,TEK,ELTD1,FZD5,EFNA4,VIPR2,TNFRSF8,PTGFR,MED16,PTGER4,THRA,RARG,PLXNA1,CLEC4A,TNFRSF1B,GUCY1A3,HRH1,PTPRD,GFRA1,PTCH1,TNFRSF10C,GABRB3,PTK7,ROBO4,CSF2RB,CSF3R,PTPRB,SLC20A1,GABRP,SCARF1,RARA,RTN4RL1,CD3G,OSMR,ITPR3,FZD3,CHRNB1,ERBB3,MARCO,PRKCZ,NMUR1,HLA-E,TNFRSF25,TACR1,BCAM,IL27RA,ITPR1,CD28,VLDLR,TNFRSF4,FZD8,P2RX6,CHRNE,CXCR4,TNFRSF11A,NRP2,HLA-F,CRLF1,F2R,IL2RB,SSTR1,CXCR2,ICAM1,GRIN2C,P2RX1,CD69,CELSR3,RTN4RL2,TBXA2R,PRKCB,TNFRSF10A,IL12RB2,APLNR,NPR3,KLRG1,KLRB1,EFNB3,NR1D1,KLRD1,LPHN3,GPR17,FPR1,HRH2,GRIA1,GABRA2,TNFRSF11B,TACSTD2,HLA-DPB1,GRIN2B
TRANSMEMBRANE_RECEPTOR_ACTIVITY	215.0	-3.251425	0.0	0.0	EMR2,TNFRSF1A,GPR126,FZD6,IL2RA,IL3RA,CLEC2D,CRIM1,IL2RG,PTPRE,FLT4,GPR56,PTPRK,CD300C,PTPRN2,GPR133,IL10RA,IL4R,TNFRSF14,PTPRU,IGF1R,TNFRSF10D,TEK,ELTD1,EFNA4,VIPR2,TNFRSF8,PTGFR,PTGER4,PLXNA1,CLEC4A,TNFRSF1B,HRH1,PTPRD,GFRA1,TNFRSF10C,GABRB3,PTK7,CSF2RB,PTPRB,GABRP,SCARF1,CD3G,OSMR,FZD3,CHRNB1,ERBB3,NMUR1,HLA-E,TNFRSF25,TACR1,BCAM,IL27RA,VLDLR,TNFRSF4,FZD8,P2RX6,CHRNE,NRP2,HLA-F,F2R,IL2RB,SSTR1,CXCR2,ICAM1,GRIN2C,P2RX1,CD69,CELSR3,TBXA2R,TNFRSF10A,IL12RB2,KLRB1,EFNB3,KLRD1,LPHN3,GPR17,FPR1,HRH2,GRIA1,HLA-DPB1,GRIN2B
G_PROTEIN_COUPLED_RECEPTOR_BINDING	26.0	-2.6103292	0.0	0.0012072336	CCL2,CXCL12,CCL16,IL8,SLC9A3R1,CCL18,CXCL9,CCL3,REEP1,CCR2,CX3CL1,CCL8,SAA1,CXCL2,CCL19,CXCL10,CCL21
CATION_CHANNEL_ACTIVITY	53.0	-2.5708082	0.0	0.0020746188	CACNB1,RYR1,CACNA1A,KCNIP2,KCNC3,KCNQ3,SCN1B,KCNMB4,KCND3,SCNN1B,KCNN4,KCNS3,SCN2A,CHRNE,KCNJ15,TRPM2,P2RX1,CACNA1C,SLC4A11,CACNB2,CACNA1H,KCNK5,KCNMB1,KCNA6,RYR2
GATED_CHANNEL_ACTIVITY	52.0	-2.5050423	0.0	0.0029610274	HVCN1,CACNB1,RYR1,CACNA1A,STX1B,KCNIP2,KCNC3,KCNQ3,SCN1B,KCNMB4,KCND3,SCNN1B,KCNN4,KCNS3,SCN2A,CHRNE,KCNJ15,KCNK15,P2RX1,CACNA1C,CACNB2,CACNA1H,KCNMB1,KCNA6,RYR2
ION_CHANNEL_ACTIVITY	64.0	-2.5023744	0.0	0.0024675226	HVCN1,CACNB1,RYR1,CACNA1A,STX1B,KCNIP2,BEST1,KCNC3,KCNQ3,SCN1B,KCNMB4,KCND3,SCNN1B,KCNN4,KCNS3,SCN2A,CHRNE,KCNJ15,KCNK15,TRPM2,P2RX1,CACNA1C,SLC4A11,CACNB2,CACNA1H,KCNK5,KCNMB1,KCNA6,RYR2
RECEPTOR_BINDING	221.0	-2.4165065	0.0	0.0037229802	TUBB4B,MYD88,IL8,ANGPT1,WNT5A,TYMP,JAG2,SLC9A3R1,MED16,EDN1,EFNB2,ACTN4,VIP,GFRA1,SECTM1,CSF1,CCL18,CXCL9,PITPNM3,CCL3,GAS6,DLL1,PPARGC1B,REEP1,OSGIN1,PGF,INHBB,FGF12,ICAM3,FCER2,CCR2,EFNA1,CX3CL1,VWF,STC2,F2R,CCL8,SLIT2,SAA1,HBEGF,ADAM11,INHBA,DLL4,LCK,CXCL2,IGF2,CCL19,CLCF1,EFNB3,ANGPT2,CYTL1,FGF1,TNFRSF11B,CXCL10,EGFL6,CCL21,TUBB
SUBSTRATE_SPECIFIC_CHANNEL_ACTIVITY	67.0	-2.3268273	0.0	0.0064759976	HVCN1,CACNB1,RYR1,CACNA1A,STX1B,KCNIP2,BEST1,KCNC3,KCNQ3,SCN1B,KCNMB4,KCND3,SCNN1B,KCNN4,KCNS3,SCN2A,CHRNE,KCNJ15,KCNK15,TRPM2,P2RX1,CACNA1C,SLC4A11,CACNB2,CACNA1H,KCNK5,KCNMB1,KCNA6,RYR2
CHEMOKINE_RECEPTOR_BINDING	22.0	-2.3219166	0.0	0.0059454427	CCL2,CXCL12,CCL16,IL8,CCL18,CXCL9,CCL3,CCR2,CX3CL1,CCL8,CXCL2,CCL19,CXCL10,CCL21
METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	73.0	-2.273731	0.0020833334	0.008331355	SLC13A4,CACNA2D1,GAR1,SLC11A2,ATP2B1,ATP2A3,KCNQ1,P2RX7,CACNB3,TRAPPC10,ATP2A2,SLC8A1,KCNA2,ATP2B4,PKD2,SLC30A4,ATP2A1,CACNB1,RYR1,CACNA1A,KCNIP2,KCNC3,KCNQ3,SCN1B,KCNMB4,KCND3,SCNN1B,KCNN4,ITPR3,KCNS3,SCN2A,ITPR1,CHRNE,KCNJ15,TRPM2,P2RX1,CACNA1C,SLC4A11,CACNB2,CACNA1H,KCNK5,KCNMB1,KCNA6,RYR2
