Name	Size	NES	NOM p-value	FDR q-value	Gene Details
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	24.0	-3.543216	0.0	0.0	CCL21,CX3CR1,CCL22,CXCL10,CXCL9,CCR2,CXCL16,CCR5,CXCR4,CCR7,CCR1,CCL2,CCL4,CCL19,IL8,CCL3,CXCL2
REACTOME_CLASS_A1_RHODOPSIN_LIKE_RECEPTORS	112.0	-3.4014485	0.0	0.0	PTAFR,ADRA1A,BDKRB2,C3,PTGFR,CCL21,ADRA2B,HCAR2,CX3CR1,CCL22,EDNRB,CXCL10,DARC,GPBAR1,CXCL9,P2RY14,CCR2,PTGIR,C5AR1,HTR2B,S1PR3,LTB4R2,HRH1,CXCL16,LHCGR,P2RY1,GPR65,CCR5,CXCR4,PROK1,CCR7,FPR3,CCR1,C3AR1,ADORA3,CCL2,PROKR1,CCL4,CCL19,GPR17,EDN1,P2RY13,IL8,CCL3,CXCL2
REACTOME_METABOLISM_OF_MRNA	195.0	-3.3965414	0.0	0.0	PSMD8,RPS10,PSMC6,XPO1,SMG6,EXOSC5,EXOSC1,RPL5,RQCD1,RPL23,PSMD14,PSMD1,PSMC1,PSMB2,PSMD2,PSMC2,PPP2R1A,CNOT4,RPL31,PSMD11,DCP1B,HSPA8,SMG8,SMG7,RPS23,PARN,LSM4,RPL4,SMG1,RPS25,PSMA4,RPL3,NCBP1,ANP32A,CNOT10,PSMA7,EIF4B,PSMA1,EIF4G1,RPL7,RPL10,RPL15,PSMF1,EIF4A2,RPL35A,KHSRP,NCBP2,PSMC5,EIF4E,PSME4,PSMD7,UPF3B,RPL14,RPLP0,RPS2,HNRNPD,CNOT7,RPS16,PSMA3,LSM6,RPL22,HSPB1,PSMD4,EXOSC9,RPL28,EDC3,RPS4X,CNOT6,PPP2CA,RPL30,RNPS1,MAGOH,RPS18,RPL18A,RPS14,RPL13A,UPF3A,PSMD5,PSMC4,PSMB7,RPS8,RPS15A,RPS15,UBA52,DDX6,RPL36,RPL8,RPL19,ELAVL1,PSME1,RPL6,EXOSC8,RPS28,RPS13,RPL13,RPS5,NUP214,RPL24,RPL9,RPS27A,RPS3,RPLP1,RPS29,RPS6,RPL26,RPL35,RPS7,PSMD13,RPS11,PSME2,RPS24,PSMB1,PSMC3,PSMB6,RPS12,RPL38,RPL34,RPL37A,PSMB4,CNOT2,RPL23A,RPL10A,SMG5,RPL27A,PSMA5,TNKS1BP1,RPL11,RPL27,PPP2R2A,RPL39,RPL32,TNFSF13,PSMD9,RPS21,PATL1,MAPK11,LSM1,RPSA,RPL18,RPL21,RPL37,EXOSC2,CASC3,PSMB10,FAU,RPL41,SMG9,ZFP36L1,RPS27,PSMB3,EXOSC7,PRKCD,MAPKAPK2,RPL12,RPL17,RPL7A,RPL26L1,RBM8A,EIF4A1,DCPS,RPS26,ZFP36
REACTOME_NONSENSE_MEDIATED_DECAY_ENHANCED_BY_THE_EXON_JUNCTION_COMPLEX	100.0	-3.3559768	0.0	0.0	PPP2R1A,RPL31,SMG8,SMG7,RPS23,RPL4,SMG1,RPS25,RPL3,NCBP1,EIF4G1,RPL7,RPL10,RPL15,RPL35A,NCBP2,UPF3B,RPL14,RPLP0,RPS2,RPS16,RPL22,RPL28,RPS4X,PPP2CA,RPL30,RNPS1,MAGOH,RPS18,RPL18A,RPS14,RPL13A,UPF3A,RPS8,RPS15A,RPS15,UBA52,RPL36,RPL8,RPL19,RPL6,RPS28,RPS13,RPL13,RPS5,RPL24,RPL9,RPS27A,RPS3,RPLP1,RPS29,RPS6,RPL26,RPL35,RPS7,RPS11,RPS24,RPS12,RPL38,RPL34,RPL37A,RPL23A,RPL10A,SMG5,RPL27A,RPL11,RPL27,PPP2R2A,RPL39,RPL32,RPS21,RPSA,RPL18,RPL21,RPL37,CASC3,FAU,RPL41,SMG9,RPS27,RPL12,RPL17,RPL7A,RPL26L1,RBM8A,RPS26
REACTOME_METABOLISM_OF_RNA	237.0	-3.2380266	0.0	0.0	PSMD8,RPS10,PSMC6,XPO1,SMG6,EXOSC5,SNRPG,EXOSC1,RPL5,RQCD1,RPL23,PSMD14,PSMD1,PSMC1,GEMIN2,PSMB2,PSMD2,PSMC2,PPP2R1A,CNOT4,RPL31,PSMD11,DCP1B,HSPA8,SMG8,SMG7,RPS23,PARN,LSM4,RPL4,SMG1,RPS25,SNUPN,PSMA4,NUP50,RPL3,NCBP1,GEMIN7,ANP32A,SNRPE,CNOT10,PSMA7,EIF4B,PSMA1,EIF4G1,RPL7,RPL10,RPL15,PSMF1,EIF4A2,NUP188,RPL35A,KHSRP,NCBP2,PSMC5,EIF4E,PSME4,PSMD7,UPF3B,RPL14,SEH1L,NUP205,RPLP0,RPS2,HNRNPD,CNOT7,RPS16,PSMA3,LSM6,RPL22,HSPB1,PSMD4,WDR77,EXOSC9,RPL28,EDC3,NUP54,RPS4X,CNOT6,PPP2CA,RPL30,RNPS1,MAGOH,RPS18,RPL18A,RPS14,RPL13A,UPF3A,PSMD5,NUP93,PSMC4,PSMB7,RPS8,RPS15A,RPS15,UBA52,DDX6,PRMT5,RPL36,RPL8,RPL19,ELAVL1,PSME1,RPL6,EXOSC8,RPS28,RPS13,RPL13,RPS5,GEMIN4,NUP214,RPL24,RPL9,RPS27A,NUP62,RPS3,RPLP1,RPS29,RPS6,RPL26,RPL35,RPS7,PSMD13,RPS11,PSME2,RPS24,PSMB1,PSMC3,PSMB6,RPS12,RPL38,RPL34,GEMIN6,RPL37A,PSMB4,CNOT2,RPL23A,RPL10A,SMG5,RPL27A,PSMA5,TNKS1BP1,SNRPD3,RPL11,RPL27,PPP2R2A,RPL39,RPL32,TNFSF13,PSMD9,RPS21,PATL1,MAPK11,NUP153,LSM1,RPSA,RPL18,NUP37,RPL21,RPL37,EXOSC2,SNRPB,CASC3,AAAS,PSMB10,FAU,NUP85,RPL41,SNRPF,SMG9,ZFP36L1,RPS27,SNRPD2,PSMB3,EXOSC7,NUP35,PRKCD,MAPKAPK2,RPL12,SNRPD1,RPL17,RPL7A,RPL26L1,NUP210,RBM8A,EIF4A1,DCPS,RPS26,ZFP36
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	102.0	-3.1798131	0.0	0.0	RPS23,SRPR,RPL4,RPS25,RPL3,SRP19,SPCS2,RPL7,RPL10,RPL15,RPL35A,RPL14,SRP68,RPLP0,RPS2,RPS16,RPL22,SRP72,SEC61G,RPL28,RPN1,RPS4X,SRP14,SEC11A,RPL30,DDOST,RPS18,RPL18A,RPS14,RPL13A,TRAM1,RPS8,RPS15A,RPS15,UBA52,RPL36,RPL8,RPL19,RPL6,RPS28,RPS13,SEC61A2,SSR2,RPL13,RPS5,RPL24,RPL9,RPS27A,RPS3,RPLP1,RPS29,RPS6,RPL26,RPL35,RPS7,RPN2,RPS11,SEC61B,RPS24,RPS12,RPL38,RPL34,RPL37A,RPL23A,RPL10A,RPL27A,RPL11,RPL27,RPL39,RPL32,RPS21,RPSA,RPL18,RPL21,RPL37,SEC11C,FAU,RPL41,RPS27,RPL12,RPL17,RPL7A,RPL26L1,RPS26
REACTOME_PEPTIDE_CHAIN_ELONGATION	80.0	-3.16562	0.0	0.0	RPL7,RPL10,RPL15,RPL35A,RPL14,RPLP0,RPS2,RPS16,RPL22,RPL28,RPS4X,RPL30,RPS18,RPL18A,RPS14,RPL13A,RPS8,RPS15A,RPS15,UBA52,RPL36,RPL8,RPL19,RPL6,RPS28,RPS13,RPL13,RPS5,RPL24,RPL9,RPS27A,RPS3,RPLP1,RPS29,RPS6,RPL26,RPL35,RPS7,RPS11,RPS24,RPS12,RPL38,RPL34,RPL37A,RPL23A,RPL10A,RPL27A,RPL11,RPL27,RPL39,RPL32,RPS21,RPSA,RPL18,RPL21,RPL37,FAU,RPL41,RPS27,RPL12,RPL17,RPL7A,RPL26L1,RPS26
REACTOME_GPCR_LIGAND_BINDING	159.0	-3.1485705	0.0	0.0	PTAFR,ADRA1A,CD55,BDKRB2,C3,PTGFR,GABBR1,CCL21,ADRA2B,HCAR2,CX3CR1,CCL22,GNG5,EDNRB,CXCL10,DARC,GPBAR1,WNT5A,CXCL9,P2RY14,CCR2,PTGIR,C5AR1,HTR2B,S1PR3,ADM,LTB4R2,WNT11,HRH1,CXCL16,LHCGR,P2RY1,GPR65,CCR5,CXCR4,PROK1,PTHLH,CCR7,FPR3,CCR1,WNT10B,C3AR1,WNT9B,ADORA3,CCL2,PROKR1,CCL4,CCL19,GPR17,EDN1,P2RY13,IL8,CCL3,CXCL2
REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION	100.0	-3.092985	0.0	0.0	RPL29,EIF2S3,RPS20,RPS10,EIF3F,RPL5,RPL23,EIF1AX,RPL31,RPS23,RPL4,RPS25,EIF3I,RPL3,EIF3K,EIF4B,EIF4G1,RPL7,RPL10,RPL15,EIF4A2,RPL35A,EIF4E,RPL14,RPLP0,RPS2,EIF3J,RPS16,RPL22,EIF3B,RPL28,RPS4X,RPL30,EIF3H,RPS18,RPL18A,RPS14,RPL13A,EIF2S2,RPS8,RPS15A,RPS15,UBA52,RPL36,RPL8,RPL19,RPL6,RPS28,RPS13,RPL13,RPS5,RPL24,RPL9,RPS27A,RPS3,EIF3G,RPLP1,RPS29,RPS6,RPL26,RPL35,RPS7,EIF3D,RPS11,RPS24,RPS12,RPL38,RPL34,RPL37A,RPL23A,RPL10A,RPL27A,RPL11,RPL27,RPL39,RPL32,RPS21,RPSA,RPL18,RPL21,RPL37,FAU,RPL41,RPS27,EIF4H,RPL12,RPL17,RPL7A,RPL26L1,EIF4A1,RPS26
REACTOME_TRANSLATION	137.0	-3.0246532	0.0	0.0	RPS23,SRPR,RPL4,RPS25,EIF3I,RPL3,SRP19,EIF3K,SPCS2,EIF4B,EIF4G1,RPL7,RPL10,EIF2B4,RPL15,EIF4A2,RPL35A,EIF4E,RPL14,SRP68,EIF2B2,RPLP0,RPS2,EIF3J,RPS16,RPL22,SRP72,EIF3B,SEC61G,RPL28,RPN1,RPS4X,SRP14,SEC11A,RPL30,DDOST,EIF2B1,EIF3H,EIF5B,EIF2B5,RPS18,RPL18A,RPS14,RPL13A,TRAM1,EIF2S2,RPS8,RPS15A,RPS15,UBA52,RPL36,RPL8,RPL19,RPL6,RPS28,RPS13,SEC61A2,SSR2,RPL13,RPS5,RPL24,RPL9,RPS27A,RPS3,EIF3G,RPLP1,RPS29,RPS6,RPL26,RPL35,RPS7,EIF3D,RPN2,RPS11,SEC61B,RPS24,RPS12,RPL38,RPL34,RPL37A,RPL23A,RPL10A,EEF1B2,RPL27A,EEF1D,EIF2B3,RPL11,RPL27,RPL39,RPL32,RPS21,RPSA,RPL18,RPL21,RPL37,SEC11C,FAU,RPL41,RPS27,EIF4H,RPL12,RPL17,RPL7A,RPL26L1,EIF4A1,RPS26
REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION	96.0	-2.9747596	0.0	0.0	RPL31,GTF2F1,RPS23,RPL4,RPS25,RPL3,POLR2I,RPL7,RPL10,RPL15,HSP90AA1,RPL35A,RPL14,POLR2H,RPLP0,RPS2,RPS16,RPL22,RPL28,RPS4X,RPL30,RPS18,RPL18A,POLR2K,RPS14,RPL13A,RPS8,RPS15A,RPS15,UBA52,RPL36,RPL8,RPL19,RPL6,RPS28,RPS13,RPL13,RPS5,RPL24,RPL9,RPS27A,RPS3,RPLP1,RPS29,RPS6,RPL26,RPL35,RPS7,RPS11,RPS24,RPS12,RPL38,RPL34,POLR2F,RPL37A,POLR2G,RPL23A,RPL10A,RPL27A,POLR2C,RPL11,RPL27,RPL39,RPL32,RPS21,RPSA,RPL18,RPL21,RPL37,FAU,RPL41,RPS27,POLR2L,GTF2F2,RPL12,RPL17,RPL7A,RPL26L1,POLR2J,RPS26
