Name	Size	NES	NOM p-value	FDR q-value	Gene Details
MITOCHONDRION	297.0	-2.0750787	0.0	0.012004281	VDAC1,MRPS11,THG1L,GCDH,LONP1,ACADSB,CYC1,PDK1,PCK2,MTIF3,ACN9,AIFM2,HCCS,MSRB2,NDUFS5,AASS,ABCB7,ATP5J,SLC25A12,ACADS,SLC25A11,SLC25A3,TRAK1,BNIP3L,FIBP,ACADM,ABCB8,DLD,MUT,CYCS,HSPA9,GLRX2,CLPX,IMMT,CISD1,ATP5A1,PTGES2,GRPEL1,NDUFS2,COX7A1,PRDX5,FDX1,SDHB,TIMM8B,GBAS,OPA1,GPX4,PTS,COX18,NDUFS8,ACO2,ETFA,NDUFS1,PC,MFN2,PPOX,HAX1,ARG2,NDUFA9,NDUFAB1,LETM1,BCL2,AFG3L2,MECR,ATP5D,OGDH,PHB,MRPL12,PCCB,IDH2,BCKDHB,ECI2,CPS1,TXNRD2,MRPS10,AMACR,HADH,FH,BNIP3,TIMM23,ATP5C1,ETFB,MAOB,ATP5B,SARS2,GLYAT,SDHA,MTHFD1,BPHL,TMEM126A,FPGS,SLC25A4,CHCHD3,AIFM1,SPG7,MSTO1,MRPS12,PDHA1,ATP5G3,GSTZ1,NNT,SUCLG1,DMGDH,ACOT2,ECHS1,TIMM17A,OXCT1,HINT2,SUPV3L1,NME4,DECR1,CS,L2HGDH,LDHD,KIAA1683,GCSH,MRPS15,SLC25A1
MITOCHONDRIAL_PART	124.0	-2.0364149	0.0	0.008778106	NDUFA2,NFS1,NDUFV1,PITRM1,VDAC2,RAF1,BCKDK,COX15,MRPL42,MRPS16,NDUFA1,NDUFB6,MRPS35,DBT,ATP5F1,TIMM44,TIMM13,VDAC1,MRPS11,ACN9,AIFM2,HCCS,ABCB7,ATP5J,SLC25A11,SLC25A3,ACADM,ABCB8,CYCS,IMMT,ATP5A1,GRPEL1,NDUFS2,TIMM8B,OPA1,COX18,NDUFS8,ETFA,NDUFS1,MFN2,PPOX,NDUFA9,NDUFAB1,BCL2,ATP5D,OGDH,PHB,MRPL12,BCKDHB,MRPS10,BNIP3,TIMM23,ATP5C1,ETFB,MAOB,ATP5B,SDHA,MSTO1,MRPS12,ATP5G3,NNT,TIMM17A,SUPV3L1,CS,MRPS15,SLC25A1
MITOCHONDRIAL_MEMBRANE	72.0	-2.0337024	0.0	0.006414162	NDUFA2,NDUFV1,VDAC2,RAF1,COX15,NDUFA1,NDUFB6,TIMM13,VDAC1,AIFM2,HCCS,ABCB7,ATP5J,SLC25A11,SLC25A3,IMMT,ATP5A1,NDUFS2,TIMM8B,OPA1,COX18,NDUFS8,NDUFS1,MFN2,PPOX,NDUFA9,NDUFAB1,BCL2,ATP5D,OGDH,PHB,BNIP3,TIMM23,ATP5C1,ATP5B,SDHA,MSTO1,ATP5G3,NNT,TIMM17A,SLC25A1
MITOCHONDRIAL_INNER_MEMBRANE	54.0	-1.9894055	0.0	0.0077007934	HCCS,ABCB7,ATP5J,SLC25A11,SLC25A3,IMMT,ATP5A1,NDUFS2,TIMM8B,OPA1,COX18,NDUFS8,NDUFS1,PPOX,NDUFA9,NDUFAB1,ATP5D,PHB,TIMM23,ATP5C1,ATP5B,SDHA,ATP5G3,NNT,TIMM17A,SLC25A1
MITOCHONDRIAL_MEMBRANE_PART	47.0	-1.9734248	0.0	0.007288799	ATP5A1,NDUFS2,TIMM8B,OPA1,COX18,NDUFS8,NDUFS1,MFN2,PPOX,NDUFA9,NDUFAB1,ATP5D,BNIP3,TIMM23,ATP5C1,ATP5B,SDHA,ATP5G3,NNT,TIMM17A
PROTEASOME_COMPLEX	23.0	-1.9645975	0.0024390244	0.006983818	PSME1,PSMC5,PSME3,PSMC6,PSMD12,KIAA0368,PSMD5,PSMC4,PSMD11,PSMD10,ADRM1,PSMD3,PSMD2,PSMC2,PSMD8,PSMD1,PSMD14
MITOCHONDRIAL_LUMEN	42.0	-1.8668231	0.0	0.01634562	NFS1,PITRM1,BCKDK,MRPL42,MRPS16,MRPS35,DBT,ATP5F1,TIMM44,MRPS11,ACADM,GRPEL1,ETFA,NDUFAB1,MRPL12,BCKDHB,MRPS10,ETFB,MRPS12,SUPV3L1,CS,MRPS15
PEROXISOME	41.0	-1.844305	0.0	0.019023761	PEX13,ECH1,ABCD3,PHYH,PEX1,PEX26,GNPAT,PXMP4,LONP2,PEX10,PEX19,PRDX5,ACOX3,PMVK,MLYCD,IDI1,ECI2,PNPLA8,AMACR,HSD17B4,ACOT4,ABCD2
MITOCHONDRIAL_MATRIX	42.0	-1.8370024	0.0	0.018336521	NFS1,PITRM1,BCKDK,MRPL42,MRPS16,MRPS35,DBT,ATP5F1,TIMM44,MRPS11,ACADM,GRPEL1,ETFA,NDUFAB1,MRPL12,BCKDHB,MRPS10,ETFB,MRPS12,SUPV3L1,CS,MRPS15
MITOCHONDRIAL_ENVELOPE	83.0	-1.8243405	0.0	0.017415183	ACN9,AIFM2,HCCS,ABCB7,ATP5J,SLC25A11,SLC25A3,ABCB8,CYCS,IMMT,ATP5A1,NDUFS2,TIMM8B,OPA1,COX18,NDUFS8,NDUFS1,MFN2,PPOX,NDUFA9,NDUFAB1,BCL2,ATP5D,OGDH,PHB,BNIP3,TIMM23,ATP5C1,MAOB,ATP5B,SDHA,MSTO1,ATP5G3,NNT,TIMM17A,SLC25A1
