Name	Size	NES	NOM p-value	FDR q-value	Gene Details
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	19.0	-2.3314624	0.0	0.0	HSD17B12,ACAA1,ACOX3,ACOT4,ACOT2,TECR,ACOT7,PECR,ACOX1,ELOVL5,PTPLB,ELOVL6,SCD,FADS2,FADS1
KEGG_PROPANOATE_METABOLISM	29.0	-2.3135645	0.0	0.0	ALDH1B1,ACADM,ALDH2,MUT,MLYCD,ALDH7A1,PCCB,ACAT2,ALDH3A2,HIBCH,SUCLG1,ECHS1,LDHB,LDHA,ACACB,ACSS2,ACACA,ALDH9A1
KEGG_PYRUVATE_METABOLISM	31.0	-2.2328706	0.0	0.0	ACYP2,PCK2,ALDH1B1,GRHPR,ALDH2,DLD,PDHB,PC,ALDH7A1,ACAT2,ALDH3A2,PDHA1,LDHB,LDHD,LDHA,ACACB,ACSS2,ACACA,ALDH9A1,ME1
KEGG_CITRATE_CYCLE_TCA_CYCLE	25.0	-2.2056148	0.0	0.0	IDH3A,PCK2,DLST,DLD,PDHB,SDHB,ACO2,PC,OGDH,IDH2,FH,SDHA,PDHA1,SUCLG1,CS,ACO1,IDH1,ACLY
KEGG_BUTANOATE_METABOLISM	25.0	-2.1863654	0.0	0.0	ALDH1B1,ACADS,ALDH2,PDHB,ALDH7A1,ACAT2,ALDH3A2,HADH,PDHA1,ECHS1,ACSM3,OXCT1,L2HGDH,ALDH9A1,AACS
KEGG_PEROXISOME	66.0	-2.0658004	0.0	0.00037440134	PEX13,ECH1,HMGCL,ABCD3,PHYH,PEX1,PEX26,GNPAT,EPHX2,PXMP4,PEX10,PEX19,PRDX5,ACAA1,ACOX3,PEX11G,PMVK,MLYCD,IDH2,ECI2,AMACR,PEX5,CRAT,MPV17L,HSD17B4,ACSL4,FAR2,ACSL3,DECR2,MVK,ACOX2,ABCD2,PECR,ACOX1,ACSL1,IDH1
KEGG_INSULIN_SIGNALING_PATHWAY	111.0	-2.0285544	0.0	0.0011417527	GSK3B,HRAS,PIK3CA,PCK2,PPP1CB,CRK,ARAF,PRKAG2,PHKB,PDE3A,TSC1,RPTOR,PRKAG1,PYGB,PRKAR2A,PRKAA2,PPP1R3B,PRKAR2B,AKT1,MAPK9,MAPK10,RHOQ,MTOR,RPS6KB1,INSR,IRS2,PYGL,HK2,IRS1,SOS2,SORBS1,CALM1,AKT2,PPP1R3C,PRKACA,LIPE,SLC2A4,PTPRF,PYGM,PDE3B,PPARGC1A,ACACB,GYS1,ACACA,SOS1,FASN,SREBF1,GYS2
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	40.0	-2.0104349	0.0	0.0014161563	DBT,HMGCL,ACADSB,ALDH1B1,ACAA2,ACADS,ACADM,ALDH2,DLD,MUT,ACAA1,ALDH7A1,PCCB,ACAT2,BCKDHB,MCCC2,ALDH3A2,HADH,HIBCH,ECHS1,OXCT1,MCCC1,ALDH9A1
KEGG_PARKINSONS_DISEASE	98.0	-1.9782382	0.0	0.0013779976	NDUFB2,NDUFB1,SDHC,NDUFS7,ATP5H,NDUFA5,NDUFA2,NDUFV1,VDAC2,NDUFB4,NDUFB7,NDUFB9,UQCRQ,UBB,COX6C,COX8A,NDUFB3,NDUFA1,NDUFB6,NDUFA10,NDUFS6,ATP5F1,UBE2G1,NDUFA4,COX7A2,VDAC1,NDUFA4L2,CYC1,COX5A,UQCR10,NDUFS5,ATP5J,COX6B1,UQCR11,NDUFC2,SNCAIP,UBE2G2,CYCS,SLC18A2,PARK2,ATP5A1,NDUFS2,COX7A1,SDHB,UBE2L3,NDUFS8,NDUFS1,NDUFA9,NDUFAB1,ATP5D,ATP5C1,ATP5B,SDHA,NDUFV3,SLC25A4,UQCRFS1,ATP5G3,UCHL1,NDUFV2
KEGG_PPAR_SIGNALING_PATHWAY	47.0	-1.9624529	0.0	0.0016780399	ADIPOQ,ACAA1,ACOX3,RXRA,SORBS1,ACSL4,LPL,PLIN1,ACSL3,ACOX2,PPARG,FABP3,DBI,ACADL,ACOX1,ACSL1,ME1,SCD,FADS2
