Name	Size	NES	NOM p-value	FDR q-value	Gene Details
OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_CH_CH_GROUP_OF_DONORS	22.0	-2.321059	0.0	0.0	GCDH,ACADSB,BLVRA,ACADM,RETSAT,PPOX,ACOX3,MECR,SDHA,ACOX2,AKR1C2,DECR1,DHCR24,AKR1C1,DHCR7,ACADL
NUCLEOBASENUCLEOSIDENUCLEOTIDE_KINASE_ACTIVITY	19.0	-1.9636655	0.0	0.02376099	TK2,TJP2,ADK,CMPK1,AK2,MPP3,DTYMK,CASK,NME4,NME1
COENZYME_BINDING	16.0	-1.9277234	0.0	0.026227867	AIFM2,GRHPR,PPOX,NOX4,NNT,HPGD,ACOT7,ME1
OXIDOREDUCTASE_ACTIVITY_ACTING_ON_NADH_OR_NADPH	19.0	-1.8063356	0.005154639	0.0649414	PRDX3,GMPR,NQO1,CYB5R3,NDUFS2,NDUFS8,NDUFS1,NDUFA9,NOX4,NQO2,NNT
COFACTOR_BINDING	19.0	-1.8049601	0.0	0.05218133	AOC3,AIFM2,GRHPR,PPOX,NOX4,NNT,HPGD,ACOT7,ME1
OXIDOREDUCTASE_ACTIVITY	207.0	-1.7692704	0.0	0.06259348	ACADSB,CYC1,COX5A,CBR1,APEX1,TXN2,AIFM2,MSRB2,EGLN1,BLVRA,UQCR11,ADI1,TXNL1,GRHPR,NQO1,ETFDH,ACADM,ALDH2,RETSAT,DLD,CYCS,GLRX2,PDHB,CYB5R3,NDUFS2,COX7A1,FDX1,ENOX2,GPX4,NDUFS8,ETFA,NDUFS1,PPOX,ACOX3,NDUFA9,MECR,CYB5A,OGDH,ALDH7A1,BCKDHB,TXNRD2,ALDH3A2,HADH,SUOX,ETFB,P4HB,MAOB,PRDX2,NOX4,SDHA,NQO2,HSD17B4,AIFM1,CYP46A1,LOXL2,GSTZ1,NNT,DMGDH,ACOX2,AKR1C2,PHGDH,ASPH,DECR1,LOX,LDHB,DHCR24,L2HGDH,PLOD2,GPD1,HPGD,LDHA,AKR1C1,MSRA,QDPR,DHCR7,ACADL,ALDH9A1,ME1,IDH1,SCD,FADS1
TRANSFERASE_ACTIVITY_TRANSFERRING_ACYL_GROUPS	45.0	-1.6769563	0.0060975607	0.11073483	GLYAT,TAF5,ACSL3,SAT1,CS,AGPAT2,ACLY,DGAT2,PNPLA3
LIGASE_ACTIVITY	88.0	-1.6467744	0.0034843206	0.12821136	TRAF7,FBXO3,UBE2D2,CAD,RNF139,PCCA,HUWE1,AMFR,ANAPC11,PFAS,SYVN1,HLCS,SMURF1,PAICS,FBXO7,MALT1,MYLIP,STUB1,SLC27A5,DARS,FBXW2,QARS,UBE3C,UBR3,FBXL2,BRAP,RNF14,YARS,PARK2,GARS,UBE2L3,ANAPC5,PC,UBE2K,NARS,PCCB,BTD,WWP1,CPS1,FARSB,SARS2,MTHFD1,ACSL4,FPGS,ACSS2,ACACA,ACSL1
OXIDOREDUCTASE_ACTIVITY_GO_0016616	37.0	-1.628057	0.008219178	0.13287091	HADH,HSD17B4,PHGDH,LDHB,GPD1,HPGD,LDHA,AKR1C1,ME1,IDH1
OXIDOREDUCTASE_ACTIVITY_ACTING_ON_CH_OH_GROUP_OF_DONORS	41.0	-1.625519	0.002915452	0.121850684	HADH,HSD17B4,PHGDH,LDHB,L2HGDH,GPD1,HPGD,LDHA,AKR1C1,ME1,IDH1
