Name	Size	NES	NOM p-value	FDR q-value	Gene Details
REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS	15.0	-2.303649	0.0	0.0	HSD17B12,ELOVL7,ACSL4,ACSL3,TECR,ELOVL3,ACACA,SLC25A1,ELOVL5,ACSL1,ACLY,ELOVL6,FASN
REACTOME_TRIGLYCERIDE_BIOSYNTHESIS	33.0	-2.269867	0.0	0.0007006579	ACSL4,AGPAT3,ACSL3,TECR,ELOVL3,GPD1,ACACA,AGPAT2,SLC25A1,ELOVL5,ACSL1,ACLY,ELOVL6,GPAM,FASN,DGAT2
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	58.0	-2.2674263	0.0	0.00046710527	NDUFB2,NDUFB1,SDHC,NDUFS7,NDUFA5,NDUFA2,NDUFV1,NDUFB4,NDUFB7,NDUFB9,UQCRQ,COX6C,COX8A,NDUFB3,NDUFA1,NDUFB6,NDUFA10,NDUFS6,NDUFA4,CYC1,COX5A,NDUFS5,COX6B1,UQCR11,NDUFC2,ETFDH,CYCS,NDUFA12,NDUFS2,SDHB,NDUFS8,ETFA,NDUFS1,NDUFA9,NDUFAB1,ETFB,SDHA,NDUFV3,UQCRFS1,NDUFV2
REACTOME_FATTY_ACID_TRIACYLGLYCEROL_AND_KETONE_BODY_METABOLISM	148.0	-2.2577243	0.0	0.00035032895	ACADS,TIAM2,FDFT1,CCNC,PRKAG2,MED20,ACADM,MUT,MED8,CD36,ESRRA,TEAD1,NCOA2,PRKAA2,MED18,LPIN2,HSD17B12,ELOVL7,MED15,RXRA,CTGF,PCCB,MED24,TNFRSF21,HADH,MED7,ACSL4,AGPAT3,ACSL3,MED16,YAP1,ECHS1,PPARG,OXCT1,DECR1,TECR,PPARGC1A,ELOVL3,GPD1,G0S2,ACACB,AGT,ACACA,AGPAT2,ACADL,SLC25A1,ACOX1,ELOVL5,ACSL1,ME1,ACLY,ELOVL6,GPAM,FASN,FADS1,DGAT2,SREBF1
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS_	71.0	-2.2242014	0.0	0.00028026314	NDUFB2,NDUFB1,SDHC,NDUFS7,ATP5H,NDUFA5,NDUFA2,NDUFV1,NDUFB4,NDUFB7,NDUFB9,UQCRQ,COX6C,COX8A,NDUFB3,NDUFA1,NDUFB6,NDUFA10,NDUFS6,ATP5F1,NDUFA4,CYC1,COX5A,NDUFS5,ATP5J,COX6B1,UQCR11,NDUFC2,ETFDH,CYCS,NDUFA12,ATP5A1,NDUFS2,SDHB,NDUFS8,ETFA,NDUFS1,NDUFA9,NDUFAB1,ATP5D,ATP5C1,ETFB,ATP5B,SDHA,NDUFV3,UQCRFS1,NDUFV2
REACTOME_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	102.0	-2.115561	0.0	0.0009516675	SDHC,NDUFS7,D2HGDH,ATP5H,NDUFA5,NDUFA2,NDUFV1,NDUFB4,NDUFB7,NDUFB9,UQCRQ,COX6C,COX8A,NDUFB3,NDUFA1,NDUFB6,NDUFA10,NDUFS6,ATP5F1,NDUFA4,IDH3A,CYC1,COX5A,PDK1,NDUFS5,ATP5J,COX6B1,DLST,UQCR11,NDUFC2,ETFDH,DLD,CYCS,NDUFA12,PDHB,ATP5A1,NDUFS2,SDHB,NDUFS8,ACO2,ETFA,NDUFS1,NDUFA9,NDUFAB1,ATP5D,PDHX,OGDH,IDH2,FH,ATP5C1,ETFB,ATP5B,SDHA,NDUFV3,ADHFE1,PDHA1,UQCRFS1,NNT,SUCLG1,LDHB,NDUFV2,CS,L2HGDH,LDHA,IDH1
REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION	22.0	-2.0626717	0.0	0.003310096	RARS,EPRS,AIMP1,LARS,DARS,QARS,TARS,YARS,AARS,GARS,IARS,NARS,FARSB,AIMP2,CARS
REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS	353.0	-2.0582144	0.0	0.003075025	CD36,ESRRA,TEAD1,NCOA2,PRKAA2,PCYT1A,MTMR4,MED18,LPIN2,OCRL,HSD17B12,TM7SF2,ACAA1,ACOX3,ELOVL7,PTDSS2,PMVK,MED15,RXRA,APOB,FDPS,CTGF,PLA2G4A,PCCB,IDI1,MED24,APOE,TNFRSF21,PNPLA8,AMACR,HADH,PNPLA2,SAR1B,P4HB,CRAT,PRKD1,MED7,STS,HSD17B4,ACSL4,LPL,AGPAT3,FAR2,PLIN1,SPHK2,ACSL3,GGPS1,CYP46A1,PCYT2,CHPT1,PRKACA,PLA2G16,MED16,LIPE,YAP1,PLD6,PEMT,MVK,PPAP2A,ACER3,ACOX2,ECHS1,MGLL,PPARG,OXCT1,LPGAT1,LSS,DECR1,MVD,CAV1,DHCR24,TECR,PPARGC1A,ELOVL3,GPD1,G0S2,ETNK2,ACACB,AGT,DHCR7,ACACA,AGPAT2,ACADL,CETP,SLC25A1,ACOX1,ELOVL5,ACSL1,ME1,IDH1,ACLY,ELOVL6,FADS2,GPAM,FASN,FADS1,DGAT2,SREBF1,PNPLA3
REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES	40.0	-2.006779	0.0	0.0056214	PSMD6,PSMB1,PSME1,PSMA1,PSMB10,PSMC5,PSMA4,PSMC6,PSMD12,PSMD5,PSMB5,PSMC4,PSMD11,PSMD10,PSMA7,PSMA3,PSMD3,PSMD2,PSMC2,PSMD8,PSMA6,PSMC1,PSMD1,PSMD9,PSMD14
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE	17.0	-1.9880161	0.0	0.005493967	IDH3A,DLST,DLD,SDHB,ACO2,OGDH,IDH2,FH,SDHA,NNT,SUCLG1,CS
