Name	Size	NES	NOM p-value	FDR q-value	Gene Details
CATABOLIC_PROCESS	214.0	-3.8609688	0.0	0.0	DHPS,UBE2V2,ANAPC2,ARIH1,BDH2,MDM4,SMG7,POP1,UBR5,PPARA,PLA2G4B,GOT1,EDEM1,ANAPC10,NUDT3,EGLN2,SOD1,ALDH5A1,UBE2B,CEL,UBE2H,HGS,BTRC,ERCC3,NTHL1,HACL1,ACADVL,UPF2,SMURF2,DDAH1,ERCC1,ERCC5,CDC23,PCNP,GLUD1,UBE4A,UBE2D2,SIAH1,UGT2B4,AMFR,SDHC,UBE2I,SYVN1,USE1,DERL1,GNS,VCP,UBB,BCKDK,ECD,PRDX6,UBE2N,SMURF1,PSMC5,HAO2,NUDT5,ZFP36,ECH1,PGLS,SMPD4,FBXO7,UBE2G1,STUB1,FBXL4,UBR3,GBA2,KIAA0368,ASL,ISG20,TSG101,TST,ACADS,DFFB,ENTPD4,BLVRA,SMG5,ERCC2,UFD1L,UBE2G2,ACADM,ALDH1L1,CYCS,CES2,PARK2,TREH,GSPT1,PDHB,PYGB,PFKL,ASPA,RNF11,UBE4B,SDHB,UBE2L3,ACO2,ANAPC5,MTOR,UBE2K,DDAH2,RNASEH1,UBE2A,USP33,OLA1,BCKDHB,MCCC2,BNIP3,PGD,MPST,SDHA,FAF1,ALDOA,NPLOC4,TPD52L1,STS,HYAL4,CECR2,AIFM1,CDA,CYP46A1,GSTZ1,NNT,PFKFB1,ECHS1,PSMD14,HGD,ERN2,GCSH,NT5M,HPD,FAH,ACLY,PNPLA3
COFACTOR_METABOLIC_PROCESS	51.0	-3.7998676	0.0	0.0	ALAS1,OXSM,COX10,COQ7,FECH,CPOX,SDHC,ACOT9,NFS1,COX15,PGLS,MOCS2,BLVRA,ALDH1L1,GLRX2,PDHB,SDHB,COQ2,COASY,ACO2,PPOX,TSPO,MLYCD,UROS,MOCOS,PGD,GLYAT,PDSS1,SDHA,GPX1,PDSS2,COQ3,NNT,ACOT4,ACOT2,FTCD,ALAD,ALAS2,ME1,ACLY
CELLULAR_CATABOLIC_PROCESS	202.0	-3.6341538	0.0	0.0	DHPS,UBE2V2,ANAPC2,ARIH1,BDH2,SMG7,POP1,UBR5,PPARA,PLA2G4B,GOT1,EDEM1,ANAPC10,NUDT3,SOD1,ALDH5A1,UBE2B,CEL,UBE2H,BTRC,ERCC3,NTHL1,HACL1,ACADVL,UPF2,SMURF2,DDAH1,ERCC1,ERCC5,CDC23,PCNP,GLUD1,UBE4A,UBE2D2,UGT2B4,AMFR,SDHC,UBE2I,SYVN1,DERL1,GNS,VCP,UBB,BCKDK,ECD,PRDX6,UBE2N,SMURF1,PSMC5,HAO2,NUDT5,ZFP36,ECH1,PGLS,SMPD4,FBXO7,UBE2G1,STUB1,FBXL4,UBR3,GBA2,KIAA0368,ASL,ISG20,TSG101,TST,ACADS,DFFB,ENTPD4,BLVRA,SMG5,ERCC2,UFD1L,UBE2G2,ACADM,ALDH1L1,CYCS,PARK2,TREH,GSPT1,PDHB,PYGB,PFKL,ASPA,RNF11,UBE4B,SDHB,UBE2L3,ACO2,ANAPC5,UBE2K,DDAH2,RNASEH1,UBE2A,USP33,OLA1,BCKDHB,MCCC2,BNIP3,PGD,MPST,SDHA,ALDOA,NPLOC4,TPD52L1,STS,HYAL4,CECR2,AIFM1,CDA,CYP46A1,GSTZ1,NNT,PFKFB1,ECHS1,PSMD14,HGD,ERN2,GCSH,NT5M,HPD,FAH,ACLY,PNPLA3
COENZYME_METABOLIC_PROCESS	36.0	-3.244529	0.0	0.0	GCLM,GCLC,SOD1,OXSM,COQ7,SDHC,ACOT9,PGLS,MOCS2,ALDH1L1,GLRX2,PDHB,SDHB,COQ2,COASY,ACO2,MLYCD,MOCOS,PGD,GLYAT,PDSS1,SDHA,GPX1,PDSS2,COQ3,NNT,ACOT4,ACOT2,FTCD,ME1,ACLY
COFACTOR_BIOSYNTHETIC_PROCESS	21.0	-3.0999491	0.0	0.0	GCLM,GCLC,ALAS1,COX10,COQ7,FECH,CPOX,COX15,MOCS2,COQ2,COASY,PPOX,TSPO,UROS,PDSS1,PDSS2,COQ3,ALAD,ALAS2,ME1
PROTEIN_CATABOLIC_PROCESS	67.0	-3.009777	0.0	0.00015686273	ANAPC2,ARIH1,MDM4,UBR5,EDEM1,ANAPC10,EGLN2,UBE2B,UBE2H,HGS,BTRC,SMURF2,CDC23,PCNP,UBE4A,UBE2D2,SIAH1,AMFR,UBE2I,SYVN1,USE1,DERL1,VCP,UBB,SMURF1,PSMC5,FBXO7,UBE2G1,STUB1,FBXL4,UBR3,KIAA0368,TSG101,UFD1L,UBE2G2,PARK2,RNF11,UBE4B,UBE2L3,ANAPC5,MTOR,UBE2K,UBE2A,USP33,FAF1,NPLOC4,PSMD14
MACROMOLECULE_CATABOLIC_PROCESS	132.0	-2.9920642	0.0	0.00013445377	UBE2V2,ANAPC2,ARIH1,MDM4,SMG7,POP1,UBR5,EDEM1,ANAPC10,EGLN2,SOD1,UBE2B,UBE2H,HGS,BTRC,ERCC3,NTHL1,UPF2,SMURF2,ERCC1,ERCC5,CDC23,PCNP,UBE4A,UBE2D2,SIAH1,AMFR,UBE2I,SYVN1,USE1,DERL1,GNS,VCP,UBB,ECD,UBE2N,SMURF1,PSMC5,ZFP36,PGLS,FBXO7,UBE2G1,STUB1,FBXL4,UBR3,GBA2,KIAA0368,ISG20,TSG101,DFFB,SMG5,ERCC2,UFD1L,UBE2G2,CYCS,PARK2,TREH,GSPT1,PYGB,PFKL,RNF11,UBE4B,UBE2L3,ANAPC5,MTOR,UBE2K,RNASEH1,UBE2A,USP33,BNIP3,PGD,FAF1,ALDOA,NPLOC4,TPD52L1,HYAL4,CECR2,AIFM1,PFKFB1,PSMD14,ERN2
RNA_PROCESSING	169.0	-2.8706737	0.0	0.00011764706	SMNDC1,SRRM1,INTS12,NOP56,INTS6,DDX39A,CPSF1,RBM3,TRA2A,METTL1,SETX,EXOSC2,INTS5,NONO,HNRNPH3,IVNS1ABP,RBMS1,FBL,SRSF1,SF3B3,NOP58,PABPC1,HNRNPF,RBM5,DUSP11,TRA2B,EXOSC3,DGCR8,LUC7L3,UPF1,CSTF1,SCAF11,SF3A2,HNRNPA0,PHF5A,BICD1,SNRPB2,DBR1,SNW1,KHSRP,DDX17,GEMIN2,SF1,CELF1,SRSF5,NCBP2,SNRPD3,INTS9,KIN,SPOP,RPS14,SNRPG,DDX23,SLBP,PTBP1,CPSF3L,SNRNP40,RP9,SF3A1,PPIG,PRPF18,DHX15,SNRPA1,DHX16,PRPF31,LSM1,SNRPF,SNRNP70,HNRNPD,U2AF1,PRPF4B,SNRPD2,CRNKL1,CPSF6,LSM6,DIS3,RBMS2,SARS,ZRANB2,ZNF638,PPAN,RNGTT,RNPS1,NHP2,RNMT,CDC40,INTS1,SRPK2,SRSF11,RBM6,NCBP1,LSM3,INTS4,HNRNPUL1,SRSF12,TXNL4A,USP39,SRSF9,FARS2,SSB,EXOSC7,SNRPB,SF3A3,KHDRBS1,GEMIN5,INTS10,SF3B2,GEMIN4,SF3B4,SRSF4,TRNT1,DHX38,SFPQ,BCAS2,PRPF8,INTS3,DDX54,NSUN2,RBPMS,EFTUD2,DDX20,ZNF346,SYNCRIP,SLU7,HNRNPR,SFSWAP,SNRPN,CSTF3,SNRNP200,SRPK1,GEMIN8,THG1L,AGGF1,GRSF1,SRSF2,LSM5,CDK11B,ADAT1,SNRPD1,SNRPC,AARS,LSM4,DHX8,NOP14,POP4,CPSF3,NOL3,CSTF2,INTS2,NOVA1,CWC15,RRP9,INTS7,PPARGC1A,PRPF3
CELLULAR_PROTEIN_CATABOLIC_PROCESS	57.0	-2.8249593	0.0	0.000104575156	ANAPC2,ARIH1,UBR5,EDEM1,ANAPC10,UBE2B,UBE2H,BTRC,SMURF2,CDC23,PCNP,UBE4A,UBE2D2,AMFR,UBE2I,SYVN1,DERL1,VCP,UBB,SMURF1,PSMC5,FBXO7,UBE2G1,STUB1,FBXL4,UBR3,KIAA0368,TSG101,UFD1L,UBE2G2,PARK2,RNF11,UBE4B,UBE2L3,ANAPC5,UBE2K,UBE2A,USP33,NPLOC4,PSMD14
BIOPOLYMER_CATABOLIC_PROCESS	114.0	-2.820493	0.0	9.411764e-05	UBE2V2,ANAPC2,ARIH1,MDM4,SMG7,POP1,UBR5,EDEM1,ANAPC10,EGLN2,SOD1,UBE2B,UBE2H,HGS,BTRC,ERCC3,NTHL1,UPF2,SMURF2,ERCC1,ERCC5,CDC23,PCNP,UBE4A,UBE2D2,SIAH1,AMFR,UBE2I,SYVN1,USE1,DERL1,VCP,UBB,UBE2N,SMURF1,PSMC5,ZFP36,FBXO7,UBE2G1,STUB1,FBXL4,UBR3,KIAA0368,ISG20,TSG101,DFFB,SMG5,ERCC2,UFD1L,UBE2G2,CYCS,PARK2,GSPT1,PYGB,RNF11,UBE4B,UBE2L3,ANAPC5,MTOR,UBE2K,RNASEH1,UBE2A,USP33,BNIP3,FAF1,NPLOC4,TPD52L1,CECR2,AIFM1,PSMD14,ERN2
