Name	Size	NES	NOM p-value	FDR q-value	Gene Details
KEGG_RIBOSOME	85.0	-4.8143916	0.0	0.0	RPS19,RPL29,RPS23,RPS27L,RPS4Y1,RPS25,RPS18,RPL5,RPSA,RPL6,RPL11,RPS12,RPS2,RPL4,RPL36AL,RPL31,RPL9,RPLP1,RPL3,RPL14,RPL32,RPS5,RPL27,RPS7,RPL37A,RPL22,RPL23,RPL7,RPS24,RPS6,RPL15,RPL35,RPL39,RSL24D1,RPL26L1,RPL30,RPS13,RPL13A,UBA52,RPS8,RPL19,RPL24,RPS11,RPS29,RPL13,RPS3,RPL35A,RPS3A,RPL41,RPL23A,RPL34,RPL38,RPS16,RPL22L1,RPS4X,RPL28,RPL27A,RPL10A,RPL18A,RPS15,RPL36,RPS10,RPL37,RPL17,RPS15A,RPS28,RPL18,RPS27A,RPL21,RPL8,RPS26,FAU,RPS21,RPL12,RPL26,RPS27,RPL3L
KEGG_HEMATOPOIETIC_CELL_LINEAGE	81.0	-3.7601397	0.0	0.0	IL1R1,FLT3LG,EPOR,CD19,KITLG,CD59,IL3RA,HLA-DRB5,THPO,IL5RA,ITGAM,CD34,CD55,CSF1,IL4R,CD2,IL7,CD44,CD5,ITGA3,ITGA4,CD33,GP5,CSF1R,CD4,ITGA2,CD3G,CSF3,CD14,IL9R,IL7R,IL1B,CD22,CSF3R,CR1,FLT3,CD3E,MS4A1,CD1D,IL1R2,CD37,KIT,CD1E,CD3D,IL2RA,FCER2,TPO,CD1C
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	233.0	-3.6763895	0.0	0.0	ACVR2B,IL11RA,TNFSF13,LIFR,IL23R,IL15RA,PDGFRB,TNFSF12,IL6,CCR6,IL22RA1,CCR3,TNFSF15,CXCL9,CCL28,IL1R1,IL13RA1,IL12RB1,CCL23,FLT3LG,TNFSF11,EPOR,KITLG,TGFB1,CCR4,RELT,CXCR2,IL3RA,MET,TNFRSF11B,TNFRSF1B,XCL2,CXCL12,OSMR,TNFRSF8,CXCL3,IL5RA,TNFRSF1A,IFNAR2,CXCR4,CSF1,IL4R,CXCR6,BMP7,IL7,TNFRSF10B,CLCF1,CXCL5,LIF,TNFRSF19,IL2RB,CD40,PDGFB,CXCR1,CXCL16,VEGFC,TNFRSF18,IFNGR2,IL10RA,CSF1R,IL24,EDA2R,BMPR1B,CXCR3,CCL21,IL21R,CD70,CX3CL1,CXCL14,PDGFA,IL18RAP,CSF3,TNFRSF4,CCR1,TNFRSF14,OSM,LEPR,IL17B,TGFB3,CCL24,CTF1,XCL1,IL9R,TNFSF13B,INHBE,IL7R,IL1B,IL17RB,CX3CR1,CSF2RB,HGF,TNFSF8,IL2RG,CCR10,CSF3R,CCL18,GDF5,CCL2,INHBA,IL12RB2,CCR7,FLT3,CCR2,AMH,CCL13,XCR1,CCR5,TNFSF14,CD27,CD40LG,IL1R2,CXCL1,KIT,CCL8,NGFR,IL2RA,TPO
KEGG_CELL_ADHESION_MOLECULES_CAMS	127.0	-2.944356	0.0	0.0	HLA-DMA,NCAM2,CD58,SIGLEC1,CLDN4,CLDN16,F11R,CD99,CLDN19,CLDN18,MPZL1,CLDN23,CLDN20,HLA-DOB,MAG,CD226,CDH15,CLDN22,JAM3,CDH4,OCLN,CLDN9,NLGN4X,NLGN2,ICOSLG,CLDN7,CDH5,CLDN15,PVRL2,HLA-DRB5,MADCAM1,ITGB2,MPZ,SELP,CDH1,VCAM1,SDC3,ITGA8,ITGAM,CNTNAP1,ICAM3,CD34,CD2,NCAM1,SPN,PECAM1,ITGA4,CD40,ITGB7,CNTNAP2,CADM3,ESAM,NFASC,CLDN11,ICAM2,CD28,CD4,CD86,NLGN3,SELPLG,CLDN10,ITGAL,PDCD1,ICAM1,HLA-E,PTPRC,CDH3,CTLA4,JAM2,CD6,SELE,CD22,HLA-DMB,ICOS,NRXN2,CLDN2,CLDN5,SELL,CNTN1,CD40LG
KEGG_BASAL_CELL_CARCINOMA	52.0	-2.6804261	0.0	0.0012513475	HHIP,FZD9,FZD6,FZD10,BMP4,WNT7B,WNT10A,SUFU,FZD3,WNT10B,AXIN1,AXIN2,WNT4,WNT11,TP53,WNT2,SMO,FZD8,FZD2,WNT6,WNT5B,APC2,WNT2B,WNT5A,LEF1,PTCH2,WNT3,WNT9A,WNT9B
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	61.0	-2.626322	0.0	0.0010427895	F11,C6,PROC,PLAUR,C3AR1,CFH,C1QB,C5AR1,CPB2,C8G,PLAT,A2M,MASP2,VWF,CD59,C1QC,F7,C1S,CD55,C3,C1R,SERPING1,C1QA,C5,KLKB1,PLAU,MASP1,BDKRB2,PLG,SERPINA5,CFD,BDKRB1,SERPINF2,CR1,THBD,CFI,F10,SERPINA1
KEGG_CALCIUM_SIGNALING_PATHWAY	164.0	-2.5346773	0.0	0.0011927247	HRH1,OXTR,CHRM5,CACNA1D,MYLK3,ITPKB,ITPKA,PHKA2,ADCY1,GNAL,PDE1A,PLCG1,P2RX4,CACNA1I,CALML3,TBXA2R,GRM1,ADORA2B,DRD1,ADORA2A,TACR1,CACNA1A,PHKG1,RYR3,PLCG2,NTSR1,PRKX,PLCB3,P2RX5,CACNA1C,CYSLTR1,ADRB1,ADCY9,TRPC1,CACNA1H,HTR2B,GNA14,GRM5,LTB4R2,ADCY7,SLC8A1,GNA15,ERBB2,ADCY4,NOS2,AGTR1,SPHK1,EDNRA,BDKRB2,GRIN2A,CAMK4,PLN,BDKRB1,HRH2,RYR2,RYR1,ATP2A3,PRKCB,TNNC1,NOS3,ADCY3,PTAFR,PLCB2,ADRB3,TNNC2,CHRNA7,P2RX1
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	110.0	-2.443522	0.0	0.0017950961	CLDN4,PIK3R5,CLDN16,F11R,CD99,PTK2B,CLDN19,CLDN18,CLDN23,PTK2,CLDN20,PIK3R3,MAPK11,CLDN22,CTNND1,MYL5,JAM3,THY1,OCLN,MLLT4,MYL10,CLDN9,MAPK13,CLDN7,CDH5,CLDN15,PLCG1,ITGB2,MMP2,RAPGEF4,VCAM1,CXCL12,ITGAM,PXN,VASP,CXCR4,PLCG2,ACTG1,EZR,PECAM1,ITGA4,MYLPF,RAC2,CYBA,ESAM,VAV1,RAPGEF3,CLDN11,NCF4,GNAI2,CLDN10,ITGAL,PIK3CD,NCF2,ICAM1,SIPA1,ACTN2,VAV2,JAM2,PRKCB,CLDN2,MAPK12,CLDN5,ITK,CTNNA3
KEGG_PRIMARY_IMMUNODEFICIENCY	34.0	-2.380543	0.0	0.0028204406	CD40,CIITA,CD4,AIRE,ADA,ZAP70,PTPRC,RAG1,JAK3,IL7R,IL2RG,ICOS,LCK,CD3E,CD40LG,CD3D
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	229.0	-1.9702241	0.007905139	0.039755724	GABRE,PRSS2,PTH1R,HRH1,OXTR,CHRM5,CNR2,S1PR5,TSHR,NMBR,NPFFR1,P2RY11,GABRP,HRH4,GABRA4,CHRNE,GABRR1,GLRB,GZMA,GRID1,GRM7,P2RX4,P2RY8,TBXA2R,GRM1,LPAR6,S1PR1,ADORA2B,DRD1,ADORA2A,TACR1,GCGR,NTSR1,P2RY2,P2RX5,CYSLTR1,ADRB1,GRIA1,GABRB3,P2RY14,CHRNA10,HTR2B,GABRR2,GRM5,F2RL1,LTB4R2,GRIN2B,LPAR2,CNR1,P2RY10,MC1R,GPR50,AGTR1,EDNRA,LEPR,GRM4,GRIK4,BDKRB2,GRIN2A,PTGER4,PLG,GIPR,BDKRB1,HRH2,VIPR1,LTB4R,P2RY13,PTAFR,PTGIR,PTGDR,SSTR1,ADCYAP1R1,GALR1,ADRB3,FPR3,CTSG,FPR1,GRM2,CHRNA7,GABRD,P2RX1,APLNR,VIPR2
