Name	Size	NES	NOM p-value	FDR q-value	Gene Details
REACTOME_PEPTIDE_CHAIN_ELONGATION	83.0	-4.7073197	0.0	0.0	RPS19,RPL29,RPS23,RPS4Y1,RPS25,RPS18,RPL5,RPSA,EEF1A1,RPL6,RPL11,RPS12,RPS2,RPL4,RPL31,RPL9,RPLP1,RPL3,RPS14,RPL14,RPL32,RPS5,RPL27,RPS7,RPL37A,RPL22,RPL23,RPL7,RPS24,RPS6,RPL15,RPL35,RPL39,RPL26L1,RPL30,RPS13,RPL13A,UBA52,RPS8,RPL19,RPL24,RPS11,RPS29,RPL13,RPS3,RPL35A,RPS3A,RPL41,RPL23A,RPL34,RPL38,RPS16,RPS4X,RPL28,RPL27A,RPL10A,RPL18A,RPS15,RPL36,RPS10,RPL37,RPL17,RPS15A,RPS28,RPL18,RPS27A,RPL21,RPL8,RPS26,FAU,RPS21,RPL12,RPL26,RPS27,RPL3L
REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION	103.0	-4.1912265	0.0	0.0	RPL6,RPL11,RPS12,RPS2,RPL4,EIF3H,RPL31,EIF3F,RPL9,RPLP1,RPL3,RPS14,RPL14,RPL32,RPS5,RPL27,RPS7,RPL37A,RPL22,RPL23,RPL7,RPS24,RPS6,RPL15,RPL35,RPL39,EIF4A1,EIF3D,RPL26L1,RPL30,RPS13,RPL13A,UBA52,RPS8,RPL19,RPL24,RPS11,EIF3E,RPS29,EIF2S3,RPL13,RPS3,RPL35A,RPS3A,RPL41,RPL23A,RPL34,RPL38,RPS16,EIF3G,RPS4X,RPL28,RPL27A,RPL10A,RPL18A,RPS15,RPL36,RPS10,RPL37,RPL17,RPS15A,RPS28,RPL18,RPS27A,RPL21,EIF4B,RPL8,RPS26,FAU,RPS21,RPL12,RPL26,RPS27,EIF4A2,RPL3L
REACTOME_NONSENSE_MEDIATED_DECAY_ENHANCED_BY_THE_EXON_JUNCTION_COMPLEX	103.0	-3.8931308	0.0	0.0	SMG8,RPS19,RPL29,RNPS1,RPS23,RPS4Y1,RPS25,RPS18,RPL5,RPSA,RPL6,RPL11,RPS12,RPS2,RPL4,RPL31,RPL9,RPLP1,RPL3,RPS14,RPL14,RPL32,RPS5,MAGOH,RPL27,RPS7,RPL37A,RPL22,RPL23,RPL7,RPS24,SMG6,RPS6,RPL15,RPL35,RPL39,RPL26L1,RPL30,RPS13,SMG9,RPL13A,UBA52,RPS8,RPL19,RPL24,RPS11,RPS29,RPL13,RPS3,RPL35A,RPS3A,RPL41,RPL23A,RPL34,RPL38,RPS16,RPS4X,RPL28,RPL27A,RPL10A,RPL18A,RPS15,RPL36,RPS10,RPL37,RPL17,RPS15A,RPS28,RPL18,RPS27A,RPL21,RBM8A,RPL8,RPS26,EIF4A3,FAU,RPS21,RPL12,RPL26,RPS27,RPL3L
REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION	99.0	-3.8611774	0.0	0.0	RPL6,RPL11,POLR2F,RPS12,RPS2,RPL4,RPL31,RPL9,RPLP1,RPL3,RPS14,RPL14,POLR2C,RPL32,RPS5,RPL27,RPS7,RPL37A,RPL22,RPL23,RPL7,RPS24,RPS6,RPL15,RPL35,RPL39,RPL26L1,RPL30,RPS13,RPL13A,UBA52,RPS8,RPL19,RPL24,RPS11,RPS29,GTF2F1,RPL13,POLR2H,RPS3,RPL35A,RPS3A,RPL41,RPL23A,RPL34,RPL38,RPS16,RPS4X,RPL28,RPL27A,RPL10A,RPL18A,RPS15,RPL36,RPS10,RPL37,RPL17,RPS15A,RPS28,RPL18,RPS27A,RPL21,RPL8,RPS26,FAU,RPS21,RPL12,RPL26,RPS27,RPL3L
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	105.0	-3.5127454	0.0	0.0	RPS19,RPL29,RPS23,SRPRB,RPS4Y1,RPS25,RPS18,RPL5,SPCS1,SSR2,RPSA,RPL6,RPL11,SEC11A,RPS12,RPS2,RPL4,RPL31,RPL9,RPLP1,RPL3,RPS14,RPL14,RPL32,RPS5,RPL27,RPS7,RPL37A,RPL22,RPL23,RPL7,RPS24,RPS6,RPL15,RPL35,RPL39,RPL26L1,RPL30,RPS13,RPL13A,SEC61A2,UBA52,RPS8,RPL19,RPL24,RPS11,RPS29,RPL13,RPS3,RPL35A,RPS3A,RPL41,RPL23A,RPL34,RPL38,RPS16,RPS4X,RPL28,RPL27A,RPL10A,RPL18A,RPS15,RPL36,RPS10,RPL37,RPL17,RPS15A,RPS28,RPL18,RPS27A,RPL21,RPL8,RPS26,FAU,RPS21,RPL12,RPL26,RPS27,RPL3L
REACTOME_GPCR_LIGAND_BINDING	332.0	-3.4584804	0.0	0.0	ADM2,CXCL9,CCL28,PTH1R,HRH1,OXTR,CHRM5,CNR2,GPR55,S1PR5,FZD9,FZD6,TSHR,CCR4,FZD10,INSL3,CXCR2,NMBR,RAMP1,NPFFR1,P2RY11,HRH4,GPR39,GRM7,OXER1,XCL2,WNT7B,GNGT1,OPN3,TBXA2R,PROKR1,GRM1,CXCL12,WNT10A,GNB4,CXCL3,GHRL,LPAR6,S1PR1,ADORA2B,FZD3,DRD1,ADORA2A,TACR1,CD55,RAMP2,C3,CXCR4,WNT10B,CXCR6,PENK,GCGR,NTSR1,CXCL5,GNG7,P2RY2,C5,CYSLTR1,ADRB1,WNT4,P2RY14,CXCR1,WNT11,CXCL16,HTR2B,GPR68,HCAR2,GPR4,F2RL1,GNRH2,CXCR3,VIP,UTS2,GAL,LTB4R2,CCL21,LPAR2,CNR1,GPR65,WNT2,GNG3,CX3CL1,SMO,P2RY10,FZD8,EMR3,MC1R,CCR1,AGTR1,FZD2,EDNRA,WNT6,GRM4,BDKRB2,EMR1,PTGER4,WNT2B,GIPR,DARC,NPW,BDKRB1,WNT5A,XCL1,HRH2,OPN4,PTCH2,VIPR1,WNT3,LTB4R,P2RY13,CX3CR1,CCR10,GNG4,ADCYAP1,PTAFR,PTGIR,CCL2,PTGDR,PTHLH,SSTR1,ADCYAP1R1,CCR7,CCR2,GALR1,ADRB3,WNT9A,FPR3,FPR1,FFAR2,GRM2,XCR1,FFAR3,CCR5,WNT9B,CXCL1,APLNR,VIPR2
REACTOME_TRANSLATION	141.0	-2.9931812	0.0	0.0	SSR2,RPSA,EEF1B2,EEF1A1,RPL6,RPL11,SEC11A,RPS12,RPS2,RPL4,EIF3H,RPL31,EIF3F,RPL9,RPLP1,RPL3,RPS14,RPL14,RPL32,RPS5,RPL27,RPS7,RPL37A,RPL22,RPL23,RPL7,RPS24,RPS6,RPL15,EIF2B4,RPL35,RPL39,EIF4A1,EIF3D,RPL26L1,RPL30,RPS13,RPL13A,SEC61A2,UBA52,RPS8,RPL19,RPL24,RPS11,EIF3E,RPS29,EIF2S3,RPL13,RPS3,RPL35A,RPS3A,RPL41,RPL23A,RPL34,RPL38,RPS16,EIF3G,RPS4X,RPL28,EEF1D,RPL27A,RPL10A,RPL18A,RPS15,RPL36,RPS10,RPL37,RPL17,RPS15A,RPS28,RPL18,RPS27A,RPL21,EIF4B,RPL8,RPS26,FAU,RPS21,RPL12,RPL26,RPS27,EIF4A2,RPL3L,EIF4EBP1
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	58.0	-2.7969196	0.0	0.0001774925	KLRC1,CD19,PVRL2,CD200R1,ITGB2,CDH1,VCAM1,KLRD1,ICAM3,B2M,CD34,C3,CD40,CRTAM,ITGB7,ICAM2,CD3G,CD247,TYROBP,ITGAL,ICAM1,LILRB5,CD96,ICAM4,AMICA1,HCST,FCGR2B,SELL,CD3E,IFITM1,CD40LG,CD3D
REACTOME_INFLUENZA_LIFE_CYCLE	133.0	-2.7361968	0.0	0.0003125329	RPL6,RPL11,NUP62,POLR2F,RPS12,RPS2,RPL4,NUP85,HSPA1B,RPL31,RPL9,RPLP1,RPL3,RPS14,RPL14,POLR2C,RPL32,RPS5,RPL27,RPS7,RPL37A,RPL22,RPL23,RPL7,RPS24,RPS6,RPL15,RPL35,RPL39,RPL26L1,RPL30,RPS13,RPL13A,UBA52,RPS8,RPL19,RPL24,RPS11,RPS29,GTF2F1,RPL13,POLR2H,RPS3,AAAS,RPL35A,RPS3A,RPL41,RPL23A,RPL34,RPL38,RPS16,RPS4X,RPL28,RPL27A,RPL10A,RPL18A,RPS15,RPL36,RPS10,RPL37,RPL17,RPS15A,RPS28,RPL18,RPS27A,RPL21,RPL8,RPS26,NUP35,FAU,RPS21,RPL12,RPL26,RPS27,RPL3L,NUP210
REACTOME_GPCR_DOWNSTREAM_SIGNALING	465.0	-2.6670585	0.0	0.00068591256	PTH1R,HRH1,OXTR,CHRM5,NGEF,CNR2,GPR55,S1PR5,OR5B2,PDE7B,TSHR,CCR4,INSL3,ADCY1,CXCR2,GNAL,NMBR,RAMP1,NPFFR1,P2RY11,HRH4,RGS18,PRKCQ,OR8S1,PDE1A,OR7D2,OR1L8,FGD1,PDE4B,OXER1,XCL2,OR52N4,GNGT1,RASGRP2,OPN3,TBXA2R,PROKR1,RASGRF1,CXCL12,GNB4,CXCL3,GHRL,LPAR6,PLEKHG2,S1PR1,ADORA2B,DRD1,ARHGEF17,ADORA2A,TACR1,ARHGEF3,PRKCH,RAMP2,C3,NET1,OR10V1,CXCR4,OR2C1,RHOC,CXCR6,PENK,GCGR,DGKH,NTSR1,CXCL5,GNG7,P2RY2,GNAZ,PLCB3,RGS19,RAC2,C5,CYSLTR1,ADRB1,P2RY14,ADRBK1,OR51E1,CXCR1,CXCL16,ADCY9,RGS9,HTR2B,VAV1,GNA14,DGKG,GPR68,HCAR2,GPR4,F2RL1,GNRH2,CXCR3,VIP,UTS2,GAL,LTB4R2,ADCY7,RGS6,CCL21,PDE2A,LPAR2,CNR1,GPR65,GNAI2,GNG3,DGKE,GNA15,DAGLA,P2RY10,ADCY4,ARHGEF1,FGD2,MC1R,CCR1,AGTR1,EDNRA,RASGRP1,RGS2,DAGLB,PDE4C,BDKRB2,PTGER4,GIPR,NPW,BDKRB1,XCL1,HRH2,OPN4,VIPR1,PRKCB,LTB4R,P2RY13,ARHGEF4,DGKA,CCR10,GNG4,ADCYAP1,ADCY3,PTAFR,RGS17,PLCB2,OR51E2,PTGIR,RGS11,PTGDR,PTHLH,SSTR1,ADCYAP1R1,CCR7,CCR2,GALR1,ADRB3,OBSCN,ARHGEF25,FPR3,FPR1,FFAR2,PIK3R6,XCR1,FFAR3,CCR5,CXCL1,APLNR,VIPR2
