Name	Size	NES	NOM p-value	FDR q-value	Gene Details
CELL_CELL_SIGNALING	360.0	-3.1366136	0.0	0.0	SLC5A7,EDN3,TGFB3,SCN1B,AKAP5,DOC2A,PTGIR,SLC1A6,TNFSF18,PPARD,SYN3,CXCL13,FGF11,NOVA1,TMED1,CHRNA10,BST2,ADRA1D,EIF2B2,SH2D1A,GABRR1,PGR,SEPT5,PLP1,PCDH1,KCNN3,PCDHB14,CHRNA5,TNFSF9,SSTR1,BAIAP3,EFNA2,GLRB,PGF,CCL16,GRB10,OPRK1,CCL5,GRAP,PYY,GDNF,NLGN1,HCRTR1,CCL17,KCNC4,GRM3,PCDHB13,SIGLEC6,NMUR1,GDF5,FAM3B,ADCYAP1,PDE7B,GALR2,TBX5,TNFSF10,SLC6A1,KIF5A,GRIA1,TSPAN32,FAM3D,GRIN2A,CXCL10,GABRR2,CD24,INHA,OSM,EFNA3,KCNQ5,LIF,AGT,GJA1,VIPR1,IL11,CPNE6,CPLX1,FASLG,PCDHB4,CHRNB1,CACNA1B,AMIGO1,SIRPG,PCDHB11,GRIK2,CXCL5,FGF12,MYCBPAP,EFNA1,IL17B,CCL27,MAL,CBLN1,SYN1,DRD1,TUSC2,NMUR2,SNCAIP,ADRA1B,FGF9,SEMA3B,CXCL14,GUCA1B,BSN,NPTX1,INHBA,CXCL9,CORT,CCL21,PCDHB10,RIMS1,CXCL11,VIPR2,UTS2,CCL8,GRM1,SCN2B,PCSK6,AMH,KCND2,CCL23,CCL13,PTHLH,CD70
RNA_PROCESSING	169.0	-2.605276	0.0	0.008596284	PABPC1,TRA2B,RNMT,LSM5,NUFIP1,SARS,LSM3,NCBP2,DBR1,INTS7,SRPK2,GEMIN7,POP4,HNRNPC,SSB,DDX39A,INTS10,BCAS2,AARS,DUSP11,GRSF1,CPSF3,PRPF31,SYNCRIP,AGGF1,SRPK1,CSTF1,LSM1,GEMIN5,EFTUD2,KHSRP,CDK11A,RBMS1,USP39,SLBP,SRSF9,KIN,INTS1,NUDT21,DHX15,SF3B3,TRNT1,BICD1,HNRNPR,CELF1,SLU7,PRPF4B,METTL1,ZNF638,SRSF6,CDC40,SNRPA1,PPIG,CSTF3,RNGTT,DDX54,SRSF10,HNRNPH3,PHF5A,NONO,NOLC1,SRSF11,UPF1,LSM6,INTS8,DHX38,INTS12,CRNKL1,HNRNPUL1,LSM4,DIS3,CSTF2,CWC15,SF3A1,NOP14,NOP56,HNRNPA0,SRSF7,SNRPC,INTS6,SF3A3,SNW1,RP9,NCBP1,SNRPD3,TRA2A,DDX23,NOL3,GEMIN2,INTS4,HNRNPD,RBMS2,DHX8,ZRANB2,SNRPB2,RBPMS,HNRNPF,SNRPF,SNRPD1,SRSF1,EXOSC2,SF3B2,SNRNP200,DGCR8,RNPS1,PRPF8,SPOP,NHP2,SNRNP40,NOP58,RBM6,KHDRBS1,RBM5,INTS9,INTS5,NSUN2,RPS14,CPSF6,SRRM1,SRSF4,INTS2,ADAT1,PTBP1,SF1,DDX17,SRSF12,CDK11B,SNRPB,SNRPD2,GEMIN8,ZNF346,GEMIN6,EXOSC7,THG1L,NOVA1,SF3A2,U2AF1,SRSF5,INTS3,GEMIN4,SRSF2,PPAN,SFPQ,FBL,CPSF3L,SNRPN,LUC7L3,SFSWAP,RRP9,PPARGC1A,SF3B4,CPSF1,SNRNP70,PRPF3
TRANSMISSION_OF_NERVE_IMPULSE	167.0	-2.417335	0.0	0.019104622	SCN1B,AKAP5,DOC2A,SLC1A6,PPARD,SYN3,NOVA1,CHRNA10,EIF2B2,GABRR1,SEPT5,PLP1,KCNN3,PCDHB14,CHRNA5,BAIAP3,GLRB,OPRK1,GDNF,NLGN1,HCRTR1,KCNC4,GRM3,PCDHB13,NMUR1,PDE7B,GALR2,SLC6A1,KIF5A,GRIA1,GRIN2A,GABRR2,CD24,KCNQ5,VIPR1,CPNE6,CPLX1,PCDHB4,CHRNB1,CACNA1B,AMIGO1,PCDHB11,GRIK2,MYCBPAP,MAL,CBLN1,SYN1,DRD1,NMUR2,SNCAIP,BSN,NPTX1,CORT,PCDHB10,RIMS1,UTS2,GRM1,SCN2B,KCND2
RNA_SPLICING	91.0	-2.2570832	0.0019723866	0.049693447	CELF1,SLU7,PRPF4B,ZNF638,SRSF6,CDC40,SNRPA1,PPIG,SRSF10,HNRNPH3,PHF5A,NONO,SRSF11,LSM6,DHX38,CRNKL1,LSM4,CWC15,SF3A1,SRSF7,SNRPC,SF3A3,SNW1,RP9,NCBP1,SNRPD3,TRA2A,DDX23,NOL3,GEMIN2,DHX8,ZRANB2,SNRPB2,HNRNPF,SNRPF,SNRPD1,SRSF1,SF3B2,SNRNP200,RNPS1,PRPF8,SNRNP40,SRRM1,SRSF4,PTBP1,SF1,SRSF12,SNRPB,SNRPD2,GEMIN8,GEMIN6,NOVA1,SF3A2,U2AF1,SRSF5,SRSF2,PPAN,SFPQ,SNRPN,LUC7L3,SFSWAP,PPARGC1A,SF3B4,SNRNP70,PRPF3
SYNAPTIC_TRANSMISSION	152.0	-2.2340884	0.0	0.045747403	UNC119,SLC5A7,SCN1B,AKAP5,DOC2A,SLC1A6,SYN3,NOVA1,CHRNA10,GABRR1,SEPT5,PLP1,KCNN3,PCDHB14,CHRNA5,BAIAP3,GLRB,OPRK1,GDNF,NLGN1,HCRTR1,KCNC4,GRM3,PCDHB13,PDE7B,GALR2,SLC6A1,KIF5A,GRIA1,GRIN2A,GABRR2,CD24,KCNQ5,VIPR1,CPNE6,CPLX1,PCDHB4,CHRNB1,CACNA1B,PCDHB11,GRIK2,MYCBPAP,CBLN1,SYN1,DRD1,SNCAIP,BSN,NPTX1,CORT,PCDHB10,RIMS1,UTS2,GRM1,SCN2B,KCND2
TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER	427.0	-2.1924605	0.0	0.049852256	NRIP1,RUNX3,E2F6,CLOCK,ELF1,NR0B2,ZNF143,RUNX1,TFAP2C,MKL2,SHOX,MED14,TSC22D1,MED30,ELL2,FOXO1,GFI1B,GTF2F2,DNMT1,CHD4,ASH1L,ARID4A,MAF,ELL,CEBPZ,MYF6,ATF6,NFYA,NUFIP1,HSF2BP,ZNF136,CEBPD,NFATC3,DRAP1,SLA2,PRDM1,KLF9,RREB1,SKIL,CUX1,SMAD2,UTF1,MAML3,LRRFIP1,SUB1,CEBPB,CREG1,SNAPC5,BRCA1,SNAPC3,SQSTM1,GTF2H1,AHR,ZBTB38,PRKAR1A,TRIP11,PARP1,RUVBL1,BLZF1,NMI,MED27,ZBTB32,POLR2K,TAF2,TIAL1,TCEB1,POU1F1,ELP4,SOX12,POLR2D,SREBF2,SUPT16H,MED21,SMARCAL1,SMARCB1,BCL6,TCF7L2,DEK,TAF9,ASH2L,NSD1,ZNF174,PAX1,CCNH,FOSL2,COPS2,HOXD13,AFF4,YY1,MAML2,TCF15,PBX4,TCF12,ZNF254,CCNT1,ZFHX3,CDX2,IRF2,KDM5A,TRIP4,ZNF148,SNF8,TFAP2B,LITAF,POLR2F,POLR2B,BRD7,MAZ,NFRKB,STAT1,SMARCA5,MDM4,LMO4,EID1,NFE2L1,MED13,CBFB,SMARCE1,THRAP3,EPC1,NCOR1,STAT3,KLF7,PSMC5,APEX1,TCFL5,NFATC1,CTCF,ATF4,SAP18,POU4F1,NKX2-5,FOSB,ZNF281,MED20,ELF4,ZNF202,SUPT4H1,MED6,MEIS2,ZNF189,VEZF1,HEXIM2,ELF5,TFAP2A,ZMYND11,ELP2,TGIF1,POU2F2,NR3C1,DR1,STAT2,CRK,MYO6,CHD1,TNFRSF1A,NFYC,RXRA,MEN1,TP53,NFE2L3,MED1,TARBP2,NFATC4,CHD2,TFCP2,SP1,HTATSF1,RNF4,UBN1,HCFC2,TRIM24,SRCAP,GTF2B,ELK1,SMARCD3,MSL3,NFAT5,GTF2E2,ADRM1,POLR2L,CCNT2,TBX3,TCEB3,TAF6L,CEBPA,CIAO1,GLIS3,NRL,TCEB2,ELF2,ZEB1,POLR2J,FOS,CCNK,TRAK1,POLR2E,USF1,HMGB2,POLR2I,UBP1,PBX3,EPAS1,RB1,MED23,IKBKAP,ZNF354A,FOXO4,SNAI2,FOXO3,ZNF76,MLLT1,PPARA,VHL,NCOA6,NFE2L2,KAT5,SNW1,MXD4,SMARCD2,NFX1,GATA3,ATF5,PRPF6,GABPB2,RYBP,NFKB1,SP2,ERCC3,TWIST1,SUPT5H,TCEB3B,ECD,HSBP1,IL4,SMARCA2,KCNIP3,BTF3,MED4,SPIB,PPARG,MBD1,PHF21A,NR2F2,HEXIM1,HSF2,TRIM28,SMARCD1,MNX1,SOX5,TADA2A,TCF25,TAF1C,PRDM4,BMP6,GTF2F1,MAML1,TCERG1,ZFPM2,JUNB,MED26,TGFB1I1,THRA,KLF11,SMAD3,ELP3,ZNF345,SUPT3H,TBX19,MED7,FOXK2,POLR2G,HMGB1,ZMIZ2,TCEAL1,IKZF3,MED12,COPS5,BRD8,TARDBP,GMEB2,TARBP1,KLF10,NFIC,DEAF1,ABL1,TEAD4,MAX,ERCC2,NRF1,MED24,POU6F2,CITED2,CEBPG,SMARCC2,TAF5L,TBP,MED17,TAF1A,POLR2C,CDK9,BUD31,TFDP1,MNAT1,PBX1,JUND,PLAGL1,TADA3,ZNF177,HOXC5,TAF5,FUBP1,FOXH1,VPS72,PPARD,GTF2H4,KLF12,DDIT3,TCF19,HIRA,CREB5,CRTC1,SNAPC2,ORC2,PAWR,MNT,CHD3,NFIX,SNAPC4,ETV7,ERF,TRIM27,GATA2,NR5A2,RBM14,IRF3,SOX18,ETV1,IRF7,PPARGC1A,SP4,KLF13,SREBF1,ELL3,CITED1,GLI1,FOXD3,TFAP4,PMF1,KAT2A,NR6A1,GLIS1,BATF3,IRF9,IRF1,FST,ELF3,MED16,MDFI,YBX2,KLF5,HOXC6,MYEF2,GFI1,DBP,INHBA,MYCN,ABT1,HLF,POU2F3,NKX3-2,CDK7,TRIM29
REGULATION_OF_RNA_METABOLIC_PROCESS	448.0	-2.177749	0.003875969	0.047919665	ZNF143,RUNX1,TFAP2C,CRABP2,MKL2,RARB,MED14,NFYB,NAA16,TFAM,FOXO1,POU5F1,GFI1B,REST,DNMT1,CHD4,PABPC1,TAF8,ARID4A,NAA15,ARHGEF11,MYF6,ATF6,NFYA,NUFIP1,ZNF136,NFATC3,DRAP1,SLA2,PRDM1,HELLS,SIRT1,KLF9,RREB1,PQBP1,CUX1,SMAD2,UTF1,MAML3,BCL10,LRRFIP1,SUB1,CREG1,BRCA1,ILF2,SQSTM1,GTF2H1,RBAK,AHR,ZBTB38,RBPJ,PRKAR1A,RUVBL1,BLZF1,MED27,ZBTB32,POLR2K,NANOG,PTF1A,TIAL1,TCEB1,ELP4,HNRNPAB,SOX12,HDAC2,SREBF2,MED21,SMARCAL1,SMARCB1,HNF1B,NOTCH2,KDM5B,BCL6,TCF7L2,ZNF35,DEK,NSD1,ZNF174,CCNH,FOSL2,HOXD13,GCM1,ARID5B,YY1,MAML2,ATRX,TCF15,PBX4,TCF12,ZNF254,SRPK1,PAIP1,ZFHX3,KLF4,IRF2,ERCC6,ZNF148,SNF8,TFAP2B,ZHX3,LITAF,RPS6KA4,BRD7,BCOR,CDK11A,SMARCA5,MDM4,SP100,EID1,CARM1,MED13,CNBP,SMARCE1,THRAP3,EPC1,STAT3,KLF7,FOXN3,SCRT1,TCFL5,NFATC1,ESR2,CTCF,ATF4,VPS4B,SAP18,POU4F1,MAFA,NKX2-5,FOSB,ZNF281,MED20,ELF4,ZNF202,ARID5A,SUPT4H1,RSF1,MED6,MEIS2,ZNF189,VEZF1,HEXIM2,CIR1,TFAP2A,ZMYND11,ELP2,TGIF1,DR1,ZNF274,LIMD1,STAT2,CRK,ZNF146,MYO6,CHD1,TNFRSF1A,NFYC,TSC22D3,RXRA,MEN1,SRSF10,TP53,MED1,TARBP2,CHD2,TFCP2,SP1,PHF5A,HTATSF1,RNF4,UBN1,HCFC2,SRCAP,GATA6,ELK1,SMARCD3,SCAP,POLR2L,NR2C2,PREB,TBX3,TCEB3,TAF6L,CIAO1,GLIS3,ELF2,SP3,ZEB1,LMX1B,MYBBP1A,FOS,TRAK1,RPS6KA5,SMAD4,HMGB2,SUFU,UBP1,CREBBP,PBX3,EPAS1,JMJD1C,RB1,MED23,XRCC6,IKBKAP,PA2G4,ZNF354A,FOXO4,SNAI2,FOXO3,ZNF76,VHL,NCOA6,SNW1,SIRT5,MXD4,CBY1,PHF12,SMARCD2,NFX1,RPL6,ATF5,KAT7,PRPF6,NCBP1,GABPB2,RYBP,ARHGEF10L,SP2,ERCC3,TWIST1,SUPT5H,CHMP1A,TCF4,MMS19,HSBP1,PFDN5,IL4,SMARCA2,KCNIP3,ZNF396,PEX14,SPIB,PPARG,FOXF2,PHF21A,NR2F2,HEXIM1,ATF7,TRIM28,SMARCD1,HNRNPF,MNX1,HNF1A,ZBTB16,UBTF,TCF25,BMP6,MAML1,NFKB2,ZFPM2,JUNB,MED26,ILF3,KLF11,SMAD3,ELP3,ZNF345,SUPT3H,TBX19,MED7,FOXK2,HMGB1,ZMIZ2,CXXC1,TCEAL1,IKZF3,MED12,BRD8,TARBP1,KLF10,ABL1,ZNF45,TRAPPC2,TEAD4,ING4,ERCC2,NRF1,POU6F2,GATAD2A,ZHX2,HDAC4,MZF1,CITED2,CEBPG,SMARCC2,SIN3A,MED17,EDF1,BUD31,TFDP1,MNAT1,SRSF12,CDK11B,PBX1,JUND,PLAGL1,TADA3,ZNF177,HOXC5,ZNF263,PCBD2,FOXH1,VPS72,PPARD,SMARCA1,TCF3,NR1D2,KLF12,HDAC5,DDIT3,CTNNBIP1,TCF19,TWIST2,HIRA,MLLT6,CREB5,CRTC1,ORC2,PAWR,ING2,NFATC2,CHD3,ZNF74,SIRT4,PATZ1,ERF,POLR3C,HIC1,TRIM27,HMGA2,ZNF282,TNF,RBM14,NDUFA13,SLC2A4RG,POLR3G,TBX22,SOX18,LDB1,IRF7,SP4,TRIM22,SREBF1,ELL3,HSF4,CITED1,GLI1,TBX2,TBX5,DYRK1B,FOXD3,TFAP4,PAX8,KAT2A,NR6A1,GLIS1,RIPPLY1,HDAC10,FST,MDFI,AFAP1L2,HOXC6,ESRRG,GFI1,DBP,INHBA,MYCN,TP73,DAXX,POU2F3,ELAVL2,RORB,CDK7
SYSTEM_PROCESS	496.0	-2.1627982	0.0	0.045868628	AQP1,HCN4,SERPING1,TECTA,ABLIM1,CRYBB3,WFS1,HRC,DNAJC19,MYO1A,UNC119,CLCNKB,SIX6,SLC5A7,HOXB2,SCN1B,MYOM1,AKAP5,DOC2A,SLC1A6,PPARD,SLMAP,ARR3,SYN3,NOVA1,POU4F3,RPE65,LTB4R,CHRNA10,OPN4,EIF2B2,GABRR1,MEOX2,SEPT5,TNNC2,PLP1,KCNN3,PCDHB14,TAZ,CHRNA5,PABPN1,DHRS3,CNN1,BAIAP3,GLRB,NMU,KNG1,VSX1,RTP4,PDE6D,IMPG2,NPHS1,TPM1,OPRK1,LPA,MYH11,PPP1R12B,GDNF,NLGN1,CRX,HSPB7,HCRTR1,SCTR,KCNC4,RYR2,GRM3,PCDHB13,ROM1,SAG,NMUR1,COCH,EYA4,PDE7B,ABCA4,GALR2,TAS1R1,PDC,CASQ2,SLC6A1,KIF5A,CLCN5,GRIA1,GRIN2A,SGCA,CXCL10,GNAO1,GABRR2,CD24,EYA1,KCNE1L,KCNQ5,SCNN1B,DFNA5,AGT,SCNN1G,KCNH2,RRH,GJA1,VIPR1,AQP6,KCNJ12,SMTN,SLC26A4,CPNE6,CPLX1,AQP5,PCDHB4,CHRNB1,CACNA1B,AMIGO1,FSCN2,TAS2R5,PCDHB11,GRIK2,CNGB1,SCN4A,CHRM2,MYCBPAP,XCL2,RGR,MAL,CBLN1,SYN1,DES,TAS1R3,DRD1,DLL4,KCNQ4,NMUR2,USH2A,GNB3,SNCAIP,TNNC1,CRYM,TACSTD2,BSN,CNGA1,NPTX1,CORT,KCNB2,PCDHB10,OPN1SW,RIMS1,KCNK5,UTS2,TAS2R4,GRM1,SCN2B,SCN5A,CDS1,KCND2,TRDN
MRNA_METABOLIC_PROCESS	84.0	-2.110839	0.0	0.057308894	DDX20,PABPC1,TRA2B,RNMT,LSM5,GSPT1,LSM3,SRPK2,GEMIN7,UPF2,SSB,DDX39A,GRSF1,CPSF3,PRPF31,SRPK1,PAIP1,CSTF1,LSM1,GEMIN5,EFTUD2,KHSRP,AUH,CDK11A,USP39,SLBP,SRSF9,KIN,SMG1,NUDT21,DHX15,SF3B3,HNRNPR,CELF1,SLU7,SRSF6,CSTF3,RNGTT,SRSF10,PHF5A,NONO,SRSF11,DHX38,CRNKL1,CSTF2,CWC15,SF3A1,HNRNPA0,SRSF7,SF3A3,SNW1,NCBP1,TRA2A,SMG7,GEMIN2,SNRPD1,SRSF1,HSPA1B,SMG5,SPOP,KHDRBS1,SMG6,CPSF6,SRSF4,PTBP1,SF1,SRSF12,CDK11B,SNRPD2,GEMIN8,GEMIN6,ZFP36,SF3A2,SRSF5,SRSF2,SFPQ,SFSWAP,PPARGC1A,CPSF1
TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY	46.0	-2.0917306	0.0020618557	0.05869436	LEFTY1,HIPK2,TGFBR1,MAP3K7,LTBP2,FNTA,TGFBRAP1,SMURF1,ACVR2B,SMAD7,STUB1,ZFYVE9,SMAD4,RGMB,EID2,GDF9,BMPR1A,SOST,SMAD5,SMAD3,TGFBR3,KLF10,FMOD,ACVRL1,ACVR1,GDF10,CITED2,ACVR2A,FOXH1,ACVR1B,CDKN1C,GDF5,SMAD1,CIDEA,INHBA,LEFTY2,VWC2
