Name	Size	NES	NOM p-value	FDR q-value	Gene Details
REACTOME_PEPTIDE_CHAIN_ELONGATION	83.0	-3.937723	0.0	0.0	RPS18,RPLP0,RPS25,RPS2,RPL9,RPL7,RPL14,RPLP2,RPS7,RPL18A,RPSA,RPS27A,RPL10A,RPL4,EEF2,EEF1A1,RPL29,RPS12,RPL5,RPL26,RPL10,RPL31,RPS15,RPS8,RPL35A,RPS3,RPS3A,RPL21,RPL23,RPL22,RPS13,RPS23,RPL38,RPL3,RPS20,UBA52,RPS24,RPL39,RPS5,RPL17,RPL37A,RPL12,RPL15,RPL6,FAM153A,RPL27A,RPL27,RPL26L1,RPS15A,RPL35,RPL19,RPS6,RPL11,RPL13A,RPS16,RPL24,RPL8,RPL32,RPLP1,RPL36,RPL30,RPS11,RPL34,RPL13,RPS29,RPS14,RPL23A,FAU,RPL41,RPS28,RPL37,RPS27,RPS21,RPL18,RPS4Y1,RPS26
REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION	99.0	-3.4663427	0.0	0.0	POLR2A,POLR2F,POLR2B,RPS4X,RPL28,RPS18,RPLP0,RPS25,RPS2,RPL9,RPL7,RPL14,RPLP2,RPS7,RPL18A,RPSA,RPS27A,RPL10A,RPL4,RPL29,RPS12,RPL5,POLR2L,RPL26,RPL10,RPL31,RPS15,RPS8,RPL35A,RPS3,RPS3A,RPL21,RPL23,POLR2J,RPL22,RPS13,IPO5,RPS23,POLR2E,POLR2I,RPL38,RPL3,RPS20,UBA52,RPS24,RPL39,RPS5,RPL17,RPL37A,RPL12,RPL15,RPL6,FAM153A,RPL27A,RPL27,RPL26L1,RPS15A,RPL35,RPL19,RPS6,RPL11,RPL13A,RPS16,GTF2F1,RPL24,RPL8,RPL32,RPLP1,RPL36,RPL30,RPS11,POLR2G,RPL34,RPL13,RPS29,RPS14,RPL23A,FAU,RPL41,POLR2C,RPS28,RPL37,RPS27,RPS21,RPL18,POLR2H,RPS4Y1,RPS26
REACTOME_NONSENSE_MEDIATED_DECAY_ENHANCED_BY_THE_EXON_JUNCTION_COMPLEX	103.0	-3.2449338	0.0	0.0	RPS18,RPLP0,RPS25,RPS2,SMG1,RPL9,RPL7,RPL14,RPLP2,RPS7,PPP2R1A,RPL18A,RPSA,RPS27A,RPL10A,RPL4,RPL29,RPS12,RPL5,RPL26,RPL10,RPL31,RPS15,CASC3,RPS8,RPL35A,RPS3,RPS3A,RPL21,RPL23,RPL22,RPS13,RPS23,RPL38,RPL3,RPS20,UBA52,RPS24,RPL39,RPS5,RPL17,RPL37A,RPL12,RPL15,RPL6,NCBP1,FAM153A,RPL27A,RPL27,SMG7,RPL26L1,RPS15A,RPL35,RPL19,RPS6,RPL11,RPL13A,RPS16,RPL24,RPL8,RNPS1,RPL32,RPLP1,SMG5,RPL36,RPL30,RPS11,RPL34,RPL13,RPS29,RBM8A,SMG6,RPS14,RPL23A,FAU,RPL41,RPS28,RPL37,RPS27,RPS21,RPL18,UPF3A,RPS4Y1,RPS26
REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION	103.0	-3.0280163	0.0	0.0	RPS18,RPLP0,RPS25,RPS2,RPL9,RPL7,EIF4A2,RPL14,RPLP2,RPS7,EIF3I,RPL18A,RPSA,RPS27A,RPL10A,RPL4,RPL29,RPS12,RPL5,RPL26,RPL10,RPL31,RPS15,RPS8,EIF3F,RPL35A,RPS3,RPS3A,RPL21,RPL23,RPL22,RPS13,RPS23,RPL38,RPL3,RPS20,UBA52,RPS24,RPL39,RPS5,RPL17,RPL37A,RPL12,RPL15,RPL6,EIF3D,EIF3G,FAM153A,EIF4B,RPL27A,RPL27,EIF3K,RPL26L1,RPS15A,RPL35,RPL19,RPS6,RPL11,EIF3H,RPL13A,RPS16,RPL24,RPL8,RPL32,RPLP1,RPL36,RPL30,RPS11,RPL34,RPL13,RPS29,RPS14,RPL23A,FAU,RPL41,RPS28,RPL37,RPS27,RPS21,RPL18,RPS4Y1,EIF4H,RPS26
REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS	79.0	-2.8880482	0.0	0.00013652173	GNG3,RAMP3,VIP,SMO,GNG11,FZD8,FZD2,PTCH2,GNGT2,SCTR,PTCH1,WNT10A,FZD3,ADCYAP1,GNG7,SCT,RAMP2,GNGT1,FZD10,WNT9A,ADCYAP1R1,GNG13,VIPR1,WNT11,GNG4,WNT2,CD55,GNB3,PTH2R,GLP1R,VIPR2,WNT16,WNT10B,GIPR,PTHLH,WNT4
REACTOME_GPCR_LIGAND_BINDING	332.0	-2.7982752	0.0	0.00022655545	EDNRA,P2RY13,CXCL13,GNG3,HRH1,RAMP3,VIP,P2RY11,SMO,LTB4R,BDKRB2,GNG11,OPN4,ADRA1D,CCR7,FZD8,SSTR1,NMU,KNG1,FZD2,CCL16,HCAR3,CXCL1,CCL2,PTCH2,OPRK1,GNGT2,CCL5,PYY,HCRTR1,SCTR,CCL17,GRM3,P2RY4,PTCH1,NMUR1,WNT10A,NTS,FZD3,ADRB1,ADCYAP1,GNG7,NPW,GALR2,TAS1R1,SCT,AGTR1,RAMP2,GNGT1,FZD10,OPN5,CXCL10,WNT9A,ADCYAP1R1,CCL19,GPR68,AGT,GNG13,PTGFR,RRH,VIPR1,APLNR,WNT11,GNG4,PTGDR,XCR1,CCR10,WNT2,CXCL5,MC1R,LHCGR,CHRM2,TACR1,BDKRB1,XCL2,CCL27,RGR,SSTR5,TAS1R3,DRD1,CD55,CXCR3,NMUR2,GNB3,PTH2R,CHRM3,ADRA1B,GLP1R,CXCL9,CCL21,OPN1SW,CXCL11,VIPR2,WNT16,GALR1,WNT10B,UTS2,GRM1,CCR3,GIPR,PTHLH,NPFFR2,WNT4
REACTOME_METABOLISM_OF_MRNA	205.0	-2.7682505	0.0	0.00028499437	UPF2,PPP2CA,PSMC2,MAPK14,PSMA7,PSMD2,PSMC1,PSMA1,DDX6,PSMB7,MAGOH,PSMD6,PSMA4,AKT1,CNOT6,PSMD4,PSMC3,PSMA3,PAIP1,RPL7A,EIF4A3,LSM1,PSMD13,PPP2R2A,RPS4X,KHSRP,RPL28,YWHAB,PSMA2,PSMC4,PSMC5,PSMC6,RPS18,RPLP0,RPS25,RPS2,SMG1,RPL9,EDC3,CNOT2,PSMD3,PARN,RPL7,EIF4A2,TNFSF13,PSMD10,RPL14,RPLP2,YWHAZ,RPS7,PSME2,PPP2R1A,EXOSC9,RPL18A,XRN1,PSMF1,RPSA,RPS27A,PRKCD,RPL10A,CNOT10,RPL4,EXOSC5,PSMD5,CNOT7,ELAVL1,EDC4,RPL29,LSM6,RPS12,RPL5,CNOT4,RPL26,NUP214,RPL10,PSMB1,CNOT8,RPL31,RPS15,CASC3,PRKCA,RPS8,RPL35A,RPS3,RPS3A,PSMB4,RPL21,RPL23,RPL22,RPS13,RPS23,LSM4,DIS3,PSMB3,RPL38,RPL3,RPS20,HSPB1,UBA52,RPS24,RPL39,RPS5,EXOSC6,RPL17,RPL37A,ANP32A,RPL12,RPL15,RPL6,ZFP36L1,NCBP1,FAM153A,EIF4B,RPL27A,EXOSC8,RPL27,SMG7,RQCD1,PSMD9,RPL26L1,RPS15A,RPL35,HNRNPD,DCP1B,DCP1A,PATL1,RPL19,RPS6,RPL11,EXOSC2,RPL13A,RPS16,HSPA1B,RPL24,RPL8,RNPS1,RPL32,RPLP1,SMG5,TNKS1BP1,RPL36,RPL30,RPS11,RPL34,RPL13,RPS29,RBM8A,EXOSC1,SMG6,RPS14,RPL23A,FAU,RPL41,MAPK11,RPS28,EXOSC7,RPL37,ZFP36,RPS27,RPS21,PSMB10,RPL18,PSME1,UPF3A,DCPS,RPS4Y1,RPS26,LSM2,PSMA8,MAPKAPK2
REACTOME_INFLUENZA_LIFE_CYCLE	133.0	-2.761058	0.0	0.00024937006	POLR2A,POLR2F,POLR2B,NUP153,RPS4X,RPL28,RPS18,RPLP0,RPS25,RPS2,RPL9,RAE1,NUP62,NUP54,RPL7,NUP50,RPL14,RPLP2,RPS7,NUP93,RPL18A,POM121,RPSA,RPS27A,NUPL2,RPL10A,RPL4,RPL29,RPS12,RPL5,POLR2L,RPL26,NUP214,RPL10,RPL31,RPS15,RPS8,RPL35A,RPS3,RPS3A,RPL21,RPL23,POLR2J,RPL22,RPS13,IPO5,RPS23,POLR2E,POLR2I,RPL38,RPL3,RPS20,UBA52,RPS24,NUP133,RPL39,RPS5,RPL17,RPL37A,RPL12,NUP188,NUP107,RPL15,RPL6,FAM153A,RPL27A,RPL27,RPL26L1,RPS15A,RPL35,RPL19,RPS6,RPL11,NUP43,RPL13A,RPS16,HSPA1B,GTF2F1,RPL24,RPL8,RPL32,RPLP1,RPL36,RPL30,RPS11,POLR2G,RPL34,RPL13,RPS29,NUP35,RPS14,RPL23A,FAU,RPL41,POLR2C,RPS28,AAAS,NUP85,RPL37,RPS27,RPS21,RPL18,POLR2H,RPS4Y1,RPS26
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	134.0	-2.755848	0.0	0.00022166228	HNRNPU,HNRNPC,POLR2K,POLR2D,CLP1,NUP155,CPSF3,NUP205,MAGOH,NUP88,DNAJC8,TPR,SEH1L,PCBP1,CSTF1,EFTUD2,POLR2A,POLR2F,POLR2B,NUP153,SLBP,SRSF9,SRSF3,RAE1,NUDT21,NUP62,NUP54,SF3B3,HNRNPR,NUP50,SRSF6,CDC40,SNRPA1,CSTF3,NUP93,PRPF4,POM121,NUPL2,HNRNPK,PHF5A,SF3B14,SRSF11,CPSF7,HNRNPH1,DHX38,POLR2L,HNRNPA2B1,NUP214,HNRNPUL1,SF3B1,POLR2J,POLR2E,CSTF2,POLR2I,SF3A1,NUP133,HNRNPA0,SRSF7,DHX9,SF3A3,NUP188,NHP2L1,NUP107,NFX1,PRPF6,NCBP1,PCBP2,SNRPD3,CD2BP2,CCAR1,DDX23,HNRNPL,SUGP1,HNRNPD,SNRPB2,HNRNPA1,HNRNPF,SNRPF,SNRPD1,SRSF1,SF3B2,NUP43,SNRNP200,PCF11,GTF2F1,RNPS1,PRPF8,U2AF2,SNRNP40,POLR2G,HNRNPM,RBM8A,RBM5,NUP35,SRRM1,SRSF4,PTBP1,POLR2C,METTL3,AAAS,SNRPB,SNRPD2,NUP85,HNRNPA3,RBMX,SF3B5,NXF1,SF3A2,U2AF1,SRSF5,FUS,PABPN1,SNRPA,SRSF2,POLR2H,SF3B4,CPSF1,LSM2,SNRNP70
REACTOME_MRNA_SPLICING	105.0	-2.7542546	0.0	0.00019949605	NUDT21,SF3B3,HNRNPR,SRSF6,CDC40,SNRPA1,CSTF3,PRPF4,HNRNPK,PHF5A,SF3B14,SRSF11,CPSF7,HNRNPH1,DHX38,POLR2L,HNRNPA2B1,HNRNPUL1,SF3B1,POLR2J,POLR2E,CSTF2,POLR2I,SF3A1,HNRNPA0,SRSF7,DHX9,SF3A3,NHP2L1,NFX1,PRPF6,NCBP1,PCBP2,SNRPD3,CD2BP2,CCAR1,DDX23,HNRNPL,SUGP1,HNRNPD,SNRPB2,HNRNPA1,HNRNPF,SNRPF,SNRPD1,SRSF1,SF3B2,SNRNP200,PCF11,GTF2F1,RNPS1,PRPF8,U2AF2,SNRNP40,POLR2G,HNRNPM,RBM8A,RBM5,SRRM1,SRSF4,PTBP1,POLR2C,SNRPB,SNRPD2,HNRNPA3,RBMX,SF3B5,SF3A2,U2AF1,SRSF5,FUS,PABPN1,SNRPA,SRSF2,POLR2H,SF3B4,CPSF1,LSM2,SNRNP70
