Name	Size	NES	NOM p-value	FDR q-value	Gene Details
SPINDLE	38.0	2.444979	0.0	0.0	CDC20,BUB1,TPX2,KIF11,CENPF,AURKA,TTK,KIF4A,BIRC5,TUBG1,DLGAP5,CDK1,KIF23
CHROMOSOMEPERICENTRIC_REGION	30.0	2.3171065	0.0	0.0	BUB1,BUB1B,CENPF,ZWINT,MAD2L1,CENPA,BIRC5,CENPE,NDC80,PSEN2
SPINDLE_POLE	17.0	2.1310096	0.0	0.001658556	BUB1,TPX2,KIF11,CENPF,TUBG1,DLGAP5
KINETOCHORE	24.0	2.098105	0.0021097045	0.0021061231	BUB1,BUB1B,CENPF,ZWINT,MAD2L1,CENPE,PSEN2
PROTEASOME_COMPLEX	23.0	1.9851068	0.0	0.0060790554	PSMD14,PSMD1,PSMD8,PSMC2,PSMD12,PSMD2,KIAA0368,PSMD11,PSMD7,PSMD3,PSMC4,PSMC6,ADRM1,PSMD10,PSMC5,PSME3,PSMC3,PSMD13,PSMD5
MICROTUBULE_CYTOSKELETON	148.0	1.9540846	0.0	0.007667065	TOP2A,CDC20,BUB1,ESPL1,TPX2,KIF11,CENPF,AURKA,TTK,KIF2C,KIF4A,KIF15,BRCA2,BIRC5,CCNB2,TUBG1,MAP1B,DLGAP5,CDK1,CCNA1,KIF5B,DCX,KIF23,MAP7,MAP4,CKAP5,ABCA2,HAUS2,PLK1,KIF1B,KIF3B,KIAA0368,PPP4R2,ARL8B,NEK2,KIF20B,RNF19A,KPTN,DCTN4,ARHGEF2,CDC27,KNTC1,LATS1,KIF3C,KATNB1,PRC1,NEDD9,ZW10
SPINDLE_MICROTUBULE	16.0	1.9395013	0.0	0.008359717	KIF11,KIF4A,BIRC5,TUBG1,CDK1
CHROMOSOMAL_PART	94.0	1.8693284	0.0	0.017162781	BUB1,BUB1B,CENPF,ZWINT,MAD2L1,CENPA,CDCA5,CDT1,BIRC5,CENPE,NDC80,SMC4,MCM2,PSEN2,RCC1,SUV39H2,SMC2,TIPIN,RFC5,H2AFY,ZNF330,CLIP1,SMC1A,HELLS,RFC3,CBX5,DSN1,ZW10,RAN,RPA3
CHROMOSOME	118.0	1.8637214	0.0	0.015993483	TOP2A,BUB1,BUB1B,CENPF,ZWINT,MAD2L1,CENPA,CDCA5,CDT1,BIRC5,CENPE,RAD51,TUBG1,NDC80,SMC4,MCM2,PSEN2,RCC1,SUV39H2,SMC2,TIPIN,RFC5,H2AFY
CYTOSKELETAL_PART	226.0	1.8472055	0.0	0.018414143	GYS2,ANLN,TOP2A,CDC20,BUB1,ESPL1,TPX2,KIF11,CENPF,AURKA,KRT5,GFAP,TTK,KIF2C,KIF4A,KIF15,BRCA2,BIRC5,TUBG1,MAP1B,DLGAP5,SPTA1,CDK1,SEPT11,ACTR2,KIF5B,DCX,KIF23,MAP7,AMOT,CAPG,CAPZA1,MAP4,ARPC2,CKAP5,HAUS2,MYL3,PLK1,ACTR3,KIF1B,DYNLL2,SPTAN1,KIF3B,LMNB1,ARPC1B,KIAA0368,PPP4R2,ARL8B,NEK2,KIF20B,RNF19A,TPM3,IQGAP1,CLIP1,DCTN4
