Name	Size	NES	NOM p-value	FDR q-value	Gene Details
REACTOME_DNA_REPLICATION	184.0	2.3914785	0.0	0.0	CDC20,BUB1,BUB1B,KIF18A,ZWINT,E2F1,MAD2L1,KIF2C,E2F2,CDKN1A,CENPA,GINS2,CDT1,SGOL1,BIRC5,NUF2,CENPM,GINS4,PSMD14,ORC1,E2F3,PSMD1,NDC80,FEN1,CENPI,CCNA1,PSMD8,CASC5,CENPK,MCM2,CDC6,AURKB,KIF23,CDC45,MCM10,CDCA8,KIF20A,PSME4,PSMC1,CENPN,MCM8,PSMA6,SPC24,CKAP5,AHCTF1,CENPH,PSMC2,PLK1,PSMD12,PSMD2,MCM4,RFC5,PSMB5,GINS1,TAOK1,PRIM2,KIF2A,PSMD11,PSMA3,ERCC6L,PSMA7,CLIP1,PSMD7,ORC6,CENPP,SMC1A,KNTC1,PRIM1,PSMD3,RANBP2,RFC3,SEH1L,DSN1,ZW10,PSMA4,RPA3,PSMD9,CENPL,PPP2R1B,PSMC4,PSMB2,PSMA1
REACTOME_CELL_CYCLE_MITOTIC	303.0	2.3389187	0.0	0.0	CDC20,RRM2,CDKN2B,MYBL2,BUB1,BUB1B,KIF18A,AURKA,ZWINT,CCND1,E2F1,MAD2L1,KIF2C,UBE2C,CCNB1,E2F2,CDKN1A,CENPA,GINS2,CDT1,SGOL1,BIRC5,NUF2,CENPM,CCNB2,TUBG1,GINS4,PSMD14,ORC1,E2F3,CDK1,PSMD1,NDC80,FEN1,HSP90AA1,CENPI,CCNA1,PSMD8,CCNE1,CASC5,DHFR,PLK4,CENPK,CDKN2C,MYC,MCM2,CDC6,AURKB,KIF23,PTTG1,CDC45,CDKN2A,CCND2,MCM10,CDCA8,KIF20A,PKMYT1,TUBB4B,PSME4,CDC25A,PSMC1,CENPN,MCM8,PSMA6,SPC24,CKAP5,LIN9,HAUS2,AHCTF1,CENPH,PSMC2,PLK1,PSMD12,PSMD2,MCM4,RFC5,PSMB5,GINS1,YWHAG,TAOK1,PRIM2,NEK2,DYNC1H1,KIF2A,PSMD11,PSMA3,ERCC6L,PSMA7,CLIP1,PSMD7,ORC6,PRKAR2B,CENPP,YWHAE,SMC1A,CDC27,KNTC1,PRIM1,PCNT,PSMD3,RANBP2,RFC3,LIN54,TK2,CENPJ,SEH1L,CCNH,DSN1,ZW10,CUL1,PSMA4,RPA3,CCNE2,CDC25C,PSMD9,TYMS,CENPL,PPP2R1B,PSMC4,PSMB2,PSMA1
REACTOME_MITOTIC_M_M_G1_PHASES	164.0	2.3384187	0.0	0.0	CDC20,BUB1,BUB1B,KIF18A,ZWINT,E2F1,MAD2L1,KIF2C,E2F2,CENPA,CDT1,SGOL1,BIRC5,NUF2,CENPM,PSMD14,ORC1,E2F3,PSMD1,NDC80,CENPI,PSMD8,CASC5,CENPK,MCM2,CDC6,AURKB,KIF23,CDC45,MCM10,CDCA8,KIF20A,PSME4,PSMC1,CENPN,MCM8,PSMA6,SPC24,CKAP5,AHCTF1,CENPH,PSMC2,PLK1,PSMD12,PSMD2,MCM4,PSMB5,TAOK1,PRIM2,KIF2A,PSMD11,PSMA3,ERCC6L,PSMA7,CLIP1,PSMD7,ORC6,CENPP,SMC1A,KNTC1,PRIM1,PSMD3,RANBP2,SEH1L,DSN1,ZW10,PSMA4,RPA3,PSMD9,CENPL,PPP2R1B,PSMC4,PSMB2,PSMA1,XPO1,PSMD6,PSMA5,CENPQ,PSMC6,PPP2R5A,PPP2R5E,PSMD10,SGOL2,SKA2,INCENP,POLA1,PSMB6,PSMC5,PPP2CA,FBXO5,RCC2,MAPRE1,PAFAH1B1,PPP2R5C,PSMB7,PPP1CC
REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE	39.0	2.2985344	0.0	0.0	LDHB,IDH1,LDHA,DLAT,IDH2,NNT,SUCLG1,OGDH,PDHB,DLD,SLC16A3,PDK3,FH,L2HGDH,CS,ACO2,PDPR,SDHC,PDHA1,SUCLA2,PDK1
REACTOME_G1_S_SPECIFIC_TRANSCRIPTION	17.0	2.2826726	0.0	0.0	RRM2,E2F1,CDT1,ORC1,CDK1,CCNA1,CCNE1,DHFR,CDC6,CDC45,CDC25A
REACTOME_TRANSFERRIN_ENDOCYTOSIS_AND_RECYCLING	23.0	2.2532513	0.0	0.0	TFRC,TF,ATP6V0D2,ATP6V1A,ATP6V1D,ATP6V1E2,ATP6V1H,ATP6V1C2,ATP6V1B2,ATP6V1F,ATP6V1C1,ATP6V0E1,STEAP3,ATP6V0D1
REACTOME_MITOTIC_PROMETAPHASE	82.0	2.238685	0.0	0.0	CDC20,BUB1,BUB1B,KIF18A,ZWINT,MAD2L1,KIF2C,CENPA,SGOL1,BIRC5,NUF2,CENPM,NDC80,CENPI,CASC5,CENPK,AURKB,CDCA8,CENPN,SPC24,CKAP5,AHCTF1,CENPH,PLK1,TAOK1,KIF2A,ERCC6L,CLIP1,CENPP,SMC1A,KNTC1,RANBP2,SEH1L,DSN1,ZW10,CENPL,PPP2R1B,XPO1,CENPQ,PPP2R5A,PPP2R5E,SGOL2,SKA2,INCENP,PPP2CA,RCC2,MAPRE1,PAFAH1B1,PPP2R5C,PPP1CC
REACTOME_TRIGLYCERIDE_BIOSYNTHESIS	38.0	2.2356625	0.0	0.0	ELOVL6,FASN,GPAM,DGAT2,ACACA,ACSL1,ELOVL5,ACLY,HSD17B12,ACSL4,AGPAT2,SLC25A1,GPD1,ELOVL1,ACSL3,LPIN1,AGPAT3,GK
REACTOME_CELL_CYCLE	378.0	2.1998394	0.0	0.0	CDC20,RRM2,CDKN2B,MYBL2,BUB1,BUB1B,KIF18A,AURKA,HJURP,ZWINT,CCND1,E2F1,MAD2L1,KIF2C,UBE2C,CCNB1,E2F2,CDKN1A,CENPA,GINS2,HIST1H2BC,CDT1,SGOL1,BIRC5,NUF2,CENPM,CCNB2,TUBG1,GINS4,PSMD14,ORC1,E2F3,CDK1,PSMD1,NDC80,FEN1,HSP90AA1,CENPI,CCNA1,PSMD8,CCNE1,CASC5,DHFR,PLK4,CENPK,CDKN2C,ATR,MYC,MCM2,CDC6,AURKB,KIF23,PTTG1,CDC45,CDKN2A,CCND2,MCM10,CDCA8,KIF20A,PKMYT1,TUBB4B,HIST1H4H,PSME4,CDC25A,PSMC1,CENPN,MCM8,PSMA6,SPC24,CKAP5,LIN9,HAUS2,AHCTF1,CENPH,HIST1H2AC,MIS18BP1,PSMC2,PLK1,PSMD12,PSMD2,LMNB1,MCM4,RFC5,PSMB5,GINS1,YWHAG,TAOK1,HIST1H2BD,PRIM2,NEK2,DYNC1H1,KIF2A,PSMD11,PSMA3,ERCC6L,PSMA7,CLIP1,PSMD7,ORC6,PRKAR2B,CENPP,YWHAE,RFWD2,SMC1A,CDC27,KNTC1,PRIM1,PCNT,HIST3H3,PSMD3,RANBP2,RFC3,LIN54,TK2,CENPJ,SEH1L,CCNH,DSN1,ZW10,CUL1,PSMA4,RPA3,CCNE2,SYCP3,CDC25C,H2AFZ,PSMD9,TYMS,CENPL,PPP2R1B,PSMC4,PSMB2,PSMA1
REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION	33.0	2.161055	0.0	0.00031381697	RRM2,E2F1,CCNB1,CDT1,ORC1,CDK1,CCNA1,CCNE1,DHFR,CDC6,CDC45,CDC25A,MCM8
