Name	Size	NES	NOM p-value	FDR q-value	Gene Details
V$E2F_01	62.0	1.7896469	0.0021321962	0.036165398	PCSK1,E2F1,USP2,E2F3,RMI2,SMC4,MYC,MCM2,E2F7,NR4A3,MCM4,RFC5,GRIA4,CSDE1,AP1S1,SDHAF2,PIK3R3,PTBP2,SFMBT1,AK2,PRKDC,ARID4A
V$AP1_Q2	235.0	1.7646347	0.0	0.025184864	CCL22,IL1RN,MMP7,RNF128,MMP9,NRIP3,LAMB3,KCNN4,UCHL3,UBE2C,SLC31A1,LAPTM5,PLBD2,MMP19,USP2,SPTA1,NLN,APOBR,NLRC4,PAK6,MFGE8,TUBA1C,HS3ST2,HSPB7,GOLGA4,UBQLN1,CORO1C,PAPPA,IL10,PCDH9,TMEM156,CLVS1,XPOT,RNF144B,HPSE2,GAPDH,RAD23B,NDP,MAP4,LRP1B,NRAS,RTN3,SLMO2,EIF4G1,SCOC,GADD45A,CASK,ASS1,SFN,KCNH6,LAMC1,RAB22A,ANKRD28,SGTB,STK40,PSMD11,PSMA3,SDCBP,CHPF2
V$AP1_Q4	246.0	1.7002593	0.0	0.039910175	CCL22,IL1RN,MMP7,MMP9,NRIP3,LAMB3,KCNN4,UCHL3,UBE2C,CDKN1A,LAPTM5,S100A2,PLBD2,MMP19,USP2,SPTA1,APOBR,GPR3,PAK6,TUBA1C,FERMT3,HSPB7,GOLGA4,UBQLN1,CORO1C,PAPPA,IL10,PCDH9,TMEM156,XPOT,RNF144B,HPSE2,GAPDH,RAD23B,NDP,LRP1B,NRAS,RTN3,SLMO2,EIF4G1,SCOC,NEK6,CASK,RTN4,ASS1,SFN,KCNH6,ABHD2,LAMC1,BMP2,ANKRD28,SYNPO,STK40,KBTBD8,TNFRSF12A,EIF4E,RB1CC1,PSMD11,PSMA3,CHPF2,RUNDC3A,VDR,EVI2B,ZIC4,MAPRE3,ABHD4,RP1L1,ZIC1,RIPK4,TXN,CLC,EIF3J,HOXA11,EDN1,ANXA7,FGF12,RPA3,GGN
V$AP1_Q6	235.0	1.6507783	0.0	0.052568447	IL1RN,MMP7,MMP9,GFAP,NRIP3,OLR1,P2RX6,UCHL3,UBE2C,CDKN1A,LAPTM5,PLBD2,TSKU,KCNA2,ATP1B1,SPARC,ENO1,COBL,GPR3,PAK6,GPX1,HS3ST2,FERMT3,ALDOA,HSPB7,UBQLN1,PAPPA,PCDH9,C3AR1,XPOT,RNF144B,PSME4,GAPDH,HSPB8,NDP,MAP4,PEA15,ABCA2,TOR1AIP2,SCOC,GADD45A,PSMD12,NEK6,CASK,RTN4,PSMD2,SFN,KCNH6,ABHD2,LAMC1,PTP4A1,BMP2,STK40,KBTBD8,DYNC1H1,EIF4E,RB1CC1,PSMD11,YWHAZ,RUNDC3A,PSMD7,VDR
TGASTMAGC_V$NFE2_01	174.0	1.5760264	0.0	0.08752552	MMP9,P2RX6,S100A2,PLBD2,MMP19,CALB2,E2F3,SPTA1,PSMD1,ENO1,SLC22A18AS,ADRA1A,PAK6,TUBA1C,HS3ST2,ALDOA,MLEC,FOSL1,MPP5,XPOT,HSPA9,GAPDH,MAP4,LRP1B,NRD1,PEA15,RTN3,ABCA2,EIF4G1,GADD45A,FBXO30,PSMD12,ASS1,PSMD2,SYNPO,DYNC1H1,EIF4E,RB1CC1,PSMD11,PSMA3,CHPF2,AKIRIN2,PSMD7,VDR,RAB13,MAPRE3,TTC1,PFN1,ABHD4,CPA6,PRR7,CLC,DIRAS1
V$BACH2_01	254.0	1.5604849	0.0023980816	0.08523763	PCSK1,MMP7,MMP9,SGK1,GFAP,EPHB2,CHST4,P2RX6,CDKN1A,TRIM9,STMN2,S100A2,DNAJC5B,KCNA2,MMP19,CALB2,MYH14,SPTA1,ENO1,ADRA1A,LRRN3,CIDEC,GPR3,COL5A3,GPX1,TUBA1C,HS3ST2,ALDOA,UBQLN1,KRT16,XPOT,RNF144B,PSME4,DUSP14,GAPDH,DENND1B,HSPB8,ZNF23,PEA15,ENO2,CAB39,MAMDC2,USP14,ZBTB43,EIF4G1,SCOC,GADD45A,UBE2E3,RTN4,ASS1,LRRC8E,ACPP,RNF34,SFN,PRKAR2A,BMP2,HIVEP3,SYNPO,EDEM1,KBTBD8,TNFRSF12A,DYNC1H1,EIF4E,PSMD11,CSRNP1,RUNDC3A,DSC2,VDR,PRSS36,RGAG1,MAPRE3,NCS1,CPA6,NUP155
V$HTF_01	64.0	1.5347247	0.011160715	0.09471666	SGK1,CCND1,PCYT2,DHDDS,RGS1,UBQLN1,SND1,FKBP14,RFX4,NPAS2,SEC61A1,SRP54,STAT3,HMBOX1,USO1,ZIC4,HM13,COG3,COL1A2
V$TCF11MAFG_01	182.0	1.515727	0.0	0.101014785	P2RX6,DRP2,PLBD2,KCNA2,ATP1B1,E2F3,SPTA1,ENO1,SLC11A1,TUBA1C,ALDOA,MGST1,C20orf24,PCDH9,CDC45,FOSL1,TFEC,TOMM70A,ANGPT1,HSPB8,ITPK1,JAZF1,LRP1B,PSMA6,RTN3,SLC6A4,USP14,MITF,ONECUT2,RIMS2,SOBP,UCHL1,EIF4G1,FIBCD1,FBXO30,CADM1,EIF5,LAMC1,PTP4A1,SOX5,RAB1A,PCYT1A,PSMD11,LMO4,CHPF2,SECISBP2L,TXNRD1,RAB10,PPARG,VCP,ZIC4,PFN2,UBE4B,PRR7,ARPP19,TLK1,ERO1L,CLC,LIN54,PGRMC1,PRDX1,UBR4
V$E2F_Q3	216.0	1.5030916	0.0022727272	0.10046623	PCSK1,TFRC,C12orf5,E2F1,EPHB2,PCYT2,EZH2,KIF15,ZNF367,SHMT1,RAD51,SEMA5A,ORC1,E2F3,CDK1,GEN1,E2F8,INTS7,PLK4,ATAD2,SALL1,MCM2,CDC6,ARHGAP11A,CDC45,E2F7,PKMYT1,CDC25A,KCNA1,ZIM2,GAPDH,MCM8,INSM1,SLC6A4,EIF1AX,ADAMTS2,SLC25A3,NRP2,TCP1,TIPIN,MCM4,PAQR4
V$LXR_Q3	68.0	1.4819596	0.014989293	0.11013347	ACACA,SGK1,APOC1,HAS2,SND1,RASL11B,PHOX2A,DCUN1D3,CDC73,ADAM17,SLC38A6,ACSL3,MITF,RB1CC1,CYB5R4,ETV4,ABCA1,MAPKAPK3,MAFB,ABCG1,IKZF2,LYRM1,C1QC
V$AP1FJ_Q2	238.0	1.481625	0.0	0.10042292	IL1RN,MMP7,NRIP3,LAMB3,KCNN4,UBE2C,LAPTM5,S100A2,SARNP,PLBD2,MMP19,USP2,SPTA1,NLN,ATP6V1A,PAK6,TUBA1C,HS3ST2,GOLGA4,UBQLN1,CORO1C,PAPPA,PCDH9,TMEM156,XPOT,RNF144B,ITGB8,HPSE2,SORT1,GAPDH,RAD23B,NDP,MAP4,LRP1B,ZNF23,RTN3,FHOD1,EIF4G1,SCOC,HOXD9,CASK,RTN4,ASS1,KCNH6,LAMC1,RAB22A,GRIN2D,SYNPO,SGTB,STK40,KBTBD8,PSMD11,PSMA3,SDCBP,CHPF2,RUNDC3A,VDR
V$BACH1_01	241.0	1.4662969	0.0024630541	0.110794194	IL1RN,SGK1,GFAP,EPHB2,LAMB3,PCYT2,P2RX6,UBE2C,HMGA1,KRT8,CDKN1A,DNAJC5B,KCNA2,ATP1B1,MYH14,SPARC,ENO1,ADRA1A,CIDEC,GPR3,LONRF3,GPX1,ALDOA,KRT16,RNF144B,PSME4,GAPDH,DENND1B,HSPB8,ENO2,NRAS,CAB39,MAMDC2,ABCA2,EIF4G1,PSMD12,NEK6,UBE2E3,RTN4,LRRC8E,ACPP,CFL2,LAMC1,BMP2,ANKRD28,KBTBD8,TNFRSF12A,DYNC1H1,SNPH,NR1I3,EIF4E,RB1CC1,PSMD11,C9orf16,CSRNP1,RUNDC3A,DSC2,PSMD7,PRSS36,RGAG1
