Name	Description	sample12101	sample12104	sample12105	sample12109	sample12110	sample12112	sample12115	sample12119	sample12120	sample12121	sample12127	sample12100	sample12102	sample12103	sample12107	sample12108	sample12111	sample12113
BMP5	ENSG00000112175	19.79583982	14.62057629	13.42430489	13.34428329	20.94727808	21.1807092	7.883482682	11.70099507	16.68469614	31.11468749	12.04075151	54.5951041	35.31771831	75.57792532	68.41540842	86.10448481	40.13759939	50.97709267
MAP1LC3C	ENSG00000197769	63.15815562	65.23026346	82.611107	36.47437432	90.40404225	88.57387485	79.96103863	54.00459263	49.12716084	51.29718749	53.43083482	92.12923818	157.497933	170.5901743	159.635953	161.445909	131.283398	96.0722131
RP3-325F22.3	ENSG00000234263	18.85318078	12.37125686	23.75069326	11.56504551	15.43483648	26.95726626	24.77665986	2.700229631	10.19620319	18.500625	10.53565757	23.03230954	41.04491587	65.86076349	46.95175088	68.16605048	40.97379938	37.2524908
CYP4F29P	ENSG00000228314	7.541272312	1.124659715	43.37083118	27.57818546	18.74230144	66.43040613	6.75727087	8.100688894	1.853855126	21.86437499	21.82386211	58.00729811	203.3155135	291.5148548	430.6146295	243.0657852	85.29239871	361.7412922
RP11-54A9.1	ENSG00000257219	9.42659039	7.872618003	3.097916513	4.448094429	19.84478976	12.51587362	9.009694493	10.80091853	7.415420505	19.3415625	2.257640908	30.70974606	81.13529882	99.33098756	44.26879368	83.41371966	42.64619936	26.46887504
RP11-523O18.1	ENSG00000226576	231.8941236	113.5906312	238.5395715	231.3009103	256.8797786	414.9493485	313.0868836	180.0153088	168.7008165	298.5328124	191.1469302	325.0114791	584.1741515	736.3449295	756.5939284	983.0262016	360.4021946	722.5022557
ANKRD18A	ENSG00000180071	1.885318078	6.747958289	6.195833025	4.448094429	11.0248832	2.888278528	3.378635435	7.200612351	0.926927563	6.727499998	2.257640908	10.23658202	10.4998622	18.35463901	22.80513614	22.42304292	11.70679982	14.70493058
CPXM1	ENSG00000088882	201.7290344	44.98638859	307.7263736	89.85150746	121.2737152	99.16422945	76.58240319	266.422657	108.4505249	55.50187499	162.5501454	233.7352894	336.9501233	360.6146722	372.9310498	425.1408938	561.9263915	351.9380051
VSTM4	ENSG00000165633	143.2841739	79.85083975	116.6881886	136.1116895	142.2209933	261.8705865	195.9608552	112.509568	90.83890118	166.505625	100.0887469	192.7889614	298.7688062	455.6269212	405.1265361	603.6283154	229.9549965	454.8725192
MAP3K5	ENSG00000197442	321.4467323	167.5742975	285.0083192	192.1576793	293.2618931	474.640438	261.2811403	108.9092618	183.5316575	344.7843749	188.8892893	261.0328415	556.4926966	860.5086639	717.6910491	901.4063254	556.9091916	639.1743157
FAM65C	ENSG00000042062	180.9905355	103.4686938	168.3201305	178.813396	140.0160167	198.3284589	191.456008	238.5202841	273.4436311	169.0284375	204.6927757	130.5164207	82.08983174	23.75306224	21.46365754	60.09375502	109.5421983	63.72136583
SNORD3B-2	ENSG00000262074	3.770636156	5.623298574	7.228471863	2.668856657	2.20497664	8.664835583	9.009694493	2.700229631	7.415420505	3.363749999	9.030563632	0.853048502	0.954532927	0	0	0	1.672399975	0
CYP4F35P	ENSG00000265787	7.541272312	1.124659715	32.01180396	15.12352106	13.22985984	27.92002577	2.252423623	4.500382719	3.707710252	15.136875	15.80348636	44.35852208	107.8622208	197.5822905	332.6866919	188.3535605	49.33579926	273.5117087
SC5D	ENSG00000109929	163.0800138	123.7125686	192.0708238	130.7739762	231.5225472	271.4981816	145.2813237	255.6217384	133.4775691	169.0284375	130.1906257	152.6956818	462.9484697	741.7433527	676.1052126	565.9576033	453.2203932	360.7609635
