CAGE ID,WEEK,TREATMENT,DIET,NUMBER OF ANIMALS IN CAGE,START ML ,END ML,WEEKLY AMOUNT CONSUMED,COHORT,ML/ANIMAL/DAY,
1,1,WATER,HFD,4,285,188,97,2,3.464285714,
2,1,WATER,HFD,4,320,236,84,2,3,
3,1,WATER,HFD,2,300,255,45,2,3.214285714,
4,1,DEX,HFD,4,442,244,198,2,7.071428571,
5,1,DEX,HFD,4,408,198,210,2,7.5,
6,1,DEX,HFD,4,480,281,199,2,7.107142857,
7,1,DEX,HFD,4,464,266,198,2,7.071428571,
8,1,DEX,HFD,4,350,127,223,2,7.964285714,
1,2,WATER,HFD,4,402,305,97,2,3.464285714,
2,2,WATER,HFD,4,400,310,90,2,3.214285714,
3,2,WATER,HFD,2,400,342.5,57.5,2,4.107142857,
4,2,DEX,HFD,4,418,175,243,2,8.678571429,
5,2,DEX,HFD,4,400,152.5,247.5,2,8.839285714,
6,2,DEX,HFD,4,400,197.5,202.5,2,7.232142857,
7,2,DEX,HFD,4,401,65,336,2,12,
8,2,DEX,HFD,4,402,95,307,2,10.96428571,
1,3,WATER,HFD,4,350,260,90,2,3.214285714,
2,3,WATER,HFD,4,350,270,80,2,2.857142857,
3,3,WATER,HFD,2,302.5,247.5,55,2,3.928571429,
4,3,DEX,HFD,4,397.5,57.5,340,2,12.14285714,
5,3,DEX,HFD,3.5,397.5,55,342.5,2,13.97959184,
6,3,DEX,HFD,4,405,105,300,2,10.71428571,
7,3,DEX,HFD,4,397.5,30,367.5,2,13.125,
8,3,DEX,HFD,4,402.5,15,387.5,2,13.83928571,
1,4,WATER,HFD,4,400,325,75,2,2.678571429,
2,4,WATER,HFD,4,400,324,76,2,2.714285714,
3,4,WATER,HFD,2,402.5,357,45.5,2,3.25,
4,4,DEX,HFD,4,400,33,367,2,13.10714286,
5,4,DEX,HFD,3,400,30,370,2,17.61904762,
6,4,DEX,HFD,4,417.5,38,379.5,2,13.55357143,
7,4,DEX,HFD,4,450,28,422,2,15.07142857,
8,4,DEX,HFD,3.5,395,11,384,2,15.67346939,
1,5,WATER,HFD,4,368,290,78,2,2.785714286,
