Diet,Treatment,Animal,Time,Glucose,GIR (uL/min),GIR (mg/kg/min),GIR-AUC,3H-Glu,3H-H20,14C-2DG,Insulin,Hct,Lactate,T,Glu-Blood,Glu-Plasma,GIR,DPM,SA,Prt,Tir,Gtr,HGP,sHGP,Glu-Clearance,Ins-Clearance,Glycolysis,Glycogen,
HFD,Water,W1,-10,132,0,0,,1247.61,,,12.35,39.11,,-10,132,216.73,0,1247.61,129742.32,1,2606790.3,20.09,20.09,,15.22,87.90142383,8.82,11.27,
HFD,Water,W1,10,128,1.2,20.07,100.36,,,,,,,,,,,,,,,,,,,,,,
HFD,Water,W1,20,75,1.27,21.24,206.58,,,,,,,,,,,,,,,,,,,,,,
HFD,Water,W1,30,93,1.6,26.76,240.04,,,,,,,,,,,,,,,,,,,,,,106.2921078
HFD,Water,W1,40,84,2,33.45,301.09,,,,,,,,,,,,,,,,,,,,,,52.92285819
HFD,Water,W1,50,103,2.5,41.82,376.36,,,,,,,,,,,,,,,,,,,,,,98.47060369
HFD,Water,W1,60,115,2.9,48.51,451.64,,,,,,,,,,,,,,,,,,,,,,77.5970758
HFD,Water,W1,70,157,3.5,58.55,535.27,,,,,,,,,,,,,,,,,,,,,,93.02496679
HFD,Water,W1,80,176,3.35,56.04,1045.45,1170.21,2921.82,8194.54,,,,80,176,271.71,56.04,1170.21,97067.99,2,5213580.6,53.71,-2.33,111.58,30.52,,23.65,30.07,58.20689157
HFD,Water,W1,85,158,2.8,46.84,257.18,1028.58,2990.08,4712.23,,,,85,158,253.59,46.84,1028.58,91416.02,2,5213580.6,57.03,10.2,49.26,36.1,,29.7,27.33,93.47342855
HFD,Water,W1,90,170,2.8,46.84,234.18,1130.77,2961.23,2763.42,,,,90,170,254.22,46.84,1130.77,100251.17,2,5213580.6,52.01,5.17,74.27,30.59,,22.95,29.06,
HFD,Water,W1,100,147,2.7,45.16,460,993.85,3195.99,1376.62,,39.37,,100,147,216.73,45.16,993.85,103353.13,2,5213580.6,50.44,5.28,73.72,34.32,,24.97,25.47,
HFD,Water,W1,110,92,2.7,45.16,451.64,772.17,3451.4,652.37,,,,110,92,154.25,45.16,772.17,112826.23,2,5213580.6,46.21,1.05,94.8,50.23,,33.48,12.73,
HFD,Water,W1,120,97,2.9,48.51,468.36,721.93,3715.57,426.53,103.85,,,120,97,151.75,48.51,721.93,107222.63,2,5213580.6,48.62,0.11,99.43,50.13,,35.16,13.46,
HFD,Water,W2,-10,140,0,0,,774.38,,,17.95,38.79,,-10,140,228.6,0,774.38,84015.38,1,2200382.2,26.19,26.19,,18.71,110.5175465,10.08,16.11,
HFD,Water,W2,10,142,1.2,18.4,92,,,,,,,,,,,,,,,,,,,,,,
HFD,Water,W2,20,113,1.45,22.23,203.17,,,,,,,,,,,,,,,,,,,,,,
HFD,Water,W2,30,107,1.77,27.14,246.87,,,,,,,,,,,,,,,,,,,,,,
HFD,Water,W2,40,112,1.97,30.21,286.73,,,,,,,,,,,,,,,,,,,,,,
HFD,Water,W2,50,114,2.09,32.05,311.27,,,,,,,,,,,,,,,,,,,,,,
HFD,Water,W2,60,115,2.2,33.73,328.9,,,,,,,,,,,,,,,,,,,,,,
HFD,Water,W2,70,116,2.28,34.96,343.47,,,,,,,,,,,,,,,,,,,,,,
