Treatment,Time,Glucose,Error
Water,-10,141.4545455,5.278946176
Water,10,137.5454545,6.76367302
Water,20,114.8181818,12.78109399
Water,30,112.7272727,13.02082248
Water,40,106.8181818,8.488601984
Water,50,107.6363636,4.658911305
Water,60,114.4545455,4.050589183
Water,70,114.2727273,5.418654647
Water,80,120.7272727,6.578891866
Water,85,126.3636364,5.550266169
Water,90,134.0909091,6.708881495
Water,100,132.0909091,6.187817944
Water,110,130.7272727,8.321166876
Water,120,133.9090909,7.226969691
Dexamethasone,-10,147.5833333,8.387769858
Dexamethasone,10,143.8333333,8.638596203
Dexamethasone,20,132.25,8.246336527
Dexamethasone,30,124.6666667,6.827670166
Dexamethasone,40,121.3333333,4.82646515
Dexamethasone,50,116.25,4.552948368
Dexamethasone,60,117.6666667,3.538065338
Dexamethasone,70,118.5,4.622081389
Dexamethasone,80,119.5,5.383629916
Dexamethasone,85,123,5.581847794
Dexamethasone,90,122.5833333,4.722827164
Dexamethasone,100,126.1666667,3.5694603
Dexamethasone,110,126.8333333,3.000918133
Dexamethasone,120,127.75,2.917955245
