"","Treatment","animal.id","t0","t15","t30","t45","t60","t75","t90","t105","t120","Diet"
"1","Water",7015,220,81,68,44,25,20,20,20,20,"HFD"
"2","Water",7013,218,114,78,73,33,36,29,49,58,"HFD"
"3","Water",7012,194,77,55,21,20,20,NA,NA,NA,"HFD"
"4","Water",7010,185,67,59,20,20,NA,NA,NA,NA,"HFD"
"5","Water",7019,147,104,62,40,40,25,31,40,44,"HFD"
"6","Water",7021,99,62,20,20,NA,NA,NA,NA,NA,"HFD"
"7","Water",7023,144,161,91,75,78,82,88,111,135,"HFD"
"8","Water",7022,175,95,37,22,21,20,20,20,20,"HFD"
"9","Water",7002,142,70,22,20,20,NA,NA,NA,NA,"HFD"
"10","Water",7026,143,60,50,29,20,20,20,20,20,"HFD"
"11","Water",6999,230,85,75,59,29,24,20,27,24,"HFD"
"12","Water",7001,232,98,56,30,29,20,20,NA,NA,"HFD"
"13","Dexamethasone",7016,408,504,377,370,411,424,484,520,467,"HFD"
"14","Dexamethasone",7014,231,297,316,289,281,258,284,276,257,"HFD"
"15","Dexamethasone",7008,385,423,403,379,430,549,553,538,576,"HFD"
"16","Dexamethasone",7009,424,466,445,400,386,384,373,413,472,"HFD"
"17","Dexamethasone",7018,346,412,354,352,363,331,340,333,326,"HFD"
"18","Dexamethasone",7017,330,366,276,229,206,203,199,246,217,"HFD"
"19","Dexamethasone",7020,374,431,298,281,236,244,266,326,326,"HFD"
"20","Dexamethasone",7011,162,247,213,197,175,151,139,154,135,"HFD"
"21","Dexamethasone",7025,498,523,434,373,350,407,463,516,503,"HFD"
"22","Dexamethasone",7024,389,465,358,329,293,278,278,297,340,"HFD"
"23","Dexamethasone",7000,105,138,91,91,83,85,101,99,104,"HFD"
"24","Dexamethasone",6998,167,189,135,89,76,86,76,77,103,"HFD"
