ID,Group,Diet,Status,iWAT,eWAT,Quad,TS
1747,Control,HFD,Fasted,356.5,853.6,209.5,
1749,Control,HFD,Fasted,1108.5,1310.9,266.6,209.6
1750,Control,HFD,Fasted,855.7,1302.9,248,160.1
1752,Control,HFD,Fasted,1021.4,1409.3,224.5,173.3
1766,Control,HFD,Fasted,718.4,1286.7,216.7,189
1768,Control,HFD,Fasted,472.1,1130.1,248.4,285
1763,Control,HFD,Fasted,241.4,1134,170.6,207.8
1769,Control,HFD,Fasted,303.8,873,270.9,182
1756,Control,HFD,Fasted,984.8,1392.4,233,189.5
1758,Control,HFD,Fasted,469.9,1009.6,246.1,187.6
1760,Control,HFD,Fasted,847.2,619.5,264.3,201.2
1759,Control,HFD,Fasted,714.7,1149,198.3,167.6
2098,Control,HFD,Fasted,1232.7,936.6,242.5,182.8
2099,Control,HFD,Fasted,527,1093.7,248.2,182.4
2101,Control,HFD,Fasted,793.8,1227.6,255,193
2102,Control,HFD,Fasted,922,1416.4,278,192.4
2104,Control,HFD,Fasted,1467.3,1421.8,232.4,170.3
2105,Control,HFD,Fasted,620.5,1102.4,238.8,183.1
2106,Control,HFD,Fasted,1066.2,1165.1,266.9,196
2107,Control,HFD,Fasted,1349.1,1150.9,247.2,191.3
2109,Control,HFD,Fasted,1381.7,1068.3,252.9,177
2110,Control,HFD,Fasted,1041.9,946.5,260.2,183.5
2118,Dex,HFD,Fasted,346.2,426.5,124.5,106.1
2113,Dex,HFD,Fasted,327.7,331.2,109.6,97.9
2108,Dex,HFD,Fasted,378.7,485.6,139.2,122.9
2111,Dex,HFD,Fasted,299.1,385.2,140.3,111.5
2128,Dex,HFD,Fasted,271.6,457.3,155.7,129.2
2123,Dex,HFD,Fasted,343.3,502.6,144.8,119.5
2124,Dex,HFD,Fasted,290.1,425,152,109.5
2127,Dex,HFD,Fasted,626,668.3,170.3,134.1
1748,Dex,HFD,Fasted,88.5,500.7,147.7,152.7
1751,Dex,HFD,Fasted,231.6,437,123.7,176.5
1745,Dex,HFD,Fasted,73.8,566.8,142.2,150.4
1746,Dex,HFD,Fasted,165,383,124,119
3035,Control,Chow,Fasted,91.9,156.9,270.4,197.6
3036,Control,Chow,Fasted,195.7,272.4,270.9,91.4
3037,Control,Chow,Fasted,149.8,188.6,271,201.3
3038,Control,Chow,Fasted,105.5,135.8,232.6,171.1
3039,Control,Chow,Fasted,149.7,209.4,210.1,158.8
3040,Control,Chow,Fasted,76.2,118.9,244.9,171.6
3041,Control,Chow,Fasted,241.8,284.4,221.1,155
3042,Control,Chow,Fasted,117.2,130.5,199.2,160.2
3047,Dex,Chow,Fasted,68.6,114.9,183.6,134.5
3048,Dex,Chow,Fasted,84.6,112.1,200,163
3049,Dex,Chow,Fasted,62.7,115.3,208.8,150.6
3050,Dex,Chow,Fasted,83.3,98.4,169.5,136.1
3055,Dex,Chow,Fasted,223.3,271.4,185.7,146.1
3056,Dex,Chow,Fasted,114.9,216.9,242.1,153.6
3057,Dex,Chow,Fasted,92.6,244.7,212.1,149.6
3058,Dex,Chow,Fasted,158.5,211.8,180.8,122.5
3043,Control,Chow,Fed,130.8,207.5,252.7,160.1
3044,Control,Chow,Fed,165.9,279,239,170.9
3045,Control,Chow,Fed,162.2,184.4,240.7,186.2
3046,Control,Chow,Fed,192.2,301.9,209.5,176
3051,Dex,Chow,Fed,181.4,247.9,176.7,134.4
3052,Dex,Chow,Fed,195.7,215,193,139.4
3053,Dex,Chow,Fed,203,272,192.8,144.1
3054,Dex,Chow,Fed,132.3,151.3,195.7,140.1
