Cohort,Cage,Diet,Treatment,Week,Food_Intake,g/mouse/day,Deaths
A,1,HFD,Control,1,42.06,3.505,0
A,2,HFD,Control,1,37.8,3.15,0
A,3,HFD,Control,1,34.14,2.845,0
A,4,HFD,Dex,1,40.68,3.39,0
A,5,HFD,Dex,1,40.31,3.359166667,0
A,6,HFD,Dex,1,36.5,3.041666667,0
A,1,HFD,Control,2,82.8,2.957142857,0
A,2,HFD,Control,2,73.6,2.628571429,0
A,3,HFD,Control,2,73.6,2.628571429,0
A,4,HFD,Dex,2,82.9,2.960714286,0
A,5,HFD,Dex,2,95.5,3.410714286,0
A,6,HFD,Dex,2,99,3.535714286,0
A,1,HFD,Control,3,79.1,2.825,0
A,2,HFD,Control,3,74.7,2.667857143,0
A,3,HFD,Control,3,74.3,2.653571429,0
A,4,HFD,Dex,3,91.8,3.278571429,0
A,5,HFD,Dex,3,92.5,3.303571429,0
A,6,HFD,Dex,3,103.2,3.685714286,0
A,1,HFD,Control,4,73.6,2.628571429,0
A,2,HFD,Control,4,69.8,2.492857143,0
A,3,HFD,Control,4,69.2,2.471428571,0
A,4,HFD,Dex,4,76.4,2.728571429,0
A,5,HFD,Dex,4,91.5,3.267857143,0
A,6,HFD,Dex,4,74.9,2.675,0
A,1,HFD,Control,5,79.9,2.853571429,0
A,2,HFD,Control,5,74,2.642857143,0
A,3,HFD,Control,5,75.3,2.689285714,0
A,4,HFD,Dex,5,68.9,2.812244898,1
A,5,HFD,Dex,5,67.6,2.759183673,3
A,6,HFD,Dex,5,57.4,2.342857143,2
B,1,HFD,Control,1,75.8,2.707142857,0
B,2,HFD,Control,1,72.7,2.596428571,0
B,3,HFD,Control,1,47.3,3.378571429,0
B,4,HFD,Dex,1,69.6,2.485714286,0
B,5,HFD,Dex,1,67.2,2.4,0
B,6,HFD,Dex,1,68.6,2.45,0
B,7,HFD,Dex,1,68.8,2.457142857,0
B,8,HFD,Dex,1,59.2,2.114285714,0
B,1,HFD,Control,2,80.9,2.889285714,0
B,2,HFD,Control,2,79.9,2.853571429,0
B,3,HFD,Control,2,15.6,1.114285714,0
B,4,HFD,Dex,2,83.1,2.967857143,0
B,5,HFD,Dex,2,84.1,3.003571429,1
B,6,HFD,Dex,2,88.2,3.15,0
B,7,HFD,Dex,2,97.4,3.478571429,0
B,8,HFD,Dex,2,103.9,3.710714286,0
B,1,HFD,Control,3,86.1,3.075,0
B,2,HFD,Control,3,77.3,2.760714286,0
B,3,HFD,Control,3,43.2,3.085714286,0
B,4,HFD,Dex,3,88.5,3.160714286,0
B,5,HFD,Dex,3,98.4,4.685714286,0
B,6,HFD,Dex,3,95.1,3.396428571,0
B,7,HFD,Dex,3,86.2,3.078571429,0
B,8,HFD,Dex,3,102.4,3.657142857,0
B,1,HFD,Control,4,79.9,2.853571429,0
B,2,HFD,Control,4,69.4,2.478571429,0
B,3,HFD,Control,4,41.7,2.978571429,0
B,4,HFD,Dex,4,86.6,3.092857143,0
B,5,HFD,Dex,4,83.6,3.980952381,1
B,6,HFD,Dex,4,90.2,3.221428571,0
B,7,HFD,Dex,4,74.8,2.671428571,0
B,8,HFD,Dex,4,106.6,3.807142857,1
B,1,HFD,Control,5,73.7,2.632142857,0
B,2,HFD,Control,5,70,2.5,0
B,3,HFD,Control,5,83.98,5.998571429,0
B,4,HFD,Dex,5,96.89,3.460357143,3
B,5,HFD,Dex,5,27.73,3.961428571,1
B,6,HFD,Dex,5,99.51,3.553928571,2
B,7,HFD,Dex,5,83.9,2.996428571,1
B,8,HFD,Dex,5,73.97,3.522380952,0
A,1,Chow,Control,1,115.1,4.110714286,0
A,2,Chow,Control,1,108.5,3.875,0
A,3,Chow,Control,1,112,4,0
A,4,Chow,Dex,1,104.5,3.732142857,0
A,5,Chow,Dex,1,93.4,3.335714286,0
A,6,Chow,Dex,1,113,4.035714286,0
A,1,Chow,Control,2,114.7,4.096428571,0
A,2,Chow,Control,2,102.4,3.657142857,0
A,3,Chow,Control,2,109.7,3.917857143,0
A,4,Chow,Dex,2,98.7,3.525,0
A,5,Chow,Dex,2,87.8,3.135714286,0
A,6,Chow,Dex,2,97.8,3.492857143,0
A,1,Chow,Control,3,108.7,3.882142857,0
A,2,Chow,Control,3,102.3,3.653571429,0
A,3,Chow,Control,3,91,3.25,0
A,4,Chow,Dex,3,107.1,3.825,0
A,5,Chow,Dex,3,85.6,3.057142857,0
A,6,Chow,Dex,3,98.8,3.528571429,0
A,1,Chow,Control,4,125.4,4.478571429,0
A,2,Chow,Control,4,99.7,3.560714286,0
A,3,Chow,Control,4,103.3,3.689285714,0
A,4,Chow,Dex,4,106.5,3.803571429,0
A,5,Chow,Dex,4,91,3.25,0
A,6,Chow,Dex,4,84.4,3.014285714,0
A,1,Chow,Control,5,112.2,4.007142857,0
A,2,Chow,Control,5,98,3.5,0
A,3,Chow,Control,5,100.1,3.575,0
A,4,Chow,Dex,5,98.7,3.525,0
A,5,Chow,Dex,5,83.4,2.978571429,0
A,6,Chow,Dex,5,106.8,3.814285714,0
