ID,Diet ,Treatment,ATGL,Revert
1,NCD,Control,8690,1770000
2,NCD,Control,6720,1880000
3,NCD,Control,9640,1630000
4,NCD,Dexamethasone,10100,1100000
5,NCD,Dexamethasone,7030,1440000
6,NCD,Dexamethasone,9270,1490000
7,HFD,Control,5390,1410000
8,HFD,Control,7600,1070000
9,HFD,Control,6480,1220000
10,HFD,Dexamethasone,24100,1440000
11,HFD,Dexamethasone,28200,1910000
12,NCD,Control,6910,934000
13,NCD,Control,8820,929000
14,NCD,Control,8380,867000
15,NCD,Dexamethasone,9060,730000
16,NCD,Dexamethasone,20400,1330000
17,NCD,Dexamethasone,11100,730000
18,HFD,Control,6220,787000
19,HFD,Control,9220,791000
20,HFD,Control,6510,709000
21,HFD,Dexamethasone,23900,1040000
22,HFD,Dexamethasone,14700,1190000
23,HFD,Dexamethasone,24800,1080000
