"","age","animal.Alive","animal.Background","animal.Cause_of_Death","animal.Gender","animal.Genotype","animal.MouseID","animal.age","animal.id","animal.strain.Strain","assay.assay","experiment.date","experiment.feeding_state","id","values","experiment.time","experiment.fasting_time","animal.Death","Dexamethasone","Treatment"
"1",71,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Body Weight","2014-10-21","fed",15873,"24700",NA,NA,NA,TRUE,"Dexamethasone"
"2",71,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Total Fat Mass","2014-10-21","fed",15874,"1670",NA,NA,NA,TRUE,"Dexamethasone"
"3",71,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Lean Mass","2014-10-21","fed",15875,"22790",NA,NA,NA,TRUE,"Dexamethasone"
"4",67,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Body Weight","2014-10-17","fed",15951,"24440",NA,NA,NA,TRUE,"Dexamethasone"
"5",67,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Total Fat Mass","2014-10-17","fed",15952,"1480",NA,NA,NA,TRUE,"Dexamethasone"
"6",67,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Lean Mass","2014-10-17","fed",15953,"22420",NA,NA,NA,TRUE,"Dexamethasone"
"7",70,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Body Weight","2014-10-20","fed",16021,"24700",NA,NA,NA,TRUE,"Dexamethasone"
"8",70,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Total Fat Mass","2014-10-20","fed",16022,"1640",NA,NA,NA,TRUE,"Dexamethasone"
"9",70,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Lean Mass","2014-10-20","fed",16023,"22840",NA,NA,NA,TRUE,"Dexamethasone"
"10",85,TRUE,"C57BL/6J","","M","+/+",1765,197,6998,"C57BL/6J","Body Weight","2014-11-04","fed",16975,"27700",NA,NA,NA,TRUE,"Dexamethasone"
