Gene,Normalized Expression,ID ,Treatment
Aco1,0.011151127,411,Water
Aco1,0.007776482,412,Water
Aco1,0.020239723,413,Water
Aco1,0.026954438,414,Water
Aco1,0.005486113,415,Water
Aco1,0.034434535,416,Water
Aco1,0.019731804,417,Water
Aco1,0.042393885,418,Water
Aco1,0.007106394,419,Water
Aco1,0.015445532,420,Water
Aco1,0.004006801,421,Water
Aco1,0.021944451,427,Dexamethasone
Aco1,0.02862329,429,Dexamethasone
Aco1,0.026892232,431,Dexamethasone
Aco1,0.028889052,432,Dexamethasone
Mdh1,0.029769937,411,Water
Mdh1,0.028294524,412,Water
Mdh1,0.06886907,413,Water
Mdh1,0.105355193,414,Water
Mdh1,0.023683071,415,Water
Mdh1,0.109829182,416,Water
Mdh1,0.052072543,417,Water
Mdh1,0.169967797,418,Water
Mdh1,0.014561808,419,Water
Mdh1,0.054158565,420,Water
Mdh1,0.012750226,421,Water
Mdh1,0.09451366,427,Dexamethasone
Mdh1,0.115823508,429,Dexamethasone
Mdh1,0.102948877,431,Dexamethasone
Mdh1,0.127479161,432,Dexamethasone
Acss2,0.001490488,411,Water
Acss2,0.003627857,412,Water
Acss2,0.00232267,413,Water
Acss2,0.006912069,414,Water
Acss2,0.002280132,415,Water
Acss2,0.007634062,416,Water
Acss2,0.001764327,417,Water
Acss2,0.008334627,418,Water
Acss2,0.000650273,419,Water
Acss2,0.001008668,420,Water
Acss2,0.00060184,421,Water
Acss2,0.003619485,427,Dexamethasone
Acss2,0.005920768,429,Dexamethasone
Acss2,0.003129179,431,Dexamethasone
Acss2,0.002876108,432,Dexamethasone
Me1,0.001456445,411,Water
Me1,0.00279423,412,Water
Me1,0.004186615,413,Water
Me1,0.009752582,414,Water
Me1,0.003114753,415,Water
Me1,0.008789519,416,Water
Me1,0.002926381,417,Water
Me1,0.011099717,418,Water
Me1,0.000787736,419,Water
Me1,0.001150652,420,Water
Me1,0.000567405,421,Water
Me1,0.007391075,427,Dexamethasone
Me1,0.018325546,429,Dexamethasone
Me1,0.009015771,431,Dexamethasone
Me1,0.005893471,432,Dexamethasone
Ldhb,0.001483616,411,Water
Ldhb,0.001571836,412,Water
Ldhb,0.002807172,413,Water
Ldhb,0.004044004,414,Water
Ldhb,0.000650273,415,Water
Ldhb,0.004081551,416,Water
Ldhb,0.003187557,417,Water
Ldhb,0.008296202,418,Water
Ldhb,0.001397115,419,Water
Ldhb,0.007306182,420,Water
Ldhb,0.000808013,421,Water
Ldhb,0.005934464,427,Dexamethasone
Ldhb,0.00758133,429,Dexamethasone
Ldhb,0.006031225,431,Dexamethasone
Ldhb,0.01277972,432,Dexamethasone
Idh1,6.26063E-05,411,Water
Idh1,5.61638E-05,412,Water
Idh1,0.000157394,413,Water
Idh1,0.000178721,414,Water
Idh1,3.78329E-05,415,Water
Idh1,0.00023637,416,Water
Idh1,0.000113371,417,Water
Idh1,0.000251004,418,Water
Idh1,4.67935E-05,419,Water
Idh1,0.000137019,420,Water
Idh1,2.8212E-05,421,Water
Idh1,0.000151857,427,Dexamethasone
Idh1,0.000158489,429,Dexamethasone
Idh1,0.000162944,431,Dexamethasone
Idh1,0.000199222,432,Dexamethasone
Fasn,2.094588246,411,Water
Fasn,3.367473673,412,Water
Fasn,4.189176491,413,Water
Fasn,14.37011797,414,Water
Fasn,2.386671486,415,Water
Fasn,14.74002092,416,Water
Fasn,3.555370725,417,Water
Fasn,18.46430003,418,Water
Fasn,0.864537231,419,Water
Fasn,1.104454001,420,Water
Fasn,0.979420298,421,Water
Fasn,6.254957145,427,Dexamethasone
Fasn,12.39483075,429,Dexamethasone
Fasn,11.9174197,431,Dexamethasone
Fasn,4.890561111,432,Dexamethasone
Gpam,0.010549609,411,Water
Gpam,0.007590093,412,Water
Gpam,0.034117758,413,Water
Gpam,0.044656067,414,Water
Gpam,0.009786441,415,Water
Gpam,0.056523711,416,Water
Gpam,0.02179287,417,Water
Gpam,0.089622203,418,Water
Gpam,0.008789519,419,Water
Gpam,0.038696136,420,Water
Gpam,0.005244424,421,Water
Gpam,0.052012421,427,Dexamethasone
Gpam,0.074153915,429,Dexamethasone
Gpam,0.083331167,431,Dexamethasone
Gpam,0.152301283,432,Dexamethasone
Psmd1,0.000354974,411,Water
Psmd1,0.000183746,412,Water
Psmd1,0.000582011,413,Water
Psmd1,0.001700294,414,Water
Psmd1,0.000243859,415,Water
Psmd1,0.000737535,416,Water
Psmd1,0.000620191,417,Water
Psmd1,0.002057346,418,Water
Psmd1,0.000312252,419,Water
Psmd1,0.000891383,420,Water
Psmd1,0.000219524,421,Water
Psmd1,0.000878096,427,Dexamethasone
Psmd1,0.001228971,429,Dexamethasone
Psmd1,0.000804288,431,Dexamethasone
Psmd1,0.002480764,432,Dexamethasone
Psmd8,0.005467132,411,Water
Psmd8,0.00364466,412,Water
Psmd8,0.012502265,413,Water
Psmd8,0.01589812,414,Water
Psmd8,0.004410017,415,Water
Psmd8,0.020474897,416,Water
Psmd8,0.010598471,417,Water
Psmd8,0.022328033,418,Water
