# Analysis Group Name : New Analysis Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Description : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Created By :bridgeslab@umich.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Last Modified Date : 2016-12-19 02:34:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Number of Experiments in Analysis Group : 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# List of instrument types in the study that are imported : QuantStudio 5 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Normalization method : Endogenous Control = Rplp0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Reference Sample : 1745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Reference Group : NCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Max CT : 40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Confidence Level : 95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,Barcode,Well,Biological Group Name,Sample Name,Target Name,Task,Amp Score,Amp Status,Cq Conf,Target Efficiency,Cq,Cq (Post IC),Eq. Cq,Quantity,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline Stop,Tm1,Tm2,Tm3,Cq Mean,Cq SE,Intercept,R-Squared,Slope,Efficiency,Omit,FLAGS,AMPNC,AMPSCORE,BADROX,OFFSCALE,NOAMP,NOISE,SPIKE,NOSIGNAL,NOSAMPLE,EXPFAIL,BLFAIL,THOLDFAIL,CTFAIL,HIGHSD,OUTLIERRG,MAXCT,MPOUTLIER,MTP or TM,LOWROX,PRFLOW,PRFDROP,DRNMIN,CQCONF
2016-12-19 153549.eds,,A1,HFD,1756,Hsd11b1,UNKNOWN,1.6274452,Amp,0.97076017,100,22.32321,22.32321,22.32321,-,TRUE,0.68897295,TRUE,3,15,84.39177,-,-,22.344418,0.02120781,-,-,-,-,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-19 153549.eds,,A2,HFD,1756,Hsd11b1,UNKNOWN,1.6329052,Amp,0.9796817,100,22.365625,22.365625,22.365625,-,TRUE,0.68897295,TRUE,3,14,84.27336,-,-,22.344418,0.02120781,-,-,-,-,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-19 153549.eds,,A3,HFD,1756,Pck2,UNKNOWN,1.6115006,Amp,0.97608656,100,20.69021,20.69021,20.69021,-,TRUE,0.56118774,TRUE,3,14,82.1421,-,-,20.726013,0.035803795,-,-,-,-,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-19 153549.eds,,A4,HFD,1756,Pck2,UNKNOWN,1.6125288,Amp,0.9821789,100,20.761818,20.761818,20.761818,-,TRUE,0.56118774,TRUE,3,14,82.0237,-,-,20.726013,0.035803795,-,-,-,-,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-19 153549.eds,,A5,HFD,1756,Fgf21,UNKNOWN,1.6116921,Amp,0.9826394,100,31.393465,31.393465,31.393465,-,TRUE,0.3325239,TRUE,3,26,83.91815,-,-,31.246159,0.14730549,-,-,-,-,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-19 153549.eds,,A6,HFD,1756,Fgf21,UNKNOWN,1.5974294,Amp,0.9823941,100,31.098854,31.098854,31.098854,-,TRUE,0.3325239,TRUE,3,25,83.91815,-,-,31.246159,0.14730549,-,-,-,-,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-19 153549.eds,,A7,HFD,1756,Rplp0,UNKNOWN,1.5691762,Amp,0.9786875,100,30.319824,30.319824,30.319824,-,TRUE,0.36217913,TRUE,3,25,86.87825,-,-,30.507107,0.18728161,-,-,-,-,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-19 153549.eds,,A8,HFD,1756,Rplp0,UNKNOWN,1.5756698,Amp,0.9763494,100,30.694387,30.694387,30.694387,-,TRUE,0.36217913,TRUE,3,25,86.87825,-,-,30.507107,0.18728161,-,-,-,-,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-19 153549.eds,,A9,HFD,1756,Pcx,UNKNOWN,1.4309319,Amp,0.9928804,100,20.957054,20.957054,20.957054,-,TRUE,0.21301115,TRUE,3,15,76.932335,-,-,21.03809,0.081035614,-,-,-,-,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-19 153549.eds,,A10,HFD,1756,Pcx,UNKNOWN,1.3606378,Amp,0.98614806,100,21.119125,21.119125,21.119125,-,TRUE,0.21301115,TRUE,3,15,74.564255,-,-,21.03809,0.081035614,-,-,-,-,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
