animal id,Diet,Treatment,Week,Body Weight,Total Fat Mass,Lean Mass
1712,NCD,Water,0,29.5,2.5,21.9
1713,NCD,Water,0,28.9,2.9,20.6
1714,NCD,Water,0,31.7,3.0,23.2
1732,NCD,Water,0,30.3,3.4,21.5
1733,NCD,Water,0,27.6,2.4,20.1
1734,NCD,Water,0,27.4,2.5,19.5
1748,NCD,Water,0,25.5,3.9,16.9
1738,NCD,Water,0,29.6,2.8,21.2
1750,NCD,Water,0,28.8,3.7,19.7
1751,NCD,Water,0,32.0,3.0,23.4
1752,NCD,Water,0,30.0,2.3,22.0
1753,NCD,Water,0,30.2,3.0,21.7
1764,NCD,Water,0,32.1,2.5,23.8
1765,NCD,Water,0,31.8,2.4,23.6
1766,NCD,Water,0,30.0,2.9,21.5
1712,NCD,Water,2,29.9,2.5,22.0
1713,NCD,Water,2,29.1,3.0,20.7
1714,NCD,Water,2,32.2,3.3,22.9
1732,NCD,Water,2,31.7,3.5,22.3
1733,NCD,Water,2,27.8,2.6,20.0
1734,NCD,Water,2,27.8,2.6,19.8
1748,NCD,Water,2,28.1,4.3,18.6
1738,NCD,Water,2,29.8,2.6,21.4
1750,NCD,Water,2,29.3,4.0,20.1
1751,NCD,Water,2,32.4,2.8,23.5
1752,NCD,Water,2,30.3,2.5,22.0
1753,NCD,Water,2,30.2,2.7,22.0
1764,NCD,Water,2,33.3,2.8,24.2
1765,NCD,Water,2,32.4,2.5,23.8
1766,NCD,Water,2,30.3,3.2,21.4
1712,NCD,Water,3,29.7,2.7,21.7
1713,NCD,Water,3,28.7,3.0,20.3
1714,NCD,Water,3,31.9,3.6,22.5
1732,NCD,Water,3,31.5,3.7,21.8
1733,NCD,Water,3,26.7,2.3,19.3
1734,NCD,Water,3,27.6,2.8,19.6
1748,NCD,Water,3,27.7,3.9,18.7
1738,NCD,Water,3,30.0,3.2,20.9
1750,NCD,Water,3,30.4,4.2,20.6
1751,NCD,Water,3,31.7,2.8,23.2
1752,NCD,Water,3,30.5,2.6,22.4
1753,NCD,Water,3,30.4,3.0,22.0
1764,NCD,Water,3,33.3,3.1,24.1
1765,NCD,Water,3,32.1,2.6,23.5
1766,NCD,Water,3,30.0,3.4,21.0
1715,NCD,Dexamethasone,0,29.0,2.1,21.5
1716,NCD,Dexamethasone,0,28.4,2.2,20.9
1717,NCD,Dexamethasone,0,27.6,2.8,19.7
1729,NCD,Dexamethasone,0,30.6,2.1,22.7
1730,NCD,Dexamethasone,0,30.3,2.9,22.0
1731,NCD,Dexamethasone,0,30.4,2.2,23.0
1749,NCD,Dexamethasone,0,28.9,3.2,20.2
1739,NCD,Dexamethasone,0,31.9,2.7,23.2
1740,NCD,Dexamethasone,0,29.4,2.5,21.3
1758,NCD,Dexamethasone,0,32.3,2.7,23.5
1759,NCD,Dexamethasone,0,31.4,2.3,23.3
1760,NCD,Dexamethasone,0,33.9,4.2,23.4
1774,NCD,Dexamethasone,0,28.4,2.8,20.2
1775,NCD,Dexamethasone,0,31.6,2.3,23.5
1776,NCD,Dexamethasone,0,29.7,2.3,21.4
1715,NCD,Dexamethasone,2,25.2,2.5,17.3
1716,NCD,Dexamethasone,2,24.5,2.6,16.5
1717,NCD,Dexamethasone,2,24.9,3.1,16.5
1729,NCD,Dexamethasone,2,26.0,2.5,18.1
1730,NCD,Dexamethasone,2,27.5,4.0,18.0
1731,NCD,Dexamethasone,2,27.4,2.9,19.3
1749,NCD,Dexamethasone,2,25.6,3.4,17.1
1739,NCD,Dexamethasone,2,28.7,3.3,19.8
1740,NCD,Dexamethasone,2,25.7,2.8,18.0
1758,NCD,Dexamethasone,2,28.6,2.5,20.5
1759,NCD,Dexamethasone,2,27.5,2.7,19.4
1760,NCD,Dexamethasone,2,30.4,4.1,20.4
1774,NCD,Dexamethasone,2,25.2,3.2,17.1
1775,NCD,Dexamethasone,2,27.4,3.2,18.9
1776,NCD,Dexamethasone,2,27.6,3.0,19.3
1715,NCD,Dexamethasone,3,24.7,2.8,16.6
1716,NCD,Dexamethasone,3,23.2,2.4,15.8
1717,NCD,Dexamethasone,3,23.1,2.8,15.7
1729,NCD,Dexamethasone,3,25.4,2.5,17.5
1730,NCD,Dexamethasone,3,26.6,3.9,17.3
1731,NCD,Dexamethasone,3,26.2,3.1,18.1
1749,NCD,Dexamethasone,3,26.2,3.6,17.3
1739,NCD,Dexamethasone,3,27.2,3.2,18.6
1740,NCD,Dexamethasone,3,25.2,3.1,17.1
1758,NCD,Dexamethasone,3,27.7,3.1,19.4
1759,NCD,Dexamethasone,3,27.6,3.7,18.9
1760,NCD,Dexamethasone,3,30.8,5.2,19.8
1774,NCD,Dexamethasone,3,24.4,2.8,16.7
1775,NCD,Dexamethasone,3,26.7,3.1,18.6
1776,NCD,Dexamethasone,3,25.8,2.8,18.1
1718,HFD,Water,0,28.1,3.1,19.6
1719,HFD,Water,0,29.6,5.9,18.3
1720,HFD,Water,0,33.0,6.0,21.1
1735,HFD,Water,0,32.2,5.0,21.5
1736,HFD,Water,0,36.8,7.3,23.2
1727,HFD,Water,0,42.7,13.6,22.7
1745,HFD,Water,0,48.2,15.4,25.6
1746,HFD,Water,0,34.0,9.3,19.2
1747,HFD,Water,0,37.0,11.3,20.1
1761,HFD,Water,0,37.8,10.2,21.6
1762,HFD,Water,0,35.1,7.5,21.5
1763,HFD,Water,0,37.2,8.9,22.1
1771,HFD,Water,0,37.7,7.8,23.4
1772,HFD,Water,0,36.9,7.0,23.6
1773,HFD,Water,0,35.2,4.3,24.8
1718,HFD,Water,2,29.0,3.4,19.7
1719,HFD,Water,2,31.0,6.5,18.6
1720,HFD,Water,2,34.1,6.5,21.1
1735,HFD,Water,2,30.3,2.2,22.5
1736,HFD,Water,2,34.8,3.6,25.1
1727,HFD,Water,2,45.4,15.6,22.7
1745,HFD,Water,2,49.9,16.2,26.0
1746,HFD,Water,2,33.8,9.1,19.0
1747,HFD,Water,2,37.7,11.7,20.3
1761,HFD,Water,2,37.5,11.2,20.0
1762,HFD,Water,2,35.9,9.1,20.5
1763,HFD,Water,2,37.9,9.7,22.0
1771,HFD,Water,2,39.4,9.4,23.2
1772,HFD,Water,2,39.2,8.8,23.5
1773,HFD,Water,2,36.8,5.5,24.4
1718,HFD,Water,3,28.1,3.4,19.3
1719,HFD,Water,3,30.5,6.6,18.6
1720,HFD,Water,3,34.0,6.8,20.9
1735,HFD,Water,3,31.3,3.0,22.7
1736,HFD,Water,3,35.7,5.2,24.4
1727,HFD,Water,3,45.7,16.3,22.6
1745,HFD,Water,3,49.9,16.6,26.1
1746,HFD,Water,3,35.1,10.3,19.2
