Well,Experiment Name,Sample Name,Target Name,Cq
A1,2017-12-13 lcg.eds,2616,Actb,18.937456
A2,2017-12-13 lcg.eds,2617,Actb,19.280355
A3,2017-12-13 lcg.eds,2618,Actb,NA
A4,2017-12-13 lcg.eds,2619,Actb,18.88476
A5,2017-12-13 lcg.eds,2620,Actb,18.899605
A6,2017-12-13 lcg.eds,2621,Actb,21.113148
A7,2017-12-13 lcg.eds,2622,Actb,19.169165
A8,2017-12-13 lcg.eds,2623,Actb,19.64235
A9,2017-12-13 lcg.eds,2624,Actb,20.486946
A10,2017-12-13 lcg.eds,2625,Actb,36.58224
A11,2017-12-13 lcg.eds,2626,Actb,19.202986
A12,2017-12-13 lcg.eds,2627,Actb,20.65671
A13,2017-12-13 lcg.eds,2628,Actb,19.975502
A14,2017-12-13 lcg.eds,2629,Actb,NA
A15,2017-12-13 lcg.eds,2630,Actb,20.519798
A16,2017-12-13 lcg.eds,2631,Actb,20.98487
A17,2017-12-13 lcg.eds,2632,Actb,19.874237
A18,2017-12-13 lcg.eds,2633,Actb,19.963106
A19,2017-12-13 lcg.eds,2634,Actb,21.118666
A20,2017-12-13 lcg.eds,2635,Actb,20.079544
A21,2017-12-13 lcg.eds,2636,Actb,22.880745
A22,2017-12-13 lcg.eds,2637,Actb,18.843054
A23,2017-12-13 lcg.eds,2638,Actb,19.492737
A24,2017-12-13 lcg.eds,2639,Actb,19.227818
B1,2017-12-13 lcg.eds,2640,Actb,20.055845
B2,2017-12-13 lcg.eds,2641,Actb,19.683556
B3,2017-12-13 lcg.eds,2642,Actb,24.1606
B4,2017-12-13 lcg.eds,2643,Actb,19.618874
B5,2017-12-13 lcg.eds,2644,Actb,20.484299
B6,2017-12-13 lcg.eds,2645,Actb,20.14212
B7,2017-12-13 lcg.eds,2646,Actb,21.884373
B8,2017-12-13 lcg.eds,2647,Actb,20.615984
B9,2017-12-13 lcg.eds,2616,Actb,18.984325
B10,2017-12-13 lcg.eds,2617,Actb,19.300423
B11,2017-12-13 lcg.eds,2618,Actb,NA
B12,2017-12-13 lcg.eds,2619,Actb,19.1253
B13,2017-12-13 lcg.eds,2620,Actb,18.8616
B14,2017-12-13 lcg.eds,2621,Actb,20.93431
B15,2017-12-13 lcg.eds,2622,Actb,18.756258
B16,2017-12-13 lcg.eds,2623,Actb,19.434889
B17,2017-12-13 lcg.eds,2624,Actb,19.554548
B18,2017-12-13 lcg.eds,2625,Actb,NA
B19,2017-12-13 lcg.eds,2626,Actb,18.961784
B20,2017-12-13 lcg.eds,2627,Actb,20.632963
B21,2017-12-13 lcg.eds,2628,Actb,18.787245
B22,2017-12-13 lcg.eds,2629,Actb,20.032827
B23,2017-12-13 lcg.eds,2630,Actb,19.236956
B24,2017-12-13 lcg.eds,2631,Actb,20.781895
C1,2017-12-13 lcg.eds,2632,Actb,19.274366
C2,2017-12-13 lcg.eds,2633,Actb,19.453434
C3,2017-12-13 lcg.eds,2634,Actb,21.134558
C4,2017-12-13 lcg.eds,2635,Actb,20.142628
C5,2017-12-13 lcg.eds,2636,Actb,23.622358
C6,2017-12-13 lcg.eds,2637,Actb,19.42705
C7,2017-12-13 lcg.eds,2638,Actb,19.571224
C8,2017-12-13 lcg.eds,2639,Actb,19.571922
C9,2017-12-13 lcg.eds,2640,Actb,19.731697
C10,2017-12-13 lcg.eds,2641,Actb,19.40221
C11,2017-12-13 lcg.eds,2642,Actb,23.974554
C12,2017-12-13 lcg.eds,2643,Actb,19.50379
