caller	gr_set	beta	se	irr	irr_lo	irr_hi	p
hicexplorer	human_dex	-0.022576412119028624	0.005494679188866476	0.9776765280037997	0.9672038652797137	0.988262586329857	3.9775971869370196e-5
hicexplorer	iWAT_union	-0.0640359606823279	0.0013207347859287807	0.9379712688374123	0.9355463387127306	0.9404024843654636	0
hicexplorer	iWAT_repro	-0.07249386548254359	0.001763261239955537	0.9300714521823372	0.9268626805942561	0.9332913324441411	0
hicexplorer	eWAT_union	-0.07300587231948628	0.001302550759989211	0.9295953711287523	0.92722514150564606	0.931971659677803	0
hicexplorer	eWAT_repro	-0.0889575194768478	0.001850603076413647	0.9148844375184955	0.9115719961729362	0.9182089155081309	0
insulation	human_dex	-0.049770371977609806	0.004265436996432927	0.951447878512923	0.9435266879192704	0.9594355698862825	1.850982826782701e-31
insulation	iWAT_union	-0.09968120027439878	0.0010884953560613185	0.9051259259422203	0.9031969426500579	0.9070590290186354	0
insulation	iWAT_repro	-0.10698952283770553	0.0014582016066503746	0.8985350870389234	0.8959706726263119	0.9011068412244543	0
insulation	eWAT_union	-0.11048027498064278	0.0010859679649215346	0.8954039918763692	0.8935001538524621	0.8973118865299318	0
insulation	eWAT_repro	-0.1271170684420654	0.0015649178465185181	0.8806305725132323	0.8779336063292789	0.8833358236364396	0
