Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,FC
Esrrg,1.3643891899103191e-108,-0.72795442231779806,0.104,0.399,1.8922713674866217e-104,1.6562889962911533
Prrx1,1.3074483336622526e-77,-0.5681996269113934,0.034,0.205,1.813300093956178e-73,1.4826721541872816
Zfp423,5.876432214035206e-35,-0.5202191986395193,0.452,0.637,8.150023837645428e-31,1.434173135310288
Sox5,1.0731421811727277e-30,-0.5114985350343302,0.625,0.768,1.488340891068456e-26,1.4255301326073189
Atf7ip,5.1117630480924744e-40,-0.48060079947797574,0.294,0.509,7.089504171399453e-36,1.395324617797835
Klf13,1.8398361491060378e-25,-0.44625180274329823,0.565,0.734,2.5516687551951636e-21,1.3624958189517804
Hivep2,3.2501669041678356e-22,-0.400384909563797,0.747,0.852,4.507656479390371e-18,1.3198600011027424
Peg3,1.0776633074150536e-142,-0.39792333407484,0.01,0.218,1.4946112410539377e-138,1.3176099310675555
Mnat1,1.1043436619259177e-23,-0.38135578710063067,0.408,0.57,1.5316142247250553e-19,1.3025653792914704
Phf8,1.8731632398779586e-34,-0.37590786508402596,0.221,0.41,2.5978900973867406e-30,1.2976558920203807
Foxp1,3.491529562012672e-12,-0.29467600018718754,0.601,0.713,4.842402349555375e-8,1.226609474906681
Enpp2,0.0035627629947198335,-0.2615813155391151,0.364,0.405,1,1.1987919619443503
Hivep3,7.161668641478783e-15,-0.25706851881609627,0.296,0.425,9.932518238866925e-11,1.195047960667738
Runx2,1.0373204821757278e-30,-0.24663885302114416,0.126,0.281,1.4386597767295168e-26,1.186439761375191
Lmo4,6.469158920793307e-10,-0.24565446464211882,0.316,0.416,8.972076507248238e-6,1.185630498765443
Stat3,2.1538237244281508e-13,-0.2321510187902951,0.317,0.446,2.9871381234094023e-9,1.1745849182707992
Foxo1,4.558034674898742e-10,-0.21541114144608198,0.589,0.692,6.321538290617065e-6,1.1610347407034074
Prdm16,5.19121596977003e-53,-0.2149054510404268,0.02,0.134,7.199697428474055e-49,1.1606278485843953
Pawr,2.862460798720758e-49,-0.20427582370079272,0.013,0.109,3.9699468817458194e-45,1.152107888677941
Nedd8,4.78778893167448e-17,-0.19782007859733025,0.107,0.209,6.640184469339336e-13,1.1469639751202236
