CHD_1	CHD_2	HFD_3	HFD_1	HFD_2	CHD_3
peak_1	116.322300586162	91.1360809555891	229.828198592471	188.709078496482	177.524044929997	138.722377353654
peak_2	19.3870500976937	4.2586953717565	21.0058030971613	22.9645968540693	25.7103789208962	11.2299067381529
peak_3	4.56165884651617	4.2586953717565	12.3563547630361	22.9645968540693	26.9346826790341	5.94524474372802
peak_4	14.8253912511776	5.9621735204591	19.7701676208577	33.9476649147111	26.9346826790341	5.94524474372802
peak_5	9.12331769303234	5.9621735204591	46.954148099537	37.9415078458536	34.2805052278615	10.5693239888498
peak_6	49.0378326000488	37.4765192714572	67.9599511966983	59.9076439671372	67.3367066975852	61.4341956851896
peak_7	25.0891236558389	16.1830424126747	50.6610545284478	49.923036639281	62.4394916650335	35.6714684623681
peak_8	15.9658059628066	7.6656516691617	40.775970718019	50.9214973720666	45.2992390511028	15.8539859832747
peak_9	39.9145149070165	26.4039113048903	30.8908869075901	45.9291937081385	45.2992390511028	21.1386479776996
peak_10	34.2124413488713	30.6626066766468	49.4254190521442	48.9245759064954	50.1964540836544	33.6897202144588
peak_11	91.2331769303234	66.4356477994014	75.3737640545199	77.8799371572784	115.084553264964	100.408577894073
peak_12	244.048748288615	166.089119498504	198.93731168488	180.721392634197	249.757966660134	248.379113737971
peak_13	35.3528560605003	33.2178238997007	38.3046997654118	39.9384293114248	30.6075939534478	39.6349649581868
peak_14	39.9145149070165	23.8486940818364	67.9599511966983	66.8968690966366	77.1311367626885	44.2590442033086
peak_15	10.2637324046614	7.6656516691617	25.9483450023757	21.9661361212837	33.0562014697236	5.94524474372802
peak_16	23.9487089442099	5.1104344461078	59.3105028625731	58.9091832343516	75.9068330045505	13.8722377353654
peak_17	18.2466353860647	5.1104344461078	24.7127095260721	27.9569005179974	41.626327776689	7.26641024233425
peak_18	50.1782473116779	17.8865205613773	79.0806704834308	86.866083752349	93.0470856184813	33.6897202144588
peak_19	7.9829029814033	4.2586953717565	21.0058030971613	19.9692146557124	44.0749352929648	13.8722377353654
peak_20	37.6336854837584	40.8834755688624	35.8334288128046	37.9415078458536	50.1964540836544	47.5619579498242
peak_21	82.1098592372911	69.8426040968066	82.7875769123416	65.8984083638509	88.1498705859297	62.0947784344927
peak_22	51.3186620233069	44.2904318662676	43.2472416706262	34.9461256474967	31.8318977115857	35.6714684623681
peak_23	86.6715180838072	71.5460822455092	54.3679609573586	74.8845549589215	55.0936691162061	105.693239888498
peak_24	35.3528560605003	33.2178238997007	24.7127095260721	20.967675388498	19.5888601302066	19.1568997297903
peak_25	99.2160799117267	65.5839087250501	101.322109056896	102.841455476919	100.392908167309	88.5180884066172
peak_26	37.6336854837584	39.1799974201598	32.1265223838937	41.9353507769961	41.626327776689	36.9926339609744
peak_27	17.1062206744356	11.9243470409182	16.0632611919469	13.9784502589987	14.6916450976549	13.2116549860623
peak_28	55.8803208698231	69.8426040968066	64.2530447677875	74.8845549589215	62.4394916650335	75.9670161698581
peak_29	20.5274648093228	22.1452159331338	38.3046997654118	34.9461256474967	28.158986437172	29.065640969337
peak_30	65.0036385628554	57.9182570558884	69.1955866730019	61.9045654327085	71.0096179719989	54.8283681921584
peak_31	44.4761737535327	29.8108676022955	28.4196159549829	32.9492041819255	30.6075939534478	29.7262237186401
