baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Xkr4	11.5446899519049	1.5986890984889	0.911988691940118	1.75297030831372	0.0796071038012943	0.261347396714924
Gm18956	1.61568124710701	-0.353316641010674	2.67371638350435	-0.132144397659558	0.894870079547632	NA
Gm37180	7.30151774884133	-0.543134059238812	1.19795224358708	-0.453385401752311	0.650271246459371	0.834841185437668
Gm37363	4.21672575293787	-0.0464574135632951	1.23201992728947	-0.0377083296578689	0.96992023461513	0.989240367984682
Gm37686	1.55599441341949	0.0580607466147674	2.02639552256416	0.0286522280414924	0.977141957208233	NA
Gm37329	3.11081885101427	-0.744803013841904	1.65956609546844	-0.448793823804691	0.653580394519835	NA
Gm38148	4.53707399032203	-1.05403534374664	1.53013761299005	-0.688850032048386	0.4909176468329	0.730275833494573
Gm19938	26.4132853426918	-1.40508503564525	0.886356867292813	-1.58523624907063	0.112912667415404	0.323200605400851
Gm37381	2.47670337537142	-4.93663162967322	2.67502789920267	-1.84545052077575	0.0649720297959241	NA
Rp1	16.9402154538495	-3.43437592459471	1.55875614882378	-2.20327979279265	0.0275750343220999	0.132951058338696
Sox17	282.684296398056	1.91131967009762	0.559302039014798	3.41733005920089	0.000632385611424524	0.0103181460274647
Gm37587	2.54863796990929	0.783286633442422	1.94218282583687	0.403302213891686	0.686725913279798	NA
Gm6085	40.621223536232	-1.02160511155183	0.509884521677812	-2.00360094907404	0.0451128241189597	0.181765957292518
Gm6119	1.96776878113888	0.630525477283181	1.82495054966247	0.345502773979163	0.729716425195263	NA
Gm6123	19.5748492411335	-2.44848282364853	0.76320474545274	-3.20815985256494	0.00133587225886805	0.0172656014572388
Mrpl15	954.585929678496	-0.361313502745004	0.585273275518799	-0.617341535754776	0.537009475667117	0.761548584200848
Gm37144	4.56237346026922	-2.09671261208901	1.30822326599235	-1.60271772150341	0.108996989185661	0.315949112409119
Lypla1	862.086136561073	-0.231505747211765	0.458235978995758	-0.505210760008673	0.613410813667069	0.814013418232095
Tcea1	336.914479184852	0.00600222142624798	0.428158261812681	0.0140186981347424	0.98881506354815	0.996298770004405
Gm37277	8.18532134217355	-0.520146243799752	1.15256932170183	-0.451292806433309	0.6517785287847	0.835978116071762
Rgs20	1.38599116803274	1.44030507471384	2.68572673192652	0.536281319164846	0.59176413933012	NA
Atp6v1h	1340.44650159647	-0.237838781046677	0.476642037413957	-0.498988260324418	0.617787654469804	0.816892168898419
Rb1cc1	1291.27907171833	0.0860869991100571	0.336952574715876	0.255486990068698	0.798346990700506	0.914250317694819
4732440D04Rik	79.6300521779349	-0.420329930962709	0.554718383492346	-0.75773571504235	0.448609213529995	0.696577058861927
St18	6.30347812264174	3.33034368899493	1.6094729243889	2.06921386407257	0.0385260222908293	0.16478904065804
Gm37108	12.0750397498059	0.391844080479226	0.923592107862716	0.424260966657664	0.67137550259626	0.847822344706066
Pcmtd1	1286.29115372946	-0.233982743127677	0.320713992061286	-0.729568241235215	0.465654140814862	0.710731423989511
Gm38372	15.112340120435	-1.54672872898999	0.863648626529569	-1.7909236250456	0.0733055519290894	0.247448609097851
Gm26901	14.2282354578015	-1.62511542013291	0.782083724071465	-2.07793023958188	0.0377157848481932	0.162238786415951
Gm30414	3.01806132063326	-1.68888218803601	1.97125536444522	-0.856754644019104	0.391580496831907	NA
Rps2-ps2	1.91854963886459	-0.56237767355814	1.86294577463106	-0.301875492682826	0.762746978726892	NA
Sntg1	6.80757975785645	-2.12937783984059	1.61202001731163	-1.32093759194861	0.186522174011397	0.433765215123618
Gm36964	6.68108009854813	-0.0588903571094194	1.06940602061952	-0.0550682864823441	0.956084061512447	0.984453915599745
Gm24276	24.1011588531707	-0.643554178957601	0.832568119736258	-0.772974803745149	0.439537292386382	0.689641779408979
Gm37629	13.9314037408401	-4.73107782540987	1.38999658777847	-3.40366146723511	0.00066489102523302	0.0107067010680905
Gm18300	1.91179539148217	-0.0325348080875601	1.83916462869669	-0.0176899922823198	0.985886164401857	NA
Rrs1	332.110179042081	-0.641376800278221	0.446110266702063	-1.43770912294778	0.150516603507045	0.38123003295057
Adhfe1	1560.54288156347	-0.718517086091368	0.555910132114405	-1.29250582888009	0.196182028647926	0.447022865277529
2610203C22Rik	82.7005657261332	-0.300227456964312	0.719813163070892	-0.417090812403973	0.676611984866616	0.85049013250691
Gm6161	6.84620073130953	-3.83941343707778	1.90960468333433	-2.01058023714827	0.0443698132561709	0.180092466902621
Vxn	1.8191533613448	-2.50605291727302	2.24432251294631	-1.11661889181119	0.264157310530826	NA
Mybl1	27.7109454858143	-0.92857036400989	0.587651819549132	-1.5801369673667	0.114075503027454	0.325513397019432
Vcpip1	493.395813975406	-0.174631986376591	0.362501871104726	-0.481740924107231	0.629990000439655	0.823775209049559
1700034P13Rik	13.0670848528941	-1.40847885361137	0.866183899427372	-1.62607369467674	0.103933979197239	0.306722886273152
Sgk3	311.275192461765	-0.682301678832079	0.401547286943147	-1.69918139411731	0.0892850109459733	0.280057100737479
Mcmdc2	3.18746879085604	-0.361043224210214	1.63673731356604	-0.220587153001108	0.825413905091499	NA
Snhg6	847.267318432408	-0.163598230925673	0.903737380909406	-0.181024083302882	0.856348672558606	0.942975029395617
Tcf24	4.04824940781215	-0.624311640383111	1.23739312567759	-0.504537828300315	0.613883486497091	0.814383433306723
Ppp1r42	2.6041636801716	-0.930592477379533	2.4405068568511	-0.381311150496108	0.702972380665506	NA
Cops5	1284.5662360899	-0.201682927030018	0.591803674701811	-0.34079363757185	0.733258940542176	0.882489693966312
Cspp1	751.381318768799	-1.22838544622158	0.549505299401971	-2.23543876202548	0.0253885577394125	0.125667622562486
Arfgef1	1071.0216960384	-0.2210514897215	0.311941284998004	-0.708631721264193	0.478553045986057	0.72109824286868
Gm37569	21.1055600956438	-1.30404607005184	0.803249748265591	-1.62346278086932	0.104490513470908	0.307710745631496
Prex2	954.683699659674	1.08052485454769	0.363198918160481	2.97502222754489	0.00292967318901544	0.0295214000794961
A830018L16Rik	65.369325211604	-1.80768445346956	0.504471191867629	-3.5833254358435	0.000339247510648608	0.00653623502921219
Gm38178	19.9248306352417	-7.94412736257583	3.90932664578291	-2.03209608261959	0.0421439299003551	0.174251491155024
Gm38069	2.32648766614744	-4.84484209308288	2.65507872584102	-1.82474517457038	0.0680394927494509	NA
Sulf1	524.224058927072	-0.193969022361413	0.49911189593289	-0.388628329522912	0.697551107053676	0.863288479218131
Slco5a1	10.4440649556184	-1.02461197129554	1.32105469029819	-0.775601478742912	0.437984326999013	0.688685367782254
Ncoa2	592.80857212635	-0.471220494393122	0.388245797872262	-1.21371692102167	0.224855840553238	0.483053793093577
Gm38376	19.3067636713577	-1.04032609624866	0.987059475606062	-1.05396495546521	0.291898961997724	0.554858572762575
Gm37409	32.0026772997646	-0.929406062271941	1.15697129054503	-0.803309528825138	0.4217958517218	0.676195347449769
Gm38223	24.5524514561467	-0.713745560595479	0.870272519196215	-0.820140294967253	0.41213613343898	0.667169708948024
Gm37702	8.58451008070954	-0.930294252687382	1.30980411524747	-0.71025448909329	0.477546336516795	0.720469464655184
Gm38120	79.6323404019057	-1.55440554511821	0.859162108792759	-1.80921100827219	0.0704182280727136	0.241666527516779
Gm38380	96.5046299658301	-0.924710169799514	0.81059827472217	-1.14077490495086	0.253963606236249	0.514029849960615
Tram1	1050.02084938983	0.654774133229837	0.438652100818019	1.49269576506936	0.135516842430419	0.359445157354806
Lactb2	628.411826647293	-0.221210996864092	0.574105257271034	-0.385314354924394	0.700004527379897	0.864845807417131
Gm38319	10.0154052614032	-1.58696653326659	1.35365897152459	-1.17235327852128	0.241055249238207	0.500245541623983
Gm5523	1.4740712024789	0.0587356419371616	2.7149285633928	0.0216343231748833	0.982739653999232	NA
Eya1	38.9842113851654	0.963071742501405	0.823882195646991	1.16894350623163	0.242426393349904	0.501530901182855
Gm9947	1.76210140953738	0.323301611348103	1.89441136687106	0.170660721848438	0.864490549080642	NA
Msc	13.7983837137359	0.586229624984898	0.763253479682847	0.768066757099481	0.442447525348913	0.691236582484708
Gm37412	2.56734865403285	0.764558028245052	1.69421391995921	0.451275968895036	0.65179066253272	NA
Rpl5-ps1	20.3789926204033	-0.592458673960726	0.699986397127456	-0.846385981773371	0.397337456091071	0.654590543259362
Terf1	191.394632509138	0.068685986390031	0.604301974373243	0.113661694488537	0.909505979044824	0.964560820391362
4930444P10Rik	2.4387517708888	-4.90914595775358	2.69174524868911	-1.82377807117681	0.0681856303891778	NA
Rpl7	4076.4662004452	0.137903397289913	0.525658486438295	0.262344090027548	0.793056173062234	0.911489717829415
Rdh10	152.879708529741	-0.284393964519895	0.446623729966285	-0.636764115828246	0.524278503257715	0.753011381039314
Stau2	249.621840422696	0.164981893005032	0.43142391922778	0.382412484918172	0.702155431219947	0.865833555389462
Ube2w	2111.07275021719	0.0598056712954533	0.601785572069756	0.0993803674783366	0.920836270071497	0.970351015950114
Gm38342	16.0329622103328	-1.5041010908724	0.902496596795175	-1.66660029102997	0.0955939109929428	0.292078835724667
Eloc	2430.25661806848	-0.0165161579598614	0.616398881989493	-0.0267945942837433	0.978623564808241	0.991909413883083
Tmem70	1342.69468419743	-0.727869014054824	0.666718058480195	-1.09171936292535	0.274956471695457	0.536945611524567
Ly96	117.65861157807	2.30774769560108	0.510157026637202	4.52360268526152	6.07958027595727e-06	0.000309944384669239
Jph1	66.9693355434217	1.04980464920564	0.550204014571664	1.90802797035735	0.0563876012646758	0.209184946532422
Gdap1	5.33842648343474	2.18129115202585	1.38663139522972	1.57308651710175	0.115698786469036	0.327765437134071
Rbm6-ps1	2.34287747452229	-1.09181917847779	1.8236808550344	-0.598689828575949	0.549379741242989	NA
Pi15	111.669613074652	-0.639194158713112	0.559103563394648	-1.14324822906187	0.252935543127374	0.513085905172179
Gm28154	3.67610217652463	-0.70290501432661	1.89454768960017	-0.371014685027514	0.710626594028567	NA
Gm16070	6.22229571556357	-0.125188356277503	1.45385736458245	-0.0861077292224312	0.931380779417187	0.974183568367266
Crispld1	47.6194365690129	-0.107615468202956	0.682045407231393	-0.157783436501385	0.874627450912332	0.950342709835821
Gm28153	3.76904754492255	-0.741475566018476	1.59498170145482	-0.464880296333281	0.642017181484732	NA
Crisp4	37.3928009303388	7.49932824369486	2.98629868264937	2.51124520372545	0.0120306099375213	0.0774659659812299
Defb18	4.42392304921203	2.78316065750658	2.24491602155355	1.2397615905385	0.215063588779218	0.471566986288923
Defb41	24.9157175959431	5.9990555511956	1.66054094240281	3.61271161583944	0.000303011639970156	0.00597833776157336
Tfap2b	24.8350225437055	-4.17567247203101	2.85524092462129	-1.46245888955408	NA	NA
Pkhd1	66.0866677658283	-1.75624616022094	0.776613225360275	-2.26141675530469	0.0237334621761331	0.120594622194273
Gm37315	3.41456589448736	-4.38793807641385	2.20881248707961	-1.98655979268543	0.0469712006019178	NA
Gm15795	1.95077514272204	-2.15964410562206	2.48305556473938	-0.869752629095408	0.384435604197947	NA
Mcm3	153.200739430027	1.29728958821924	0.493714889180501	2.62760880145332	0.00859873387791155	0.0617955593151081
6720483E21Rik	1.85501634659916	-0.192412300700726	1.87150842632514	-0.102811346181617	0.918112700036832	NA
Paqr8	54.3119177627216	0.909381012194313	0.576345932933337	1.57783886418002	0.114602632879669	0.326235415757765
Efhc1	43.7482103687256	-0.945549003687899	0.521147047946419	-1.81436123914322	0.0696221291021429	0.239953618276989
Tram2	305.378816526203	0.482817454638024	0.420198287101191	1.14902290051876	0.250546537841592	0.510371006551953
Gm2693	10.7808524444278	-1.67104524149244	0.936384637163676	-1.78457139851639	0.0743308641198194	0.249797328525429
Tmem14a	209.260667438515	0.488750938444132	0.541657578696441	0.902324563833051	0.366884480642792	0.628866619045993
Gm38224	5.98894065143145	-2.78246453068988	1.30583203276873	-2.13079818909809	0.03310577161793	0.149762395820381
Gsta3	3873.97586645396	-2.57372729821805	0.663262646670304	-3.88040440862849	0.000104282925297878	0.00269386167447074
Gm28836	2.61280043481952	-2.85833318439781	1.83678608982542	-1.55616007777448	0.119670031909669	NA
Gm4956	107.677903759318	-3.29264936398927	1.23318393040505	-2.6700391424236	NA	NA
Gm21909	4.72704706707685	-4.84498368614604	2.57730451065719	-1.87986466717921	0.0601265243909105	0.218008424529957
Khdc1a	21.6456472204129	-7.09020078406111	1.83179793316311	-3.8706238585049	0.000108557183799182	0.00277878193854788
Kcnq5	24.9512966783946	0.379272847839353	1.20209789745289	0.315509118386272	0.752375128886125	0.892203464914598
Gm36949	3.43091379642505	-0.898046802047995	1.63531073795913	-0.549159729219877	0.582895838106028	NA
Gm7658	9.40002360070914	-0.435524294584211	0.932621396923065	-0.466989387141563	0.640507471118551	0.829515885126923
Gm38243	7.33974306220325	-0.103002530224147	1.15680065137788	-0.0890408646480785	0.929049433786201	0.973087700070465
Rims1	14.2555109157275	-3.95474344244718	1.76721740317753	-2.2378364061696	0.0252317253436176	0.125300404767625
Gm29506	10.8530542796369	-1.54089964312902	1.19493591113649	-1.2895249266243	0.197215656258283	0.448497475674906
Ppp1r14bl	7.55867791892739	-2.59334900309468	1.58224178131449	-1.63903458606698	0.10120605688729	0.302187545234926
Gm6420	3.26359515006815	-3.55438213801758	1.85203334472727	-1.91917826325152	0.0549617774553099	NA
Gm27028	4.43937996411139	0.311900049877903	1.39513340674096	0.223562885363417	0.823097445874156	0.926652332239923
Gm29107	62.1003112265074	-3.56977684685974	0.83575363678937	-4.27132672802165	1.94313473953143e-05	0.00076573239205757
Ogfrl1	306.018888045017	-0.250480438755262	0.421776552128869	-0.593869994647618	0.55259906920341	0.772469567097044
B3gat2	10.7448133858702	0.653481515234621	0.996272791825907	0.655926289060811	0.511871552374696	0.743642679570679
Smap1	428.171425885922	0.238217047265669	0.54412081355027	0.437801755296503	0.661529998433043	0.841753148425776
Sdhaf4	1097.99055754472	0.0443247469520908	0.650743039503652	0.0681140546442096	0.945694842353136	0.979909392439545
Fam135a	331.067407732711	-0.660688753501157	0.464987244513182	-1.42087500527647	0.155353100513761	0.388562512081002
Col19a1	3.1821872602416	-3.39731077981966	1.79073228073	-1.8971628625775	0.0578064466159924	NA
Gm28439	23.1963454257715	-0.335526331201011	0.990839708828789	-0.338628264704506	0.734889787166004	0.883158204075479
Gm10222	7.12192824506138	0.112476757776727	1.36819756504707	0.0822079797904461	0.934481327971373	0.975976418732289
Gm28438	117.881287644451	0.189294044979971	0.835948677328877	0.226442184925545	0.820857521047055	0.925190357785734
Gm28437	107.151720925855	-1.20812330167219	0.694541867015732	-1.73945352907692	0.0819550195871294	0.265898507993798
Gm10925	244.63848884584	-1.30709358821028	0.780415818013034	-1.67486813829349	0.0939601062222538	0.289020686496128
Gm28661	356.460057607452	-1.25116424595385	0.751949875879545	-1.66389314778513	0.0961337846129764	0.29308536654629
Gm29216	180.669940629078	-1.82468850735053	0.699740864507802	-2.60766320777052	0.00911626002553245	0.0644250574052508
Lmbrd1	698.317561536962	-0.13587935198031	0.498019779279829	-0.272839267903778	0.784976772879778	0.90813477686567
4931408C20Rik	2.28218573388918	-3.7783420528208	2.10553443933433	-1.7944812405991	0.0727363902045855	NA
Gm7846	12.0835542448932	0.979913210524681	1.03441925480996	0.947307589227642	0.343482064743179	0.605819373251728
Gm5697	3.03181288830365	-2.35199244341969	1.74558704439581	-1.34739338892938	0.177853568676816	NA
Gm5525	2.50353038242472	1.70144285325982	1.67985087957734	1.01285350619212	0.311130138970861	NA
Phf3	737.952914394341	-0.595604102382019	0.31786122069404	-1.87378662009017	0.0609598412915257	0.219977750248255
Gm37522	14.320895910399	-2.14510620415221	1.00086380176903	-2.14325485681543	0.0320926395726645	0.146694324206219
Gm37906	40.2260408837866	-1.65617776230826	1.00752485495802	-1.64380834294879	0.100215797492082	0.300577920676888
Ptp4a1	3150.59634438121	-0.614333059528217	0.460613894246487	-1.33372672253666	0.18229343370577	0.427846274939985
Gm9458	3.34615379130444	-1.6811648745412	1.96852526778568	-0.854022502049102	0.39309252160874	NA
4931428L18Rik	65.9112374327274	-1.23903118036362	0.496279046152597	-2.49664214108817	0.0125375410229163	0.0793656597690064
Gm28644	3.98818723250352	-2.90725375212047	1.65017509201892	-1.76178501674242	0.0781056272033181	0.258472449996205
Gm29128	2.77960211134953	-4.04472639106627	2.0923059003901	-1.93314294545179	0.0532185909325361	NA
Prim2	108.781632629869	0.183072162353736	0.492608862790503	0.371637979302035	0.71016240782666	0.869907266721424
1700001G17Rik	8.82608820897378	0.00172819102286174	1.1598539071315	0.00149000750201017	0.998811146458566	0.999622610779848
Rab23	180.664332137402	-0.104204580680702	0.391775268120594	-0.265980497392262	0.790254229004329	0.910801062638218
Bag2	52.6349568125094	0.190589891566019	0.512519902211601	0.371868274273048	0.709990927349946	0.869835975762521
Zfp451	516.367175252482	-0.376210108541061	0.458133427885702	-0.821180218778796	0.411543622262934	0.667039080175329
Bend6	19.0622877265321	0.103139556273722	0.840312458855243	0.122739530024616	0.902313360079861	0.962294144804205
Gm37067	2.81203768331136	-1.06016456428673	1.93307508051809	-0.548434240848315	0.583393770648349	NA
Dst	5223.18858095832	0.721256545035717	0.437761927822427	1.64759998345102	0.0994347838408022	0.299233723650797
Gm37354	3.99407555930463	-1.06056400869319	1.57413655204771	-0.673743333965254	0.500474506574369	0.736452797167558
Gm38157	173.406897200006	-1.63777498124705	0.887124832552458	-1.84616067677285	0.0648688787680992	0.229421424819529
Gm26788	27.4518263970258	-0.722474844351915	0.648186431293936	-1.11460963925098	0.265017737864172	0.525687507918547
A930005N03Rik	9.12282622949113	1.10877534187766	1.38017535685466	0.803358309776298	0.421767664299916	0.676195347449769
Gm3052	7.77543374342537	0.574614775048128	0.940652299780225	0.610868410338636	0.541286699472676	0.764511705238727
Gm37233	8.94434087463014	2.05375097356754	1.12099860038348	1.83207273663408	0.0669405845967835	0.233645992987888
Ccdc115	250.14905986267	0.106599622345604	0.530646168153349	0.200886445136448	0.840787366875604	0.934735123307471
Imp4	369.324767773053	-0.145582425632221	0.419271759742431	-0.347226881490078	0.728420877193497	0.879985556391978
Ptpn18	202.105449438663	0.0772608594074997	0.458841615679484	0.168382415123978	0.866282441284319	0.946851285602578
Gm28417	9.53398148444013	-0.518975659924796	1.11429467543568	-0.465743641574774	0.641399010144893	0.830016052127624
Arhgef4	12.305189459969	-0.143778453299256	0.869073071772993	-0.165438854302475	0.868598573691391	0.948121272688874
Gm38336	7.69709846711704	-1.78975405894758	0.969685917344326	-1.84570491015191	0.0649350638846085	0.229614300173239
Fam168b	838.51211496837	1.01992693443757	0.43150618017566	2.36364386258006	0.0180961991590601	0.10176207858062
Gm37127	26.2361430312893	-1.38372673494911	1.18565628727267	-1.16705553692298	0.24318794222338	0.502407485730213
Plekhb2	467.926886883733	0.113344727681304	0.394371117555281	0.287406259322264	0.773801269042104	0.90205011592558
Gm37670	3.99754652774718	-0.181060286752731	1.26740812898982	-0.142858707160924	0.886401770904667	0.955237244186478
