Supplementary Table 4. Expression changes between control and Cushing's subjects whose age are between 40 and 60 years old,,,,,,,,
,Row.names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,hgnc_symbol
 ,ENSG00000230708,198.1765959,-1.753231084,0.195545401,-8.965851801,3.08E-19,2.91E-15,HLA-DPB1
9488,ENSG00000152952,941.2924668,0.575574834,0.115894848,4.966353928,6.82E-07,0.003220144,PLOD2
8929,ENSG00000147883,792.0700666,0.712323205,0.159264568,4.472578001,7.73E-06,0.024318131,CDKN2B
8632,ENSG00000145685,254.5844664,0.621206426,0.14176991,4.381793199,1.18E-05,0.027778736,LHFPL2
10341,ENSG00000160307,643.3942313,-0.811127542,0.190399948,-4.260124814,2.04E-05,0.03214521,S100B
11102,ENSG00000164111,4086.759327,0.455118789,0.10642296,4.276509403,1.90E-05,0.03214521,ANXA5
17293,ENSG00000204525,108.1076456,-0.784824305,0.187795191,-4.179150173,2.93E-05,0.039459258,HLA-C
12377,ENSG00000169252,137.7766305,0.628727131,0.160615349,3.914489708,9.06E-05,0.09502472,ADRB2
16130,ENSG00000189056,77.05499017,0.63694097,0.162198077,3.926932936,8.60E-05,0.09502472,RELN
2804,ENSG00000103489,338.8701531,0.655680899,0.169625603,3.865459506,0.00011088,0.095764267,XYLT1
10677,ENSG00000162734,2016.213408,0.50872188,0.131660119,3.863902631,0.00011159,0.095764267,PEA15
14159,ENSG00000178695,1817.087289,0.519506812,0.136934374,3.793837845,0.000148337,0.116691432,KCTD12
2368,ENSG00000100767,200.3293275,0.59404494,0.160828631,3.693651659,0.000221057,0.141200816,PAPLN
8556,ENSG00000145020,147.6955694,-0.597956742,0.162053458,-3.689873374,0.000224366,0.141200816,AMT
14012,ENSG00000177685,121.5424242,-0.561748217,0.151383795,-3.710755275,0.000206642,0.141200816,CRACR2B
785,ENSG00000058453,254.8784348,-0.4481832,0.124042688,-3.613136785,0.000302515,0.175845631,CROCC
4820,ENSG00000118855,470.4515971,0.37027676,0.102818493,3.601266174,0.000316671,0.175845631,MFSD1
7718,ENSG00000139289,93.36561014,0.641665291,0.184053588,3.486296029,0.000489759,0.256851236,PHLDA1
11761,ENSG00000166750,689.3488692,0.449866927,0.130745528,3.440782509,0.000580035,0.288185595,SLFN5
3215,ENSG00000105997,95.52881311,-0.550643167,0.165114579,-3.3349155,0.000853253,0.402735525,HOXA3
4844,ENSG00000119147,87.3176893,-0.636504495,0.192431445,-3.30769482,0.000940673,0.42285472,C2orf40
7120,ENSG00000136051,422.2337946,0.383178993,0.117176259,3.270107744,0.001075065,0.461300737,KIAA1033
13131,ENSG00000172613,123.9221334,-0.468999159,0.144018408,-3.256522311,0.001127861,0.462913246,RAD9A
2957,ENSG00000104852,1872.084318,-0.3983718,0.123162915,-3.234510969,0.001218512,0.479281545,SNRNP70
129,ENSG00000006282,283.4756818,-0.574084951,0.179001494,-3.207151729,0.001340563,0.48560088,SPATA20
13486,ENSG00000174600,254.9999935,0.573970714,0.17841456,3.217062075,0.001295106,0.48560088,CMKLR1
13498,ENSG00000174697,7426.590681,0.573528865,0.179398886,3.196947751,0.001388901,0.48560088,LEP
14091,ENSG00000178188,487.4586846,-0.338027291,0.106155684,-3.184259931,0.001451246,0.489277331,SH2B1
1388,ENSG00000077616,81.57403079,-0.597258147,0.189387303,-3.153633521,0.001612514,0.496171736,NAALAD2
7788,ENSG00000139725,149.3083088,-0.502135277,0.159732775,-3.143595772,0.001668858,0.496171736,RHOF
9614,ENSG00000154134,177.3212192,-0.507038573,0.161409904,-3.14131016,0.001681938,0.496171736,ROBO3
17895,ENSG00000214063,601.5463789,-0.388023556,0.122804775,-3.159678076,0.001579435,0.496171736,TSPAN4
14249,ENSG00000179195,1071.692975,0.36557841,0.117101821,3.121884917,0.001796972,0.514042808,ZNF664
5845,ENSG00000127334,181.0421274,0.439971984,0.141395186,3.111647548,0.001860465,0.516552567,DYRK2
7657,ENSG00000138792,135.1607826,0.470573058,0.152958365,3.076478094,0.002094617,0.564948109,ENPEP
551,ENSG00000038945,397.8086437,0.586428039,0.194439312,3.015995237,0.002561373,0.577156792,MSR1
2749,ENSG00000103150,96.05401891,-0.47802025,0.160313176,-2.981790159,0.002865683,0.577156792,MLYCD
5853,ENSG00000127415,121.8999173,-0.481379929,0.159308528,-3.021683372,0.002513733,0.577156792,IDUA
