Supplementary Table 4a. Cushing's effect on gene expressions after controlling for BMI,,,,,,,,,,,,,,,,
,Row.names,baseMean,log2FoldChange.BMIxDisease,lfcSE.BMIxDisease,stat.BMIxDisease,pvalue.BMIxDisease,padj.BMIxDisease,log2FC_Obese_vs_notObese,lfcSE_Obese_vs_notObese,pvalue_Obese_vs_notObese,padj_Obese_vs_notObese,log2FC_Cushing_vs_Con,lfcSE_Cushing_vs_Con,pvalue_Cushing_vs_Con,padj_Cushing_vs_Con,external_gene_id
1,ENSG00000000003,251.1473474,-0.228508521,0.27994907,-0.81625033,0.414356977,0.796077991,-0.04549183,0.157916619,0.773289329,NA,0.034021262,0.21793392,0.87594777,0.948507353,TSPAN6
2,ENSG00000000005,328.0577142,-1.08537299,0.643257775,-1.687306446,0.091544442,0.473438626,1.312016516,0.463861889,0.0046772,0.143780503,0.856232882,0.585922509,0.143921745,0.396398517,TNMD
3,ENSG00000000419,132.4183621,-0.160007814,0.199362091,-0.802598994,0.42220655,0.80034483,-0.002719327,0.110346126,0.980339232,NA,0.2014862,0.154879894,0.193286173,0.459826282,DPM1
4,ENSG00000000457,105.8811187,-0.266015006,0.260706894,-1.020360457,0.30755754,0.733151058,0.145610375,0.14492972,0.315043041,NA,0.132383648,0.204256909,0.51690525,0.757550666,SCYL3
5,ENSG00000000460,52.00830029,-0.051991939,0.327821192,-0.158598467,0.873985236,0.970652551,0.057497021,0.186833806,0.75827698,NA,0.172948527,0.260502665,0.506752331,0.751487565,C1orf112
6,ENSG00000000938,165.4627037,1.881937077,0.531359766,3.541738003,0.0003975,0.034580195,-0.615199709,0.335890846,0.067019011,NA,-0.674411607,0.444596084,0.129289771,0.376153026,FGR
7,ENSG00000000971,1219.224352,0.144741412,0.472662668,0.306225606,0.759432877,0.94525829,0.426600553,0.288331936,0.138994271,0.493532241,-0.269779021,0.384453721,0.482853545,0.733623459,CFH
8,ENSG00000001036,288.4501476,-0.153433763,0.232487318,-0.659966163,0.509275544,0.844268835,0.145447553,0.1309901,0.26683937,0.623976145,0.322032294,0.180797292,0.074883255,0.278325889,FUCA2
9,ENSG00000001084,458.6055871,-0.052128615,0.290113083,-0.179683779,0.857400829,0.966355726,-0.069766219,0.166041111,0.674358078,0.884333525,0.500951708,0.226111482,0.026725243,0.157205294,GCLC
10,ENSG00000001167,116.7745156,0.251556828,0.268289458,0.937632175,0.348433471,0.759605308,0.048130386,0.149018837,0.746708957,NA,-0.115782573,0.212427737,0.585722902,0.800485148,NFYA
11,ENSG00000001460,51.09949664,0.841175375,0.333742092,2.520435376,0.011720976,0.199113142,-0.495856986,0.183891333,0.007007925,NA,-0.545299904,0.267666987,0.041626742,0.202211224,STPG1
12,ENSG00000001461,101.4950449,0.579463938,0.274300742,2.112513197,0.034642455,0.329263818,-0.21116471,0.1517677,0.164113885,NA,-0.296522158,0.217593373,0.172965966,0.435377421,NIPAL3
13,ENSG00000001497,211.2180826,0.019853441,0.227600921,0.087229179,0.930489346,0.985106996,-0.121605429,0.124902193,0.330252587,NA,-0.216768452,0.176923679,0.220496551,0.492069916,LAS1L
14,ENSG00000001561,205.7437505,0.108300357,0.193658656,0.559233239,0.576002551,0.874856736,0.022549758,0.106846891,0.832850291,NA,0.037685387,0.15151709,0.803577089,0.916557766,ENPP4
15,ENSG00000001617,219.1309577,1.147626367,0.476248997,2.40971923,0.015964801,0.229103522,-0.653649902,0.289182164,0.023800181,NA,-0.962488343,0.388770797,0.013296714,0.102530944,SEMA3F
16,ENSG00000001626,2.646773458,-0.422928954,0.705573876,-0.5994113,0.548898643,NA,-0.218697891,0.636662044,0.731217049,NA,-0.177382541,0.79444776,0.823319311,NA,CFTR
17,ENSG00000001629,346.357772,-0.303616635,0.188561504,-1.61017296,0.107360103,0.501364106,0.233648297,0.105646526,0.026994028,0.266410292,0.413960758,0.146205168,0.004634924,0.054064931,ANKIB1
18,ENSG00000001630,11.60095762,0.092768778,0.556759693,0.166622654,0.867666967,NA,0.188020648,0.353673881,0.594988153,NA,0.074420768,0.481708936,0.877220852,0.949125333,CYP51A1
19,ENSG00000001631,218.9204906,-0.279927038,0.181148109,-1.545293738,0.122275229,0.52429772,0.079081851,0.098655577,0.422787075,NA,0.064508117,0.140366569,0.645825651,0.835521851,KRIT1
20,ENSG00000002016,70.89847263,0.158744814,0.271995285,0.583630756,0.559468763,0.866419173,-0.010510617,0.147269127,0.943103183,NA,-0.207632432,0.216481534,0.337496753,0.615435217,RAD52
21,ENSG00000002330,173.7686347,-0.066398482,0.210363993,-0.315636157,0.75227869,0.943397717,0.038603306,0.116274839,0.739888872,NA,0.087118337,0.16407525,0.595442518,0.806423777,BAD
22,ENSG00000002549,507.0973146,-0.035489624,0.288570357,-0.122984303,0.902119528,0.978756293,-0.100880034,0.164267377,0.539135423,0.809856653,0.116689345,0.224894919,0.603857236,0.811522502,LAP3
