Supplementary Table 4b. Cushing's effect on gene expression in Obese and Non-obese patients,,,,,,,,,,
,Row.names,log2FC_NotObese_CushingvCon,lfcSE_NotObese_CushingvCon,pvalue_NotObese_CushingvCon,padj_NotObese_CushingvCon,log2FC_Obese_CushingvCon,lfcSE_Obese_CushingvCon,pvalue_Obese_CushingvCon,padj_Obese_CushingvCon,external_gene_id
1,ENSG00000000003,0.036082356,0.215064725,0.86676076,0.940678369,-0.192472582,0.183305508,0.293713601,0.865490839,TSPAN6
2,ENSG00000000005,0.889509534,0.512277388,0.08249621,0.278993084,-0.379373619,0.469990478,0.419554568,0.916876152,TNMD
3,ENSG00000000419,0.199405907,0.153892171,0.195061346,0.447524654,0.039970898,0.128181393,0.755169166,0.969703261,DPM1
4,ENSG00000000457,0.134268293,0.201840706,0.505910364,0.73570746,-0.134877173,0.168160818,0.422511003,0.916876152,SCYL3
5,ENSG00000000460,0.167081549,0.255484763,0.51312564,0.740362513,0.11548352,0.212090858,0.586097292,0.949668113,C1orf112
6,ENSG00000000938,-0.755027619,0.416272134,0.06971103,0.254133994,1.21374708,0.365646036,0.00090192,0.137733331,FGR
7,ENSG00000000971,-0.230074993,0.367051183,0.530777285,0.754083277,-0.118848213,0.320966004,0.711171737,0.968950879,CFH
8,ENSG00000001036,0.317841378,0.179206201,0.076128174,0.26710739,0.163753724,0.150440645,0.276377129,0.856808228,FUCA2
9,ENSG00000001084,0.482792249,0.222970669,0.030366826,0.158131799,0.436941768,0.190324715,0.021689037,0.451603005,GCLC
10,ENSG00000001167,-0.115271273,0.209621757,0.582387086,0.787199902,0.135575095,0.170749335,0.427195011,0.918358986,NFYA
11,ENSG00000001460,-0.550376013,0.261784376,0.03551807,0.17360379,0.306702427,0.213269798,0.150406839,0.769030069,STPG1
12,ENSG00000001461,-0.299258941,0.214575816,0.163120314,0.406814445,0.285332374,0.174402289,0.101827312,0.707070262,NIPAL3
13,ENSG00000001497,-0.21345077,0.175348729,0.223492778,0.479497242,-0.193076978,0.147130961,0.18942577,0.800935427,LAS1L
14,ENSG00000001561,0.036394922,0.15055277,0.808980115,0.913178629,0.144996363,0.123070709,0.238734848,0.834598472,ENPP4
15,ENSG00000001617,-0.950622707,0.370512678,0.010296918,0.081889253,0.237339553,0.322598887,0.461906588,0.926083661,SEMA3F
16,ENSG00000001626,-0.032965186,0.578825981,0.954583585,NA,-0.442305515,0.566541643,0.434972259,NA,CFTR
17,ENSG00000001629,0.411543919,0.145376812,0.004642052,0.049266715,0.106651725,0.121318219,0.379343131,0.905421537,ANKIB1
18,ENSG00000001630,0.067040916,0.443364693,0.879810523,NA,0.148973754,0.375497703,0.691561566,0.967969344,CYP51A1
19,ENSG00000001631,0.066012652,0.139592879,0.636288719,0.821706907,-0.215076746,0.116460329,0.064778856,0.623706334,KRIT1
20,ENSG00000002016,-0.203412485,0.213332789,0.340337577,0.601829947,-0.045926178,0.171848469,0.789278137,0.972736709,RAD52
21,ENSG00000002330,0.08641632,0.162854934,0.595672623,0.795746528,0.019815102,0.134801273,0.883136031,0.986314891,BAD
22,ENSG00000002549,0.11165109,0.221766758,0.614639636,0.807845013,0.079432862,0.189213244,0.674627154,0.967174405,LAP3
23,ENSG00000002586,-0.135000854,0.153536438,0.379251827,0.637029294,-0.106241972,0.129598983,0.412344535,0.914601749,CD99
24,ENSG00000002587,-1.436885696,0.470478958,0.002257434,NA,0.331889873,0.366066809,0.364598559,0.896966272,HS3ST1
25,ENSG00000002726,-0.574690493,0.569373492,0.3128124,NA,0.990004697,0.590529369,0.093646193,NA,AOC1
26,ENSG00000002745,0.52277846,0.544734901,0.337209573,NA,-0.80378432,0.578706557,0.16485329,NA,WNT16
27,ENSG00000002746,-0.255244126,0.543287996,0.638488149,NA,0.663112672,0.501690692,0.186249421,NA,HECW1
28,ENSG00000002822,0.117663756,0.175173459,0.501775631,0.73315638,-0.280183991,0.151096865,0.063691451,0.619412621,MAD1L1
29,ENSG00000002834,0.1810896,0.123957519,0.144042752,0.378908151,-0.007167364,0.104563969,0.945351594,0.992057774,LASP1
30,ENSG00000002919,0.272094437,0.163024335,0.095109087,0.303093509,-0.0479558,0.13750789,0.727277422,0.968950879,SNX11
31,ENSG00000002933,-1.186914878,0.369649095,0.001323093,0.022575622,-0.019537967,0.315433687,0.950610601,0.992629852,TMEM176A
32,ENSG00000003056,-0.240122133,0.162218076,0.138808473,0.371429115,0.111322593,0.135411344,0.411016092,0.914601749,M6PR
33,ENSG00000003096,-0.443812499,0.459995966,0.334635858,0.595768496,-0.6142961,0.41178659,0.135756127,0.754875057,KLHL13
34,ENSG00000003137,0.109985636,0.355548293,0.757062207,0.886650096,-0.117971057,0.310165973,0.703686991,0.968427078,CYP26B1
35,ENSG00000003147,0.55371216,0.258078745,0.031911588,0.162423194,-0.07125411,0.219647278,0.745633382,0.968950879,ICA1
36,ENSG00000003249,0.559894577,0.433967005,0.196988947,0.449278572,0.386603784,0.377059627,0.305215966,0.870470877,DBNDD1
37,ENSG00000003393,-0.143506824,0.143004644,0.315614067,0.578334458,-0.006404361,0.113329123,0.9549346,0.993881014,ALS2
38,ENSG00000003400,-0.538607438,0.236857346,0.022967552,0.134269251,-0.081404649,0.19501572,0.676366778,0.967174405,CASP10
39,ENSG00000003402,-0.157399479,0.165056375,0.340280881,0.601818664,-0.033710256,0.140025981,0.809754411,0.974651213,CFLAR
40,ENSG00000003436,0.241212178,0.226743031,0.287413433,0.546964431,-0.062334763,0.191495234,0.744790573,0.968950879,TFPI
41,ENSG00000003509,-0.145954109,0.185375319,0.431080635,0.677275704,-0.05962331,0.150914528,0.692783858,0.967969344,NDUFAF7
42,ENSG00000003756,-0.300885254,0.126015382,0.016954788,0.111549075,-0.165670829,0.105602378,0.116690534,0.726094786,RBM5
43,ENSG00000003987,0.071516158,0.38515904,0.852696064,NA,0.170181602,0.337749925,0.614353676,0.958596431,MTMR7
44,ENSG00000003989,-0.883685391,0.310334997,0.00440612,0.047736958,-0.071155808,0.263209874,0.786899717,0.972449063,SLC7A2
45,ENSG00000004059,-0.021831879,0.148371655,0.883019,0.947563932,0.016018574,0.124076013,0.897276222,0.98824041,ARF5
46,ENSG00000004139,-0.030089561,0.389400304,0.938407531,NA,-0.465280559,0.319000356,0.144686769,0.764619875,SARM1
47,ENSG00000004142,0.285123322,0.330173756,0.387832188,0.643928483,0.413084023,0.271933248,0.128746373,0.745065623,POLDIP2
48,ENSG00000004399,-0.122103684,0.134541797,0.364114938,0.624756674,0.056275313,0.113483243,0.61997135,0.959157654,PLXND1
49,ENSG00000004455,0.497870173,0.134884695,0.000223304,0.006717346,-0.073839634,0.114903101,0.520467296,0.942568127,AK2
50,ENSG00000004468,0.576464996,0.482125768,0.231824004,0.489297142,0.25219885,0.437011881,0.563872996,0.948110311,CD38
51,ENSG00000004478,-0.161386026,0.187694236,0.389880141,0.645242817,0.083753382,0.15754025,0.594981144,0.949960136,FKBP4
52,ENSG00000004487,-0.073349801,0.138150848,0.595460408,0.795746528,-0.018354597,0.115322448,0.873543665,0.986104138,KDM1A
53,ENSG00000004534,-0.082438744,0.171867811,0.63146657,0.818663623,-0.1548389,0.146015354,0.288949525,0.863901701,RBM6
54,ENSG00000004660,-0.780828829,0.374234679,0.036936216,0.177641365,-0.070620364,0.313810111,0.821946827,0.975266868,CAMKK1
55,ENSG00000004700,-0.085951424,0.205296494,0.675457534,0.844375818,0.201977158,0.172177785,0.240766423,0.835382887,RECQL
56,ENSG00000004766,0.076766894,0.168611318,0.648901273,0.828946222,0.021890606,0.138237959,0.874177445,0.986116904,CCDC132
57,ENSG00000004776,0.990373182,0.217885604,5.48E-06,0.000469827,-0.049088943,0.186497134,0.792384458,0.972736709,HSPB6
58,ENSG00000004777,-0.899672104,0.228556286,8.27E-05,0.003509344,-0.436833312,0.186665968,0.019274076,0.43596928,ARHGAP33
59,ENSG00000004779,0.346442292,0.172270483,0.044321563,0.196509333,-0.079270472,0.1480241,0.592287499,0.949960136,NDUFAB1
60,ENSG00000004799,-0.194750023,0.269755455,0.470325053,0.710580359,0.405653744,0.232094506,0.080499437,0.665921612,PDK4
61,ENSG00000004809,-0.361047718,0.574768009,0.529897483,NA,1.514029985,0.597786741,0.01131794,NA,SLC22A16
62,ENSG00000004838,-0.12584272,0.505882572,0.803547395,NA,-0.018825683,0.454931188,0.966991852,NA,ZMYND10
63,ENSG00000004846,-1.529293839,0.572566115,0.007563755,NA,-0.353426696,0.548126034,0.519062679,0.941837405,ABCB5
64,ENSG00000004848,NA,NA,NA,NA,NA,NA,NA,NA,ARX
65,ENSG00000004864,-0.031934756,0.187882991,0.865032542,0.939536268,0.096675187,0.152868627,0.527120973,0.943273533,SLC25A13
66,ENSG00000004866,-0.0072217,0.199300555,0.971094799,0.986545582,-0.044539975,0.167554621,0.790375057,0.972736709,ST7
67,ENSG00000004897,0.377065371,0.150855979,0.012436672,0.091148915,0.061786585,0.125936258,0.623696709,0.959157654,CDC27
68,ENSG00000004939,0.294272764,0.548951907,0.591915063,NA,-0.474460994,0.584619058,0.417036737,NA,SLC4A1
69,ENSG00000004948,-0.05671534,0.577968655,0.92183006,NA,-0.96052994,0.554503027,0.083231605,NA,CALCR
70,ENSG00000004961,0.422470401,0.193269795,0.028822182,0.153517724,0.125978417,0.163652318,0.441422662,0.921917427,HCCS
71,ENSG00000004975,-0.225131169,0.173672228,0.194872427,0.447383705,-0.471544996,0.146063543,0.001245043,0.159950649,DVL2
72,ENSG00000005001,0.037031995,0.442356237,0.933282775,NA,0.863139875,0.494660733,0.081000039,NA,PRSS22
73,ENSG00000005007,-0.128119572,0.116670923,0.272148733,0.531456489,-0.030767858,0.097471556,0.752260698,0.96969296,UPF1
74,ENSG00000005020,0.201920976,0.164784813,0.220439022,0.476135072,0.039396359,0.138441915,0.775973911,0.970885904,SKAP2
75,ENSG00000005022,0.239505631,0.159148158,0.132344023,0.361820996,0.223784057,0.135300488,0.098131944,0.700839076,SLC25A5
76,ENSG00000005059,-0.24101405,0.275037255,0.38086913,0.637877746,0.257307717,0.224251949,0.251214442,0.840014151,CCDC109B
77,ENSG00000005073,0.640593547,0.428255207,0.134700055,0.364985496,-0.175393602,0.381772336,0.64593305,0.962054522,HOXA11
78,ENSG00000005075,-0.021995303,0.216428354,0.919051506,0.963119677,-0.051723752,0.181002886,0.775060391,0.970885904,POLR2J
79,ENSG00000005100,0.014480862,0.169530844,0.931929664,0.969287888,-0.162889174,0.13833946,0.239011972,0.834791934,DHX33
80,ENSG00000005102,-0.709831079,0.213207362,0.000870648,0.017071847,0.026162127,0.177491031,0.882816533,0.986314891,MEOX1
81,ENSG00000005108,0.282016524,0.330778749,0.393890282,0.648228076,-0.077252915,0.285166177,0.786464174,0.972449063,THSD7A
82,ENSG00000005156,-0.024827882,0.264053836,0.925088636,0.966374251,0.047594749,0.218908133,0.827881964,0.977192452,LIG3
83,ENSG00000005175,-0.042549421,0.256878958,0.868440296,0.940803766,0.180226596,0.21291063,0.397279773,0.912249606,RPAP3
84,ENSG00000005187,0.537092047,0.332660075,0.106410967,0.324347723,-0.152668723,0.286700381,0.594377883,0.949960136,ACSM3
85,ENSG00000005189,0.266525419,0.338587651,0.431183433,0.677275704,0.413298586,0.292156504,0.157171755,0.781620854,AC004381.6
86,ENSG00000005194,0.11813512,0.172872766,0.494376514,0.727693513,0.046344436,0.142124201,0.74436076,0.968950879,CIAPIN1
87,ENSG00000005238,0.363102029,0.145431243,0.012534561,0.091403825,0.074438046,0.12289488,0.544710647,0.944136415,FAM214B
88,ENSG00000005243,0.088197573,0.214511049,0.680957917,0.846315217,0.183198753,0.182240873,0.314773537,0.874432313,COPZ2
89,ENSG00000005249,0.425655768,0.19680926,0.030557856,0.158776071,0.044383915,0.168044495,0.791687441,0.972736709,PRKAR2B
90,ENSG00000005302,0.054231436,0.167960291,0.74678424,0.882124987,-0.037075899,0.137702889,0.787740681,0.972449063,MSL3
