Outcome,Obesity,Control,Cushing,Diff_CI,p.value
Glucose,Non-Obese,99.50 (98.31–100.70),124.17 (118.78–129.57),24.67 (19.32–30.02),1.827793631790314e-19
Glucose,Obese,107.67 (106.39–108.95),134.60 (130.48–138.73),26.93 (22.88–30.99),1.444022785388389e-38
HbA1c,Non-Obese,5.60 (5.24–5.95),6.51 (5.54–7.48),0.91 (-0.06–1.89),0.06515826709454767
HbA1c,Obese,6.02 (5.68–6.35),7.40 (6.80–8.00),1.38 (0.82–1.95),3.0940552167396384e-6
ALT,Non-Obese,23.40 (17.11–29.69),58.53 (45.27–71.79),35.13 (22.63–47.63),3.985038670272236e-8
ALT,Obese,29.21 (22.80–35.62),102.59 (91.24–113.95),73.39 (63.37–83.40),1.2560740193864133e-44
AST,Non-Obese,23.00 (8.38–37.62),39.92 (9.06–70.77),16.91 (-12.16–45.99),0.2540226777181584
AST,Obese,21.80 (6.90–36.69),78.73 (52.49–104.97),56.93 (33.85–80.02),1.4231813647601904e-6
Mean Arterial Pressure,Non-Obese,85.73 (85.39–86.08),93.84 (91.51–96.17),8.11 (5.78–10.43),8.092406097877961e-12
Mean Arterial Pressure,Obese,90.04 (89.66–90.42),91.57 (89.79–93.34),1.53 (-0.24–3.29),0.09000732747469553
Systolic Blood Pressure,Non-Obese,119.58 (119.07–120.09),131.55 (128.14–134.96),11.97 (8.57–15.36),4.952984501564445e-12
Systolic Blood Pressure,Obese,125.92 (125.37–126.47),129.00 (126.40–131.60),3.08 (0.50–5.66),0.019311723330316603
Diastolic Blood Pressure,Non-Obese,68.78 (68.44–69.11),74.85 (72.58–77.11),6.07 (3.81–8.32),1.3425788118248454e-7
Diastolic Blood Pressure,Obese,72.09 (71.72–72.45),72.67 (70.94–74.39),0.58 (-1.13–2.30),0.5050662719788181
