Model,Glucose,HbA1c,ALT,AST,MAP,SBP,DBP
Main Analysis,"2.26 [-4.45, 8.98]","0.47 [-0.65, 1.59]","38.26 [22.26, 54.26]*","40.02 [2.93, 77.11]*","-6.58 [-9.50, -3.66]*","-8.89 [-13.15, -4.63]*","-5.48 [-8.32, -2.65]*"
Unadjusted Models,"0.88 [-5.93, 7.69]","0.50 [-0.64, 1.63]","37.83 [21.84, 53.81]*","41.75 [4.78, 78.72]*","-7.27 [-10.28, -4.26]*","-10.16 [-14.65, -5.68]*","-5.88 [-8.74, -3.01]*"
Adjusting for Age Only,"1.56 [-5.17, 8.29]","0.40 [-0.70, 1.51]","37.71 [21.71, 53.70]*","40.97 [4.00, 77.94]*","-6.72 [-9.66, -3.78]*","-9.10 [-13.40, -4.80]*","-5.59 [-8.44, -2.75]*"
Adjusting for Gender Only,"1.70 [-5.08, 8.48]","0.52 [-0.63, 1.67]","38.23 [22.26, 54.20]*","41.62 [4.62, 78.61]*","-7.07 [-10.06, -4.08]*","-9.84 [-14.29, -5.39]*","-5.74 [-8.59, -2.88]*"
Adjusting for Race and Ethnicity Only,"0.91 [-5.90, 7.72]","0.45 [-0.70, 1.60]","37.86 [21.85, 53.86]*","40.83 [3.75, 77.91]*","-7.32 [-10.33, -4.31]*","-10.25 [-14.73, -5.77]*","-5.91 [-8.77, -3.04]*"
Male Patients,"7.50 [-9.19, 24.18]","-0.74 [-2.72, 1.23]","23.62 [-6.00, 53.24]","25.76 [11.39, 40.14]*","-4.02 [-10.32, 2.28]","-3.68 [-12.63, 5.28]","-4.27 [-10.46, 1.91]"
Female Patients,"0.01 [-7.35, 7.37]","0.94 [-0.59, 2.47]","41.85 [23.31, 60.39]*","41.90 [-3.71, 87.52]","-6.91 [-10.22, -3.61]*","-9.76 [-14.62, -4.90]*","-5.53 [-8.73, -2.33]*"
Adjusting for BMI within Group,"0.93 [-5.83, 7.69]","0.11 [-0.95, 1.16]","36.50 [20.55, 52.45]*","39.69 [2.54, 76.83]*","-7.09 [-10.08, -4.11]*","-9.86 [-14.25, -5.47]*","-5.74 [-8.57, -2.90]*"
"BMI (Linear, obese-lean shift)","-4.19 [-7.11, -1.26]*","0.60 [0.03, 1.18]*","41.87 [31.54, 52.19]*","54.89 [30.65, 79.14]*","-5.71 [-7.73, -3.69]*","-7.48 [-10.48, -4.48]*","-4.86 [-6.80, -2.93]*"
"BMI (Spline ns df=4, obese-lean shift)","0.31 [-8.35, 8.96]","-0.46 [-1.85, 0.93]","29.06 [8.70, 49.42]*","30.81 [-17.26, 78.87]","-11.13 [-15.66, -6.60]*","-16.05 [-22.78, -9.32]*","-8.57 [-12.91, -4.22]*"
Matching for BMI,"-0.05 [-7.33, 7.22]","0.34 [-0.73, 1.42]","34.69 [13.73, 55.65]*","38.20 [18.80, 57.61]*","-6.41 [-9.64, -3.19]*","-9.16 [-13.99, -4.32]*","-5.09 [-8.18, -1.99]*"
Class I Obesity,"-4.58 [-12.15, 2.99]","-0.47 [-1.35, 0.40]","-12.78 [-27.24, 1.68]","-6.36 [-55.39, 42.66]","-5.25 [-8.75, -1.76]*","-8.27 [-13.37, -3.17]*","-3.98 [-7.34, -0.62]*"
Class II Obesity,"3.03 [-5.76, 11.82]","-0.19 [-1.09, 0.71]","30.27 [11.10, 49.44]*","1.75 [-51.78, 55.27]","-7.73 [-11.88, -3.57]*","-10.10 [-16.17, -4.03]*","-6.31 [-10.30, -2.31]*"
Class III Obesity,"5.90 [-2.13, 13.94]","0.64 [-0.69, 1.97]","80.07 [59.70, 100.45]*","112.16 [55.49, 168.84]*","-9.02 [-13.06, -4.97]*","-11.18 [-17.09, -5.28]*","-7.97 [-11.86, -4.09]*"
