Category,Group,Total,Percent,No,Yes,Prevalence
NA,White,35198,88.97371082,20432,14766,41.95124723
NA,Asian,575,1.453488372,350,225,39.13043478
NA,Black,1739,4.395854398,878,861,49.51121334
NA,Hispanic/Latino,777,1.964105157,429,348,44.78764479
NA,Other,1271,3.212841254,730,541,42.56490952
Gender,F,20772,52.50758342,11534,9238,44.47332948
Gender,M,18788,47.49241658,11285,7503,39.93506494
BMI,Underweight,283,0.71536906,132,151,53.35689046
BMI,Normal,9648,24.38827098,5727,3921,40.64054726
BMI,Overweight,12910,32.63397371,7737,5173,40.0697134
BMI,Class I Obese,8870,22.42163802,5045,3825,43.12288613
BMI,Class II Obese,4471,11.30182002,2435,2036,45.53791098
BMI,Class III Obese,3378,8.53892821,1743,1635,48.40142096
SES,1,13950,35.26289181,8767,5183,37.15412186
SES,2,10505,26.55460061,6071,4434,42.20847216
SES,3,7603,19.21890799,4037,3566,46.90253847
SES,4,4335,10.95803842,2139,2196,50.65743945
SES,NA,3167,8.005561173,1805,1362,43.00599937
Age Group,"[18,30)",4478,11.31951466,2459,2019,45.08709245
Age Group,"[30,40)",4688,11.85035389,2533,2155,45.96843003
Age Group,"[40,50)",6038,15.26289181,3219,2819,46.68764492
Age Group,"[50,60)",8781,22.1966633,5010,3771,42.94499488
Age Group,"[60,70)",9314,23.54398382,5744,3570,38.32939661
Age Group,"[70,80)",4955,12.52527806,3059,1896,38.26437941
Age Group,"[80,90)",1306,3.301314459,795,511,39.12710567
Type 2 Diabetes,0,33419,84.47674419,19585,13834,41.39561327
Type 2 Diabetes,1,6141,15.52325581,3234,2907,47.33756717
