"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","external_gene_id"
"ENSG00000000003",271.985280773342,0.105096893843515,0.113575126674412,0.925351324016557,0.354783189705034,0.675805874372364,"TSPAN6"
"ENSG00000000005",296.272427579614,-0.225845365744078,0.271081586348797,-0.833126914985238,0.404773155504171,0.716112840229111,"TNMD"
"ENSG00000000419",139.453310002488,0.160060901293392,0.0875380467185461,1.82847238764674,0.0674786860684137,0.320434958853985,"DPM1"
"ENSG00000000457",112.040449064664,0.0750087420122993,0.103161209948871,0.727102193251468,0.467163355284562,0.756306802109117,"SCYL3"
"ENSG00000000460",53.0600938084244,0.0864776731039403,0.118449066631752,0.730083195782302,0.465339332323132,0.75499671527804,"C1orf112"
"ENSG00000000938",125.055024703437,-0.512320469138572,0.253351883164105,-2.02216957198113,0.0431588365966479,0.260532750838137,"FGR"
"ENSG00000000971",1178.95895513503,-0.30107299851881,0.208305228357635,-1.44534537559424,0.148360898428003,0.462322152198023,"CFH"
"ENSG00000001036",285.120794782797,0.0501088330131718,0.0867388938982365,0.577697394573192,0.563468438502931,0.816208648994767,"FUCA2"
"ENSG00000001084",428.48495758489,0.0602848896563381,0.132933111796732,0.453497919679483,0.650190241001082,0.861184154958327,"GCLC"
"ENSG00000001167",119.572472058886,0.0207692069533743,0.108507425732685,0.191408162281359,0.848205825716244,0.94303260641648,"NFYA"
"ENSG00000001460",58.1116532976397,0.271902302339975,0.144608730930336,1.88026200486444,0.0600723788240698,0.303839173269305,"STPG1"
"ENSG00000001461",109.822496536983,0.207887868397723,0.11231453181679,1.85094364046172,0.0641776615955347,0.312665114401725,"NIPAL3"
"ENSG00000001497",223.180164011819,-0.0637695581213435,0.0921858263214047,-0.691750138454167,0.489094254312737,0.772438171308401,"LAS1L"
"ENSG00000001561",244.996945478646,0.535928773315398,0.100456961984991,5.33490922605714,9.55923667129961e-08,4.60605977644227e-05,"ENPP4"
