Outcome,Stage,Controls,Cushing's,Standardized Mean Difference
ALT,Pre-matching,59.95 +/- 0.05,48.27 +/- 0.89,-0.72
ALT,Post-matching,48.61 +/- 0.27,48.27 +/- 0.89,-0.02
Any Outcome,Pre-matching,60.46 +/- 0.02,46.2 +/- 0.26,-0.88
Any Outcome,Post-matching,46.53 +/- 0.08,46.2 +/- 0.26,-0.02
Blood Pressure,Pre-matching,61.15 +/- 0.01,47.51 +/- 0.12,-0.83
Blood Pressure,Post-matching,47.97 +/- 0.04,47.51 +/- 0.12,-0.03
Glucose,Pre-matching,62.05 +/- 0.04,46.03 +/- 0.27,-0.99
Glucose,Post-matching,46.6 +/- 0.08,46.03 +/- 0.27,-0.04
HbA1c,Pre-matching,58.91 +/- 0.06,46.8 +/- 3.25,-0.83
HbA1c,Post-matching,46.8 +/- 1,46.8 +/- 3.25,-0
LDL-C,Pre-matching,58.03 +/- 0.06,40.85 +/- 4.87,-0.98
LDL-C,Post-matching,41.62 +/- 1.38,40.85 +/- 4.87,-0.04
