Category,Group,Total,Percent Group,Lower Stress,Higher Stress,Percent Higher Stress,p_value
Race.Ethnicity,White,35198,88.9737108190091,20432,14766,41.951247229956245,NA
Race.Ethnicity,Asian,575,1.4534883720930232,350,225,39.130434782608695,NA
Race.Ethnicity,Black,1739,4.395854398382204,878,861,49.51121334100058,NA
Race.Ethnicity,Hispanic/Latino,777,1.9641051567239636,429,348,44.78764478764479,NA
Race.Ethnicity,Other,1271,3.2128412537917086,730,541,42.56490952006294,9.548519881423873e-9
Gender,F,20772,52.50758341759353,11534,9238,44.473329481994995,NA
Gender,M,18788,47.49241658240647,11285,7503,39.935064935064936,7.995336303275877e-20
BMI,Non-Obese,22841,57.73761375126391,13596,9245,40.47546079418589,NA
BMI,Obese,16719,42.26238624873609,9223,7496,44.83521741730965,4.734238712270562e-18
SES,1,13950,35.262891809909,8767,5183,37.15412186379928,NA
SES,2,10505,26.554600606673407,6071,4434,42.20847215611613,NA
SES,3,7603,19.218907987866533,4037,3566,46.90253847165592,NA
SES,4,4335,10.95803842264914,2139,2196,50.65743944636678,NA
SES,NA,3167,8.00556117290192,1805,1362,43.00599936848753,9.213980808131332e-73
Age Group,"[18,30)",4478,11.319514661274015,2459,2019,45.087092451987495,NA
Age Group,"[30,40)",4688,11.850353892821031,2533,2155,45.968430034129696,NA
Age Group,"[40,50)",6038,15.262891809908998,3219,2819,46.687644915534946,NA
Age Group,"[50,60)",8781,22.196663296258848,5010,3771,42.94499487529894,NA
Age Group,"[60,70)",9314,23.543983822042467,5744,3570,38.32939660725789,NA
Age Group,"[70,80)",4955,12.525278058645096,3059,1896,38.26437941473259,NA
Age Group,"[80,90)",1306,3.301314459049545,795,511,39.127105666156204,7.434376929991144e-38
Type 2 Diabetes,0,33419,84.47674418604652,19585,13834,41.39561327388611,NA
Type 2 Diabetes,1,6141,15.523255813953488,3234,2907,47.33756717147045,5.228207188524455e-18
