Group,Total,No,Yes,Prevalence
White,35198,29832,5366,15.245184385476449
Asian,575,506,69,12
Black,1739,1342,397,22.82921219091432
Hispanic/Latino,777,658,119,15.315315315315313
Other,1271,1081,190,14.948859166011013
F,20772,17993,2779,13.378586558829191
M,18788,15426,3362,17.894400681285926
Underweight,283,274,9,3.180212014134275
Normal,9648,9072,576,5.970149253731343
Overweight,12910,11416,1494,11.572424477149497
Class I Obese,8870,7110,1760,19.84216459977452
Class II Obese,4471,3274,1197,26.772534108700512
Class III Obese,3378,2273,1105,32.71166370633511
1,13950,12129,1821,13.053763440860214
2,10505,8801,1704,16.220847215611613
3,7603,6261,1342,17.650927265553072
4,4335,3502,833,19.215686274509807
NA,3167,2726,441,13.924850015787813
"[18,30)",4478,4384,94,2.099151406878071
"[30,40)",4688,4407,281,5.994027303754266
"[40,50)",6038,5301,737,12.206028486253727
"[50,60)",8781,7322,1459,16.615419656075616
"[60,70)",9314,7270,2044,21.945458449645695
"[70,80)",4955,3710,1245,25.126135216952573
"[80,90)",1306,1025,281,21.516079632465544
