Group,Total,No,Yes,Prevalence
White,35321,30443,4878,13.81048101695875
Asian,580,517,63,10.86206896551724
Black,1739,1382,357,20.52903967797585
Hispanic/Latino,778,669,109,14.010282776349614
Other,1276,1093,183,14.341692789968652
F,20866,18369,2497,11.966836001150197
M,18828,15735,3093,16.427660930529
Underweight,283,271,12,4.240282685512367
Normal,9648,9054,594,6.156716417910448
Overweight,12910,11499,1411,10.929512006196747
Class I Obese,8870,7260,1610,18.1510710259301
Class II Obese,4471,3441,1030,23.03735182285842
Class III Obese,3378,2452,926,27.412670219064534
NA,134,127,7,5.223880597014925
1,13997,12176,1821,13.009930699435593
2,10546,8840,1706,16.17674947847525
3,7636,6292,1344,17.600838135149292
4,4341,3508,833,19.18912692927897
NA,3174,2733,441,13.894139886578449
"(18,30]",4495,4380,115,2.5583982202447166
"(30,40]",4832,4548,284,5.877483443708609
"(40,50]",6325,5611,714,11.288537549407113
"(50,60]",8917,7555,1362,15.27419535718291
"(60,70]",9172,7325,1847,20.13737461840384
"(70,80]",4447,3423,1024,23.026759613222396
"(80,90]",1087,852,235,21.619135234590615
NA,419,410,9,2.1479713603818613
