Cage #,Food Intake ,# mice in cage,Status ,g/mouse/day,Treatment,Week
1,81.9,4,,2.925,Control,0
2,95.5,4,,3.410714286,Control,0
3,92.2,4,,3.292857143,Control,0
4,89.2,4,,3.185714286,Dex,0
5,90.4,4,,3.228571429,Dex,0
6,89.5,4,,3.196428571,Dex,0
1,94.6,4,,3.378571429,Control,1
2,85.4,4,,3.05,Control,1
3,93.2,4,,3.328571429,Control,1
4,93.6,4,,3.342857143,Dex,1
5,86.3,4,,3.082142857,Dex,1
6,98.7,4,,3.525,Dex,1
1,103.4,4,,3.692857143,Control,2
2,118.1,4,,4.217857143,Control,2
3,99.8,4,,3.564285714,Control,2
4,95.5,4,,3.410714286,Dex,2
5,98.1,4,,3.503571429,Dex,2
6,115.4,4,,4.121428571,Dex,2
1,96.3,4,,3.439285714,Control,3
2,111,4,,3.964285714,Control,3
3,111.9,4,,3.996428571,Control,3
4,85.5,4,,3.053571429,Dex,3
5,90.5,4,,3.232142857,Dex,3
6,105.4,4,,3.764285714,Dex,3
1,96.6,4,,3.45,Control,4
2,103.4,4,,3.692857143,Control,4
3,95.7,4,,3.417857143,Control,4
4,95.7,4,,3.417857143,Dex,4
5,91.5,4,,3.267857143,Dex,4
6,93.1,4,,3.325,Dex,4
1,103.1,4,,3.682142857,Control,5
2,105.5,4,,3.767857143,Control,5
3,99.3,4,,3.546428571,Control,5
4,90.3,4,,3.225,Dex,5
5,98.6,4,,3.521428571,Dex,5
6,95.2,4,,3.4,Dex,5
1,91.6,4,,3.271428571,Control,6
2,103.6,4,,3.7,Control,6
3,97.6,4,,3.485714286,Control,6
4,120.8,4,,4.314285714,Dex,6
5,97.1,4,,3.467857143,Dex,6
6,91.3,4,,3.260714286,Dex,6
1,106,4,,3.785714286,Control,7
2,104,4,,3.714285714,Control,7
3,97,4,,3.464285714,Control,7
4,105.6,4,,3.771428571,Dex,7
5,100.5,4,,3.589285714,Dex,7
6,106.1,4,,3.789285714,Dex,7
1,85,4,,3.035714286,Control,8
2,91.1,4,,3.253571429,Control,8
3,84.3,4,,3.010714286,Control,8
4,94.2,4,,3.364285714,Dex,8
5,71.9,3,death,3.423809524,Dex,8
6,89.7,4,,3.203571429,Dex,8
1,84.8,4,,3.028571429,Control,9
2,90.8,4,,3.242857143,Control,9
3,88.5,4,,3.160714286,Control,9
4,90.8,4,,3.242857143,Dex,9
5,72.3,3,,3.442857143,Dex,9
6,91.2,4,,3.257142857,Dex,9
1,77,4,,2.75,Control,10
2,84.2,4,,3.007142857,Control,10
3,80.6,4,,2.878571429,Control,10
4,55,3,death,2.619047619,Dex,10
5,42.9,2,death,3.064285714,Dex,10
6,78.6,4,,2.807142857,Dex,10
1,84.7,4,,3.025,Control,11
2,92.2,4,,3.292857143,Control,11
3,119.9,4,,4.282142857,Control,11
4,55.3,4,,1.975,Dex,11
5,42.5,4,,1.517857143,Dex,11
6,85.9,4,,3.067857143,Dex,11
