Target Name,Diet,Time,Expression,Expression.se,n
Actb,NCD,0,1,0.09430596867868175,4
Actb,NCD,3,0.7689264012331447,0.08754136605261684,4
Actb,NCD,7,0.9528236670780462,0.09816859292409207,4
Actb,NCD,14,0.8439807919697193,0.06011945206098105,4
Actb,HFD,0,1.3537722397140626,0.06837160581088639,4
Actb,HFD,3,0.5571212408543333,0.0737066823331664,4
Actb,HFD,7,0.9200925638507774,0.21141624608512885,4
Actb,HFD,14,0.7700755405588404,0.09886859244852308,4
Pgk1,NCD,0,0.9999999999999999,0.11687577510417296,10
Pgk1,NCD,3,0.9192188150397831,0.13085393107009186,10
Pgk1,NCD,7,0.9925033399093894,0.13334003207583497,9
Pgk1,NCD,14,1.0043538839108965,0.11908462175961584,10
Pgk1,HFD,0,1.0960727021348806,0.09224816407566226,9
Pgk1,HFD,3,1.0586187914961411,0.1352978641936044,7
Pgk1,HFD,7,0.9240535151797619,0.13826223023882755,10
Pgk1,HFD,14,1.0664176439479007,0.1001720370091024,10
Rplp0,NCD,0,1,0.06303750116416605,4
Rplp0,NCD,3,1.2383114705187916,0.07795328597347757,4
Rplp0,NCD,7,1.2262789166077892,0.03780818439247186,4
Rplp0,NCD,14,0.984189562988441,0.1559854707914659,4
Rplp0,HFD,0,0.9578916624501658,0.06662310876840045,4
Rplp0,HFD,3,0.922240801460991,0.15859758467682133,4
Rplp0,HFD,7,1.079167409792717,0.17238088796908269,4
Rplp0,HFD,14,1.6851249800468329,0.16727158152369231,4
Fbxo32,NCD,0,1,0.15106427609505702,7
Fbxo32,NCD,3,3.7869820250486175,0.9586949942907664,6
Fbxo32,NCD,7,3.239744362531949,0.25441466234325627,7
Fbxo32,NCD,14,3.2393590394296985,0.5644370352787806,7
Fbxo32,HFD,0,0.8959646583071647,0.25869938191809605,7
Fbxo32,HFD,3,4.13079283393377,0.8621537114737711,6
Fbxo32,HFD,7,5.855102605509235,1.1833540906204316,7
Fbxo32,HFD,14,3.5866245466846047,0.6934488156852409,7
Trim63,NCD,0,1,0.2896307637376546,7
Trim63,NCD,3,1.7140273111943927,0.8341619701767701,6
Trim63,NCD,7,5.202693506031697,1.5486218564609222,7
Trim63,NCD,14,2.16048576346871,0.8202750816649145,7
Trim63,HFD,0,1.4501119127944953,0.45533337351003816,7
Trim63,HFD,3,5.949718481465831,1.918029989448826,6
Trim63,HFD,7,5.454332908733216,1.6504927076059672,7
Trim63,HFD,14,3.215706970808077,0.9128704359290807,7
Foxo1,NCD,0,1,0.4337544624354788,4
Foxo1,NCD,3,1.0742344458145747,0.027448521758366883,4
Foxo1,NCD,7,17.81967460640315,16.237208390233693,4
Foxo1,NCD,14,0.7587295148291601,0.17729328469657685,4
Foxo1,HFD,0,1.4151134907787397,0.4391325055003904,4
Foxo1,HFD,3,2.0906440244893854,0.5863044650728642,4
Foxo1,HFD,7,13.901456949358817,12.281069290274646,4
Foxo1,HFD,14,1.9753807057534283,1.2793371269520304,4
Foxo3,NCD,0,1,0.19331628677543403,11
Foxo3,NCD,3,3.176835945255757,1.2446345423339373,10
Foxo3,NCD,7,4.563730849686845,2.8881333935134865,11
Foxo3,NCD,14,2.3563986625751006,0.39949553684534295,11
Foxo3,HFD,0,1.7392529310120333,0.3193309986136365,11
Foxo3,HFD,3,4.133541560972008,0.8623914131624929,10
Foxo3,HFD,7,10.208458982087633,7.324745865798459,11
Foxo3,HFD,14,4.015216047541936,1.353975339800028,11
Nr3c1,NCD,0,0.9999999999999999,0.4864088088219034,4
Nr3c1,NCD,3,0.3653031343314049,0.047873276370824946,4
Nr3c1,NCD,7,0.7701756094250609,0.3003079542585728,4
Nr3c1,NCD,14,0.8116873977146367,0.24216404665114727,4
Nr3c1,HFD,0,1.4414395593357816,0.3748201681917442,4
Nr3c1,HFD,3,1.1384358311384577,0.27105270476601945,4
Nr3c1,HFD,7,0.8611854280943272,0.4753645694422015,4
Nr3c1,HFD,14,1.1631847316051562,0.27054679534899934,4
GDF15,NCD,0,1,0.5168906921763294,8
GDF15,NCD,3,2.603328060742348,1.1217498008240538,8
GDF15,NCD,7,14.13107914663809,8.461988072011192,8
GDF15,NCD,14,1.1348453328410377,0.3765375192856438,8
GDF15,HFD,0,0.7009881846515277,0.23223393542851278,8
GDF15,HFD,3,1.0936268125224888,0.37954776081896663,8
GDF15,HFD,7,21.56107319664742,15.256704825222416,8
GDF15,HFD,14,4.077613454505069,1.6973506428575464,8
