# Analysis Group Name : Default Analysis Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Description : Including all applicable data files.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Created By :bridgeslab@umich.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Last Modified Date : 2018-07-17 03:36:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Number of Experiments in Analysis Group : 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# List of instrument types in the study that are imported : QuantStudio 5 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Normalization method : Global Normalization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Reference Sample : 2616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Reference Group : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Max CT : 40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Confidence Level : 95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,Barcode,Well,Biological Group Name,Sample Name,Target Name,Task,Amp Score,Amp Status,Cq Conf,Target Efficiency,Cq,Cq (Post IC),Eq. Cq,Quantity,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline Stop,Tm1,Tm2,Tm3,Cq Mean,Cq SE,Intercept,R-Squared,Slope,Efficiency,Omit,FLAGS,AMPNC,AMPSCORE,BADROX,OFFSCALE,NOAMP,NOISE,SPIKE,NOSIGNAL,NOSAMPLE,EXPFAIL,BLFAIL,THOLDFAIL,CTFAIL,HIGHSD,OUTLIERRG,MAXCT,MPOUTLIER,MTP or TM,LOWROX,PRFLOW,PRFDROP,DRNMIN,CQCONF
2017-12-13 lcg.eds,,A1,,2616,Actb,UNKNOWN,1.5434139,Amp,0.8885962,100,18.937456,18.937456,18.937456,-,TRUE,0.16320026,TRUE,3,16,82.04457,-,-,19.300459,0.33983696,-,-,-,-,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-13 lcg.eds,,A2,,2617,Actb,UNKNOWN,1.5224267,Amp,0.95367074,100,19.280355,19.280355,19.280355,-,TRUE,0.16320026,TRUE,3,14,81.59004,-,-,19.520618,0.23030289,-,-,-,-,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-13 lcg.eds,,A3,,2618,Actb,UNKNOWN,0.3374024,No Amp,0,100,Undetermined,Undetermined,Undetermined,-,TRUE,0.16320026,TRUE,3,39,67.84066,64.43172,83.40814,-,-,-,-,-,-,FALSE,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2017-12-13 lcg.eds,,A4,,2619,Actb,UNKNOWN,1.562739,Amp,0.93940955,100,18.88476,18.88476,18.88476,-,TRUE,0.16320026,TRUE,3,13,82.1582,-,-,19.202648,0.20946342,-,-,-,-,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-13 lcg.eds,,A5,,2620,Actb,UNKNOWN,1.5321802,Amp,0.9541418,100,18.899605,18.899605,18.899605,-,TRUE,0.16320026,TRUE,3,15,81.703674,-,-,19.199123,0.31871006,-,-,-,-,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-13 lcg.eds,,A6,,2621,Actb,UNKNOWN,1.5414481,Amp,0.98585373,100,21.113148,21.113148,21.113148,-,TRUE,0.16320026,TRUE,3,17,81.81731,-,-,21.116629,0.1062803,-,-,-,-,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-13 lcg.eds,,A7,,2622,Actb,UNKNOWN,1.552454,Amp,0.91992176,100,19.169165,19.169165,19.169165,-,TRUE,0.16320026,TRUE,3,14,81.93094,-,-,19.147408,0.21981835,-,-,-,-,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-13 lcg.eds,,A8,,2623,Actb,UNKNOWN,1.5182408,Amp,0.97787637,100,19.64235,19.64235,19.64235,-,TRUE,0.16320026,TRUE,3,13,81.13551,-,-,19.858013,0.32495975,-,-,-,-,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-13 lcg.eds,,A9,,2624,Actb,UNKNOWN,1.3869454,Amp,0.97658706,100,20.486946,20.486946,20.486946,-,TRUE,0.16320026,TRUE,3,16,78.29474,-,-,19.952564,0.27766177,-,-,-,-,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-13 lcg.eds,,A10,,2625,Actb,UNKNOWN,1.087777,Amp,0.9401256,100,36.58224,36.58224,36.58224,-,TRUE,0.16320026,TRUE,3,31,76.703896,-,-,36.58224,-,-,-,-,-,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
