"","ensembl_gene_id","hgnc_symbol"
"1","ENSG00000197468",""
"2","ENSG00000231049","OR52B5P"
"3","ENSG00000228913","UBD"
"4","ENSG00000231948","HS1BP3-IT1"
"5","ENSG00000231510",""
"6","ENSG00000229336",""
"7","ENSG00000261641",""
"8","ENSG00000237295","HNRNPA1P2"
"9","ENSG00000180383","DEFB124"
"10","ENSG00000229093","OR51AB1P"
"11","ENSG00000270100",""
"12","ENSG00000272894",""
"13","ENSG00000244471",""
"14","ENSG00000162444","RBP7"
"15","ENSG00000248553","OR52H2P"
"16","ENSG00000165583","SSX5"
"17","ENSG00000260538","HLA-P"
"18","ENSG00000104671","DCTN6"
"19","ENSG00000101400","SNTA1"
"20","ENSG00000228691","NEU1"
"21","ENSG00000196368","NUDT11"
"22","ENSG00000230357","MCCD1P1"
"23","ENSG00000167360","OR51Q1"
"24","ENSG00000224292",""
"25","ENSG00000181544","FANCB"
"26","ENSG00000220212","OR4F1P"
"27","ENSG00000240898",""
"28","ENSG00000205339","IPO7"
"29","ENSG00000226323",""
"30","ENSG00000232708","HLA-K"
"31","ENSG00000198791","CNOT7"
"32","ENSG00000233167","EEF1A1P26"
"33","ENSG00000236039",""
"34","ENSG00000257950","P2RX5-TAX1BP3"
"35","ENSG00000226598",""
"36","ENSG00000231231","LINC01423"
"37","ENSG00000236318",""
"38","ENSG00000232777","MRPL51P2"
"39","ENSG00000255977",""
"40","ENSG00000225527",""
"41","ENSG00000180182","MED14"
"42","ENSG00000214434","NIFKP1"
"43","ENSG00000261451",""
"44","ENSG00000101350","KIF3B"
"45","ENSG00000004961","HCCS"
"46","ENSG00000268955",""
"47","ENSG00000259279",""
"48","ENSG00000270171",""
"49","ENSG00000229826",""
"50","ENSG00000258970",""
"51","ENSG00000264301","LINC01444"
"52","ENSG00000235679",""
"53","ENSG00000232263","KRTAP25-1"
"54","ENSG00000261206","LINC00561"
"55","ENSG00000258786",""
"56","ENSG00000132205","EMILIN2"
"57","ENSG00000233026","MTCO1P5"
"58","ENSG00000167311","ART5"
"59","ENSG00000198798","MAGEB3"
"60","ENSG00000144550","CPNE9"
"61","ENSG00000233358",""
"62","ENSG00000227138",""
"63","ENSG00000171867","PRNP"
"64","ENSG00000157399","ARSE"
"65","ENSG00000005001","PRSS22"
"66","ENSG00000232106","C6orf10"
"67","ENSG00000225384",""
"68","ENSG00000225218",""
"69","ENSG00000270739",""
"70","ENSG00000253451","IGLV2-28"
"71","ENSG00000263609",""
"72","ENSG00000078142","PIK3C3"
"73","ENSG00000259530",""
"74","ENSG00000273353",""
"75","ENSG00000240980",""
"76","ENSG00000266498",""
"77","ENSG00000259616",""
"78","ENSG00000264981",""
"79","ENSG00000197183","NOL4L"
"80","ENSG00000230088","KRT16P5"
"81","ENSG00000251501",""
"82","ENSG00000264187",""
"83","ENSG00000241950","RPL29P23"
"84","ENSG00000212127","TAS2R14"
"85","ENSG00000231649","SPATA31B1P"
"86","ENSG00000250377",""
"87","ENSG00000050344","NFE2L3"
"88","ENSG00000105088","OLFM2"
"89","ENSG00000225643",""
"90","ENSG00000256844","MEF2BNBP1"
"91","ENSG00000113494","PRLR"
"92","ENSG00000237057",""
"93","ENSG00000273325",""
"94","ENSG00000262332",""
