seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr14	79742524	79743023	500	*	Distal Intergenic	14	79738431	79738528	98	1	791080	ENSMUST00000103254.1	4093	ENSMUSG00000076453	Mir759	microRNA 759
chr12	87031612	87032111	500	*	Intron (ENSMUST00000154801.7/217733, intron 1 of 25)	12	87026616	87057670	31055	1	217733	ENSMUST00000156162.7	4996	ENSMUSG00000034145	Tmem63c	transmembrane protein 63c
chr9	24412094	24412593	500	*	3' UTR	9	24412051	24423959	11909	2	244745	ENSMUST00000152480.1	11366	ENSMUSG00000043067	Dpy19l1	dpy-19 like C-mannosyltransferase 1
chr7	19474965	19475464	500	*	Intron (ENSMUST00000137613.8/74463, intron 3 of 11)	7	19463331	19496762	33432	1	74463	ENSMUST00000137613.8	11634	ENSMUSG00000011263	Exoc3l2	exocyst complex component 3-like 2
chr1	39982775	39983274	500	*	Exon (ENSMUST00000163854.8/26921, exon 7 of 31)	1	39999595	40000561	967	1	26921	ENSMUST00000195356.1	-16321	ENSMUSG00000026074	Map4k4	mitogen-activated protein kinase kinase kinase kinase 4
chr12	75528893	75529392	500	*	Intron (ENSMUST00000021447.8/26932, intron 2 of 13)	12	75493492	75549674	56183	2	26932	ENSMUST00000218716.1	20282	ENSMUSG00000021051	Ppp2r5e	protein phosphatase 2, regulatory subunit B', epsilon
chr8	56519338	56519837	500	*	Distal Intergenic	8	56531522	56545465	13944	2	382010	ENSMUST00000123493.7	25628	ENSMUSG00000038215	Cep44	centrosomal protein 44
chr10	54120421	54120920	500	*	Distal Intergenic	10	53907444	54076609	169166	2	17155	ENSMUST00000220088.1	-43812	ENSMUSG00000003746	Man1a	mannosidase 1, alpha
chr15	86294095	86294594	500	*	Intron (ENSMUST00000063414.8/223754, intron 5 of 12)	15	86235505	86292162	56658	1	223754	ENSMUST00000229242.1	58590	ENSMUSG00000051864	Tbc1d22a	TBC1 domain family, member 22a
chr13	119268237	119268736	500	*	Distal Intergenic	13	119335528	119408952	73425	2	18115	ENSMUST00000223268.1	140216	ENSMUSG00000116207	Nnt	nicotinamide nucleotide transhydrogenase
chr5	46226045	46226544	500	*	Distal Intergenic	5	45926818	45932409	5592	2	78106	ENSMUST00000198088.1	-293636	ENSMUSG00000106602	4930405L22Rik	RIKEN cDNA 4930405L22 gene
