"","feature","seqnames","start","end","width","strand","peak","start_position.x","end_position.x","insideFeature","distancetoFeature","shortestDistance","fromOverlappingOrNearest","hgnc_symbol","start_position.y","end_position.y"
"1","ENSG00000001036","6",143878835,143879123,289,"-","6675",143857935,143874556,"upstream",-4279,4279,"NearestStart","FUCA2",143857935,143874556
"2","ENSG00000001460","1",24573916,24574241,326,"-","0133",24556076,24614174,"inside",40258,17840,"NearestStart","C1orf201",24556076,24614174
"3","ENSG00000001617","3",50172053,50172474,422,"+","5272",50167528,50201509,"inside",4525,4525,"NearestStart","SEMA3F",50167528,50201509
"4","ENSG00000002586","X",2633026,2633490,465,"+","8008",2619228,2669348,"inside",13798,13798,"NearestStart","CD99",2619228,2669348
"5","ENSG00000002586","X",2635372,2635851,480,"+","8009",2619228,2669348,"inside",16144,16144,"NearestStart","CD99",2619228,2669348
"6","ENSG00000002587","4",11209356,11209698,343,"-","5634",11009086,11039635,"upstream",-169721,169721,"NearestStart","HS3ST1",11009086,11039635
"7","ENSG00000002726","7",150202450,150202753,304,"+","7163",150180506,150189312,"downstream",21944,13138,"NearestStart","ABP1",150180506,150189312
"8","ENSG00000002745","7",120755823,120756292,470,"+","7080",120752657,120768393,"inside",3166,3166,"NearestStart","WNT16",120752657,120768393
"9","ENSG00000002822","7",2199243,2199848,606,"-","6749",1821956,2239404,"inside",40161,39556,"NearestStart","MAD1L1",1821956,2239404
"10","ENSG00000003137","2",71963556,71964147,592,"-","4161",72209875,72228471,"downstream",264915,245728,"NearestStart","CYP26B1",72209875,72228471
"11","ENSG00000003137","2",72020803,72021148,346,"-","4162",72209875,72228471,"downstream",207668,188727,"NearestStart","CYP26B1",72209875,72228471
"12","ENSG00000003137","2",72285583,72285997,415,"-","4163",72209875,72228471,"upstream",-57112,57112,"NearestStart","CYP26B1",72209875,72228471
"13","ENSG00000003137","2",72352428,72353302,875,"-","4164",72209875,72228471,"upstream",-123957,123957,"NearestStart","CYP26B1",72209875,72228471
"14","ENSG00000003137","2",72448216,72448798,583,"-","4165",72209875,72228471,"upstream",-219745,219745,"NearestStart","CYP26B1",72209875,72228471
"15","ENSG00000003402","2",201696857,201697292,436,"+","4434",201689135,201737246,"inside",7722,7722,"NearestStart","CFLAR",201689135,201737246
"16","ENSG00000003436","2",188114538,188115119,582,"-","4389",188037202,188127464,"inside",12926,12345,"NearestStart","TFPI",188037202,188127464
"17","ENSG00000003436","2",188120302,188120759,458,"-","4390",188037202,188127464,"inside",7162,6705,"NearestStart","TFPI",188037202,188127464
"18","ENSG00000004399","3",130852860,130853540,681,"-","5417",130756708,130808351,"upstream",-44509,44509,"NearestStart","PLXND1",130756708,130808351
"19","ENSG00000004399","3",130863620,130864086,467,"-","5418",130756708,130808351,"upstream",-55269,55269,"NearestStart","PLXND1",130756708,130808351
"20","ENSG00000004468","4",15384796,15385433,638,"+","5638",15389029,15459806,"upstream",-4233,3596,"NearestStart","CD38",15389029,15459806
"21","ENSG00000004487","1",23209792,23210162,371,"+","0114",23218533,23282771,"upstream",-8741,8371,"NearestStart","AOF2",23218533,23282771
"22","ENSG00000004660","17",3739944,3741234,1291,"-","2950",3710358,3743086,"inside",3142,1852,"NearestStart","CAMKK1",3710358,3743086
"23","ENSG00000004799","7",95017055,95017835,781,"-","6984",95050753,95063861,"downstream",46806,32918,"NearestStart","PDK4",95050753,95063861
"24","ENSG00000004799","7",95063820,95064706,887,"-","6985",95050753,95063861,"overlapStart",41,41,"NearestStart","PDK4",95050753,95063861
"25","ENSG00000004799","7",95075968,95076468,501,"-","6986",95050753,95063861,"upstream",-12107,12107,"NearestStart","PDK4",95050753,95063861
"26","ENSG00000004799","7",95095955,95096813,859,"-","6987",95050753,95063861,"upstream",-32094,32094,"NearestStart","PDK4",95050753,95063861
"27","ENSG00000004799","7",95127112,95127655,544,"-","6988",95050753,95063861,"upstream",-63251,63251,"NearestStart","PDK4",95050753,95063861
"28","ENSG00000004848","X",24940821,24941339,519,"-","8062",24932213,24943775,"inside",2954,2436,"NearestStart","ARX",24932213,24943775
"29","ENSG00000004897","17",42589214,42589517,304,"-","3203",42552625,42621664,"inside",32450,32147,"NearestStart","CDC27",42552625,42621664
"30","ENSG00000004897","17",42604216,42604475,260,"-","3204",42552625,42621664,"inside",17448,17189,"NearestStart","CDC27",42552625,42621664
"31","ENSG00000005022","X",118512459,118512811,353,"+","8154",118486436,118489310,"downstream",26023,23149,"NearestStart","SLC25A5",118486436,118489310
"32","ENSG00000005022","X",118512459,118512811,353,"+","8154",118486436,118489310,"downstream",26023,23149,"NearestStart","SLC25A5P8",118486436,118489310
"33","ENSG00000005022","X",118514265,118514770,506,"+","8155",118486436,118489310,"downstream",27829,24955,"NearestStart","SLC25A5",118486436,118489310
"34","ENSG00000005022","X",118514265,118514770,506,"+","8155",118486436,118489310,"downstream",27829,24955,"NearestStart","SLC25A5P8",118486436,118489310
"35","ENSG00000005022","X",118520519,118521940,1422,"+","8156",118486436,118489310,"downstream",34083,31209,"NearestStart","SLC25A5",118486436,118489310
"36","ENSG00000005022","X",118520519,118521940,1422,"+","8156",118486436,118489310,"downstream",34083,31209,"NearestStart","SLC25A5P8",118486436,118489310
"37","ENSG00000005102","17",39049641,39050095,455,"-","3183",39073296,39094788,"downstream",45147,23201,"NearestStart","MEOX1",39073296,39094788
"38","ENSG00000005812","13",76585628,76585905,278,"-","2005",76477391,76499286,"upstream",-86342,86342,"NearestStart","FBXL3",76477391,76499286
"39","ENSG00000005812","13",76615693,76616043,351,"-","2006",76477391,76499286,"upstream",-116407,116407,"NearestStart","FBXL3",76477391,76499286
"40","ENSG00000005882","17",45531363,45531775,413,"+","3240",45527695,45543419,"inside",3668,3668,"NearestStart","PDK2",45527695,45543419
"41","ENSG00000005884","17",45496913,45497455,543,"+","3239",45488488,45522842,"inside",8425,8425,"NearestStart","ITGA3",45488488,45522842
"42","ENSG00000006062","17",40726411,40727375,965,"-","3193",40696271,40750197,"inside",23786,22822,"NearestStart","MAP3K14",40696271,40750197
"43","ENSG00000006071","11",17417375,17417953,579,"-","1164",17371008,17455025,"inside",37650,37072,"NearestStart","ABCC8",17371008,17455025
"44","ENSG00000006071","11",17418654,17418990,337,"-","1165",17371008,17455025,"inside",36371,36035,"NearestStart","ABCC8",17371008,17455025
"45","ENSG00000006071","11",17445846,17446666,821,"-","1166",17371008,17455025,"inside",9179,8359,"NearestStart","ABCC8",17371008,17455025
"46","ENSG00000006453","7",97886063,97886589,527,"-","6994",97760007,97868316,"upstream",-17747,17747,"NearestStart","BAIAP2L1",97760007,97868316
"47","ENSG00000006534","11",67536072,67537869,1798,"+","1305",67534366,67552183,"inside",1706,1706,"NearestStart","ALDH3B1",67534366,67552183
"48","ENSG00000006576","7",77301848,77302237,390,"+","6948",77266058,77424477,"inside",35790,35790,"NearestStart","PHTF2",77266058,77424477
"49","ENSG00000006638","19",3554301,3554912,612,"-","3705",3545504,3557658,"inside",3357,2746,"NearestStart","TBXA2R",3545504,3557658
"50","ENSG00000006704","7",73518375,73519201,827,"+","6918",73506056,73654846,"inside",12319,12319,"NearestStart","GTF2IRD1",73506056,73654846
"51","ENSG00000006704","7",73529793,73530894,1102,"+","6919",73506056,73654846,"inside",23737,23737,"NearestStart","GTF2IRD1",73506056,73654846
"52","ENSG00000006831","12",1639106,1640083,978,"+","1478",1670508,1768105,"upstream",-31402,30425,"NearestStart","ADIPOR2",1670508,1768105
"53","ENSG00000007001","2",158695468,158696065,598,"+","4337",158559937,158700724,"inside",135531,4659,"NearestStart","UPP2",158559937,158700724
"54","ENSG00000007001","2",158696179,158696590,412,"+","4338",158559937,158700724,"inside",136242,4134,"NearestStart","UPP2",158559937,158700724
"55","ENSG00000007001","2",158696941,158697229,289,"+","4339",158559937,158700724,"inside",137004,3495,"NearestStart","UPP2",158559937,158700724
"56","ENSG00000007080","19",17887726,17888109,384,"+","3770",17908217,17915783,"upstream",-20491,20108,"NearestStart","CCDC124",17908217,17915783
"57","ENSG00000007080","19",17890945,17891265,321,"+","3771",17908217,17915783,"upstream",-17272,16952,"NearestStart","CCDC124",17908217,17915783
"58","ENSG00000007171","17",23128051,23128440,390,"-","3092",23107922,23151682,"inside",23631,20129,"NearestStart","NOS2",23107922,23151682
"59","ENSG00000007255","19",50370703,50371200,498,"-","3846",50358027,50373325,"inside",2622,2125,"NearestStart","TRAPPC6A",50358027,50373325
"60","ENSG00000007312","17",59375694,59376317,624,"-","3318",59359832,59363446,"upstream",-12248,12248,"NearestStart","CD79B",59359832,59363446
"61","ENSG00000008118","1",207767914,207768359,446,"+","0559",207823668,207853906,"upstream",-55754,55309,"NearestStart","CAMK1G",207823668,207853906
"62","ENSG00000008118","1",207770739,207771389,651,"+","0560",207823668,207853906,"upstream",-52929,52279,"NearestStart","CAMK1G",207823668,207853906
"63","ENSG00000008118","1",207772852,207773243,392,"+","0561",207823668,207853906,"upstream",-50816,50425,"NearestStart","CAMK1G",207823668,207853906
"64","ENSG00000008118","1",207784043,207784359,317,"+","0562",207823668,207853906,"upstream",-39625,39309,"NearestStart","CAMK1G",207823668,207853906
