seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr14	74899633	74900132	500	*	Promoter (<=1kb)	14	74818973	74899722	80750	2	380916	ENSMUST00000227433.1	0	ENSMUSG00000068015	Lrch1	leucine-rich repeats and calponin homology (CH) domain containing 1
chr1	136475440	136475939	500	*	Promoter (<=1kb)	1	136476340	136479915	3576	1	381293	ENSMUST00000193587.1	-401	ENSMUSG00000041498	Kif14	kinesin family member 14
chr6	129511573	129512072	500	*	Promoter (<=1kb)	6	129512555	129519227	6673	1	330428	ENSMUST00000032263.6	-483	ENSMUSG00000030160	Tmem52b	transmembrane protein 52B
chr4	120033424	120033923	500	*	Intron (ENSMUST00000106307.8/16656, intron 2 of 8)	4	120032766	120065063	32298	1	16656	ENSMUST00000227491.1	658	ENSMUSG00000028634	Hivep3	human immunodeficiency virus type I enhancer binding protein 3
chr11	61206358	61206857	500	*	Promoter (<=1kb)	11	61207537	61212333	4797	1	11670	ENSMUST00000147792.1	-680	ENSMUSG00000019102	Aldh3a1	aldehyde dehydrogenase family 3, subfamily A1
chr11	54214632	54215131	500	*	Promoter (1-2kb)	11	54177772	54213285	35514	2	71056	ENSMUST00000131019.1	-1347	ENSMUSG00000086209	4933405E24Rik	RIKEN cDNA 4933405E24 gene
chr16	21219638	21220137	500	*	Promoter (1-2kb)	16	21221686	21222687	1002	1	13845	ENSMUST00000160053.1	-1549	ENSMUSG00000005958	Ephb3	Eph receptor B3
chr8	64957336	64957835	500	*	Promoter (1-2kb)	8	64959543	64965591	6049	1	73067	ENSMUST00000211405.1	-1708	ENSMUSG00000025521	Tmem192	transmembrane protein 192
chr2	60457282	60457781	500	*	Intron (ENSMUST00000112525.4/18779, intron 12 of 29)	2	60451992	60455254	3263	2	18779	ENSMUST00000134583.1	-2028	ENSMUSG00000054580	Pla2r1	phospholipase A2 receptor 1
chr6	119740863	119741362	500	*	Intron (ENSMUST00000183703.7/111173, intron 13 of 20)	6	119575013	119743444	168432	2	111173	ENSMUST00000184320.7	2082	ENSMUSG00000030172	Erc1	ELKS/RAB6-interacting/CAST family member 1
chr18	38206137	38206636	500	*	Intron (ENSMUST00000160721.7/75599, intron 1 of 4)	18	38203444	38203840	397	2	75599	ENSMUST00000194312.1	-2297	ENSMUSG00000051375	Pcdh1	protocadherin 1
chr1	85733208	85733707	500	*	Intron (ENSMUST00000159320.7/319997, intron 1 of 5)	1	85718090	85736554	18465	2	319997	ENSMUST00000161453.1	2847	ENSMUSG00000052760	A630001G21Rik	RIKEN cDNA A630001G21 gene
chr16	94436598	94437097	500	*	Intron (ENSMUST00000117648.8/22129, intron 31 of 45)	16	94440093	94448745	8653	1	22129	ENSMUST00000139607.1	-2996	ENSMUSG00000040785	Ttc3	tetratricopeptide repeat domain 3
chr19	10996414	10996913	500	*	Distal Intergenic	19	10978307	10993250	14944	2	545279	ENSMUST00000087923.3	-3164	ENSMUSG00000067571	Ms4a15	membrane-spanning 4-domains, subfamily A, member 15
chr9	67334005	67334504	500	*	Exon (ENSMUST00000040025.13/70549, exon 25 of 58)	9	67220654	67330647	109994	2	70549	ENSMUST00000217550.1	-3358	ENSMUSG00000052698	Tln2	talin 2
chr13	98739702	98740201	500	*	Intron (ENSMUST00000099277.11/218503, intron 20 of 26)	13	98724821	98735780	10960	2	218503	ENSMUST00000225318.1	-3922	ENSMUSG00000041685	Fcho2	FCH domain only 2
chr10	108432033	108432532	500	*	Intron (ENSMUST00000217857.1/102640148, intron 1 of 2)	10	108436665	108453297	16633	1	102640148	ENSMUST00000218418.1	-4133	ENSMUSG00000112532	Gm36283	predicted gene, 36283
