seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr3	90267032	90267531	500	*	Promoter (<=1kb)	3	90267461	90275644	8184	1	229541	ENSMUST00000156358.7	0	ENSMUSG00000042404	Dennd4b	DENN domain containing 4B
chr3	121449439	121449938	500	*	Promoter (<=1kb)	3	121449766	121457143	7378	1	71994	ENSMUST00000198393.1	0	ENSMUSG00000053931	Cnn3	calponin 3, acidic
chr2	164855837	164856336	500	*	Promoter (<=1kb)	2	164846813	164856796	9984	2	18830	ENSMUST00000142603.7	460	ENSMUSG00000017754	Pltp	phospholipid transfer protein
chr6	129511573	129512072	500	*	Promoter (<=1kb)	6	129512555	129519227	6673	1	330428	ENSMUST00000032263.6	-483	ENSMUSG00000030160	Tmem52b	transmembrane protein 52B
chr2	37587088	37587587	500	*	Promoter (<=1kb)	2	37579538	37586518	6981	2	20744	ENSMUST00000204569.1	-570	ENSMUSG00000026915	Strbp	spermatid perinuclear RNA binding protein
chr13	75914167	75914666	500	*	Promoter (<=1kb)	13	75877385	75913450	36066	2	73296	ENSMUST00000220939.1	-717	ENSMUSG00000021589	Rhobtb3	Rho-related BTB domain containing 3
chr6	141635259	141635758	500	*	Intron (ENSMUST00000042812.8/28253, intron 3 of 15)	6	141634458	141685606	51149	1	28253	ENSMUST00000203597.1	801	ENSMUSG00000030236	Slco1b2	solute carrier organic anion transporter family, member 1b2
chr13	75760404	75760903	500	*	Promoter (1-2kb)	13	75761983	75770695	8713	1	192657	ENSMUST00000221979.1	-1080	ENSMUSG00000001542	Ell2	elongation factor for RNA polymerase II 2
chr16	21219638	21220137	500	*	Promoter (1-2kb)	16	21221686	21222687	1002	1	13845	ENSMUST00000160053.1	-1549	ENSMUSG00000005958	Ephb3	Eph receptor B3
chr7	46912100	46912599	500	*	Intron (ENSMUST00000014546.14/22088, intron 2 of 9)	7	46901025	46914410	13386	2	22088	ENSMUST00000211595.1	1811	ENSMUSG00000014402	Tsg101	tumor susceptibility gene 101
chr6	81943238	81943737	500	*	3' UTR	6	81941354	81943724	2371	1	330361	ENSMUST00000127949.1	1884	ENSMUSG00000035125	Gcfc2	GC-rich sequence DNA binding factor 2
chr12	80504627	80505126	500	*	Distal Intergenic	12	80507206	80517954	10749	1	69522	ENSMUST00000218103.1	-2080	NA	2310002D06Rik	RIKEN cDNA 2310002D06 gene
chr6	119740863	119741362	500	*	Intron (ENSMUST00000183703.7/111173, intron 13 of 20)	6	119575013	119743444	168432	2	111173	ENSMUST00000184320.7	2082	ENSMUSG00000030172	Erc1	ELKS/RAB6-interacting/CAST family member 1
chr4	102964511	102965010	500	*	Exon (ENSMUST00000066824.13/73094, exon 20 of 24)	4	102962356	102967914	5559	1	73094	ENSMUST00000140676.1	2155	ENSMUSG00000028524	Sgip1	SH3-domain GRB2-like (endophilin) interacting protein 1
chr1	152369392	152369891	500	*	Distal Intergenic	1	152370838	152372082	1245	2	66637	ENSMUST00000161717.1	2191	ENSMUSG00000014980	Tsen15	tRNA splicing endonuclease subunit 15
chr7	139994891	139995390	500	*	Distal Intergenic	7	139983854	139992562	8709	2	11501	ENSMUST00000148670.7	-2329	ENSMUSG00000025473	Adam8	a disintegrin and metallopeptidase domain 8
chr15	12875609	12876108	500	*	Intron (ENSMUST00000169061.7/14000, intron 15 of 34)	15	12878708	12885230	6523	1	14000	ENSMUST00000141010.1	-2600	ENSMUSG00000022191	Drosha	drosha, ribonuclease type III
chr5	113986614	113987113	500	*	Intron (ENSMUST00000159592.7/231637, intron 2 of 14)	5	113942192	113989743	47552	2	231637	ENSMUST00000077689.13	2630	ENSMUSG00000042121	Ssh1	slingshot protein phosphatase 1
chr1	85733208	85733707	500	*	Intron (ENSMUST00000159320.7/319997, intron 1 of 5)	1	85718090	85736554	18465	2	319997	ENSMUST00000161453.1	2847	ENSMUSG00000052760	A630001G21Rik	RIKEN cDNA A630001G21 gene
chr10	45350002	45350501	500	*	Intron (ENSMUST00000095715.4/23828, intron 5 of 7)	10	45353508	45354834	1327	1	23828	ENSMUST00000213557.1	-3007	ENSMUSG00000071317	Popdc1	popeye domain cAMP effector 1
chr12	101018233	101018732	500	*	Intron (ENSMUST00000068411.4/68339, intron 3 of 29)	12	101021673	101021768	96	2	100316805	ENSMUST00000116925.2	3036	ENSMUSG00000080575	Mir1190	microRNA 1190
chr11	72385182	72385681	500	*	Distal Intergenic	11	72388756	72388864	109	1	102465172	ENSMUST00000183389.1	-3075	ENSMUSG00000098658	Mir6338	microRNA 6338
chr19	10996414	10996913	500	*	Distal Intergenic	19	10978307	10993250	14944	2	545279	ENSMUST00000087923.3	-3164	ENSMUSG00000067571	Ms4a15	membrane-spanning 4-domains, subfamily A, member 15
chr9	67334005	67334504	500	*	Exon (ENSMUST00000040025.13/70549, exon 25 of 58)	9	67220654	67330647	109994	2	70549	ENSMUST00000217550.1	-3358	ENSMUSG00000052698	Tln2	talin 2
chr2	177900618	177901117	500	*	Intron (ENSMUST00000108935.7/665205, intron 1 of 2)	2	177897096	177905784	8689	1	665205	ENSMUST00000108935.7	3522	NA	Zfp1003	zinc finger protein 1003
chr11	89781227	89781726	500	*	Intron (ENSMUST00000238273.2/382543, intron 2 of 21)	11	89638625	89777653	139029	2	382543	ENSMUST00000207171.1	-3574	ENSMUSG00000047773	Ankfn1	ankyrin-repeat and fibronectin type III domain containing 1
chr4	133962946	133963445	500	*	Distal Intergenic	4	133965444	133967243	1800	2	15331	ENSMUST00000123234.7	3798	ENSMUSG00000003038	Hmgn2	high mobility group nucleosomal binding domain 2
chr4	115596574	115597073	500	*	Distal Intergenic	4	115600969	115611325	10357	1	100040843	ENSMUST00000129918.1	-3896	ENSMUSG00000063929	Cyp4a32	cytochrome P450, family 4, subfamily a, polypeptide 32
chr13	98739702	98740201	500	*	Intron (ENSMUST00000099277.11/218503, intron 20 of 26)	13	98724821	98735780	10960	2	218503	ENSMUST00000225318.1	-3922	ENSMUSG00000041685	Fcho2	FCH domain only 2
chr6	71136877	71137376	500	*	Intron (ENSMUST00000160918.7/232078, intron 4 of 8)	6	71128656	71131972	3317	2	232078	ENSMUST00000170753.1	-4905	ENSMUSG00000054474	Thnsl2	threonine synthase-like 2 (bacterial)
chr7	107752394	107752893	500	*	Exon (ENSMUST00000052438.7/320635, exon 7 of 9)	7	107749965	107757996	8032	2	320635	ENSMUST00000208217.1	5103	ENSMUSG00000048065	Cyb5r2	cytochrome b5 reductase 2
chr3	108917048	108917547	500	*	Distal Intergenic	3	108902807	108911727	8921	2	66921	ENSMUST00000029480.8	-5321	ENSMUSG00000027881	Prpf38b	PRP38 pre-mRNA processing factor 38 (yeast) domain containing B
