seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr8	95005478	95005977	500	*	Promoter (<=1kb)	8	95006147	95007310	1164	1	14766	ENSMUST00000211806.1	-170	ENSMUSG00000031785	Adgrg1	adhesion G protein-coupled receptor G1
chr2	23094617	23095116	500	*	Promoter (<=1kb)	2	23094201	23100319	6119	1	74159	ENSMUST00000226252.1	416	ENSMUSG00000026781	Acbd5	acyl-Coenzyme A binding domain containing 5
chr11	61206358	61206857	500	*	Promoter (<=1kb)	11	61207537	61212333	4797	1	11670	ENSMUST00000147792.1	-680	ENSMUSG00000019102	Aldh3a1	aldehyde dehydrogenase family 3, subfamily A1
chr5	5419047	5419546	500	*	Intron (ENSMUST00000167567.1/18647, intron 1 of 2)	5	5227215	5420312	193098	2	18647	ENSMUST00000167567.1	766	ENSMUSG00000028926	Cdk14	cyclin dependent kinase 14
chr2	172042039	172042538	500	*	5' UTR	2	172036233	172043466	7234	2	228942	ENSMUST00000087950.3	928	ENSMUSG00000067578	Cbln4	cerebellin 4 precursor protein
chr16	78558446	78558945	500	*	Exon (ENSMUST00000232329.1/67102, exon 2 of 3)	16	78547905	78560244	12340	2	67102	ENSMUST00000232329.1	1299	ENSMUSG00000022864	D16Ertd472e	DNA segment, Chr 16, ERATO Doi 472, expressed
chr11	54214632	54215131	500	*	Promoter (1-2kb)	11	54177772	54213285	35514	2	71056	ENSMUST00000131019.1	-1347	ENSMUSG00000086209	4933405E24Rik	RIKEN cDNA 4933405E24 gene
chr5	122000475	122000974	500	*	Intron (ENSMUST00000111752.9/13048, intron 2 of 22)	5	121887421	122002344	114924	2	13048	ENSMUST00000134326.1	1370	ENSMUSG00000042589	Cux2	cut-like homeobox 2
chr17	36978994	36979493	500	*	Intron (ENSMUST00000039846.11/76797, intron 1 of 3)	17	36977838	36981217	3380	2	76797	ENSMUST00000173707.1	1724	ENSMUSG00000064308	2410137M14Rik	RIKEN cDNA 2410137M14 gene
chr12	80504627	80505126	500	*	Distal Intergenic	12	80507206	80517954	10749	1	69522	ENSMUST00000218103.1	-2080	NA	2310002D06Rik	RIKEN cDNA 2310002D06 gene
chr7	59321372	59321871	500	*	Exon (ENSMUST00000208008.1/ENSMUST00000208008.1, exon 1 of 1)	7	59307924	59324149	16226	2	52480	ENSMUST00000190666.1	2278	NA	Snhg14	small nucleolar RNA host gene 14
chr7	139994891	139995390	500	*	Distal Intergenic	7	139983854	139992562	8709	2	11501	ENSMUST00000148670.7	-2329	ENSMUSG00000025473	Adam8	a disintegrin and metallopeptidase domain 8
chr5	120780096	120780595	500	*	Intron (ENSMUST00000201006.1/ENSMUST00000201006.1, intron 1 of 2)	5	120753098	120777661	24564	2	246727	ENSMUST00000044833.8	-2435	ENSMUSG00000032661	Oas3	2'-5' oligoadenylate synthetase 3
chr8	61536703	61537202	500	*	Intron (ENSMUST00000121200.8/72333, intron 3 of 11)	8	61525121	61533841	8721	2	72333	ENSMUST00000136825.1	-2862	ENSMUSG00000058056	Palld	palladin, cytoskeletal associated protein
chr8	54546944	54547443	500	*	Intron (ENSMUST00000209937.1/76294, intron 1 of 2)	8	54550331	54587842	37512	1	76294	ENSMUST00000033918.3	-2888	ENSMUSG00000031519	Asb5	ankyrin repeat and SOCs box-containing 5
chr19	10996414	10996913	500	*	Distal Intergenic	19	10978307	10993250	14944	2	545279	ENSMUST00000087923.3	-3164	ENSMUSG00000067571	Ms4a15	membrane-spanning 4-domains, subfamily A, member 15
chr14	32860014	32860513	500	*	Intron (ENSMUST00000053175.12/320736, intron 1 of 7)	14	32856756	32939491	82736	1	320736	ENSMUST00000053175.12	3258	ENSMUSG00000050666	Vstm4	V-set and transmembrane domain containing 4
chr7	83658847	83659346	500	*	Intron (ENSMUST00000001792.11/16170, intron 12 of 18)	7	83642848	83655495	12648	2	16170	ENSMUST00000145610.7	-3352	ENSMUSG00000001741	Il16	interleukin 16
chr6	149329188	149329687	500	*	Exon (ENSMUST00000046689.12/67246, exon 3 of 5)	6	149325458	149335658	10201	1	67246	ENSMUST00000189837.1	3730	ENSMUSG00000032712	Resf1	retroelement silencing factor 1
chr13	98739702	98740201	500	*	Intron (ENSMUST00000099277.11/218503, intron 20 of 26)	13	98724821	98735780	10960	2	218503	ENSMUST00000225318.1	-3922	ENSMUSG00000041685	Fcho2	FCH domain only 2
chr15	92165844	92166343	500	*	Intron (ENSMUST00000141187.7/12805, intron 1 of 8)	15	92161357	92340114	178758	1	12805	ENSMUST00000068378.5	4487	ENSMUSG00000055022	Cntn1	contactin 1
chr9	93010558	93011057	500	*	Distal Intergenic	9	92979995	93005739	25745	2	78349	ENSMUST00000190562.6	-4819	ENSMUSG00000100294	1700034K08Rik	RIKEN cDNA 1700034K08 gene
chr6	71136877	71137376	500	*	Intron (ENSMUST00000160918.7/232078, intron 4 of 8)	6	71128656	71131972	3317	2	232078	ENSMUST00000170753.1	-4905	ENSMUSG00000054474	Thnsl2	threonine synthase-like 2 (bacterial)
chr15	39949194	39949693	500	*	Distal Intergenic	15	39870603	39943994	73392	2	239393	ENSMUST00000110305.2	-5200	ENSMUSG00000022305	Lrp12	low density lipoprotein-related protein 12
chr3	108917048	108917547	500	*	Distal Intergenic	3	108902807	108911727	8921	2	66921	ENSMUST00000029480.8	-5321	ENSMUSG00000027881	Prpf38b	PRP38 pre-mRNA processing factor 38 (yeast) domain containing B
chr11	100200204	100200703	500	*	Distal Intergenic	11	100203162	100206030	2869	2	16664	ENSMUST00000137265.1	5327	ENSMUSG00000045545	Krt14	keratin 14
chr4	116005579	116006078	500	*	Exon (ENSMUST00000125761.7/14073, exon 3 of 15)	4	115998306	116000068	1763	2	14073	ENSMUST00000133225.1	-5511	ENSMUSG00000034171	Faah	fatty acid amide hydrolase
chr9	123579997	123580496	500	*	Intron (ENSMUST00000026270.8/83493, intron 13 of 19)	9	123586238	123591136	4899	1	83493	ENSMUST00000217089.1	-5742	ENSMUSG00000025240	Sacm1l	SAC1 suppressor of actin mutations 1-like (yeast)
chr5	38537897	38538396	500	*	Intron (ENSMUST00000005234.12/22388, intron 8 of 14)	5	38529968	38531996	2029	2	22388	ENSMUST00000202496.1	-5901	ENSMUSG00000005103	Wdr1	WD repeat domain 1
chr10	88676405	88676904	500	*	3' UTR	10	88674772	88683023	8252	2	20728	ENSMUST00000004473.14	6119	ENSMUSG00000004359	Spic	Spi-C transcription factor (Spi-1/PU.1 related)
chr19	47925570	47926069	500	*	Distal Intergenic	19	47894602	47919299	24698	2	414801	ENSMUST00000095998.6	-6271	ENSMUSG00000117975	Itprip	inositol 1,4,5-triphosphate receptor interacting protein
chr16	26630761	26631260	500	*	Intron (ENSMUST00000096129.8/16180, intron 2 of 10)	16	26624156	26715068	90913	1	16180	ENSMUST00000174171.1	6605	ENSMUSG00000022514	Il1rap	interleukin 1 receptor accessory protein
chr6	108136651	108137150	500	*	Intron (ENSMUST00000032191.15/58911, intron 7 of 8)	6	108118203	108144695	26493	2	58911	ENSMUST00000169446.1	7545	ENSMUSG00000030101	Sumf1	sulfatase modifying factor 1
chr4	121009159	121009658	500	*	Intron (ENSMUST00000043200.7/69780, intron 1 of 9)	4	120968317	121017247	48931	2	69780	ENSMUST00000043200.7	7589	ENSMUSG00000032870	Smap2	small ArfGAP 2
chr15	26070544	26071043	500	*	Distal Intergenic	15	26054365	26062438	8074	2	105245898	ENSMUST00000227975.1	-8106	ENSMUSG00000115335	Gm41279	predicted gene, 41279
chr3	87893715	87894214	500	*	Distal Intergenic	3	87858903	87885608	26706	2	94315	ENSMUST00000005015.9	-8107	ENSMUSG00000004895	Prcc	papillary renal cell carcinoma (translocation-associated)
chr2	161061286	161061785	500	*	Intron (ENSMUST00000039782.13/71389, intron 1 of 36)	2	161029839	161052578	22740	2	71389	ENSMUST00000130265.1	-8708	ENSMUSG00000057133	Chd6	chromodomain helicase DNA binding protein 6
chr11	77786135	77786634	500	*	5' UTR	11	77777316	77864848	87533	1	360013	ENSMUST00000130627.8	8819	ENSMUSG00000000631	Myo18a	myosin XVIIIA
chr2	11162692	11163191	500	*	Distal Intergenic	2	11172108	11301222	129115	1	18761	ENSMUST00000028118.8	-8917	ENSMUSG00000026778	Prkcq	protein kinase C, theta
chr2	79697984	79698483	500	*	Distal Intergenic	2	79707780	79810313	102534	1	75276	ENSMUST00000090760.8	-9297	ENSMUSG00000034683	Ppp1r1c	protein phosphatase 1, regulatory inhibitor subunit 1C
chr1	42877762	42878261	500	*	Intron (ENSMUST00000057208.12/69527, intron 2 of 10)	1	42887737	42905683	17947	1	69527	ENSMUST00000201108.3	-9476	ENSMUSG00000060679	Mrps9	mitochondrial ribosomal protein S9
chr19	27312599	27313098	500	*	Distal Intergenic	19	27322588	27337179	14592	1	240595	ENSMUST00000056708.3	-9490	ENSMUSG00000047298	Kcnv2	potassium channel, subfamily V, member 2
chr18	35676263	35676762	500	*	Intron (ENSMUST00000025208.6/76594, intron 7 of 7)	18	35675031	35686743	11713	2	76594	ENSMUST00000235930.1	9981	ENSMUSG00000024350	Dnajc18	DnaJ heat shock protein family (Hsp40) member C18
chr2	113695087	113695586	500	*	Exon (ENSMUST00000123377.1/75166, exon 4 of 6)	2	113685105	113709852	24748	1	14260	ENSMUST00000152255.1	9982	ENSMUSG00000044042	Fmn1	formin 1
