seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr2	37587088	37587587	500	*	Promoter (<=1kb)	2	37579538	37586518	6981	2	20744	ENSMUST00000204569.1	-570	ENSMUSG00000026915	Strbp	spermatid perinuclear RNA binding protein
chr2	101612236	101612735	500	*	Promoter (1-2kb)	2	101561800	101610556	48757	2	68170	ENSMUST00000136601.8	-1680	ENSMUSG00000027165	Iftap	intraflagellar transport associated protein
chr4	115881870	115882369	500	*	Distal Intergenic	4	115884400	115887964	3565	1	654462	ENSMUST00000097918.2	-2031	ENSMUSG00000073774	Kncn	kinocilin
chr7	59321372	59321871	500	*	Exon (ENSMUST00000208008.1/ENSMUST00000208008.1, exon 1 of 1)	7	59307924	59324149	16226	2	52480	ENSMUST00000190666.1	2278	NA	Snhg14	small nucleolar RNA host gene 14
chr8	61536703	61537202	500	*	Intron (ENSMUST00000121200.8/72333, intron 3 of 11)	8	61525121	61533841	8721	2	72333	ENSMUST00000136825.1	-2862	ENSMUSG00000058056	Palld	palladin, cytoskeletal associated protein
chr19	10996414	10996913	500	*	Distal Intergenic	19	10978307	10993250	14944	2	545279	ENSMUST00000087923.3	-3164	ENSMUSG00000067571	Ms4a15	membrane-spanning 4-domains, subfamily A, member 15
chr13	98739702	98740201	500	*	Intron (ENSMUST00000099277.11/218503, intron 20 of 26)	13	98724821	98735780	10960	2	218503	ENSMUST00000225318.1	-3922	ENSMUSG00000041685	Fcho2	FCH domain only 2
chr6	71136877	71137376	500	*	Intron (ENSMUST00000160918.7/232078, intron 4 of 8)	6	71128656	71131972	3317	2	232078	ENSMUST00000170753.1	-4905	ENSMUSG00000054474	Thnsl2	threonine synthase-like 2 (bacterial)
chr7	75152648	75153147	500	*	Intron (ENSMUST00000165175.7/64176, intron 4 of 12)	7	75119941	75147726	27786	2	64176	ENSMUST00000207001.1	-4922	ENSMUSG00000053025	Sv2b	synaptic vesicle glycoprotein 2b
chr12	36308657	36309156	500	*	Distal Intergenic	12	36314139	36318452	4314	1	66042	ENSMUST00000041407.6	-4983	ENSMUSG00000036169	Sostdc1	sclerostin domain containing 1
chr16	34739579	34740078	500	*	Distal Intergenic	16	34745210	34877836	132627	1	107589	ENSMUST00000155268.1	-5132	ENSMUSG00000022836	Mylk	myosin, light polypeptide kinase
chr12	105617429	105617928	500	*	Intron (ENSMUST00000221015.1/76559, intron 20 of 20)	12	105616139	105623142	7004	2	76559	ENSMUST00000222395.1	5214	ENSMUSG00000041341	Atg2b	autophagy related 2B
chr6	40894646	40895145	500	*	Distal Intergenic	6	40895270	40900387	5118	2	232717	ENSMUST00000063523.4	5242	ENSMUSG00000051936	Prss58	serine protease 58
chr9	123579997	123580496	500	*	Intron (ENSMUST00000026270.8/83493, intron 13 of 19)	9	123586238	123591136	4899	1	83493	ENSMUST00000217089.1	-5742	ENSMUSG00000025240	Sacm1l	SAC1 suppressor of actin mutations 1-like (yeast)
chr8	109081344	109081843	500	*	Intron (ENSMUST00000180524.7/628686, intron 2 of 9)	8	109075245	109228058	152814	1	628686	ENSMUST00000212085.1	6099	ENSMUSG00000097393	D030068K23Rik	RIKEN cDNA D030068K23 gene
chr8	18618439	18618938	500	*	Intron (ENSMUST00000039412.14/244329, intron 3 of 13)	8	18625563	18631880	6318	1	244329	ENSMUST00000133417.1	-6625	ENSMUSG00000039842	Mcph1	microcephaly, primary autosomal recessive 1
chr1	75285099	75285598	500	*	Distal Intergenic	1	75272199	75278415	6217	2	19711	ENSMUST00000039534.10	-6684	ENSMUSG00000033061	Resp18	regulated endocrine-specific protein 18
chr13	32957905	32958404	500	*	Distal Intergenic	13	32965209	32979067	13859	1	20708	ENSMUST00000110293.8	-6805	ENSMUSG00000042842	Serpinb6b	serine (or cysteine) peptidase inhibitor, clade B, member 6b
chr12	45005470	45005969	500	*	Intron (ENSMUST00000053768.13/217517, intron 2 of 5)	12	44861365	45012964	151600	2	217517	ENSMUST00000130202.1	6995	ENSMUSG00000046314	Stxbp6	syntaxin binding protein 6 (amisyn)
chr13	64359189	64359688	500	*	3' UTR	13	64365092	64367055	1964	2	13039	ENSMUST00000222971.1	7367	ENSMUSG00000021477	Ctsl	cathepsin L
chr19	37320940	37321439	500	*	Intron (ENSMUST00000131070.1/15925, intron 3 of 23)	19	37301663	37313573	11911	2	15925	ENSMUST00000150707.8	-7367	ENSMUSG00000056999	Ide	insulin degrading enzyme
chr2	113449474	113449973	500	*	Intron (ENSMUST00000099576.8/14260, intron 4 of 18)	2	113441064	113709855	268792	1	14260	ENSMUST00000081349.8	8410	ENSMUSG00000044042	Fmn1	formin 1
chr5	76373481	76373980	500	*	Distal Intergenic	5	76333495	76363788	30294	2	56183	ENSMUST00000031146.2	-9693	ENSMUSG00000029236	Nmu	neuromedin U
chr6	8637219	8637718	500	*	Intron (ENSMUST00000156695.7/15893, intron 10 of 10)	6	8630699	8647819	17121	2	15893	ENSMUST00000145870.1	10101	ENSMUSG00000062995	Ica1	islet cell autoantigen 1
chr15	38717798	38718297	500	*	Exon (ENSMUST00000226763.1/105463124, exon 2 of 3)	15	38713483	38728516	15034	2	105463124	ENSMUST00000226763.1	10219	ENSMUSG00000115620	Gm45924	predicted gene, 45924
chr9	53547769	53548268	500	*	Intron (ENSMUST00000035850.7/244879, intron 2 of 17)	9	53537047	53574342	37296	1	244879	ENSMUST00000035850.7	10722	ENSMUSG00000033054	Npat	nuclear protein in the AT region
chr7	116515496	116515995	500	*	Intron (ENSMUST00000032895.14/53322, intron 2 of 13)	7	116504415	116540443	36029	1	53322	ENSMUST00000183175.7	11081	ENSMUSG00000030659	Nucb2	nucleobindin 2
chr7	90116567	90117066	500	*	Distal Intergenic	7	90124822	90129477	4656	2	78329	ENSMUST00000181189.2	12411	ENSMUSG00000097162	2310010J17Rik	RIKEN cDNA 2310010J17 gene
chr5	3688405	3688904	500	*	Distal Intergenic	5	3693469	3702132	8664	2	70797	ENSMUST00000199043.1	13228	ENSMUSG00000040351	Ankib1	ankyrin repeat and IBR domain containing 1
chr1	131881256	131881755	500	*	Distal Intergenic	1	131867653	131870979	3327	1	226422	ENSMUST00000187084.1	13603	ENSMUSG00000026433	Rab29	RAB29, member RAS oncogene family
chr12	117166050	117166549	500	*	Intron (ENSMUST00000190247.6/19276, intron 13 of 22)	12	117145372	117151269	5898	2	100038689	ENSMUST00000185746.1	-14781	NA	Gm10421	predicted gene 10421
chr11	19049388	19049887	500	*	Distal Intergenic	11	19065276	19075740	10465	1	74059	ENSMUST00000144854.1	-15389	ENSMUSG00000087507	4933406G16Rik	RIKEN cDNA 4933406G16 gene
chr6	4030713	4031212	500	*	Distal Intergenic	6	4031841	4047585	15745	2	78034	ENSMUST00000204264.1	16373	ENSMUSG00000107681	4930528H21Rik	RIKEN cDNA 4930528H21 gene
chr13	55801296	55801795	500	*	Intron (ENSMUST00000021961.11/76856, intron 3 of 7)	13	55784579	55808998	24420	1	76856	ENSMUST00000109898.2	16717	ENSMUSG00000021499	Catsper3	cation channel, sperm associated 3
chr10	26804797	26805296	500	*	Intron (ENSMUST00000176060.7/73910, intron 1 of 4)	10	26822602	26850001	27400	1	73910	ENSMUST00000135866.1	-17306	ENSMUSG00000039031	Arhgap18	Rho GTPase activating protein 18
chr4	104893738	104894237	500	*	Distal Intergenic	4	104815679	104876398	60720	2	230558	ENSMUST00000048947.14	-17340	ENSMUSG00000035031	C8a	complement component 8, alpha polypeptide
chr14	122424260	122424759	500	*	Distal Intergenic	14	122365239	122406743	41505	2	328479	ENSMUST00000228409.1	-17517	ENSMUSG00000115263	Gm5089	predicted gene 5089
chr18	20575873	20576372	500	*	Intron (ENSMUST00000059787.14/13511, intron 3 of 14)	18	20558246	20582916	24671	1	13511	ENSMUST00000121837.1	17627	ENSMUSG00000044393	Dsg2	desmoglein 2
chr16	58389355	58389854	500	*	Distal Intergenic	16	58408443	58469727	61285	1	73379	ENSMUST00000046663.7	-18589	ENSMUSG00000035107	Dcbld2	discoidin, CUB and LCCL domain containing 2
chr11	55013128	55013627	500	*	Intron (ENSMUST00000102727.2/11749, intron 3 of 24)	11	54990950	55033415	42466	2	11749	ENSMUST00000148298.1	19788	ENSMUSG00000018340	Anxa6	annexin A6
chr1	66721426	66721925	500	*	Exon (ENSMUST00000129190.7/68691, exon 13 of 14)	1	66700907	66718019	17113	1	66646	ENSMUST00000190404.1	20519	ENSMUSG00000026005	Rpe	ribulose-5-phosphate-3-epimerase
chr8	71312590	71313089	500	*	Intron (ENSMUST00000212935.1/17925, intron 2 of 39)	8	71333817	71339008	5192	1	17925	ENSMUST00000212173.2	-20728	ENSMUSG00000004677	Myo9b	myosin IXb
chr1	128080917	128081416	500	*	Intron (ENSMUST00000086614.11/226409, intron 2 of 20)	1	128057856	128102454	44599	2	226409	ENSMUST00000124876.1	21038	ENSMUSG00000036086	Zranb3	zinc finger, RAN-binding domain containing 3
chr19	27260452	27260951	500	*	Exon (ENSMUST00000235357.1/ENSMUST00000235357.1, exon 2 of 2)	19	27238774	27243828	5055	1	22359	ENSMUST00000165761.1	21678	ENSMUSG00000024924	Vldlr	very low density lipoprotein receptor
chr1	143823247	143823746	500	*	Distal Intergenic	1	143794717	143806941	12225	1	56207	ENSMUST00000185539.1	28530	ENSMUSG00000018189	Uchl5	ubiquitin carboxyl-terminal esterase L5
chr17	42345826	42346325	500	*	Intron (ENSMUST00000048691.5/627626, intron 2 of 3)	17	42316600	42505077	188478	1	627626	ENSMUST00000232968.1	29226	ENSMUSG00000042256	Ptchd4	patched domain containing 4
chr2	76185307	76185806	500	*	Intron (ENSMUST00000099992.9/241489, intron 5 of 19)	2	76027665	76215394	187730	2	241489	ENSMUST00000144892.1	29588	ENSMUSG00000075270	Pde11a	phosphodiesterase 11A
chr12	73252269	73252768	500	*	Intron (ENSMUST00000189644.6/17420, intron 6 of 6)	12	73280481	73282671	2191	2	76357	ENSMUST00000220701.1	29903	ENSMUSG00000034442	Trmt5	TRM5 tRNA methyltransferase 5
chr9	101282163	101282662	500	*	Distal Intergenic	9	101105084	101251795	146712	2	235542	ENSMUST00000075941.11	-30368	ENSMUSG00000043154	Ppp2r3a	protein phosphatase 2, regulatory subunit B'', alpha
chr5	104359136	104359635	500	*	Distal Intergenic	5	104325329	104338611	13283	1	94111	ENSMUST00000066207.3	33807	ENSMUSG00000053863	Mepe	matrix extracellular phosphoglycoprotein with ASARM motif (bone)
chr2	106038478	106038977	500	*	Exon (ENSMUST00000122388.9/ENSMUST00000122388.9, exon 1 of 36)	2	105966709	106003549	36841	2	99349	ENSMUST00000102555.10	-34929	ENSMUSG00000027166	Dnajc24	DnaJ heat shock protein family (Hsp40) member C24
chr12	64876249	64876748	500	*	Distal Intergenic	12	64917906	64924591	6686	1	217648	ENSMUST00000058135.5	-41158	ENSMUSG00000047227	Gm527	predicted gene 527
chr3	85275353	85275852	500	*	Intron (ENSMUST00000154148.7/99889, intron 3 of 9)	3	85317519	85332030	14512	1	73283	ENSMUST00000189046.1	-41667	ENSMUSG00000099995	1700036G14Rik	RIKEN cDNA 1700036G14 gene
chr8	66342695	66343194	500	*	Intron (ENSMUST00000152320.7/72925, intron 5 of 8)	8	66386294	66470421	84128	1	72925	ENSMUST00000039540.11	-43100	ENSMUSG00000036469	Marchf1	membrane associated ring-CH-type finger 1
chr16	15932254	15932753	500	*	Intron (ENSMUST00000040248.8/224008, intron 11 of 19)	16	15887286	15891031	3746	1	12609	ENSMUST00000096232.5	44968	ENSMUSG00000071637	Cebpd	CCAAT/enhancer binding protein delta
chr16	49923273	49923772	500	*	Distal Intergenic	16	49866833	49911091	44259	1	16423	ENSMUST00000229104.1	56440	ENSMUSG00000055447	Cd47	CD47 antigen (Rh-related antigen, integrin-associated signal transducer)
chr13	98093162	98093661	500	*	Intron (ENSMUST00000109426.2/110596, intron 2 of 35)	13	97928630	98032679	104050	2	110596	ENSMUST00000225663.1	-60483	ENSMUSG00000021662	Arhgef28	Rho guanine nucleotide exchange factor 28
chr6	18578614	18579113	500	*	Distal Intergenic	6	18501626	18514843	13218	2	30785	ENSMUST00000140416.1	-63771	ENSMUSG00000000416	Cttnbp2	cortactin binding protein 2
chr15	33015343	33015842	500	*	Intron (ENSMUST00000022871.6/15529, intron 1 of 4)	15	33083129	33594552	511424	1	54381	ENSMUST00000042167.9	-67287	ENSMUSG00000039007	Cpq	carboxypeptidase Q
chr2	79567325	79567824	500	*	Distal Intergenic	2	79635352	79672966	37615	1	70599	ENSMUST00000111785.8	-67528	ENSMUSG00000027007	Itprid2	ITPR interacting domain containing 2
chr16	19025437	19025936	500	*	Distal Intergenic	16	18941546	18970276	28731	1	15260	ENSMUST00000232419.1	83891	ENSMUSG00000022702	Hira	histone cell cycle regulator
chr10	91802327	91802826	500	*	Distal Intergenic	10	91888829	91953580	64752	1	102633867	ENSMUST00000217529.1	-86003	ENSMUSG00000111657	Gm31592	predicted gene, 31592
chr10	32977093	32977592	500	*	Distal Intergenic	10	32642113	32890461	248349	2	432450	ENSMUST00000219306.1	-86632	ENSMUSG00000069670	Nkain2	Na+/K+ transporting ATPase interacting 2
chr18	78300723	78301222	500	*	Intron (ENSMUST00000237674.1/27411, intron 3 of 21)	18	78146940	78209094	62155	2	27411	ENSMUST00000025434.13	-91629	ENSMUSG00000024552	Slc14a2	solute carrier family 14 (urea transporter), member 2
