seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr19	38583043	38583542	500	*	Promoter (<=1kb)	19	38583368	38652007	68640	1	74055	ENSMUST00000182999.1	0	ENSMUSG00000024998	Plce1	phospholipase C, epsilon 1
chr3	121449439	121449938	500	*	Promoter (<=1kb)	3	121449766	121457143	7378	1	71994	ENSMUST00000198393.1	0	ENSMUSG00000053931	Cnn3	calponin 3, acidic
chr6	31284939	31285438	500	*	Promoter (<=1kb)	6	31285004	31337403	52400	1	73652	ENSMUST00000138653.7	0	ENSMUSG00000087380	2210408F21Rik	RIKEN cDNA 2210408F21 gene
chr1	152371303	152371802	500	*	Promoter (<=1kb)	1	152370838	152372082	1245	2	66637	ENSMUST00000161717.1	280	ENSMUSG00000014980	Tsen15	tRNA splicing endonuclease subunit 15
chr2	164855837	164856336	500	*	Promoter (<=1kb)	2	164846813	164856796	9984	2	18830	ENSMUST00000142603.7	460	ENSMUSG00000017754	Pltp	phospholipid transfer protein
chr1	33718399	33718898	500	*	Promoter (<=1kb)	1	33719887	33723837	3951	1	19335	ENSMUST00000195006.5	-989	ENSMUSG00000004768	Rab23	RAB23, member RAS oncogene family
chr6	119740863	119741362	500	*	Intron (ENSMUST00000183703.7/111173, intron 13 of 20)	6	119575013	119743444	168432	2	111173	ENSMUST00000184320.7	2082	ENSMUSG00000030172	Erc1	ELKS/RAB6-interacting/CAST family member 1
chr15	12875609	12876108	500	*	Intron (ENSMUST00000169061.7/14000, intron 15 of 34)	15	12878708	12885230	6523	1	14000	ENSMUST00000141010.1	-2600	ENSMUSG00000022191	Drosha	drosha, ribonuclease type III
chr16	23177949	23178448	500	*	Intron (ENSMUST00000232204.1/105246089, intron 1 of 2)	16	23175288	23224446	49159	1	105246089	ENSMUST00000149488.1	2661	ENSMUSG00000068463	C730014E05Rik	RIKEN cDNA C730014E05 gene
chr8	54546944	54547443	500	*	Intron (ENSMUST00000209937.1/76294, intron 1 of 2)	8	54550331	54587842	37512	1	76294	ENSMUST00000033918.3	-2888	ENSMUSG00000031519	Asb5	ankyrin repeat and SOCs box-containing 5
